,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
278,Ferran Jutglà,23, Forward,,,4(2),303,0.3,0.2,0.7,-,0.2,0.2,-,-,6.52
279,Felipe,33, D(C),,,15(11),1499,0.8,1.1,0.8,0.1,2.9,0.4,0.4,-,6.52
280,Salva,38, M(CL),,,17(11),1510,0.6,0.5,0.5,-,0.4,0.4,0.2,-,6.52
281,Sergi Gómez,30, D(CR),,,31,2724,1.1,1.3,0.4,0.9,3.8,0.3,0.7,-,6.52
282,Pervis Estupiñán,24, D(L),,,17(11),1574,1.3,0.9,0.9,0.3,0.8,0.3,0.2,-,6.52
283,Pere Milla,29, AM(CL),FW,,18(15),1640,0.6,0.2,0.5,-,0.6,1.1,-,-,6.51
284,Nemanja Gudelj,30, D(C),M(C),,9(12),1040,0.8,1,0.7,0.2,1.7,0.1,0.4,-,6.51
285,Néstor Araújo,30, D(C),,,29(5),2617,0.6,0.8,0.6,0.2,3,0.4,0.3,1,6.51
286,Óscar Rodríguez,23, AM(CLR),,,9(9),946,0.9,0.6,0.4,-,0.3,0.4,0.1,-,6.51
287,Marc-André ter Stegen,30, GK,,,35,3150,-,-,-,-,0.6,-,-,-,6.51
288,Rubén Sánchez,21, Defender,,,1(3),148,1.5,0.5,1,-,1,0.8,-,-,6.51
289,Sergio Escudero,32, D(L),M(L),,15(12),1429,1.7,1,0.5,0.1,1,1,0.1,-,6.5
290,Gonzalo Melero,28, AM(C),FW,,20(9),1697,1,0.2,0.7,-,0.8,0.7,0.3,-,6.5
291,Aridane Hernández,33, D(C),,,12(3),1159,0.8,1.3,0.3,0.3,4.6,0.7,0.6,1,6.5
292,Florian Lejeune,31, D(C),,,30,2700,1.1,1,1.1,0.8,5.1,0.3,0.6,-,6.5
293,Domingos Duarte,27, D(C),,,19(2),1689,0.9,1,1.1,0.2,3.8,0.2,1,-,6.5
294,Rubén Sobrino,30, AM(LR),FW,,19(14),1856,0.8,0.6,1.4,-,0.5,0.9,-,-,6.5
295,Víctor Laguardia,32, D(C),,,34,3044,0.9,0.8,0.6,0.6,4.3,0.3,0.7,-,6.5
296,Okay Yokuslu,28, D(C),DMC,,5(6),463,0.8,0.5,0.5,0.5,1.5,-,0.5,-,6.49
297,Josan,32, D(R),M(R),,10(21),1200,1.2,0.3,0.5,0.1,0.5,0.6,0.1,-,6.49
298,Fernando Pacheco,30, GK,,,34,3054,0.1,-,-,-,0.7,-,-,-,6.49
299,Jorge Miramón,33, D(R),M(R),,22(7),1976,1.2,1.2,1.1,0.2,1.8,1,0.1,-,6.49
300,Héctor Herrera,32, M(C),,,8(13),852,0.8,0.6,0.9,-,0.6,0.6,0.1,-,6.49
301,Quini,32, D(LR),,,27(5),2305,2.3,1.1,1.2,0.2,1.6,1.2,0.3,-,6.49
302,Hugo Duro,22, AM(L),FW,,22(8),1847,0.8,0.1,1,-,0.5,0.8,0.1,-,6.49
303,Martin Valjent,26, D(C),,,36,3183,0.9,0.9,0.7,0.5,4.8,0.3,0.7,-,6.49
304,Óscar Mingueza,23, D(CR),,,9(10),892,1.3,0.5,0.6,0.1,0.9,0.4,-,-,6.49
305,Varazdat Haroyan,29, D(C),,,16(1),1439,1.8,0.9,1.3,0.6,3.6,0.6,0.7,-,6.49
306,Sergi Guardiola,31, FW,,,20(12),1716,0.3,0.1,0.9,-,0.5,0.6,0.1,-,6.49
307,Luis Hernández,33, D(CR),,,15(1),1366,0.6,1,0.6,0.3,2.1,0.2,0.2,-,6.49
308,Aitor Fernández,31, GK,,,13,1167,0.2,-,0.1,-,0.7,-,-,-,6.49
309,Carlos Neva,25, D(L),M(L),,24(2),2115,1.2,1.2,0.3,0.3,2.2,0.5,0.3,-,6.48
310,Antonio Sivera,25, GK,,,3(1),276,-,-,-,-,0.5,0.3,-,-,6.48
311,Unai Vencedor,21, DMC,,,29(5),2397,0.8,0.6,0.8,-,0.6,1,0.4,-,6.48
312,Aihen Muñoz,24, D(L),,,15(5),1345,1.4,0.9,1.4,0.2,1.5,0.6,0.1,-,6.48
313,Enzo Roco,29, D(C),,,29(1),2555,1.2,0.9,1.2,0.6,3.6,0.3,0.9,-,6.48
314,Germán Sánchez,35, D(C),,,25(7),2298,0.8,0.9,0.7,0.6,4.3,0.3,0.5,-,6.47
315,Kike García,32, FW,,,18(15),1860,0.3,0.1,0.7,-,0.3,0.6,-,-,6.47
316,Karim Rekik,27, D(CL),,,11(7),1095,0.6,0.5,0.9,0.1,1.1,0.4,0.3,-,6.47
317,Rodri,22, AM(R),,,10(11),882,0.5,0.1,0.1,-,0.2,0.8,-,-,6.47
318,Mario Gila,21, Defender,,,0(2),24,0.5,0.5,-,-,0.5,0.5,-,-,6.47
319,Vicente Iborra,34, M(C),,,12(8),1032,1,0.6,1,0.2,1.4,0.6,0.3,-,6.47
320,Renan Lodi,24, D(L),M(L),,13(16),1181,1.1,0.4,0.7,0.1,0.5,0.6,0.1,-,6.47
321,Tete Morente,25, AM(CR),,,18(14),1636,0.7,0.4,1,-,0.3,0.7,-,-,6.47
322,Manolo Reina,37, GK,,,23,1892,-,-,-,-,0.5,-,-,1,6.47
323,Juan Cruz,29, D(CL),,,22(1),1935,1.2,0.7,0.8,0.8,2.4,0.3,0.5,-,6.46
324,Dimitri Foulquier,29, D(CLR),M(R),,25(4),2337,1.2,1,1.3,0.3,1.4,0.4,0.1,-,6.46
325,Gerard Gumbau,27, DMC,,,20(11),1891,1.5,0.7,1.6,0.1,0.8,0.9,0.1,-,6.46
326,Carlos Domínguez,21, D(C),,,3(5),341,0.5,0.5,0.4,-,2.4,0.3,0.1,-,6.46
327,Chimy Avila,28, AM(LR),FW,,22(14),1875,0.5,0.4,0.9,-,0.4,0.4,0.1,-,6.46
328,Oussama Idrissi,26, AM(LR),,,2(3),127,0.2,0.2,0.8,-,0.2,0.2,-,-,6.46
329,Philippe Coutinho,29, M(CLR),,,5(7),500,0.5,0.3,0.6,-,0.3,0.7,-,-,6.46
330,Pathé Ciss,28, DMC,,,11(20),1087,1,1,0.6,0.1,0.9,0.5,0.2,1,6.46
331,Raúl Torrente,21, D(C),,,15(3),1283,1.7,0.7,1.3,0.3,3.8,0.7,0.5,-,6.46
332,Dimitri Foulquier,29, D(CLR),M(R),,2,180,-,0.5,0.5,0.5,1,0.5,0.5,-,6.46
333,Jon Pacheco,21, D(C),,,4(6),376,0.6,0.6,0.3,0.5,1.8,-,0.4,-,6.45
334,Hugo Guillamón,22, D(C),DMC,,28(3),2368,1.4,1,2.3,0.2,1.6,0.8,0.3,1,6.45
335,Óliver Torres,27, M(CLR),,,11(15),1008,0.8,0.2,0.7,-,0.2,0.7,-,-,6.45
336,Rúben Vezo,28, D(CR),,,27(5),2420,1.3,1.1,1.1,0.5,3.2,0.5,0.8,-,6.45
337,Renato Tapia,26, D(C),DMC,,13(16),1406,1.7,1,1.2,0.1,1.3,1,0.2,-,6.45
338,Gonzalo Montiel,25, D(CR),M(R),,15(3),1073,0.8,0.6,0.5,0.2,0.9,0.7,0.1,-,6.45
339,Manu García,24, M(CL),,,10(14),1075,0.8,0.5,1,-,0.1,0.8,0.1,-,6.45
340,Darío Benedetto,32, FW,,,6(8),585,0.4,0.1,0.2,-,0.1,0.2,-,-,6.45
341,Stefan Mitrovic,32, D(C),,,31(1),2673,0.5,0.7,0.6,1,3.4,0.2,0.6,-,6.45
342,Paco Alcácer,28, AM(R),FW,,10(8),792,0.5,0.3,0.3,-,0.1,0.2,-,-,6.45
343,Asier Illarramendi,32, M(C),,,6(2),379,1.1,0.5,0.5,0.1,1.5,1.1,0.1,-,6.44
344,Carlos Clerc,30, D(L),M(L),,18(1),1518,1.8,1.4,1.2,0.2,1.5,0.6,0.2,-,6.44
345,Tonny Vilhena,27, D(L),M(CL),,13(4),937,0.9,0.5,0.9,-,0.6,0.8,0.1,-,6.44
