,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
40,Mário Rui,31, D(L),M(L),,34,3002,2,1.2,0.9,0.3,1.3,1.3,0.2,-,6.98
41,Milan Djuric,32, FW,,,23(10),2173,-,0.1,0.7,-,1,0.1,-,-,6.97
42,Luis Alberto,29, AM(CL),FW,,27(7),2363,0.9,0.4,0.4,-,0.2,1.3,0.1,-,6.96
43,Francesco Bardi,30, GK,,,2,178,-,-,-,-,-,-,-,-,6.96
44,Federico Chiesa,24, M(CLR),FW,,11(3),868,1.9,0.3,0.6,-,0.1,1,-,-,6.94
45,Bryan Cristante,27, D(C),M(C),,29(5),2674,2.3,1.2,1.2,0.1,1.3,0.9,0.1,1,6.94
46,Antonio Candreva,35, M(CLR),,,36,3132,0.8,0.9,0.5,-,0.3,1,0.1,-,6.94
47,Franck Kessié,25, M(C),,,25(6),2312,1.3,0.7,1.2,0.1,0.7,0.3,0.3,-,6.94
48,Danilo,30, D(CLR),DMC,,22,1895,1.7,1.5,0.9,0.3,2.1,0.5,0.5,-,6.93
49,Sergio Romero,35, GK,,,16,1440,0.1,0.1,0.1,-,1.3,-,-,-,6.93
50,Mike Maignan,26, GK,,,32,2880,0.1,-,-,-,0.5,-,-,-,6.92
51,Robin Gosens,27, D(L),M(CL),,5(1),462,1.2,1.5,0.5,-,0.2,0.7,-,-,6.92
52,Antonin Barak,27, AM(C),,,27(2),2348,0.6,0.2,0.9,-,0.8,0.4,0.2,-,6.91
53,Ruslan Malinovskyi,29, M(CR),FW,,19(11),1603,0.6,0.2,1.3,-,-,0.5,0.1,-,6.91
54,Luca Lezzerini,27, GK,,,6,496,-,-,-,-,-,-,-,-,6.9
55,Simone Verdi,29, AM(CLR),FW,,11(4),838,0.8,0.2,0.7,-,-,0.7,-,-,6.9
56,Alessandro Bastoni,23, D(C),,,29(2),2323,1.4,1.1,1,0.2,1.8,0.5,0.4,-,6.9
57,Pedro,34, M(CLR),FW,,25(7),2043,1.1,0.2,1,-,0.3,1,0.1,-,6.89
58,Hamed Traorè,22, AM(CLR),,,21(10),1780,1,0.4,1,-,0.1,1.2,0.1,-,6.89
59,Giovanni Simeone,26, AM(R),FW,,32(3),2669,0.8,0.2,1.6,-,0.6,0.9,0.1,-,6.89
60,Davide Calabria,25, D(LR),M(R),,24(2),2124,2.4,0.9,0.6,0.2,1.1,1.3,0.2,-,6.89
61,Matthijs de Ligt,22, D(C),,,29(2),2675,1.1,0.8,1,0.2,3.1,0.1,0.7,-,6.87
62,Alex Meret,25, GK,,,7,620,-,-,-,-,0.6,-,-,-,6.87
63,Guglielmo Vicario,25, GK,,,38,3420,-,-,-,-,0.8,-,-,-,6.87
64,Lukasz Skorupski,31, GK,,,36,3240,-,-,0.1,-,1.1,-,-,-,6.86
65,Pierre Kalulu,22, D(CR),,,21(7),1939,2.2,0.9,0.6,0.4,1.8,0.2,0.5,-,6.86
66,Etrit Berisha,33, GK,,,10,900,-,-,0.1,-,0.8,-,-,-,6.86
67,Junior Messias,31, AM(CR),FW,,14(12),1430,1.3,0.7,0.8,-,0.6,0.7,-,-,6.86
68,Mario Pasalic,27, M(CL),,,24(13),2010,0.7,0.5,0.8,-,0.4,0.5,0.2,-,6.86
69,Dries Mertens,35, AM(CLR),FW,,16(14),1389,0.5,0.3,0.9,-,0.1,0.4,0.1,-,6.86
70,Marko Arnautovic,33, AM(CLR),FW,,32(1),2706,0.5,0.2,1.4,-,0.5,0.7,0.1,-,6.85
71,Hirving Lozano,26, AM(LR),FW,,20(10),1622,0.9,0.3,0.9,-,0.3,0.7,-,-,6.85
72,Sasa Lukic,25, M(C),,,34(1),2987,1.5,0.7,2.4,0.1,1.1,0.7,0.2,-,6.85
73,Dusan Vlahovic,22, FW,,,12(3),1078,-,-,0.5,-,0.5,0.3,-,-,6.85
74,Beto,24, FW,,,24(4),2175,0.8,0.2,1.9,-,0.9,0.4,-,-,6.84
75,Adrien Tameze,28, M(C),,,26(12),2580,1.4,1.4,0.9,-,1,1,0.1,-,6.84
76,Jerdy Schouten,25, DMC,,,16(1),1394,1.5,1.9,1,-,1.7,0.8,0.3,-,6.84
77,Josip Ilicic,34, AM(CLR),FW,,8(12),837,0.4,0.2,0.7,-,0.1,0.7,0.1,-,6.84
78,Álvaro Morata,29, AM(L),FW,,26(9),2312,0.5,0.1,1.4,-,0.6,0.7,-,-,6.83
79,Nicolás Domínguez,23, DMC,,,23(5),2027,2.7,1.1,0.9,-,1.1,1.6,0.3,-,6.83
80,Amir Rrahmani,28, D(CL),,,33,2928,0.6,0.6,0.7,0.3,2.5,0.1,0.8,-,6.83
81,Adrian Semper,24, GK,,,1,90,-,-,-,-,-,-,-,-,6.83
82,Zlatan Ibrahimovic,40, FW,,,11(12),1009,-,0.1,0.7,-,0.4,0.1,-,1,6.82
83,Gianluca Scamacca,23, FW,,,25(11),2155,0.5,0.1,1.4,-,0.6,0.4,-,-,6.82
84,David Ospina,33, GK,,,31,2790,-,-,-,-,0.5,-,-,-,6.82
85,Teun Koopmeiners,24, D(C),M(C),,23(7),2129,1.3,0.5,1.2,-,0.5,1.1,0.1,1,6.82
86,Éderson,22, DMC,,,13(2),1153,1.9,1.3,1.2,0.1,0.5,0.8,0.1,-,6.82
87,Riccardo Stivanello,18, Defender,,,0(1),45,1,-,-,-,6,-,2,-,6.82
88,Adrien Rabiot,27, DMC,M(L),,28(4),2294,2,0.6,1.4,-,1,0.6,0.3,-,6.82
89,Milan Skriniar,27, D(C),,,35,3150,1.3,0.7,1.2,0.3,2.5,0.5,0.7,-,6.82
90,Denzel Dumfries,26, D(R),M(R),,21(12),2028,1,0.3,1,0.1,0.5,0.5,0.2,-,6.81
91,Jordan Veretout,29, M(C),,,26(10),2329,0.9,0.8,0.5,-,0.6,0.7,-,-,6.81
92,Manuel Locatelli,24, M(C),,,23(8),2161,1.4,0.7,1.4,-,1.1,0.8,0.7,-,6.81
93,Wilfried Stephane Singo,21, M(R),,,32(3),2626,1.6,0.7,1.2,-,1.2,0.3,0.2,-,6.8
94,Simone Bastoni,25, D(L),DMC,M(L),26(5),2291,1.7,1,1,-,0.9,1.4,0.4,-,6.8
95,Szymon Zurkowski,24, M(C),,,29(6),2320,1.7,1,1.2,-,0.8,1.1,0.3,-,6.8
96,Giorgio Altare,23, D(C),,,17(2),1469,2.1,1.6,1.8,0.3,3.7,0.3,0.3,-,6.8
97,Samir,27, D(CL),,,17,1427,2.1,2.5,1.9,0.3,3.4,0.6,0.4,-,6.8
98,Ibañez,23, D(C),,,32(2),2888,1.6,1.8,1.4,0.6,2.8,0.5,0.2,-,6.8
99,Iyenoma Udogie,19, M(L),,,29(6),2486,1.8,0.8,1,0.2,1,0.8,0.2,-,6.8
100,Milan Badelj,33, M(C),,,34,2853,1.9,2.5,1.1,0.1,1.2,1.4,0.2,-,6.79
101,Sérgio Oliveira,30, DMC,,,13(1),902,1.9,0.7,0.9,-,0.4,1.1,-,-,6.79
102,Samir Handanovic,37, GK,,,37,3330,-,-,-,-,0.5,-,-,-,6.79
103,Petar Stojanovic,26, D(R),,,32(1),2741,2.9,0.8,1.4,0.2,1.6,1.7,0.4,-,6.79
104,Ismaël Bennacer,24, DMC,,,15(16),1523,1.4,0.8,0.8,-,0.5,0.9,0.1,-,6.78
105,Morten Frendrup,21, DMC,,,6(4),694,4,1.7,1,-,0.6,1.6,0.2,-,6.78
106,Marten de Roon,31, D(C),DMC,,28(2),2549,2.3,1.5,1.7,0.3,1.4,0.9,0.1,-,6.78
107,Marco Faraoni,30, D(R),M(R),,30(2),2583,1.9,0.7,0.8,-,1.7,1,0.2,-,6.77
108,João Pedro,30, AM(CLR),FW,,37,3325,0.4,0.2,1.8,-,0.5,0.4,0.1,-,6.77
109,Josip Brekalo,23, AM(CLR),FW,,26(6),2297,0.3,0.1,0.6,-,0.2,0.6,-,-,6.77
110,Davide Frattesi,22, DMC,,,35(1),2885,1.3,0.8,1.3,0.1,1.6,0.7,0.3,1,6.77
111,Federico Dimarco,24, D(CL),M(L),,13(19),1422,0.9,0.6,0.5,-,0.4,0.3,-,-,6.77
112,Ivan Provedel,28, GK,,,31,2762,-,0.1,0.1,-,1.1,-,-,1,6.76
113,Maxime Lopez,24, M(CR),,,33(2),2942,2,1.2,1.1,-,1,1.5,0.2,-,6.76
114,Pablo Marí,28, D(C),,,15,1342,1.1,1.4,1.3,0.5,4.6,0.5,0.8,-,6.76
115,Cristiano Biraghi,29, D(L),M(L),,37,3167,1,0.5,0.8,0.4,0.7,0.8,0.3,1,6.76
116,Merih Demiral,24, D(C),,,22(6),1916,1.1,2.1,1,0.4,2.3,0.5,0.5,-,6.75
117,Giacomo Bonaventura,32, M(CLR),,,28(3),2280,1.1,0.5,1,-,0.3,0.8,0.1,-,6.75
118,Musa Barrow,23, AM(CL),FW,,25(9),2147,0.4,0.2,0.3,-,0.1,0.4,-,-,6.75
119,Nikola Milenkovic,24, D(CR),,,34,2932,1.6,1.1,1.4,1.3,2.7,0.1,0.4,-,6.75
120,Giacomo Raspadori,22, AM(CL),FW,,32(4),2757,0.8,0.3,0.8,-,0.3,0.8,0.1,-,6.75
121,Emil Bohinen,23, M(C),,,8(3),699,1.4,1.1,1.5,0.1,1.2,0.9,0.3,-,6.75
122,Chris Smalling,32, D(CR),,,23(4),2088,1.3,1,0.3,0.2,3.3,0.3,0.9,1,6.74
123,Alessio gnoli,27, D(CL),,,16(3),1408,1.3,1,0.9,0.3,2.3,0.2,0.6,-,6.74
124,Giorgio Chiellini,37, D(C),,,16(5),1354,1,1,0.7,0.2,2.7,0.3,0.9,-,6.74
125,Andrea Pinamonti,23, FW,,,32(4),2871,0.3,0.2,0.9,-,0.6,0.4,0.1,-,6.74
126,Francesco Acerbi,34, D(C),,,29(1),2530,0.8,1.1,0.6,0.6,3,0.2,0.9,-,6.73
127,Mattia Bani,28, D(C),,,13(4),1214,1.4,1.2,0.8,0.1,4.4,0.2,0.6,-,6.73
128,Domenico Criscito,35, D(CL),M(L),,18(2),1622,1.9,2,1.1,0.3,2.6,0.5,0.6,-,6.73
129,Rafael Tolói,31, D(C),,,16(4),1440,1.9,1.3,1.4,0.3,1.8,0.8,0.6,-,6.73
130,Nicolò Rovella,20, DMC,,,16(5),1467,1.8,1,1.2,-,0.7,1.2,-,-,6.73
131,Wojciech Szczesny,32, GK,,,33,2970,-,-,0.1,-,0.6,-,-,-,6.73
132,Lucas Martínez,26, D(C),,,16(4),1431,1.8,1,1.5,0.6,2.3,0.7,0.5,-,6.73
133,Ethan Ampadu,21, D(C),DMC,,26(3),2289,2.3,1.8,1.6,-,2.5,1.2,0.7,-,6.73
134,Weston McKennie,23, D(C),M(CLR),,15(6),1372,1,1.1,0.9,-,0.9,0.9,0.4,-,6.73
135,Stefan de Vrij,30, D(C),,,28(2),2413,1.3,1.1,0.6,0.4,1.7,0.2,0.3,1,6.73
136,Giorgos Kyriakopoulos,26, D(L),,,22(7),1973,1,0.4,1,0.3,1.4,0.7,0.3,-,6.73
137,Alberto Grassi,27, DMC,,,26(4),2185,1.6,2.1,0.9,0.1,1,0.7,0.3,-,6.73
138,Stanislav Lobotka,27, DMC,,,19(4),1687,1.7,0.5,0.8,-,0.5,1,-,-,6.73
139,Darko Lazovic,31, M(CLR),,,32(2),2783,1.1,0.6,0.4,0.1,1.1,0.5,0.1,-,6.72
140,Filip Djuricic,30, AM(CLR),FW,,9(3),678,1.1,0.3,0.8,-,-,0.7,0.1,-,6.72
141,Mërgim Vojvoda,27, D(CR),M(LR),,22(7),1978,1.3,0.7,0.7,0.1,1.4,0.6,0.3,-,6.72
142,Remo Freuler,30, DMC,,,28(1),2380,2.4,1.2,1.5,-,0.8,1.4,0.3,1,6.71
143,Johan Vásquez,23, D(CL),,,27(1),2282,2.8,1.5,1.1,0.3,2.9,1,0.4,-,6.71
144,Piotr Zielinski,28, M(CL),,,26(9),2099,0.5,0.2,0.5,-,0.1,0.4,0.1,-,6.71
145,Fernando Forestieri,32, AM(CL),FW,,0(4),53,-,-,0.8,-,0.3,0.3,-,-,6.71
146,Andrea Belotti,28, FW,,,16(6),1378,0.3,0.1,1.2,-,0.4,0.4,0.2,-,6.71
147,Manolo Gabbiadini,30, AM(CLR),FW,,15(3),1147,0.3,0.2,0.7,-,0.5,0.3,0.1,-,6.71
148,Sebastiano Luperto,25, D(C),,,22(2),1957,1.2,1.9,1.3,0.4,5.4,0.4,1.1,-,6.71
149,Boris Radunovic,26, GK,,,4,271,-,-,-,-,0.3,-,-,-,6.7
150,Leonardo Bonucci,35, D(C),,,22(2),2004,0.6,1.1,0.7,0.2,3.4,0.2,0.7,-,6.7
151,Daniele Verde,25, AM(CLR),,,21(12),1959,0.3,0.5,0.1,-,0.2,0.3,0.1,-,6.7
152,Joaquín Correa,27, AM(CL),FW,,12(14),1024,0.4,0.1,0.6,-,0.1,0.5,-,-,6.7
153,Federico Fazio,35, D(C),,,16,1435,1.1,1.7,1,0.3,4.2,0.2,1,-,6.7
154,Aaron Hickey,19, D(L),M(L),,34(2),2835,1.3,0.8,1.1,0.2,1,0.3,0.4,-,6.69
155,Mikkel Damsgaard,21, AM(CL),,,6(5),576,2.5,0.6,0.9,-,0.6,1.5,0.1,-,6.69
156,Walace,27, DMC,,,33(3),2972,2.3,1.5,1.3,-,0.9,1.8,0.1,-,6.69
157,Jovane Cabral,23, AM(CLR),FW,,2(1),192,0.7,0.3,1.7,-,0.3,-,0.3,-,6.69
158,Danilo D'Ambrosio,33, D(CLR),M(LR),,9(11),990,1.5,0.4,0.7,0.1,0.9,0.6,0.5,-,6.69
159,Tommaso Pobega,22, AM(C),,,24(9),2240,1.5,0.8,2.3,-,1.1,0.6,0.1,-,6.69
160,Nedim Bajrami,23, AM(C),,,23(12),2063,0.6,0.1,0.5,-,0.2,0.3,-,-,6.68
161,Alexis Saelemaekers,22, M(R),,,22(14),1869,1.2,0.4,0.8,0.1,0.2,1,-,-,6.68
162,Ales Mateju,26, D(CLR),,,9,731,1.8,1,1.4,0.1,1.3,1.8,0.7,-,6.68
163,Mattia Aramu,27, AM(CR),,,25(7),2112,0.6,0.3,0.9,-,0.6,0.8,0.1,-,6.68
164,Mattia Viti,20, D(C),,,16(4),1489,1.4,1.5,0.8,0.6,3.3,0.5,1.3,1,6.68
165,Nahuel Molina,24, D(R),M(R),,31(4),2650,1.2,0.6,0.9,0.1,1,0.9,0.1,-,6.68
166,Mohamed Fares,26, D(L),M(L),,6(3),586,0.4,0.9,1.1,0.1,1,0.4,0.3,-,6.68
167,Andrea Ranocchia,34, D(C),,,3(3),338,1.3,0.7,0.7,0.2,2.7,0.3,0.5,-,6.68
168,Simone gnoli,32, D(C),,,17(2),1498,1.5,0.5,0.9,0.3,4.5,0.3,1.5,1,6.68
169,Francesco Caputo,34, FW,,,31(5),2799,0.1,0.1,0.6,-,0.3,0.1,-,-,6.68
170,Ola Aina,25, D(CLR),M(LR),,17(4),1442,1.3,1.3,0.9,0.1,1.2,0.4,0.1,-,6.68
171,Bartosz Bereszynski,29, D(CR),M(R),,35,2956,1.8,1.2,1,0.3,1.5,1.2,0.3,-,6.67
172,Nicolò Zaniolo,22, AM(CR),FW,,23(5),1985,0.9,0.3,1.9,-,0.2,0.8,-,-,6.67
173,Lucas Torreira,26, DMC,,,26(5),2201,1.2,0.8,1.2,-,0.5,0.7,-,-,6.67
174,Davide Biraschi,27, D(CR),M(R),,11(3),935,2.2,1.1,0.9,0.4,1.9,0.5,0.6,-,6.67
175,Riccardo Orsolini,25, M(CR),FW,,21(8),1794,0.7,0.2,0.7,-,0.4,0.6,0.1,-,6.67
176,Pasquale Mazzocchi,26, D(R),M(R),,15,1277,1.9,0.7,1.2,0.3,1.9,1.3,-,-,6.67
177,Luigi Sepe,31, GK,,,16,1394,-,0.1,-,-,0.4,-,-,-,6.67
178,Jakub Kiwior,22, DMC,,,21(1),1963,2.3,1.8,1.2,-,2.2,1.4,0.7,-,6.66
179,Emil Audero,25, GK,,,29,2562,0.1,0.1,-,-,0.9,0.1,-,-,6.66
180,Morten Thorsby,26, M(CLR),,,35,2952,1.3,0.7,2.3,-,1.1,0.8,0.3,-,6.66
181,Omar Colley,29, D(C),,,31(1),2749,1.5,2.5,0.8,0.4,4.2,0.3,0.6,-,6.66
182,Nicola Zalewski,20, M(L),,,9(7),799,2,1,0.6,-,0.1,0.9,0.1,-,6.66
183,Luiz Felipe,25, D(C),,,28(3),2494,1.3,1.1,0.9,0.5,3.2,0.5,1.1,-,6.66
184,Mattias Svanberg,23, M(CL),,,31(5),2576,1.1,0.8,1,-,0.8,1.1,0.3,-,6.66
185,Koray Günter,27, D(C),,,29(1),2416,1.1,2.3,1.4,0.2,3.5,0.5,0.7,1,6.66
186,Mattia Caldara,28, D(C),,,30(1),2703,1.5,2,0.9,0.4,4.6,0.5,1.2,-,6.66
187,Rodrigo Bentancur,24, M(C),,,13(6),1157,1.7,1.4,1.3,-,0.7,0.7,0.1,-,6.65
188,Antonio Sanabria,26, FW,,,22(7),1814,0.1,0.1,0.9,-,0.3,0.1,0.1,-,6.65
189,Rodrigo Becão,26, D(C),,,35,3132,2.3,1.2,1.6,0.3,2.5,0.7,0.6,-,6.65
190,Ivan Ilic,21, M(C),,,30(2),2537,1.2,0.7,1.4,-,1.7,1.1,0.4,1,6.65
191,Mamadou Coulibaly,23, M(C),,,9(3),810,1.3,0.9,1.3,-,0.5,1.1,-,-,6.64
192,Francesco Caputo,34, FW,,,2,158,-,-,-,-,-,-,-,-,6.64
193,Nahitan Nández,26, M(CLR),,,16(5),1521,1.9,0.4,1.3,-,0.7,0.7,-,-,6.63
194,Alessandro Florenzi,31, D(R),M(CLR),,12(12),1152,1.2,1.1,0.4,0.1,0.3,0.8,0.1,-,6.63
195,Stefano Sensi,26, AM(C),,,10(1),761,1.6,0.5,1.6,-,0.4,1.2,-,-,6.63
196,Bram Nuytinck,32, D(C),,,23(4),2037,1.4,0.8,0.6,0.4,3.5,0.7,1.1,-,6.63
197,Silvan Hefti,24, D(R),,,14(2),1290,3.1,1.3,0.8,0.5,1.8,1.6,0.3,-,6.63
198,Davide Zappacosta,29, D(R),M(LR),,29(5),2360,0.9,0.4,0.9,0.1,0.5,0.5,0.1,-,6.63
199,Brahim Díaz,22, AM(CLR),,,25(6),1872,0.7,0.3,0.7,-,0.1,0.5,-,-,6.62
200,Alexis Sánchez,33, M(CLR),FW,,7(20),863,0.3,0.1,0.4,-,0.1,0.3,-,-,6.62
201,Igor Julio,24, D(C),M(L),,23(7),2240,1.8,1,0.9,0.8,1.4,0.3,0.6,-,6.62
202,Alex Ferrari,27, D(CR),,,20(3),1653,1.7,1.7,1.3,0.3,2.7,0.6,1,-,6.62
203,Matteo Pessina,25, AM(C),,,18(9),1444,1,0.5,0.6,-,0.2,0.7,0.1,-,6.62
204,Koffi Djidji,29, D(CL),,,21(4),1738,1.9,1.4,1,0.4,2.3,0.2,0.4,-,6.61
205,Jérémie Boga,25, AM(CLR),FW,,8(4),672,0.6,0.2,0.1,-,-,0.1,-,-,6.61
206,Andrea Consigli,35, GK,,,37,3322,-,-,0.1,-,0.8,0.1,-,-,6.61
207,Rolando Mandragora,24, DMC,,,16(5),1319,1,0.5,1.2,-,0.6,0.4,0.2,-,6.61
208,Arthur Theate,22, D(C),,,28(3),2428,1.1,1.4,0.8,0.5,2,0.5,0.5,-,6.61
209,Roberto Soriano,31, AM(CLR),,,32(3),2639,1.6,0.6,1.4,-,0.9,1.1,0.1,-,6.61
210,Mattia De Sciglio,29, D(CLR),M(LR),,13(7),1168,1.2,0.5,0.8,-,1.3,0.7,-,-,6.61
211,Pawel Dawidowicz,27, D(C),,,13(4),1196,1.8,1.2,1.5,0.4,3,0.5,0.6,-,6.6
212,Pietro Terracciano,32, GK,,,31(1),2860,-,0.1,-,-,1.3,0.1,-,-,6.6
213,Berat Djimsiti,29, D(C),,,25(6),2257,1.4,1,0.7,0.3,1.7,0.5,0.4,1,6.6
214,Rui Patrício,34, GK,,,38,3420,-,-,-,-,0.3,-,-,-,6.6
215,Rick Karsdorp,27, D(R),M(R),,32(4),2890,1.5,0.9,0.8,0.2,0.6,0.6,0.1,-,6.59
216,Luca Pellegrini,23, D(L),M(L),,15(3),1117,1.3,0.3,1.3,-,0.9,0.4,0.1,-,6.59
217,Aleksey Miranchuk,26, M(CR),FW,,7(12),769,0.6,0.1,0.7,-,0.3,0.4,-,-,6.59
218,Gianluca Mancini,26, D(C),DMC,,33,2884,1.2,1.2,1.8,0.8,2,0.5,0.6,-,6.59
219,Salvatore Sirigu,35, GK,,,37,3330,-,-,-,-,0.6,-,-,1,6.59
220,Simon Kjaer,33, D(C),,,10(1),806,1.8,0.8,1.8,0.3,3.3,0.5,1.2,1,6.59
221,Nicolò Casale,24, D(C),,,30(6),2596,1.3,1.4,1.2,0.1,2.4,0.4,0.3,-,6.58
222,Daniele Padelli,36, GK,,,3,270,-,-,-,-,1,-,-,-,6.58
223,Marco Sportiello,30, GK,,,6,451,-,-,-,-,0.8,-,-,-,6.58
224,Kevin Agudelo,23, AM(CR),FW,,12(11),1236,1.9,0.3,1.6,-,0.2,0.6,-,-,6.58
225,Adam Marusic,29, D(CLR),M(LR),,30(3),2720,0.9,1.2,0.8,0.2,1.8,0.6,0.2,-,6.58
226,Ricardo Rodríguez,29, D(CL),M(L),,28(6),2472,1.1,1.2,0.8,0.4,1.4,0.4,0.2,-,6.58
227,Alessandro Buongiorno,23, D(C),,,12(11),1184,0.9,1.3,1.2,0.1,1.9,0.2,0.3,-,6.58
228,Juan Musso,28, GK,,,33,2932,-,-,0.1,-,0.7,-,-,-,6.58
229,Matteo Darmian,32, D(CLR),M(LR),,18(7),1509,1.3,0.8,0.9,0.1,0.9,1,-,-,6.58
230,Raoul Bellanova,22, M(R),,,27(4),2498,0.9,0.7,0.3,0.2,1.3,0.7,0.3,-,6.58
231,Alex Sandro,31, D(CL),M(L),,17(11),1776,1,1,1.1,0.2,1.3,0.5,0.2,1,6.57
232,Danilo Cataldi,27, M(C),,,19(13),1713,1.1,0.5,0.6,-,0.5,0.8,0.4,-,6.57
233,Federico Bernardeschi,28, M(CLR),FW,,16(12),1480,0.6,0.2,0.6,-,0.5,0.3,0.1,-,6.57
234,Erick Pulgar,28, DMC,,,4(2),341,1,0.8,0.8,-,0.3,0.8,0.2,-,6.57
235,Jérémie Boga,25, AM(CLR),FW,,7(8),765,0.5,0.1,0.1,-,0.1,0.1,-,-,6.57
236,Dennis Praet,28, AM(CR),,,17(6),1544,0.8,0.1,0.9,-,0.2,0.6,-,-,6.57
237,Thomas Henry,27, FW,,,23(10),2122,0.3,0.1,1.5,-,0.8,0.2,0.2,2,6.57
238,Samuele Ricci,20, M(C),,,17(4),1533,1.6,1.5,0.8,-,0.8,0.7,0.2,-,6.57
239,Alessio Cragno,27, GK,,,35,3150,0.1,-,-,-,0.7,-,-,-,6.57
