,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
17,Bruno Guimarães,24, DMC,,,19(1),1642,2.5,1.1,1.6,0.1,0.4,1.8,0.2,-,7.21
18,Moussa Dembele,25, FW,,,25(5),2209,0.6,0.3,1,-,1,0.3,-,-,7.21
19,Romain Faivre,23, AM(CLR),,,20(1),1801,1.4,0.6,0.7,-,0.5,0.9,-,-,7.2
20,Ángel Di María,34, M(CLR),FW,,19(7),1654,1.1,0.2,0.3,-,0.1,0.9,-,-,7.17
21,Karl Toko-Ekambi,29, AM(LR),FW,,26(4),2305,0.4,0.7,0.5,-,0.2,0.6,-,-,7.15
22,Gaëtan Laborde,28, AM(CLR),FW,,32(2),2741,0.6,0.2,0.9,-,0.5,0.6,0.1,-,7.14
23,Andrei Girotto,30, D(C),DMC,,36,3150,2.4,1.9,1.4,0.4,3.9,1.4,0.9,-,7.13
24,Franck Honorat,25, M(LR),,,34,2911,1.6,0.4,0.7,-,0.6,0.6,0.1,-,7.13
25,Andy Delort,30, AM(R),FW,,26(6),2449,0.5,0.3,1.2,-,0.4,0.2,0.1,-,7.09
26,Marcin Bulka,22, Goalkeeper,,,1,90,-,-,-,-,-,-,-,-,7.08
27,Youcef Atal,26, D(R),M(R),,13(4),1144,1.7,1.9,1,0.1,1.2,0.6,0.1,-,7.08
28,Lovro Majer,24, AM(CR),,,21(8),1841,1.1,0.4,1.2,-,0.3,1.1,0.1,-,7.06
29,Ludovic Ajorque,28, FW,,,31(5),2743,1,0.2,1.1,-,0.9,0.9,0.1,1,7.05
30,Wissam Ben Yedder,31, AM(C),FW,,29(8),2541,0.5,-,0.5,-,-,0.2,-,-,7.04
31,Boubakar Kouyaté,25, D(C),,,30,2666,2.8,2.6,1.2,0.5,7,1,1.1,-,7.04
32,Frédéric Guilbert,27, D(CLR),M(R),,28(5),2521,2.1,1.7,0.8,0.2,1.1,0.9,0.3,-,7.04
33,Romain Faivre,23, AM(CLR),,,9(5),889,0.7,0.2,1,0.1,0.1,0.6,-,-,7.03
34,Marcelo,35, D(C),,,2,180,2,2,2,0.5,5,1,1,1,7.02
35,Amine Gouiri,22, AM(L),FW,,32(6),2765,0.6,0.3,0.8,-,0.4,0.6,0.1,-,7.01
36,Moses Simon,26, M(CLR),FW,,29(1),2352,0.6,0.4,0.5,-,0.1,0.4,0.1,-,7.01
37,Randal Kolo Muani,23, AM(R),FW,,34(2),2958,0.8,0.2,1.6,-,0.8,0.4,0.1,-,7.01
38,Hamari Traoré,30, D(R),M(R),,33,2898,1.9,1.1,1.4,0.2,2,0.5,0.2,1,7
39,Kamaldeen Sulemana,20, AM(L),,,11(9),1018,1.2,0.2,1,0.1,0.2,0.4,0.1,-,7
40,Lenny Lacroix,19, Defender,,,2(1),201,3,3.3,0.3,1,1.7,1,0.3,-,7
41,Benjamin André,31, D(R),M(CLR),,33,2764,3.7,1.5,2,0.1,1.5,1.9,0.3,-,6.99
42,Jimmy Cabot,28, M(LR),,,24,2012,3.4,1.3,1.4,0.4,1,1.5,-,-,6.99
43,Florian Sotoca,31, AM(C),FW,,28(7),2487,0.9,0.7,1.1,-,1.2,1.1,0.1,-,6.99
44,Florian Tardieu,30, M(C),,,29(1),2631,1.9,1.4,0.6,0.1,1.2,1.3,0.3,-,6.98
45,Marshall Munetsi,25, D(C),DMC,,20(4),1886,1.4,1.8,1.6,-,2.9,0.9,0.5,-,6.95
46,Adrien Thomasson,28, M(CLR),,,27(4),2397,2.1,0.9,1.1,-,0.5,2,0.1,-,6.94
47,Seko Fofana,27, M(C),,,38,3364,0.7,0.7,0.7,-,0.4,1.2,0.1,-,6.94
48,Abdoulaye Bakayoko,19, Defender,,,4,309,3.8,2.8,1.8,1.8,4,1,1,-,6.94
49,Simon Banza,25, FW,,,1(3),123,0.5,0.3,0.8,-,0.5,0.5,-,-,6.94
50,Ludovic Blas,24, M(CLR),FW,,35,2978,0.9,0.9,1.3,-,0.1,0.8,0.1,-,6.94
51,Cheick Oumar Doucouré,22, DMC,,,33(1),2948,2.2,2,1.2,-,0.7,1.3,0.2,-,6.94
52,Abdou Diallo,26, D(CL),,,10(2),877,1.8,0.8,1,0.3,1.1,0.5,0.2,-,6.93
53,Houssem Aouar,23, M(CL),,,29(7),2508,1.3,0.6,0.8,-,0.1,0.8,-,-,6.93
