,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
84,Jamie Bynoe-Gittens,17, Midfielder,,,1(3),133,0.8,0.3,0.5,-,0.3,0.8,0.3,-,6.83
85,Jonathan Burkardt,21, AM(CR),FW,,32(2),2632,0.5,0.2,0.7,-,0.5,0.6,0.1,-,6.82
86,Josip Brekalo,23, AM(CLR),FW,,0(1),20,-,-,-,-,-,-,-,-,6.82
87,Dominik Szoboszlai,21, AM(CL),,,15(16),1538,0.5,0.3,0.5,-,0.5,0.6,0.1,-,6.82
88,Tony Jantschke,32, D(CR),DMC,,3,227,2,1.7,-,0.3,2.7,1,0.7,-,6.82
89,Amadou Haïdara,24, M(CLR),,,15(5),1327,1.5,0.8,1,0.1,0.3,1,0.3,-,6.82
90,Raphaël Guerreiro,28, D(L),M(CL),,21(2),1803,1.5,1.1,0.5,0.3,0.6,0.7,0.1,-,6.82
91,Ridle Baku,24, D(R),M(CR),,28(6),2450,1.8,0.6,0.8,0.1,1.3,1.2,-,-,6.81
92,Niklas Süle,26, D(CR),,,19(9),1835,1,1,0.4,0.6,1.7,0.2,0.4,-,6.81
93,Daniel Caligiuri,34, D(R),M(CLR),FW,24(4),2014,1.6,0.6,1.1,0.1,1.1,1.6,0.2,-,6.81
94,Manuel Riemann,33, GK,,,30,2700,-,-,-,-,0.7,0.1,-,-,6.81
95,Lukas Kübler,29, D(R),M(R),,27(2),2338,2.1,1.5,0.8,-,2.3,0.7,0.3,-,6.8
96,Sheraldo Becker,27, AM(CLR),FW,,22(6),1770,0.3,0.1,0.9,-,0.1,0.4,-,-,6.8
97,Lukás Hrádecky,32, GK,,,32,2880,-,-,-,-,0.7,-,-,-,6.8
98,Denis Zakaria,25, D(C),DMC,,15(1),1395,1.4,1.2,1.2,0.3,1.3,1.4,0.3,-,6.8
99,Silvan Widmer,29, D(R),M(R),,33,2925,1.8,1.3,1.1,0.1,1.6,0.8,0.5,-,6.79
100,Amos Pieper,24, D(C),,,27,2382,2.1,1.9,0.4,0.7,4.9,0.7,0.9,-,6.79
101,Rafael Borré Eintracht,26, FW,,,28(3),2391,1,0.2,1.3,-,0.3,0.8,0.1,-,6.79
102,Salih Özcan,24, M(C),,,26(5),2310,1.4,1.6,1.2,-,1.1,0.9,0.2,-,6.79
103,Michael Gregoritsch,28, AM(CR),FW,,15(10),1394,0.8,0.2,0.7,-,1.2,0.5,0.1,-,6.78
104,Marvin Schwäbe,27, GK,,,21,1890,-,-,-,-,0.8,-,-,-,6.78
105,Robert Andrich,27, M(C),,,21(5),1821,1.3,1.2,1.5,-,1.7,0.5,0.3,-,6.78
106,Karim Bellarabi,32, M(CLR),FW,,9(7),687,0.6,0.6,1.3,-,0.3,0.6,-,-,6.78
107,Christian Günter,29, D(L),M(L),,34,3060,1,0.5,1.1,0.1,1.4,0.9,0.2,-,6.78
108,Florian Neuhaus,25, M(C),,,23(5),2038,2,1.1,0.6,-,0.6,1.3,0.2,-,6.78
109,Guilherme Ramos,24, D(C),,,9(4),903,1.9,2.1,1.2,0.6,3.8,0.5,0.6,-,6.77
