,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
235,Édouard Mendy,30, GK,,,34,3060,-,-,-,-,0.7,0.1,-,-,6.65
236,Ben Johnson,22, D(LR),M(L),,16(4),1401,1.7,1.1,0.5,0.1,2.5,0.4,0.4,-,6.65
237,Martin Dúbravka,33, GK,,,26,2340,-,-,-,-,0.5,-,-,-,6.65
238,Pablo Marí,28, D(C),,,2,180,2.5,1.5,0.5,0.5,5,1.5,2,-,6.65
239,Aaron Ramsdale,24, GK,,,34,3060,0.1,-,-,-,1.1,-,-,-,6.65
240,Manuel Lanzini,29, M(CLR),,,19(11),1789,0.9,0.6,0.4,-,0.3,0.8,-,-,6.65
241,Harry Maguire,29, D(C),,,28(2),2514,1.1,1.1,0.7,0.4,3.3,0.4,1,1,6.65
242,Danny Ings,29, AM(C),FW,,22(8),1906,0.8,0.2,0.5,-,0.7,0.8,0.1,-,6.65
243,Jean-Philippe Mateta,24, FW,,,13(9),1152,0.4,0.2,0.7,-,0.6,0.7,0.1,-,6.64
244,David de Gea,31, GK,,,38,3420,-,-,-,-,0.6,-,-,-,6.64
245,Ademola Lookman,24, AM(CLR),FW,,16(10),1459,1.2,0.4,1,-,0.1,0.7,-,-,6.64
246,Conor Coady,29, D(CR),DMC,,38,3364,0.8,0.7,0.5,0.9,3.7,0.3,1.1,-,6.64
247,Luke Shaw,26, D(CL),M(L),,19(1),1603,1.1,0.5,1.6,0.2,0.9,0.5,0.6,-,6.64
248,Robert Sánchez,24, GK,,,37,3330,0.1,-,-,-,0.6,-,-,-,6.63
249,Nemanja Matic,33, DMC,,,16(7),1384,1.3,1.3,1.1,0.1,0.8,0.7,0.3,-,6.63
250,Emiliano Martínez,29, GK,,,36,3240,-,-,-,-,0.3,0.1,-,-,6.63
251,Juraj Kucka,35, M(CLR),,,22(4),1924,2.3,1,1.8,-,1.7,1.8,0.3,1,6.63
252,Alex McCarthy,32, GK,,,17,1530,-,-,-,-,0.7,-,-,-,6.63
253,Wout Weghorst,29, FW,,,17(3),1457,0.9,0.3,1.5,-,0.7,0.7,0.3,-,6.62
254,Adam Masina,28, D(L),M(L),,13(2),1077,1.6,1.2,0.9,0.2,2.7,1.1,0.4,-,6.62
255,Mohamed Elyounoussi,27, AM(CLR),FW,,23(7),2046,1.2,0.4,0.9,-,0.9,0.9,0.1,-,6.62
256,Yerry Mina,27, D(C),,,11(2),847,0.9,0.8,0.4,0.2,2.8,0.2,0.7,-,6.61
257,Fabian Delph,32, D(L),M(CL),,8(3),666,1.6,1.3,0.7,-,0.9,1.2,0.5,-,6.61
258,Séamus Coleman,33, D(CR),M(R),,30,2658,2,1.1,0.5,0.2,2.5,0.6,0.4,1,6.61
259,Dimitris Giannoulis,26, D(L),M(L),,14(4),1169,2,1.1,0.9,0.2,1.8,0.7,0.3,-,6.61
260,Illan Meslier,22, GK,,,38,3385,-,-,-,-,1.2,-,-,-,6.61
261,Connor Roberts,26, D(LR),M(R),,19(2),1693,1,1,0.3,0.2,2.5,0.2,0.2,-,6.61
262,Jordan Pickford,28, GK,,,35,3150,-,-,-,-,1,-,-,-,6.6
263,Eddie Nketiah,23, FW,,,8(13),825,0.4,0.2,0.8,-,0.2,0.1,0.1,-,6.6
264,James Milner,36, D(LR),M(CLR),,9(15),851,1.2,0.7,0.7,-,0.8,0.7,0.2,-,6.6
265,Divock Origi,27, AM(LR),FW,,0(7),127,-,0.1,0.3,-,0.3,0.3,-,-,6.6
266,Benjamin Mendy,27, D(L),DMC,M(L),1,79,2,-,2,-,-,4,-,-,6.6
267,Nathan Redmond,28, AM(CLR),FW,,20(7),1834,0.8,0.3,0.6,-,0.5,0.9,0.1,-,6.6
268,Hamza Choudhury,24, DMC,,,4(2),287,1.5,2,0.7,-,1.7,0.3,-,-,6.6
269,Armando Broja,20, FW,,,21(11),1981,0.4,0.1,0.9,-,0.3,0.2,-,-,6.59
270,Joseph Willock,22, M(C),,,24(5),2047,2.2,0.7,1.2,-,0.3,1.3,0.2,-,6.59
271,Solly March,27, M(CLR),,,17(14),1739,1,0.5,1,-,0.7,0.5,0.1,-,6.59
272,Emil Krafth,27, D(CR),,,18(2),1638,1.9,1.3,1.1,0.4,2.5,0.5,0.5,-,6.59
273,Matthew Lowton,32, D(LR),M(R),,20(5),1772,1.5,1,0.5,0.1,2.5,0.7,0.4,-,6.59
274,Diego Llorente,28, D(C),DMC,,28,2344,1.9,1.4,0.8,0.3,2.7,0.5,0.6,-,6.58
275,Callum Wilson,30, FW,,,16(2),1395,0.5,0.2,1.5,-,0.6,0.2,0.1,-,6.58
276,Ismaïla Sarr,24, AM(LR),FW,,21(1),1865,0.5,0.4,0.8,-,0.4,0.6,-,-,6.58
277,Alexander Iwobi,26, M(CLR),,,22(6),2037,1.4,0.7,0.6,-,0.9,1.1,0.1,-,6.58
278,Trincão,22, AM(CR),,,16(12),1340,1,0.4,0.5,-,-,0.6,-,-,6.58
279,Kortney Hause,26, D(CL),,,4(3),397,0.4,0.9,0.9,0.3,1.7,0.1,0.7,-,6.58
280,Willy Boly,31, D(C),,,10,900,2.5,1.4,0.7,0.9,3.5,0.7,0.6,-,6.58
281,Francisco Sierralta,25, D(C),,,5,428,1.4,1.2,0.8,0.6,6.8,0.6,0.4,1,6.57
282,Rodrigo,31, M(CLR),FW,,27(4),2275,0.6,0.4,0.7,-,0.8,0.9,-,-,6.57
283,Oliver Skipp,21, DMC,,,14(4),1349,1.8,0.7,0.9,-,0.4,0.9,0.4,-,6.57
284,Jonjo Shelvey,30, M(C),,,22(2),1986,1.3,0.9,0.8,-,0.8,0.8,0.3,-,6.57
285,Vladimír Coufal,29, D(R),M(R),,25(3),2211,1.6,0.8,1,-,2,0.6,0.3,1,6.57
286,Harvey Elliott,19, AM(CR),,,4(2),346,0.5,0.7,0.3,-,0.3,1,0.2,-,6.57
287,Kalvin Phillips,26, D(C),DMC,,18(2),1596,2.7,1.2,1.7,0.2,0.9,1.7,0.5,-,6.56
288,Angus Gunn,26, GK,,,9,810,-,-,-,-,1.4,-,-,-,6.56
289,Alex Oxlade Chamberlain,28, M(CLR),,,9(8),787,0.9,0.4,0.6,-,0.3,0.6,0.1,-,6.56
290,Joe Gomez,25, D(CLR),,,4(4),331,1.3,0.6,0.6,0.3,0.8,0.5,0.1,-,6.56
291,Alphonse Areola,29, GK,,,1,90,-,-,-,-,1,-,-,-,6.56
292,Anthony Elanga,20, AM(LR),,,14(7),1217,1.2,0.4,0.4,-,0.2,0.7,-,-,6.56
293,Mathias Normann,26, M(C),,,20(3),1653,1.5,0.8,1.6,-,1.7,1.3,0.3,-,6.56
294,Nathaniel Clyne,31, D(LR),M(R),,15(1),1351,1.3,0.9,0.2,0.3,1.9,0.6,0.1,-,6.55
295,Chiquinho,22, AM(R),,,1(7),204,1.1,0.3,1.1,-,0.1,0.1,-,-,6.55
296,Charlie Goode,26, D(C),,,4(2),448,1.2,0.3,0.8,0.5,1.3,-,0.3,-,6.55
297,Marc Albrighton,32, D(R),M(LR),,11(6),1128,1.8,0.8,0.4,-,0.8,2.2,0.2,-,6.54
298,Yan Valery,23, D(CR),M(R),,3(2),369,1.6,1.2,0.6,0.4,3.2,1,0.6,-,6.54
299,Imrân Louza,23, M(CLR),,,17(3),1423,2.1,2.1,1.2,-,1,1.1,0.3,-,6.54
300,Brandon Williams,21, D(L),M(L),,23(3),2123,2.1,1.7,0.9,0.2,1.7,1.1,0.2,-,6.54
301,Rico Henry,24, D(L),M(L),,33(1),2784,0.8,0.8,0.6,0.1,1.6,0.6,0.3,-,6.54
302,Tariq Lamptey,21, D(R),M(R),,16(14),1558,1.2,0.7,0.9,-,0.7,0.3,0.1,-,6.54
303,Dele Alli,26, M(CL),FW,,8(2),658,1.4,0.6,1.2,-,1.4,1.2,0.5,-,6.53
304,Timo Werner,26, AM(CLR),FW,,15(6),1286,0.4,0.1,0.5,-,0.2,0.9,-,-,6.53
305,Mason Holgate,25, D(CR),DMC,M(R),23(2),2134,1.4,1,1,0.2,3.7,0.6,0.7,1,6.53
306,Eberechi Eze,23, AM(CLR),,,6(7),603,0.8,0.4,0.4,-,0.1,0.4,0.1,-,6.53
307,Samir,27, D(CL),,,19,1676,1.3,2.3,0.9,0.4,4.3,0.6,0.6,-,6.53
308,Hwang Hee-Chan,26, AM(CLR),FW,,20(10),1822,0.9,0.4,1,-,0.2,1,-,-,6.53
309,Daniel James,24, AM(LR),FW,,2,128,1,-,0.5,-,0.5,-,-,-,6.53
310,Will Hughes,27, M(CLR),,,13(3),1058,1.8,0.5,1.1,-,0.6,0.6,0.4,-,6.53
311,Andrew Omobamidele,19, D(C),,,4(1),381,1.6,1,0.6,0.4,2.6,1.2,1.6,-,6.53
312,Cédric Soares,30, D(LR),M(R),,16(5),1487,1.8,0.8,0.7,-,1.4,0.4,0.3,-,6.53
313,Yoane Wissa,25, AM(L),FW,,12(18),1275,0.4,0.3,0.3,-,0.2,0.5,0.2,-,6.52
314,Kelechi Iheanacho,25, AM(C),FW,,13(13),1263,0.4,0.2,0.7,-,0.4,0.4,-,-,6.52
315,Japhet Tanganga,23, D(CR),,,10(1),740,1.3,0.8,1.7,-,2.7,0.9,0.5,-,6.52
316,Paul Dummett,30, D(CL),,,2(1),194,2.3,1,1,0.3,1.7,1,-,-,6.52
317,Cucho Hernández,23, AM(LR),FW,,11(14),1143,0.5,0.2,0.5,-,0.4,0.9,-,1,6.51
318,Stuart Armstrong,30, AM(CLR),,,15(10),1470,1.1,0.3,0.4,-,0.5,0.6,-,-,6.51
319,Ben Godfrey,24, D(CLR),,,23,2031,2,0.7,0.7,0.3,4,0.7,0.8,-,6.51
320,Albert Sambi Lokonga,22, DMC,,,12(7),1133,1.2,0.7,0.6,0.1,0.6,0.1,0.4,-,6.51
321,Adam Lallana,34, M(CLR),,,18(6),1561,1.4,0.7,0.5,-,0.5,1.2,0.3,-,6.5
322,Jamaal Lascelles,28, D(C),,,22(4),2055,0.6,0.8,0.7,0.6,4.7,0.3,1.1,2,6.5
323,Allan,31, DMC,,,25(3),2188,2.6,0.8,1.1,-,1.3,2.5,0.3,-,6.5
324,Jack Stephens,28, D(CR),,,9(2),811,1.7,1.7,0.7,0.4,3.7,0.9,0.6,-,6.5
325,Victor Lindelöf,27, D(CR),,,26(2),2355,0.6,0.9,0.7,0.4,3.4,0.2,0.6,-,6.5
326,Daniel Bachmann,27, GK,,,12,1080,-,0.1,0.1,-,0.7,-,-,-,6.49
327,Junior Firpo,25, D(L),M(L),,19(5),1716,2.5,1,1.6,0.1,1.3,1.2,0.3,1,6.49
328,Liam Delap,19, Forward,,,0(1),9,-,-,1,-,-,-,-,-,6.49
329,Saúl Ñíguez,27, D(CL),M(CLR),,5(5),480,2,0.7,0.9,-,0.9,0.7,0.3,-,6.49
330,Sergi Canós,25, M(LR),,,25(6),2094,1.8,0.7,0.9,0.1,1.1,0.9,0.1,1,6.49
331,Neal Maupay,25, AM(C),FW,,25(7),2276,0.5,0.1,1,-,-,0.4,0.1,-,6.49
332,Luke Ayling,30, D(CR),M(R),,26,2275,2.8,1.1,0.8,0.2,1.9,1.8,1,-,6.48
333,Rob Holding,26, D(CR),,,9(6),840,0.9,0.7,0.6,0.3,2.8,0.1,1.2,-,6.48
334,Pierre Lees-Melou,29, M(CLR),,,27(6),2273,1.8,0.8,1.1,-,0.6,2,0.3,-,6.48
335,Edo Kayembe,24, DMC,,,9(4),801,1.6,0.7,0.3,0.1,1,0.6,0.1,-,6.48
336,Patrick Bamford,28, AM(CLR),FW,,7(2),560,0.1,0.2,0.6,-,0.9,0.3,0.2,-,6.48
337,Javier Manquillo,28, D(LR),M(R),,15(4),1267,2.1,0.5,0.5,0.3,1.4,0.8,0.3,-,6.48
338,Nicolas Nkoulou,32, D(C),,,2(1),168,0.3,0.7,0.3,0.3,2.7,-,0.3,-,6.47
339,Teemu Pukki,32, AM(C),FW,,37,3261,0.6,0.1,0.8,-,0.1,0.6,-,-,6.47
340,Zanka,32, D(C),,,6(2),517,1.3,1.3,1.3,-,1.6,0.4,0.1,-,6.47
341,Donny van de Beek,25, M(C),,,5(2),484,2.1,0.9,1,-,0.6,1,0.3,-,6.47
342,Tim Iroegbunam,18, Midfielder,,,1(2),91,1.7,0.7,0.7,-,0.3,-,-,-,6.46
343,Sam Byram,28, D(CLR),M(R),,11(4),1024,1.6,1.5,0.8,0.2,3,0.5,0.7,-,6.46
344,Mohamed Elneny,29, DMC,,,8(6),802,1.1,1,0.4,-,0.8,0.4,0.1,-,6.46
345,Daniel Amartey,27, D(CR),DMC,,23(5),2120,0.9,0.8,0.5,0.5,3.3,0.4,0.8,-,6.46
346,Finley Stevens,19, Defender,,,0(1),14,3,-,-,-,-,-,-,-,6.46
347,Álvaro Fernández,24, GK,,,12,1080,-,-,-,-,0.8,-,-,1,6.46
348,Ryan Fraser,28, M(CLR),FW,,18(9),1471,0.4,0.4,0.4,-,0.3,0.3,-,-,6.46
349,Tanguy Ndombele,25, M(C),,,6(3),486,1.1,0.1,0.3,-,0.1,0.8,-,-,6.46
350,Saman Ghoddos,28, AM(CLR),FW,,4(13),528,1,0.2,0.7,0.1,0.6,0.4,-,-,6.46
351,Issa Diop,25, D(C),,,10(3),962,0.8,0.5,0.4,0.2,3.2,0.5,1,-,6.46
352,Jeremy Ngakia,21, D(R),,,9(7),900,1.9,0.8,0.6,-,1.9,0.9,0.3,-,6.45
353,Patson Daka,23, FW,,,13(10),1163,0.7,0.1,0.7,-,0.3,0.7,-,-,6.45
354,Jamie Shackleton,22, D(R),DMC,,7(7),709,1.9,0.6,0.9,0.1,0.7,0.9,0.5,-,6.45
355,Marvelous Nakamba,28, DMC,,,10(6),905,2,0.8,1,0.1,0.9,1.4,0.3,-,6.45
356,Dan Gosling,32, M(C),,,2(2),165,0.5,-,0.5,-,0.8,1,-,-,6.45
357,Jack Butland,29, GK,,,8(1),765,-,-,-,-,0.9,-,-,-,6.45
358,Jakub Moder,23, M(CL),,,19(9),1702,1.5,0.4,0.7,0.1,0.7,0.7,0.1,-,6.45
359,Kiko Femenía,31, D(LR),M(R),,26(1),2150,1.3,1.4,0.4,0.2,1.9,0.6,0.3,-,6.45
360,Pedro Neto,22, AM(CLR),FW,,5(8),466,0.3,0.5,0.2,-,0.1,0.7,-,-,6.45
361,Jannik Vestergaard,29, D(C),,,6(4),564,1.5,0.7,0.4,0.3,3.5,0.7,0.8,-,6.44
362,Kenny McLean,30, M(C),,,29(2),2707,1.4,1.1,0.5,0.1,1.6,1.4,0.2,-,6.44
363,Miguel Almirón,28, AM(CLR),FW,,19(11),1721,1.6,0.7,0.6,-,0.3,1.1,-,-,6.44
364,Leander Dendoncker,27, D(C),M(C),,21(9),1948,1.4,0.3,0.4,-,1.1,0.9,0.3,-,6.44
365,Danny Rose,31, D(L),M(L),,7(1),689,2,1.8,1.3,0.3,1.1,1.8,0.6,-,6.44
366,Jay Rodriguez,32, AM(CLR),FW,,13(16),1375,0.7,0.1,1.1,0.1,0.4,0.3,-,-,6.44
367,Daniel James,24, AM(LR),FW,,29(3),2368,0.8,0.3,0.9,-,0.3,0.4,-,-,6.44
368,Luka Milivojevic,31, DMC,,,9(6),776,1.2,0.7,1,-,1,0.4,0.1,1,6.44
369,Jóhann Gudmundsson,31, AM(CLR),,,13(5),1105,0.9,0.7,0.9,-,1.1,0.8,0.1,-,6.44
370,Nicolas Pépé,27, AM(LR),FW,,5(15),682,0.4,0.4,0.4,-,0.1,0.3,0.1,-,6.44
371,Isaac Hayden,27, D(C),DMC,,12(2),1003,2,1,1,0.1,1.6,1.2,0.6,-,6.44
372,Wayne Hennessey,35, GK,,,2,180,-,0.5,-,-,0.5,-,-,-,6.44
373,Max Aarons,22, D(R),,,32(2),2882,1.9,0.8,0.8,0.4,2.1,0.5,0.6,1,6.43
374,Ezri Konsa,24, D(CR),,,29,2482,0.9,0.5,0.6,0.2,2.8,0.1,0.8,-,6.43
375,Ashley Young,36, D(LR),M(LR),,10(14),1241,0.8,0.5,0.7,-,1,0.2,0.2,1,6.43
376,Cole Palmer,20, Midfielder,,,1(3),122,0.5,0.3,0.3,-,-,0.5,-,-,6.43
377,Harry Winks,26, DMC,,,9(10),908,0.8,0.8,0.6,-,0.4,0.7,0.2,-,6.43
378,Phil Jones,30, D(CR),DMC,,2(2),163,1.3,0.8,-,0.3,2,0.3,1,-,6.42
379,James Tomkins,33, D(CR),,,6(2),546,1,0.5,0.9,0.5,2.3,0.3,1,-,6.42
380,Boubakary Soumaré,23, DMC,,,12(7),1102,1,0.7,0.8,-,0.9,0.5,0.1,-,6.42
381,Ashley Westwood,32, DMC,,,26(1),2290,0.8,1.1,1.1,-,0.6,0.8,0.3,-,6.42
382,Steven Alzate,23, DMC,M(L),,5(4),407,1.1,1.1,0.7,-,0.9,0.3,0.1,-,6.42
383,Nuno Tavares,22, D(L),,,13(9),1171,1,0.4,1,0.1,1.4,0.5,0.2,-,6.42
384,Tim Krul,34, GK,,,29,2610,-,-,-,-,0.9,0.1,-,1,6.42
385,Mathias Jensen,26, M(C),,,19(12),1602,1.1,0.7,0.6,-,0.4,1.3,0.1,-,6.42
386,Milot Rashica,25, AM(CLR),FW,,25(6),2240,1,0.5,0.7,-,0.7,0.6,0.1,-,6.42
387,Bernd Leno,30, GK,,,4,360,0.3,-,-,-,1.3,-,-,-,6.41
388,Romain Perraud,24, D(L),M(L),,18(2),1625,1.7,0.9,1.6,0.1,1.9,0.7,0.3,-,6.41
389,John Ruddy,35, GK,,,1(1),135,-,-,-,-,1.5,-,-,-,6.4
390,Edinson Cavani,35, AM(LR),FW,,7(8),765,0.3,0.1,0.5,-,0.3,0.4,-,-,6.4
391,Matt Ritchie,32, D(L),M(CLR),,14(4),1335,1.2,0.7,0.7,-,1.3,0.9,0.1,-,6.4
392,Leon Bailey,24, M(LR),FW,,7(11),757,0.9,0.1,0.7,-,0.1,0.4,0.1,-,6.4
393,Sean Longstaff,24, DMC,,,15(9),1461,2.3,0.4,0.6,-,0.8,1.7,0.3,-,6.39
394,Billy Gilmour,20, DMC,,,21(3),1858,1.7,0.7,1.2,-,1.2,1.6,0.2,-,6.39
395,Jacob Murphy,27, D(R),M(LR),,13(20),1455,1.5,0.7,0.5,0.1,0.5,0.5,0.1,-,6.38
396,Adam Armstrong,25, AM(CLR),FW,,17(6),1415,0.4,0.1,0.6,-,0.3,0.3,-,-,6.38
397,Ibrahima Diallo,23, DMC,,,10(13),1019,1,0.4,0.3,-,0.4,0.6,-,-,6.38
398,CJ Egan-Riley,19, Defender,,,0(1),3,1,-,-,-,-,-,-,-,6.38
399,Tariqe Fosu-Henry,26, M(CLR),,,0(1),16,-,-,-,-,-,-,-,-,6.38
400,Jack Cork,32, DMC,,,20,1676,1,0.9,1.6,0.1,1.4,0.7,0.2,-,6.38
401,Takumi Minamino,27, AM(CLR),FW,,1(10),179,0.3,0.1,0.4,-,0.2,0.5,-,-,6.38
402,Mateusz Klich,31, M(C),,,26(7),2095,1.4,0.3,1.2,-,0.5,1.2,0.1,-,6.37
403,Christian Kabasele,31, D(C),,,12(4),1191,0.7,0.9,0.3,0.3,4.1,0.2,1,-,6.37
404,Craig Cathcart,33, D(CR),,,27(4),2396,1,0.9,0.4,0.4,4.2,0.5,1,-,6.37
405,Lyanco,25, D(C),,,9(6),906,1.2,0.9,0.9,0.5,3.2,0.5,0.9,-,6.37
406,Federico Fernández,33, D(C),,,5(2),522,0.4,0.6,0.1,0.6,3.9,0.4,1.4,-,6.37
407,Frank Onyeka,24, DMC,,,12(8),1051,1.3,0.7,1.7,-,0.7,1,0.1,-,6.37
408,Ozan Kabak,22, D(C),,,11,925,0.9,1.5,0.9,0.3,2.3,0.4,1,-,6.36
409,Pascal Struijk,22, D(C),DMC,,22(7),2053,2.1,1.1,0.9,0.2,1.9,0.7,0.8,-,6.36
410,Robin Koch,25, D(C),DMC,,17(3),1575,1.1,1,1.1,0.1,2.2,1.3,0.5,-,6.35
411,Adam Idah,21, FW,,,6(11),620,0.5,0.2,0.4,-,0.4,0.1,0.1,-,6.35
412,Ayoze Pérez,28, AM(CLR),FW,,6(8),444,0.3,0.1,0.4,-,0.3,0.9,0.1,-,6.35
413,Ben Gibson,29, D(CL),,,28,2495,0.8,1,0.4,0.1,4.9,0.2,1.1,-,6.35
414,Marcus Rashford,24, AM(CLR),FW,,13(12),1233,0.2,0.2,0.5,-,0.2,0.4,-,-,6.35
415,Ainsley Maitland-Niles,24, D(LR),M(CLR),,2(6),265,1,0.5,0.5,-,0.4,0.3,-,-,6.35
416,Shane Long,35, AM(R),FW,,3(10),303,0.7,-,0.7,-,0.1,-,-,-,6.34
417,Morgan Sanson,27, M(CLR),,,3(7),352,1.2,1,0.3,-,0.2,0.4,-,-,6.34
418,Jeff Hendrick,30, M(CR),,,0(3),70,0.3,-,0.3,-,0.3,-,-,-,6.34
419,Jacob Sørensen,24, D(L),DMC,,6(4),601,2.2,1,0.7,0.2,1.8,1,0.3,-,6.34
420,Sam Greenwood,20, Forward,,,1(6),232,1.1,0.3,1,-,0.1,0.4,-,-,6.34
421,Luke Cundle,20, Midfielder,,,2(2),180,1,0.3,0.8,-,0.3,-,-,-,6.34
422,Adam Forshaw,30, M(C),,,17(5),1530,2.4,0.9,1.2,0.1,0.5,1.5,-,-,6.33
423,Jamal Lewis,24, D(L),M(L),,4(1),263,1.6,0.6,0.4,-,1.6,0.2,0.4,-,6.33
424,Matej Vydra,30, AM(CL),FW,,5(17),668,0.5,-,0.4,-,0.4,0.2,-,-,6.33
425,Anwar El Ghazi,27, AM(LR),FW,,4(5),383,0.4,0.1,0.9,-,0.2,0.6,-,-,6.33
426,Tyler Roberts,23, AM(C),FW,,7(16),979,0.7,0.2,0.6,-,0.4,0.3,-,-,6.32
427,Shandon Baptiste,24, M(C),,,9(13),905,0.6,0.5,0.3,-,0.5,0.4,-,-,6.32
428,Joshua Sargent,22, AM(CR),FW,,18(8),1579,1,0.4,0.3,-,0.7,1,0.1,-,6.32
429,Nampalys Mendy,29, M(C),,,12(2),1035,0.9,0.8,1.2,-,0.7,0.8,0.3,-,6.32
430,Juan Mata,34, AM(CLR),,,2(5),232,0.9,0.1,0.3,-,0.1,0.3,-,-,6.31
431,Peter Etebo,26, M(CL),FW,,4(5),398,1.2,0.6,0.9,0.1,0.4,0.6,0.1,-,6.31
432,Anthony Martial,26, AM(LR),FW,,2(6),210,-,-,-,-,0.1,0.1,-,-,6.31
433,Tom Cleverley,32, M(CLR),,,20(8),1626,1.3,0.6,1,-,0.6,0.5,0.2,-,6.31
434,Ki-Jana Hoever,20, M(R),,,4(4),307,1.3,0.8,0.6,0.3,0.9,0.6,-,-,6.31
435,Donny van de Beek,25, M(C),,,0(8),69,0.8,0.3,0.3,-,0.1,0.1,0.1,-,6.3
436,Giovani Lo Celso,26, M(CR),FW,,2(7),233,0.9,0.1,0.2,-,-,0.7,0.1,-,6.3
437,Ken Sema,28, M(CLR),,,7(11),846,0.9,0.3,0.8,-,0.6,0.6,-,-,6.29
438,Bertrand Traoré,26, AM(R),FW,,1(8),213,0.3,-,-,-,0.1,0.1,-,-,6.28
439,Joe Gelhardt,20, FW,,,5(15),738,0.2,-,0.9,-,0.2,0.4,-,-,6.28
440,Aaron Lennon,35, M(LR),,,17(11),1548,1.2,0.3,0.7,-,0.3,0.9,0.1,-,6.28
441,Eric Bailly,28, D(CR),,,3(1),218,1.3,0.8,0.5,0.5,2.5,0.3,0.5,1,6.28
442,Jonjoe Kenny,25, D(LR),M(R),,11(4),1017,1.1,1.3,0.6,0.1,1.7,0.5,0.1,-,6.27
443,Ben Foster,39, GK,,,26,2340,-,-,-,-,0.6,0.1,-,-,6.27
444,Mads Bech Sørensen,23, D(CL),,,9(2),834,0.7,0.5,0.7,0.2,2.2,0.1,0.5,-,6.27
445,Mads Roerslev,22, D(R),M(R),,12(9),1235,1.1,0.8,0.9,0.1,1.2,0.9,0.2,-,6.27
446,William Troost-Ekong,28, D(C),,,15(2),1388,1.1,0.4,0.8,0.6,4.8,0.3,0.8,-,6.27
447,Dele Alli,26, M(CL),FW,,1(10),332,0.6,0.5,0.8,-,0.8,0.4,0.2,-,6.26
448,Samuel Kalu,24, M(LR),,,2(2),222,0.5,0.8,-,-,0.5,-,-,-,6.25
449,Nathan Tella,22, AM(LR),FW,,10(4),811,0.9,0.4,1.2,-,0.6,0.9,-,-,6.25
450,Steven Bergwijn,24, AM(CLR),FW,,4(21),551,0.1,-,0.4,-,0.3,0.4,-,-,6.25
451,Willy Caballero,40, GK,,,2,180,-,-,-,-,1.5,-,-,-,6.25
452,Ciaran Clark,32, D(CL),,,12(1),1015,1,1,0.5,0.4,3.2,0.4,0.8,-,6.24
453,Jesse Lingard,29, AM(CLR),FW,,2(14),356,0.6,-,0.3,-,0.1,0.3,-,-,6.24
454,Lukas Rupp,31, M(CR),,,7(12),764,0.5,0.5,0.4,-,0.3,0.6,0.1,-,6.23
455,Todd Cantwell,24, AM(CLR),,,5(3),441,1.9,0.4,0.5,-,0.3,1.4,-,-,6.23
456,Crysencio Summerville,20, AM(R),,,0(6),126,0.8,0.3,0.2,-,-,0.2,-,-,6.23
457,Mark Noble,35, M(C),,,3(8),327,0.7,0.4,0.3,-,0.2,0.5,0.1,-,6.23
458,Kevin Long,31, D(C),,,4(2),408,0.5,0.2,0.7,0.3,3.2,0.2,0.2,-,6.22
459,Kieran Dowell,24, AM(CLR),,,11(8),913,0.9,0.4,1,-,0.2,1.2,0.1,-,6.22
460,Nikola Vlasic,24, AM(CLR),FW,,6(13),555,0.6,0.1,0.4,-,0.1,0.8,-,-,6.22
461,Karl Darlow,31, GK,,,8,720,-,-,0.1,-,1,-,-,-,6.22
462,Tom Davies,23, M(C),,,2(4),233,0.5,0.3,0.7,-,1.3,0.5,0.2,-,6.22
463,Ellis Simms,21, FW,,,1,62,-,-,-,-,1,-,1,-,6.21
464,Carney Chukwuemeka,18, Midfielder,,,2(10),295,0.6,0.2,0.3,-,0.2,0.2,-,-,6.2
465,Dane Scarlett,18, Forward,,,0(1),3,-,-,-,-,-,-,-,-,6.2
466,Przemyslaw Placheta,24, AM(LR),,,6(6),506,0.3,0.2,0.1,-,0.3,0.4,0.1,-,6.2
467,William Smallbone,22, M(R),,,2(2),134,1,0.5,0.5,-,-,0.5,-,-,6.19
468,Ashley Barnes,32, AM(CL),FW,,8(15),803,0.5,0.1,0.9,-,0.2,0.3,-,-,6.19
469,Troy Deeney,33, FW,,,0(2),23,-,-,-,-,1,0.5,-,-,6.19
470,Charlie Cresswell,19, Defender,,,1(4),131,1,0.4,0.6,-,1.2,-,0.2,-,6.19
471,Salomón Rondón,32, FW,,,8(12),783,0.3,-,0.6,-,0.5,0.5,-,-,6.19
472,Moussa Djenepo,23, AM(LR),,,5(7),455,0.8,0.2,0.8,-,0.4,0.7,0.1,-,6.18
473,Axel Tuanzebe,24, D(CR),,,6(3),506,0.6,0.6,0.3,0.4,1.3,0.3,0.4,-,6.18
474,André Gomes,28, M(CLR),,,7(7),619,1.1,0.1,1.7,-,0.5,1.7,0.1,-,6.17
475,Harrison Ashby,20, Defender,,,0(1),6,-,1,-,-,1,-,-,-,6.17
476,Jonathan Rowe,19, Forward,,,0(13),211,0.2,0.2,0.2,-,0.1,0.1,-,-,6.17
477,Dale Stephens,32, M(C),,,1(2),123,1.3,0.3,1.7,-,0.3,1.7,0.3,-,6.17
478,Ryan Fredericks,29, D(R),M(R),,3(4),304,0.3,0.6,0.4,-,0.7,0.1,0.1,-,6.15
479,Jarrad Branthwaite,19, D(C),,,4(2),388,0.7,0.2,0.5,0.5,3.3,0.8,0.3,-,6.15
