,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
43,Moisés Caicedo,20, M(C),,,8,664,2,1.3,0.9,-,0.9,0.9,0.5,-,7.07
44,Thiago Silva,37, D(C),,,28(4),2651,1,1.4,0.4,0.6,3,0.3,1,-,7.06
45,Bukayo Saka,20, D(L),M(CLR),,36(2),2996,1.1,0.6,1,-,0.6,0.7,0.1,-,7.06
46,Oleksandr Zinchenko,25, D(L),M(CLR),,10(5),1045,1.3,0.9,0.7,0.3,0.7,0.6,0.2,-,7.05
47,Mateo Kovacic,28, M(CL),,,16(9),1557,2,0.3,1,-,0.4,0.7,0.2,-,7.04
48,Bruno Guimarães,24, DMC,,,11(6),1034,2.6,0.5,0.8,-,0.7,1,0.4,-,7.04
49,Bruno Fernandes,27, M(CLR),,,35(1),3120,1.5,0.5,0.9,0.1,1.1,1.8,-,-,7.03
50,Trevoh Chalobah,22, D(CR),DMC,,17(3),1451,2,1,1,0.3,2.1,0.4,0.3,-,7.03
51,Konstantinos Tsimikas,26, D(L),,,9(4),874,2.1,0.8,1.5,0.4,1.5,0.3,0.2,-,7.03
52,Caoimhin Kelleher,23, GK,,,2,180,0.5,-,-,-,0.5,-,-,-,7.02
53,Kepa Arrizabalaga,27, GK,,,4,360,-,-,-,-,1.5,-,-,-,7.02
54,James Ward-Prowse,27, M(CR),,,36,3217,1.1,1.1,0.6,-,1.1,1.4,0.4,-,7.01
55,Toti,23, D(C),,,4,360,2.8,2,0.5,0.3,3.5,0.5,0.8,-,7.01
56,Christian Nørgaard,28, D(C),DMC,,35,3059,3.1,1.8,1.6,0.1,1.6,1.4,0.3,-,7
57,N'Golo Kanté,31, DMC,,,21(5),1778,2.3,1.2,0.8,-,0.3,0.6,0.1,-,7
58,Fabinho,28, D(CR),DMC,,26(3),2316,1.6,1.4,1.4,0.1,0.8,1.6,0.3,-,7
59,Riyad Mahrez,31, AM(CLR),FW,,15(13),1493,0.4,0.2,0.4,-,0.1,0.5,-,-,7
60,Paul Pogba,29, M(CL),,,16(4),1355,0.7,0.7,2,0.1,0.8,1.1,-,-,7
61,Yves Bissouma,25, M(C),,,25(1),2117,2.9,1.9,1.2,-,1.8,0.6,0.1,-,6.99
62,Matt Targett,26, D(L),M(L),,16,1440,2.6,1.6,0.6,-,2.4,0.8,0.3,-,6.99
63,Wilfried Zaha,29, AM(LR),FW,,31(2),2761,1.2,0.2,1.1,-,0.2,0.6,-,-,6.99
64,Mason Greenwood,20, AM(R),FW,,16(2),1281,0.8,0.1,0.8,-,0.3,0.3,-,-,6.98
65,Dan Burn,30, D(CL),M(L),,16,1440,1,1.3,0.7,0.4,6.1,0.3,0.9,-,6.98
66,Tomas Soucek,27, DMC,,,34(1),3062,1.9,1.5,1.1,-,2.8,1.1,0.4,-,6.98
67,Ethan Pinnock,29, D(C),,,32,2698,1.6,1.4,0.3,0.6,4.6,0.4,0.3,-,6.97
68,James Tarkowski,29, D(C),,,35,3107,1.8,1.4,0.9,0.2,5.2,0.4,1.7,1,6.97
69,Raphinha,25, AM(LR),FW,,34(1),2923,1.5,0.8,1.1,-,0.7,1.4,-,-,6.97
70,Matt Doherty,30, D(LR),M(LR),,9(6),874,1.2,0.9,0.7,0.1,1.3,0.4,0.1,-,6.96
71,Richarlison,25, AM(CLR),FW,,28(2),2528,1.3,0.4,1.2,-,1.1,0.5,0.1,-,6.96
72,Philippe Coutinho,29, M(CLR),,,16(3),1339,0.9,0.4,0.4,-,0.2,0.8,0.1,-,6.96
73,Jorginho,30, DMC,,,26(3),2279,2.2,1.2,1,-,0.7,1.9,0.1,-,6.96
74,Rayan Aït-Nouri,21, D(L),M(L),,20(3),1828,2.8,1,0.6,0.2,1.3,1,0.1,-,6.96
75,Rúben Dias,25, D(C),,,27(2),2404,0.9,0.8,0.9,0.9,2.2,0.2,0.4,-,6.96
76,Thomas Partey,28, D(R),M(CR),,23(1),2032,1.8,1,1.4,-,1.4,1.1,0.2,-,6.96
77,Dwight McNeil,22, M(LR),,,35(3),3114,2.1,0.9,0.4,-,0.6,1.1,0.3,-,6.96
78,Sergio Reguilón,25, D(L),M(L),,22(3),1923,1.6,1.2,0.9,0.2,1.6,0.8,0.3,-,6.95
79,Wilfred Ndidi,25, D(C),DMC,,18(1),1619,3.2,2.2,1.6,0.1,2.7,1.7,0.4,-,6.95
