,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
3,"54Ruslan MalinovskyiAtalanta, 29, M(CR),FW","Ruslan Malinovskyi Atalanta, 29, M(CR),FW",19(11),1603,0.6,0.2,1.3,-,-,0.5,0.1,-,6.91
4,"55Luca LezzeriniVenezia, 27, GK","Luca Lezzerini Venezia, 27, GK",6,496,-,-,-,-,-,-,-,-,6.9
5,"56Simone VerdiSalernitana, 29, AM(CLR),FW","Simone Verdi Salernitana, 29, AM(CLR),FW",11(4),838,0.8,0.2,0.7,-,-,0.7,-,-,6.9
6,"57Alessandro BastoniInter, 23, D(C)","Alessandro Bastoni Inter, 23, D(C)",29(2),2323,1.4,1.1,1,0.2,1.8,0.5,0.4,-,6.9
7,"58PedroLazio, 34, M(CLR),FW","Pedro Lazio, 34, M(CLR),FW",25(7),2043,1.1,0.2,1,-,0.3,1,0.1,-,6.89
8,"59Hamed TraorèSassuolo, 22, AM(CLR)","Hamed Traorè Sassuolo, 22, AM(CLR)",21(10),1780,1,0.4,1,-,0.1,1.2,0.1,-,6.89
9,"60Giovanni SimeoneVerona, 26, AM(R),FW","Giovanni Simeone Verona, 26, AM(R),FW",32(3),2669,0.8,0.2,1.6,-,0.6,0.9,0.1,-,6.89
0,"61Davide CalabriaAC Milan, 25, D(LR),M(R)","Davide Calabria AC Milan, 25, D(LR),M(R)",24(2),2124,2.4,0.9,0.6,0.2,1.1,1.3,0.2,-,6.89
1,"62Matthijs de LigtJuventus, 22, D(C)","Matthijs de Ligt Juventus, 22, D(C)",29(2),2675,1.1,0.8,1,0.2,3.1,0.1,0.7,-,6.87
2,"63Alex MeretNapoli, 25, GK","Alex Meret Napoli, 25, GK",7,620,-,-,-,-,0.6,-,-,-,6.87
3,"64Guglielmo VicarioEmpoli, 25, GK","Guglielmo Vicario Empoli, 25, GK",38,3420,-,-,-,-,0.8,-,-,-,6.87
4,"65Lukasz SkorupskiBologna, 31, GK","Lukasz Skorupski Bologna, 31, GK",36,3240,-,-,0.1,-,1.1,-,-,-,6.86
5,"66Pierre KaluluAC Milan, 22, D(CR)","Pierre Kalulu AC Milan, 22, D(CR)",21(7),1939,2.2,0.9,0.6,0.4,1.8,0.2,0.5,-,6.86
6,"67Etrit BerishaTorino, 33, GK","Etrit Berisha Torino, 33, GK",10,900,-,-,0.1,-,0.8,-,-,-,6.86
7,"68Junior MessiasAC Milan, 31, AM(CR),FW","Junior Messias AC Milan, 31, AM(CR),FW",14(12),1430,1.3,0.7,0.8,-,0.6,0.7,-,-,6.86
8,"69Mario PasalicAtalanta, 27, M(CL)","Mario Pasalic Atalanta, 27, M(CL)",24(13),2010,0.7,0.5,0.8,-,0.4,0.5,0.2,-,6.86
9,"70Dries MertensNapoli, 35, AM(CLR),FW","Dries Mertens Napoli, 35, AM(CLR),FW",16(14),1389,0.5,0.3,0.9,-,0.1,0.4,0.1,-,6.86
0,"71Marko ArnautovicBologna, 33, AM(CLR),FW","Marko Arnautovic Bologna, 33, AM(CLR),FW",32(1),2706,0.5,0.2,1.4,-,0.5,0.7,0.1,-,6.85
1,"72Hirving LozanoNapoli, 26, AM(LR),FW","Hirving Lozano Napoli, 26, AM(LR),FW",20(10),1622,0.9,0.3,0.9,-,0.3,0.7,-,-,6.85
