,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
5,"316Ante RebicAC Milan, 28, AM(CLR),FW","Ante Rebic AC Milan, 28, AM(CLR),FW",6(18),876,0.6,0.1,0.8,-,0.1,0.5,-,-,6.47
6,"317Lassana CoulibalySalernitana, 26, M(CL)","Lassana Coulibaly Salernitana, 26, M(CL)",29(2),2341,1.9,0.7,1.1,-,0.8,1.2,0.4,-,6.47
7,"318Riccardo SottilFiorentina, 23, AM(LR)","Riccardo Sottil Fiorentina, 23, AM(LR)",14(10),1245,0.4,-,0.6,-,0.1,0.3,-,-,6.47
8,"319Federico BonazzoliSalernitana, 25, AM(C),FW","Federico Bonazzoli Salernitana, 25, AM(C),FW",19(13),1867,0.8,0.2,1.0,-,0.2,0.6,-,-,6.47
9,"320Dimitrije KamenovicLazio, 21, Defender","Dimitrije Kamenovic Lazio, 21, Defender",0(1),45,1,2,1.0,1,1.0,-,-,-,6.47
0,"321Vid BelecSalernitana, 32, GK","Vid Belec Salernitana, 32, GK",21(2),1936,-,-,-,-,0.7,-,-,-,6.47
1,"322Cristian MolinaroVenezia, 38, D(L),M(L)","Cristian Molinaro Venezia, 38, D(L),M(L)",6(2),549,1.5,0.8,0.9,0.1,2.4,0.3,0.3,-,6.47
2,"323Rey ManajSpezia, 25, FW","Rey Manaj Spezia, 25, FW",19(11),1768,0.6,0.1,1.8,-,0.4,0.7,-,-,6.47
3,"324Giuseppe PezzellaAtalanta, 24, D(L),M(L)","Giuseppe Pezzella Atalanta, 24, D(L),M(L)",10(11),1068,1.3,0.4,0.9,-,0.5,0.5,0.2,-,6.46
4,"325Kevin BonifaziBologna, 26, D(C)","Kevin Bonifazi Bologna, 26, D(C)",14(8),1209,1.1,0.7,0.7,0.1,1.6,-,0.3,1,6.46
5,"326Samuele RicciTorino, 20, M(C)","Samuele Ricci Torino, 20, M(C)",9(3),725,0.7,1.2,1.2,0.1,0.8,0.3,0.1,-,6.46
6,"327Giulio MaggioreSpezia, 24, M(C)","Giulio Maggiore Spezia, 24, M(C)",33(2),2835,1.7,0.8,1.8,-,0.9,1.3,0.1,-,6.46
7,"328Norbert GyömbérSalernitana, 29, D(CR),DMC","Norbert Gyömbér Salernitana, 29, D(CR),DMC",30(1),2566,1.7,1.4,1.5,0.4,3.9,0.5,0.8,-,6.46
8,"329Cristian VolpatoRoma, 18, Midfielder","Cristian Volpato Roma, 18, Midfielder",0(3),36,0.3,-,0.3,-,-,-,-,-,6.46
9,"330Matteo LovatoAtalanta, 22, D(C)","Matteo Lovato Atalanta, 22, D(C)",3(3),303,0.8,1.2,0.8,-,1.3,0.2,0.3,-,6.46
0,"331Riccardo GaglioloSalernitana, 32, D(CL)","Riccardo Gagliolo Salernitana, 32, D(CL)",12(5),1135,1.4,1.6,0.5,0.5,3.0,0.6,0.5,-,6.46
1,"332Salvador FerrerSpezia, 24, D(R)","Salvador Ferrer Spezia, 24, D(R)",14(13),1489,1.2,0.7,0.5,0.1,1.6,0.5,0.5,-,6.45
2,"333Ivan RadovanovicSalernitana, 33, D(C),DMC","Ivan Radovanovic Salernitana, 33, D(C),DMC",12(2),1055,0.8,0.5,0.6,0.4,2.0,0.9,0.5,-,6.45
3,"334Federico Di FrancescoEmpoli, 27, M(LR),FW","Federico Di Francesco Empoli, 27, M(LR),FW",17(9),1378,0.6,0.3,1.1,-,0.3,0.5,-,-,6.45
4,"335Leo ØstigårdGenoa, 22, D(C)","Leo Østigård Genoa, 22, D(C)",13(2),1172,1.1,0.5,1.0,0.5,3.4,0.1,0.7,-,6.45
5,"336Luca CeppitelliCagliari, 32, D(C)","Luca Ceppitelli Cagliari, 32, D(C)",16(8),1445,1.0,1.0,0.8,0.6,2.3,0.5,0.6,-,6.44
6,"337Hans HateboerAtalanta, 28, D(R),M(R)","Hans Hateboer Atalanta, 28, D(R),M(R)",16(5),1391,1.0,0.3,0.9,-,0.9,0.7,-,-,6.44
7,"338Stefan StrandbergSalernitana, 31, D(C),DMC","Stefan Strandberg Salernitana, 31, D(C),DMC",11,934,1.2,0.8,0.7,0.5,4.4,0.3,1.2,1,6.44
8,"339Matteo GabbiaAC Milan, 22, D(C)","Matteo Gabbia AC Milan, 22, D(C)",6(2),537,0.5,1.0,0.9,0.5,1.5,0.5,0.3,-,6.44
9,"340Dejan KulusevskiJuventus, 22, AM(CR),FW","Dejan Kulusevski Juventus, 22, AM(CR),FW",5(15),762,0.8,0.3,1.5,-,0.3,0.7,-,-,6.43
0,"341Krzysztof PiatekFiorentina, 26, FW","Krzysztof Piatek Fiorentina, 26, FW",9(5),737,0.4,0.1,0.5,-,0.6,0.1,-,-,6.43
1,"342Michaël CuisanceVenezia, 22, AM(C)","Michaël Cuisance Venezia, 22, AM(C)",13,930,1.8,0.9,0.9,-,0.2,1.4,-,-,6.43
2,"343Nicola SansoneBologna, 30, AM(LR),FW","Nicola Sansone Bologna, 30, AM(LR),FW",6(21),883,0.5,0.1,0.6,-,0.1,0.4,-,-,6.43
3,"344Kostas ManolasNapoli, 30, D(C)","Kostas Manolas Napoli, 30, D(C)",3(1),312,0.5,1,1.3,0.5,2.5,0.3,0.3,-,6.43
4,"345Nicolò BertolaSpezia, 19, Defender","Nicolò Bertola Spezia, 19, Defender",0(2),33,1.5,1.5,-,-,0.5,0.5,-,-,6.43
5,"346Takehiro TomiyasuBologna, 23, D(CR)","Takehiro Tomiyasu Bologna, 23, D(CR)",0(1),9,-,1,-,-,-,-,-,-,6.43
6,"347Joakim MaehleAtalanta, 25, D(LR),M(LR)","Joakim Maehle Atalanta, 25, D(LR),M(LR)",15(11),1468,0.8,0.5,0.4,0.1,0.3,0.6,0.1,-,6.43
7,"348Kristjan AsllaniEmpoli, 20, M(C)","Kristjan Asllani Empoli, 20, M(C)",14(9),1347,0.8,0.8,0.6,-,0.5,0.8,0.3,-,6.43
8,"349Simone VerdiTorino, 29, AM(CLR),FW","Simone Verdi Torino, 29, AM(CLR),FW",0(3),43,0.3,-,0.3,-,-,-,-,-,6.43
9,"350Joseph Alfred DuncanFiorentina, 29, DMC","Joseph Alfred Duncan Fiorentina, 29, DMC",21(12),1934,1,0.3,0.7,-,0.2,0.6,0.1,-,6.43
0,"351Luca RanieriSalernitana, 23, D(L),M(L)","Luca Ranieri Salernitana, 23, D(L),M(L)",25(2),2116,1.4,0.8,0.6,0.1,2.2,0.5,0.3,-,6.43
1,"352DalbertCagliari, 28, D(L),DMC,M(L)","Dalbert Cagliari, 28, D(L),DMC,M(L)",27(1),2096,1.5,0.9,1.4,-,1,0.9,0.2,-,6.42
2,"353Dimitrios NikolaouSpezia, 23, D(C)","Dimitrios Nikolaou Spezia, 23, D(C)",36,3240,1.1,1.4,0.9,0.6,3.6,0.3,0.7,1,6.42
3,"354Marco ModoloVenezia, 33, Defender","Marco Modolo Venezia, 33, Defender",4(2),390,1.0,0.7,1,0.3,4.3,0.5,1,-,6.42
4,"355Denso KasiusBologna, 19, Defender","Denso Kasius Bologna, 19, Defender",1(6),177,1.3,0.4,0.1,0.1,0.6,0.4,-,-,6.42
5,"356Paolo FaragòCagliari, 29, D(R),DMC,M(R)","Paolo Faragò Cagliari, 29, D(R),DMC,M(R)",0(1),16,1.0,-,-,-,-,-,-,-,6.42
6,"357Giangiacomo MagnaniSampdoria, 26, D(C)","Giangiacomo Magnani Sampdoria, 26, D(C)",3(1),238,1.0,1.8,0.8,0.5,3,-,0.5,-,6.42
7,"358Giorgio ScalviniAtalanta, 18, D(C)","Giorgio Scalvini Atalanta, 18, D(C)",9(9),761,1.2,1.2,0.8,0.1,0.8,0.6,0.1,-,6.42
8,"359Mert MüldürSassuolo, 23, D(R)","Mert Müldür Sassuolo, 23, D(R)",24(7),2047,1.7,0.8,0.8,0.6,1.2,0.7,0.2,-,6.41
9,"360Arturo VidalInter, 35, M(CR)","Arturo Vidal Inter, 35, M(CR)",2(26),715,0.9,0.3,0.6,-,0.2,0.6,0.2,-,6.41
0,"361Davide MarfellaNapoli, 22, Goalkeeper","Davide Marfella Napoli, 22, Goalkeeper",0(1),10,-,-,-,-,-,-,-,-,6.41
1,"362Cedric GondoSalernitana, 25, FW","Cedric Gondo Salernitana, 25, FW",10(4),705,0.4,0.2,1.3,-,0.1,0.2,-,-,6.41
2,"363Nadiem AmiriGenoa, 25, M(CLR)","Nadiem Amiri Genoa, 25, M(CLR)",9(4),685,0.5,-,0.5,-,-,0.5,-,-,6.41
3,"364Jeremy ToljanSassuolo, 27, D(LR),M(LR)","Jeremy Toljan Sassuolo, 27, D(LR),M(LR)",15(5),1399,0.9,0.6,0.4,0.4,1.6,0.4,0.3,-,6.41
4,"365Fodé Ballo-TouréAC Milan, 25, D(L),M(L)","Fodé Ballo-Touré AC Milan, 25, D(L),M(L)",5(5),445,1.8,0.3,1.2,-,0.4,0.5,0.2,-,6.41
5,"366Zinho VanheusdenGenoa, 22, D(C)","Zinho Vanheusden Genoa, 22, D(C)",11(3),990,1.3,1.6,0.7,0.2,2.9,0.4,1,1,6.41
6,"367Mattia PerinJuventus, 29, GK","Mattia Perin Juventus, 29, GK",5,406,-,-,-,-,0.8,-,-,-,6.41
7,"368Luigi SameleSassuolo, 20, Forward","Luigi Samele Sassuolo, 20, Forward",0(2),3,-,-,-,-,0.5,-,-,-,6.4
8,"369Gastón PereiroCagliari, 26, AM(CLR),FW","Gastón Pereiro Cagliari, 26, AM(CLR),FW",9(20),964,0.4,-,0.6,-,0.2,0.4,-,-,6.4
9,"370Adam OunasNapoli, 25, AM(CLR),FW","Adam Ounas Napoli, 25, AM(CLR),FW",1(14),312,0.4,0.1,0.6,-,0.2,0.3,-,-,6.4
0,"371Charalampos LykogiannisCagliari, 28, D(CL),M(L)","Charalampos Lykogiannis Cagliari, 28, D(CL),M(L)",21(7),1822,0.7,1.1,1,0.2,2.2,0.3,0.3,-,6.4
1,"372Liam HendersonEmpoli, 26, AM(C)","Liam Henderson Empoli, 26, AM(C)",23(15),2019,0.6,0.2,1.6,-,0.3,0.6,0.1,-,6.4
2,"373Filippo BandinelliEmpoli, 27, M(C)","Filippo Bandinelli Empoli, 27, M(C)",24(11),1968,0.9,0.3,1.5,-,1,0.5,0.1,-,6.39
3,"374Federico CeccheriniVerona, 30, D(C)","Federico Ceccherini Verona, 30, D(C)",29(5),2375,0.9,1.5,1.7,0.1,2.1,0.4,0.2,-,6.39
4,"375Kelvin YeboahGenoa, 22, FW","Kelvin Yeboah Genoa, 22, FW",9(8),848,0.8,0.1,1.6,0.1,0.4,0.6,0.1,-,6.39
5,"376Edoardo GoldanigaCagliari, 28, D(CR)","Edoardo Goldaniga Cagliari, 28, D(CR)",11,937,1.1,2,2,-,2,0.6,0.5,-,6.39
6,"377Carles PérezRoma, 24, AM(CR)","Carles Pérez Roma, 24, AM(CR)",3(16),545,0.4,0.1,0.7,-,0.1,0.5,-,-,6.39
7,"378Daniele BaselliCagliari, 30, M(C)","Daniele Baselli Cagliari, 30, M(C)",2(7),283,0.7,0.2,0.2,-,0.6,0.4,-,-,6.38
8,"379Francesco RossiAtalanta, 31, Goalkeeper","Francesco Rossi Atalanta, 31, Goalkeeper",0(1),36,-,-,-,-,-,-,-,-,6.38
9,"380Vlad ChirichesSassuolo, 32, D(CR)","Vlad Chiriches Sassuolo, 32, D(CR)",27(2),2304,1,1.4,1,1.2,2.4,0.4,0.7,-,6.38
0,"381Moustapha CisséAtalanta, 18, Forward","Moustapha Cissé Atalanta, 18, Forward",0(3),35,0.3,-,0.7,-,-,1,-,-,6.38
1,"382Samu CastillejoAC Milan, 27, AM(CLR)","Samu Castillejo AC Milan, 27, AM(CLR)",1(4),126,0.8,0.4,0.4,-,0.2,1.4,0.2,-,6.38
2,"383Domen CrnigojVenezia, 26, AM(CR)","Domen Crnigoj Venezia, 26, AM(CR)",22(12),1889,0.6,0.7,0.8,-,1.2,0.5,0.2,-,6.37
3,"384Diego DemmeNapoli, 30, DMC","Diego Demme Napoli, 30, DMC",7(12),686,1.1,0.5,1.5,-,0.1,0.6,0.1,-,6.37
4,"385Adam ObertCagliari, 19, Defender","Adam Obert Cagliari, 19, Defender",3(3),273,1.3,0.7,1,0.3,1.8,0.2,0.7,-,6.37
5,"386Giacomo SatalinoSassuolo, 23, Goalkeeper","Giacomo Satalino Sassuolo, 23, Goalkeeper",0(1),8,-,-,-,-,-,-,-,-,6.37
6,"387Sebastian WalukiewiczCagliari, 22, D(C)","Sebastian Walukiewicz Cagliari, 22, D(C)",4(3),303,1.3,1,0.6,0.1,2,0.3,0.3,-,6.37
7,"388Andrea CarboniCagliari, 21, D(C)","Andrea Carboni Cagliari, 21, D(C)",25(5),2218,1.8,0.9,0.6,0.3,2.8,0.8,0.5,1,6.37
8,"389Mehdi BourabiaSpezia, 30, M(C)","Mehdi Bourabia Spezia, 30, M(C)",2(6),275,0.6,0.4,0.8,-,1.3,1,0.8,-,6.37
9,"390Jonathan IkonéFiorentina, 24, AM(CLR),FW","Jonathan Ikoné Fiorentina, 24, AM(CLR),FW",7(10),646,0.4,0.1,0.4,-,0.1,0.4,0.1,-,6.36
0,"391Nadir ZorteaSalernitana, 22, D(R)","Nadir Zortea Salernitana, 22, D(R)",13(16),1406,0.7,0.2,0.5,-,1.1,0.3,0.1,-,6.36
1,"392PatricLazio, 29, D(CR),M(R)","Patric Lazio, 29, D(CR),M(R)",20(5),1654,0.8,0.5,1.0,0.7,1.8,0.4,0.4,1,6.36
2,"393Leonardo SpinazzolaRoma, 29, D(LR),M(L)","Leonardo Spinazzola Roma, 29, D(LR),M(L)",2(1),129,-,-,0.3,-,0.7,0.3,0.3,-,6.36
3,"394Giangiacomo MagnaniVerona, 26, D(C)","Giangiacomo Magnani Verona, 26, D(C)",5(9),527,0.7,0.7,0.8,0.1,3.3,0.6,0.2,-,6.36
4,"395Fabio MirettiJuventus, 18, Midfielder","Fabio Miretti Juventus, 18, Midfielder",4(2),322,0.7,0.3,0.7,-,0.3,1.2,0.2,-,6.36
5,"396Franck RibérySalernitana, 39, AM(CL),FW","Franck Ribéry Salernitana, 39, AM(CL),FW",17(7),1429,0.7,0.1,1.3,-,-,0.2,-,-,6.36
6,"397Kaan AyhanSassuolo, 27, D(CR),DMC","Kaan Ayhan Sassuolo, 27, D(CR),DMC",14(9),1345,0.9,0.6,0.6,0.6,2.4,0.3,0.6,-,6.35
7,"398Ardian IsmajliEmpoli, 25, D(C)","Ardian Ismajli Empoli, 25, D(C)",13(7),1264,0.7,1.2,0.9,0.5,4,0.5,0.6,2,6.35
8,"399Ilija NestorovskiUdinese, 32, FW","Ilija Nestorovski Udinese, 32, FW",1(6),185,-,-,0.4,-,0.6,0.4,-,-,6.35
9,"400Eldor ShomurodovRoma, 26, FW","Eldor Shomurodov Roma, 26, FW",5(23),767,0.2,0.1,0.6,-,0.2,0.3,-,-,6.35
0,"401Kacper UrbanskiBologna, 17, Midfielder","Kacper Urbanski Bologna, 17, Midfielder",0(1),45,3.0,-,2,-,-,-,-,-,6.35
1,"402Kingsley MichaelBologna, 22, Midfielder","Kingsley Michael Bologna, 22, Midfielder",1(1),76,2.0,0.5,-,-,0.5,0.5,0.5,-,6.35
2,"403Paolo GhiglioneGenoa, 25, D(R),M(R)","Paolo Ghiglione Genoa, 25, D(R),M(R)",6(7),598,1.3,0.8,0.8,-,0.8,0.4,0.4,-,6.35
3,"404David StrelecSpezia, 21, Forward","David Strelec Spezia, 21, Forward",7(3),506,0.4,0.2,0.4,-,0.1,0.7,0.1,-,6.35
4,"405Kevin LasagnaVerona, 29, AM(CL),FW","Kevin Lasagna Verona, 29, AM(CL),FW",11(17),1173,0.5,0.1,0.7,-,0.2,0.4,-,-,6.35
5,"406Luca FiordilinoVenezia, 25, M(C)","Luca Fiordilino Venezia, 25, M(C)",5(10),657,1.4,0.7,0.3,-,0.7,0.9,0.3,-,6.35
6,"407Sofyan AmrabatFiorentina, 25, DMC","Sofyan Amrabat Fiorentina, 25, DMC",8(15),931,1.0,0.2,1.1,-,0.2,0.3,0.3,-,6.35
7,"408Julian ChabotSampdoria, 24, D(C)","Julian Chabot Sampdoria, 24, D(C)",4(7),482,1.1,0.8,0.9,0.3,2.4,0.2,0.4,-,6.34
8,"409Youssef MalehFiorentina, 23, M(C)","Youssef Maleh Fiorentina, 23, M(C)",11(17),1018,1.0,0.2,1.5,-,-,0.5,-,-,6.34
9,"410Andrea La MantiaEmpoli, 31, FW","Andrea La Mantia Empoli, 31, FW",3(15),478,0.1,0.1,0.3,-,0.3,0.1,0.1,-,6.34
0,"411Robin GosensInter, 27, D(L),M(CL)","Robin Gosens Inter, 27, D(L),M(CL)",0(7),164,0.4,0.4,0.1,-,0.4,-,0.3,-,6.34
1,"412Fabio QuagliarellaSampdoria, 39, FW","Fabio Quagliarella Sampdoria, 39, FW",19(14),1661,0.2,0.1,0.6,-,0.3,0.4,-,-,6.34
2,"413Álvaro OdriozolaFiorentina, 26, D(R)","Álvaro Odriozola Fiorentina, 26, D(R)",18(7),1730,1.0,0.3,0.6,0.2,0.8,0.7,0.2,-,6.34
3,"414Gonzalo EscalanteLazio, 29, DMC","Gonzalo Escalante Lazio, 29, DMC",0(1),8,1.0,1,-,-,-,-,1,-,6.34
4,"415Jacopo SalaSpezia, 30, D(LR),M(CR)","Jacopo Sala Spezia, 30, D(LR),M(CR)",13(5),891,1.2,0.8,0.6,-,0.6,0.9,-,-,6.34
5,"416Alessandro ZanoliNapoli, 21, D(R)","Alessandro Zanoli Napoli, 21, D(R)",5(7),453,0.8,0.3,0.8,-,1.2,0.2,0.1,-,6.34
6,"417Lorenzo VenutiFiorentina, 27, D(CLR),M(LR)","Lorenzo Venuti Fiorentina, 27, D(CLR),M(LR)",20(3),1578,1.1,0.2,0.7,0.4,1,0.4,0.2,1,6.34
7,"418Andrea PetagnaNapoli, 26, FW","Andrea Petagna Napoli, 26, FW",4(20),574,0.1,-,0.6,-,0.2,0.1,-,-,6.34
8,"419Matías VecinoInter, 30, M(C)","Matías Vecino Inter, 30, M(C)",2(15),363,0.4,0.2,0.5,-,0.4,0.4,0.1,-,6.33
9,"420Michel AebischerBologna, 25, M(C)","Michel Aebischer Bologna, 25, M(C)",4(8),433,1.2,0.5,1.1,-,0.3,0.4,0.1,-,6.33
0,"421Fabio DepaoliVerona, 25, D(R),DMC,M(R)","Fabio Depaoli Verona, 25, D(R),DMC,M(R)",7(11),697,0.7,0.4,1.1,-,0.7,0.3,0.1,-,6.33
1,"422Tyronne EbuehiVenezia, 26, D(LR)","Tyronne Ebuehi Venezia, 26, D(LR)",12(7),1142,1.5,0.8,1.2,0.1,1.7,0.4,0.2,-,6.33
2,"423Yayah KallonGenoa, 20, Forward","Yayah Kallon Genoa, 20, Forward",5(10),630,1.0,0.1,1.3,-,0.1,0.5,0.1,-,6.33
3,"424Ebrima ColleySpezia, 22, Midfielder","Ebrima Colley Spezia, 22, Midfielder",3(8),390,0.5,0.3,0.9,-,0.2,0.5,-,-,6.33
4,"425Moise KeanJuventus, 22, AM(L),FW","Moise Kean Juventus, 22, AM(L),FW",12(20),1091,0.3,0.1,0.6,-,0.3,0.3,-,-,6.33
5,"426Luis BinksBologna, 20, D(C)","Luis Binks Bologna, 20, D(C)",7(8),643,0.5,1.1,0.5,0.8,2.1,0.1,0.3,-,6.33
6,"427Caleb EkubanGenoa, 28, AM(CLR),FW","Caleb Ekuban Genoa, 28, AM(CLR),FW",18(12),1721,0.6,0.3,0.7,-,0.2,0.5,0.2,-,6.33
7,"428Stefano SturaroGenoa, 29, M(CL)","Stefano Sturaro Genoa, 29, M(CL)",25(1),1783,1.7,0.6,2.0,-,1.0,1,-,-,6.33
8,"429Andrea ContiSampdoria, 28, D(R),M(R)","Andrea Conti Sampdoria, 28, D(R),M(R)",2(5),229,0.6,1.0,0.7,0.3,0.6,0.4,-,-,6.32
9,"430Liberato CacaceEmpoli, 21, D(L),M(L)","Liberato Cacace Empoli, 21, D(L),M(L)",5(5),465,1.5,0.8,0.9,0.1,0.8,-,0.2,-,6.32
0,"431M'Bala NzolaSpezia, 25, FW","M'Bala Nzola Spezia, 25, FW",10(11),1061,0.1,-,1.4,-,0.6,0.2,-,-,6.32
1,"432Leo StulacEmpoli, 27, M(C)","Leo Stulac Empoli, 27, M(C)",8(15),822,0.6,0.3,0.3,-,0.6,0.5,0.1,-,6.32
2,"433Mitchell DijksBologna, 29, D(L),M(L)","Mitchell Dijks Bologna, 29, D(L),M(L)",7(9),688,0.9,0.2,0.6,0.1,0.6,0.4,0.1,-,6.32
3,"434Bosko SutaloVerona, 22, D(C)","Bosko Sutalo Verona, 22, D(C)",6(18),912,0.8,0.7,0.5,0.1,1.4,0.3,0.2,-,6.31
4,"435Ebrima DarboeRoma, 21, DMC","Ebrima Darboe Roma, 21, DMC",1,64,1,1,1,-,-,-,-,-,6.31
5,"436Abdoulaye TouréGenoa, 28, DMC","Abdoulaye Touré Genoa, 28, DMC",6(2),435,1.5,0.5,0.4,-,0.8,0.8,0.1,-,6.31
6,"437Ivor PandurVerona, 22, GK","Ivor Pandur Verona, 22, GK",3,270,-,-,-,-,0.7,-,-,-,6.31
7,"438Jens Stryger LarsenUdinese, 31, D(CLR),M(LR)","Jens Stryger Larsen Udinese, 31, D(CLR),M(LR)",8(3),686,0.5,0.4,0.3,-,1.1,0.1,-,1,6.31
8,"439Karol LinettyTorino, 27, M(CLR)","Karol Linetty Torino, 27, M(CLR)",11(5),899,0.9,0.2,1.9,-,0.1,0.8,-,-,6.3
9,"440Tiemoué BakayokoAC Milan, 27, DMC","Tiemoué Bakayoko AC Milan, 27, DMC",5(9),496,1.4,0.6,0.9,-,0.7,0.8,0.1,-,6.3
0,"441Andreas Skov OlsenBologna, 22, M(R)","Andreas Skov Olsen Bologna, 22, M(R)",6(12),744,0.7,0.2,0.2,0.1,0.6,0.3,0.1,-,6.3
1,"442Carlo PinsoglioJuventus, 32, Goalkeeper","Carlo Pinsoglio Juventus, 32, Goalkeeper",0(1),45,-,-,-,-,-,-,-,-,6.3
2,"443Mato JajaloUdinese, 34, M(C)","Mato Jajalo Udinese, 34, M(C)",6(16),621,1.1,0.5,0.5,-,0.2,0.5,-,-,6.3
3,"444Pasquale MazzocchiVenezia, 26, D(R),M(R)","Pasquale Mazzocchi Venezia, 26, D(R),M(R)",15(3),1246,1,1.2,1.2,0.1,1.4,0.9,0.4,-,6.3
4,"445Kevin StrootmanCagliari, 32, DMC","Kevin Strootman Cagliari, 32, DMC",7(3),645,0.8,1,1,-,1.3,0.7,0.2,-,6.29
5,"446Amadou DiawaraRoma, 24, DMC","Amadou Diawara Roma, 24, DMC",2(2),169,1.8,-,1.3,-,0.3,0.5,-,-,6.29
6,"447José CallejónFiorentina, 35, M(LR),FW","José Callejón Fiorentina, 35, M(LR),FW",16(14),1302,0.5,0.1,0.1,-,-,0.6,-,-,6.29
7,"448Albert GudmundssonGenoa, 24, AM(CLR),FW","Albert Gudmundsson Genoa, 24, AM(CLR),FW",6(6),607,0.4,0.4,1.2,-,0.3,0.4,-,-,6.29
8,"449Kristoffer AskildsenSampdoria, 21, Midfielder","Kristoffer Askildsen Sampdoria, 21, Midfielder",7(12),749,0.9,0.8,0.9,0.1,0.7,0.5,0.4,1,6.29
9,"450Keita BaldéCagliari, 27, AM(LR),FW","Keita Baldé Cagliari, 27, AM(LR),FW",14(12),1233,0.3,0.2,1,-,0.2,0.3,-,-,6.29
0,"451Andrea MasielloGenoa, 36, D(CR)","Andrea Masiello Genoa, 36, D(CR)",6(1),517,0.7,1.6,0.9,0.4,2.9,0.4,0.6,-,6.29
1,"452Pablo GaldamesGenoa, 25, M(C)","Pablo Galdames Genoa, 25, M(C)",11(8),1032,1.5,0.4,1.1,-,0.5,1.2,0.1,-,6.29
2,"453Radu DragusinSalernitana, 20, D(C)","Radu Dragusin Salernitana, 20, D(C)",5(2),486,0.7,1.9,0.4,1,2.4,0.9,0.4,-,6.29
3,"454RuanSassuolo, 23, D(C)","Ruan Sassuolo, 23, D(C)",0(10),207,0.7,0.2,0.4,0.1,2.4,0.1,0.5,-,6.28
4,"455Diego PerottiSalernitana, 33, M(CLR),FW","Diego Perotti Salernitana, 33, M(CLR),FW",1(10),278,1.0,0.2,0.5,-,0.5,0.8,-,-,6.28
5,"456Andrea SchiavoneSalernitana, 29, M(C)","Andrea Schiavone Salernitana, 29, M(C)",5(9),569,1.0,0.6,0.7,-,0.8,0.9,0.2,-,6.28
6,"457Faouzi GhoulamNapoli, 31, D(L)","Faouzi Ghoulam Napoli, 31, D(L)",3(11),325,0.2,0.2,0.3,0.1,0.7,0.2,0.1,-,6.28
7,"458Francesco Di MarianoVenezia, 26, Forward","Francesco Di Mariano Venezia, 26, Forward",1,63,1.0,-,1.0,-,-,-,1,-,6.28
8,"459Marko RogCagliari, 26, M(C)","Marko Rog Cagliari, 26, M(C)",2(6),307,0.6,0.1,1.4,-,0.4,0.9,0.1,-,6.28
9,"460Viktor KovalenkoSpezia, 26, M(C)","Viktor Kovalenko Spezia, 26, M(C)",16(10),1323,0.6,0.5,0.6,-,0.2,0.5,0.1,-,6.28
0,"461Matheus HenriqueSassuolo, 24, M(C)","Matheus Henrique Sassuolo, 24, M(C)",10(15),1066,0.4,0.3,0.7,0.1,0.4,0.7,0.1,-,6.28
1,"462Filippo MelegoniGenoa, 23, AM(CR)","Filippo Melegoni Genoa, 23, AM(CR)",10(15),976,0.8,0.4,0.6,-,0.3,0.3,-,-,6.28
2,"463Gianluca GaetanoNapoli, 22, Midfielder","Gianluca Gaetano Napoli, 22, Midfielder",0(2),19,0.5,1.0,0.5,-,-,0.5,-,-,6.28
3,"464Francesco Di TacchioSalernitana, 32, M(C)","Francesco Di Tacchio Salernitana, 32, M(C)",14(4),1257,0.9,1.2,1.3,0.1,1.3,0.9,0.4,1,6.27
4,"465Patrick CutroneEmpoli, 24, FW","Patrick Cutrone Empoli, 24, FW",15(13),1402,0.2,0.2,0.5,-,-,0.3,-,-,6.27
5,"466Riccardo CalafioriRoma, 20, Defender","Riccardo Calafiori Roma, 20, Defender",2(4),170,0.8,0.5,0.7,0.2,0.2,0.7,-,-,6.27
6,"467Kevin MalcuitNapoli, 30, D(R),M(R)","Kevin Malcuit Napoli, 30, D(R),M(R)",2(6),286,0.5,1.0,1,0.1,0.8,-,-,-,6.27
7,"468Gregoire DefrelSassuolo, 30, AM(CR),FW","Gregoire Defrel Sassuolo, 30, AM(CR),FW",11(27),1346,0.4,0.1,0.4,-,0.3,0.3,-,-,6.27
8,"469Andrei MotocSalernitana, 20, Midfielder","Andrei Motoc Salernitana, 20, Midfielder",1,90,1.0,2.0,-,1,1,-,2,-,6.27
9,"470Toma BasicLazio, 25, M(C)","Toma Basic Lazio, 25, M(C)",9(20),969,0.4,0.1,0.4,-,0.7,0.4,0.1,-,6.27
0,"471Aleksa TerzicFiorentina, 22, Defender","Aleksa Terzic Fiorentina, 22, Defender",1(13),261,0.6,0.3,0.3,0.1,0.3,0.2,-,-,6.27
1,"472Yildirim Mert ÇetinVerona, 25, D(C)","Yildirim Mert Çetin Verona, 25, D(C)",0(2),46,0.5,-,-,-,1,-,-,-,6.27
2,"473Demba SeckTorino, 21, Forward","Demba Seck Torino, 21, Forward",1(5),143,0.3,-,0.3,-,-,-,-,-,6.26
3,"474Stefan RaduLazio, 35, D(CL)","Stefan Radu Lazio, 35, D(CL)",6(4),554,0.9,0.5,0.4,0.1,1.5,0.4,0.2,-,6.26
4,"475Riccardo FiamozziEmpoli, 29, D(R)","Riccardo Fiamozzi Empoli, 29, D(R)",7(3),622,0.7,0.7,0.3,0.1,1,0.2,0.5,-,6.26
