,Player,Player.1,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
5,"36Amine GouiriNice, 22, AM(L),FW",Amine Gouiri Nice,22, AM(L),FW,,32(6),2765,10,9,3,-,2,80.4,0.3,5,7.01
6,"37Moses SimonNantes, 26, M(CLR),FW",Moses Simon Nantes,26, M(CLR),FW,,29(1),2352,6,8,3,-,1.4,75,0.5,2,7.01
7,"38Randal Kolo MuaniNantes, 23, AM(R),FW",Randal Kolo Muani Nantes,23, AM(R),FW,,34(2),2958,12,4,2,-,1.5,70.1,1.9,5,7.01
8,"39Hamari TraoréRennes, 30, D(R),M(R)",Hamari Traoré Rennes,30, D(R),M(R),,33,2898,3,10,4,-,0.9,84.9,1.2,1,7
9,"40Kamaldeen SulemanaRennes, 20, AM(L)",Kamaldeen Sulemana Rennes,20, AM(L),,,11(9),1018,4,2,3,-,1.3,80.3,0.3,4,7
0,"41Lenny LacroixMetz, 19, Defender",Lenny Lacroix Metz,19, Defender,,,2(1),201,-,1,-,-,0.7,67.9,2.3,-,7
1,"42Benjamin AndréLille, 31, D(R),M(CLR)",Benjamin André Lille,31, D(R),M(CLR),,33,2764,2,1,11,1,0.5,80.4,2.9,2,6.99
2,"43Jimmy CabotAngers, 28, M(LR)",Jimmy Cabot Angers,28, M(LR),,,24,2012,-,4,4,-,0.5,80.9,0.5,1,6.99
3,"44Florian SotocaLens, 31, AM(C),FW",Florian Sotoca Lens,31, AM(C),FW,,28(7),2487,6,4,7,-,2,78.2,2.6,4,6.99
4,"45Florian TardieuTroyes, 30, M(C)",Florian Tardieu Troyes,30, M(C),,,29(1),2631,4,2,6,-,0.8,86.5,1,2,6.98
5,"46Marshall MunetsiReims, 25, D(C),DMC",Marshall Munetsi Reims,25, D(C),DMC,,20(4),1886,5,1,8,-,1.3,79.7,2.5,2,6.95
6,"47Adrien ThomassonStrasbourg, 28, M(CLR)",Adrien Thomasson Strasbourg,28, M(CLR),,,27(4),2397,8,4,2,1,1.5,78.8,0.5,4,6.94
7,"48Seko FofanaLens, 27, M(C)",Seko Fofana Lens,27, M(C),,,38,3364,8,1,2,-,2.6,89.8,0.5,2,6.94
8,"49Abdoulaye BakayokoSaint-Etienne, 19, Defender",Abdoulaye Bakayoko Saint-Etienne,19, Defender,,,4,309,-,-,-,-,-,68.4,1,-,6.94
9,"50Simon BanzaLens, 25, FW",Simon Banza Lens,25, FW,,,1(3),123,1,1,-,-,1.5,62.1,1.5,-,6.94
0,"51Ludovic BlasNantes, 24, M(CLR),FW",Ludovic Blas Nantes,24, M(CLR),FW,,35,2978,10,5,10,-,2.6,80.9,0.5,3,6.94
1,"52Cheick Oumar DoucouréLens, 22, DMC",Cheick Oumar Doucouré Lens,22, DMC,,,33(1),2948,1,4,7,1,0.9,87.5,0.6,2,6.94
2,"53Abdou DialloPSG, 26, D(CL)",Abdou Diallo PSG,26, D(CL),,,10(2),877,-,1,1,-,0.2,89.7,1.2,-,6.93
3,"54Houssem AouarLyon, 23, M(CL)",Houssem Aouar Lyon,23, M(CL),,,29(7),2508,6,4,1,-,2.1,86.9,0.2,2,6.93
4,"55Jonas OmlinMontpellier, 28, GK",Jonas Omlin Montpellier,28, GK,,,29,2589,-,-,-,1,-,74.6,0.4,2,6.93
5,"56Danilo PereiraPSG, 30, D(C),DMC",Danilo Pereira PSG,30, D(C),DMC,,22(5),2039,5,-,3,-,0.7,94.6,1.1,-,6.93
6,"57Achraf HakimiPSG, 23, D(LR),M(R)",Achraf Hakimi PSG,23, D(LR),M(R),,28(4),2486,4,6,3,1,0.6,90.4,0.3,2,6.93
7,"58Fabien CentonzeMetz, 26, D(R),M(R)",Fabien Centonze Metz,26, D(R),M(R),,18(1),1587,4,1,3,-,0.8,80.1,0.6,1,6.92
8,"59EmersonLyon, 27, D(L),M(L)",Emerson Lyon,27, D(L),M(L),,26(3),2267,1,2,3,1,0.6,86.7,1.4,1,6.91
9,"60Boubacar KamaraMarseille, 22, D(CL),DMC",Boubacar Kamara Marseille,22, D(CL),DMC,,31(3),2779,1,-,6,-,0.6,90.6,1.2,-,6.91
0,"61Sofiane DiopMonaco, 21, AM(CLR)",Sofiane Diop Monaco,21, AM(CLR),,,24(6),1959,6,4,6,-,1.2,77.6,0.4,2,6.9
1,"62Flavien TaitRennes, 29, M(CLR)",Flavien Tait Rennes,29, M(CLR),,,24(4),2131,5,3,3,-,1.5,86.4,0.3,-,6.9
2,"63Steve MouniéBrest, 27, FW",Steve Mounié Brest,27, FW,,,25(10),2313,9,2,2,-,2.1,60.2,6.4,1,6.89
3,"64Sergio RicoPSG, 28, GK",Sergio Rico PSG,28, GK,,,0(1),22,-,-,-,-,-,66.7,-,-,6.89
4,"65Melvin BardNice, 21, D(L)",Melvin Bard Nice,21, D(L),,,30(3),2593,2,2,4,-,0.2,82.8,1.2,1,6.89
5,"66GersonMarseille, 25, M(CLR)",Gerson Marseille,25, M(CLR),,,29(6),2553,9,4,3,-,1.3,90.4,0.7,2,6.89
6,"67Nayef AguerdRennes, 26, D(C)",Nayef Aguerd Rennes,26, D(C),,,31,2738,2,2,3,1,0.8,89,3.1,3,6.88
7,"68Denis BouangaSaint-Etienne, 27, M(CLR),FW",Denis Bouanga Saint-Etienne,27, M(CLR),FW,,28(6),2449,9,6,4,1,2.5,71.7,2,3,6.88
8,"69William SalibaMarseille, 21, D(C)",William Saliba Marseille,21, D(C),,,36,3240,-,-,5,-,0.5,93.1,1.3,-,6.87
9,"70Mattéo GuendouziMarseille, 23, M(C)",Mattéo Guendouzi Marseille,23, M(C),,,35(3),3154,4,6,6,-,1.3,88.4,0.6,3,6.87
0,"71Jean-Clair TodiboNice, 22, D(C)",Jean-Clair Todibo Nice,22, D(C),,,35(1),3116,1,-,6,-,0.5,87.5,1.9,2,6.87
1,"72Brendan ChardonnetBrest, 27, D(C)",Brendan Chardonnet Brest,27, D(C),,,31(1),2687,3,-,6,1,0.4,81.5,2.3,1,6.87
2,"73Steve MandandaMarseille, 37, GK",Steve Mandanda Marseille,37, GK,,,9,810,-,-,-,-,-,80.1,0.1,-,6.87
3,"74Anthony MandréaAngers, 25, GK",Anthony Mandréa Angers,25, GK,,,10,900,-,-,-,-,-,52.8,0.6,1,6.87
4,"75Idrissa GueyePSG, 32, M(C)",Idrissa Gueye PSG,32, M(C),,,18(8),1641,3,1,4,-,0.9,93.5,0.4,2,6.86
5,"76MarquinhosPSG, 28, D(CR),DMC",Marquinhos PSG,28, D(CR),DMC,,32,2862,5,-,5,-,0.7,93.6,1.3,-,6.86
6,"77Youcef BelaïliBrest, 30, AM(L)",Youcef Belaïli Brest,30, AM(L),,,11(2),832,3,2,2,-,1.3,76.1,0.4,1,6.86
7,"78Christopher WoohLens, 20, D(C)",Christopher Wooh Lens,20, D(C),,,11(3),1051,-,1,2,-,0.6,87.2,1.9,-,6.85
8,"79Valentin RongierMarseille, 27, D(R),M(C)",Valentin Rongier Marseille,27, D(R),M(C),,25(7),2199,-,1,3,-,0.9,90.1,0.6,-,6.85
9,"80Predrag RajkovicReims, 26, GK",Predrag Rajkovic Reims,26, GK,,,38,3420,-,-,3,-,-,65.6,0.3,1,6.85
0,"81Renato SanchesLille, 24, M(CR)",Renato Sanches Lille,24, M(CR),,,20(5),1657,2,5,6,1,0.9,85.1,0.4,5,6.85
1,"82Azor MatusiwaReims, 24, DMC",Azor Matusiwa Reims,24, DMC,,,29,2469,1,1,6,1,0.3,83.7,0.9,1,6.84
2,"83Jonathan GraditLens, 29, D(CR)",Jonathan Gradit Lens,29, D(CR),,,35,3073,-,-,7,-,0.1,89.2,1.4,1,6.84
3,"84Ruben AguilarMonaco, 29, D(R),M(R)",Ruben Aguilar Monaco,29, D(R),M(R),,22(6),2138,-,2,4,-,0.4,84.9,1.2,1,6.84
4,"85Ander HerreraPSG, 32, M(C)",Ander Herrera PSG,32, M(C),,,12(7),1093,3,2,2,-,0.7,92.3,0.1,1,6.84
5,"86Hugo EkitikeReims, 19, FW",Hugo Ekitike Reims,19, FW,,,15(9),1275,10,3,1,1,1.3,71.1,1.1,3,6.83
6,"87Julien LaporteLorient, 28, D(C)",Julien Laporte Lorient,28, D(C),,,33,2893,2,-,7,-,0.5,84.7,2.4,4,6.83
7,"88Mohamed BayoClermont Foot, 24, FW",Mohamed Bayo Clermont Foot,24, FW,,,27(5),2426,14,5,1,-,2.1,73.1,1.4,4,6.83
8,"89Ghislain KonanReims, 26, D(L),M(L)",Ghislain Konan Reims,26, D(L),M(L),,28,2422,1,3,1,-,0.7,78.4,0.5,1,6.83
9,"90Sven BotmanLille, 22, D(C)",Sven Botman Lille,22, D(C),,,25,2250,3,1,4,-,0.6,88.1,2.3,-,6.83
0,"91Baptiste SantamaríaRennes, 27, DMC",Baptiste Santamaría Rennes,27, DMC,,,28(6),2520,2,1,7,-,1,87,2.2,-,6.83
1,"92Cengiz ÜnderMarseille, 24, AM(CLR)",Cengiz Ünder Marseille,24, AM(CLR),,,25(7),2209,10,2,-,1,1.8,79.7,0.3,3,6.82
2,"93Xherdan ShaqiriLyon, 30, M(CLR)",Xherdan Shaqiri Lyon,30, M(CLR),,,9(2),686,2,3,-,-,1.2,81,0.1,1,6.82
3,"94ReinildoLille, 28, D(CL),M(L)",Reinildo Lille,28, D(CL),M(L),,18,1531,1,-,7,-,0.3,85.3,1.6,-,6.81
4,"95Jean OnanaBordeaux, 22, DMC",Jean Onana Bordeaux,22, DMC,,,23,1846,3,2,3,1,0.9,81.8,2,3,6.81
5,"96Eiji KawashimaStrasbourg, 39, GK",Eiji Kawashima Strasbourg,39, GK,,,1,90,-,-,-,-,-,88,-,-,6.81
6,"97Aleksandr GolovinMonaco, 26, M(CLR)",Aleksandr Golovin Monaco,26, M(CLR),,,17(10),1505,3,4,4,1,0.9,80.2,0.3,2,6.81
7,"98Angelo FulginiAngers, 25, AM(CLR),FW",Angelo Fulgini Angers,25, AM(CLR),FW,,35(1),2947,5,4,6,-,1.6,83.3,0.9,-,6.81
8,"99Nicolas de PrévilleMetz, 31, AM(CLR),FW",Nicolas de Préville Metz,31, AM(CLR),FW,,24(3),1982,5,2,5,-,1.5,71.7,1.7,-,6.8
9,"100Rominigue KouaméTroyes, 25, M(C)",Rominigue Kouamé Troyes,25, M(C),,,34,2977,1,2,5,-,1.1,88.2,0.5,1,6.8
0,"101Luan PeresMarseille, 27, D(CL)",Luan Peres Marseille,27, D(CL),,,29(5),2677,-,2,7,-,0.1,88.1,1.2,1,6.8
1,"102Ronaël Pierre-GabrielBrest, 23, D(LR)",Ronaël Pierre-Gabriel Brest,23, D(LR),,,29(1),2555,-,1,6,-,0.2,84,0.5,-,6.8
2,"103Justin KluivertNice, 23, AM(LR)",Justin Kluivert Nice,23, AM(LR),,,25(3),1883,4,5,7,1,1.1,76.3,0.5,2,6.79
3,"104Mario LeminaNice, 28, DMC",Mario Lemina Nice,28, DMC,,,24(8),1972,2,-,6,1,0.5,87.8,0.7,1,6.79
4,"105VandersonMonaco, 20, D(R),M(R)",Vanderson Monaco,20, D(R),M(R),,12(5),1122,2,1,3,-,0.8,73.3,0.8,1,6.79
5,"106Ryad BoudebouzSaint-Etienne, 32, M(CLR),FW",Ryad Boudebouz Saint-Etienne,32, M(CLR),FW,,27(3),2267,3,4,2,-,0.9,81.9,0.4,1,6.79
6,"107Steven FortèsLens, 30, D(C)",Steven Fortès Lens,30, D(C),,,1,90,-,-,-,-,-,96.4,1,-,6.79
7,"108Kevin VollandMonaco, 29, AM(CLR),FW",Kevin Volland Monaco,29, AM(CLR),FW,,29(5),2450,9,9,10,-,1.5,67.9,0.9,1,6.79
8,"109Ibrahima SissokoStrasbourg, 24, D(C),DMC",Ibrahima Sissoko Strasbourg,24, D(C),DMC,,26(9),2306,2,5,6,-,0.7,80.9,1.7,2,6.79
9,"110Walter BenítezNice, 29, GK",Walter Benítez Nice,29, GK,,,37,3330,-,-,2,-,-,71,0.4,3,6.79
0,"111Romain ThomasAngers, 33, D(C)",Romain Thomas Angers,33, D(C),,,29(1),2566,2,-,10,-,0.5,86.3,2.3,1,6.78
1,"112Keylor NavasPSG, 35, GK",Keylor Navas PSG,35, GK,,,21,1858,-,-,-,1,-,89.9,0.1,-,6.78
2,"113Sergio RamosPSG, 36, D(CR)",Sergio Ramos PSG,36, D(CR),,,8(4),799,2,-,1,1,1,93.7,1.2,-,6.78
3,"114Laurent AbergelLorient, 29, DMC",Laurent Abergel Lorient,29, DMC,,,34,2963,-,3,9,-,0.9,82.4,0.3,-,6.78
4,"115Sanjin PrcicStrasbourg, 28, M(C)",Sanjin Prcic Strasbourg,28, M(C),,,27(5),2197,1,-,4,-,1.4,86.3,0.5,-,6.77
5,"116Mahdi CamaraSaint-Etienne, 23, D(CR),DMC",Mahdi Camara Saint-Etienne,23, D(CR),DMC,,34(1),3074,3,-,8,-,0.8,83.4,0.9,2,6.77
6,"117Alban LafontNantes, 23, GK",Alban Lafont Nantes,23, GK,,,38,3420,-,-,3,-,-,56.2,0.6,1,6.77
7,"118Kevin DansoLens, 23, D(C)",Kevin Danso Lens,23, D(C),,,32(1),2793,2,2,7,2,0.4,86.3,2.2,2,6.77
8,"119Castello LukebaLyon, 19, D(C)",Castello Lukeba Lyon,19, D(C),,,24,2097,2,-,1,-,0.3,90,1.7,1,6.77
9,"120Fali CandéMetz, 24, D(L),M(L)",Fali Candé Metz,24, D(L),M(L),,11,975,-,2,2,-,0.5,74.8,1.6,1,6.77
0,"121Benoît BadiashileMonaco, 21, D(C)",Benoît Badiashile Monaco,21, D(C),,,21(3),1837,1,-,4,-,0.6,87.9,2.4,1,6.77
1,"122Maxime Le MarchandStrasbourg, 32, D(CL)",Maxime Le Marchand Strasbourg,32, D(CL),,,9(3),857,1,1,4,-,0.3,88.5,1.3,1,6.77
2,"123Giulian BianconeTroyes, 22, D(CLR),M(LR)",Giulian Biancone Troyes,22, D(CLR),M(LR),,26(7),2292,1,2,10,-,0.8,76.5,1.5,1,6.77
3,"124Gelson MartinsMonaco, 27, M(LR)",Gelson Martins Monaco,27, M(LR),,,24(8),1921,4,3,4,-,0.9,80.4,0.7,2,6.77
4,"125Nabil BentalebAngers, 27, M(C)",Nabil Bentaleb Angers,27, M(C),,,18,1523,1,-,4,-,0.8,83,1,1,6.76
5,"126Presnel KimpembePSG, 26, D(C)",Presnel Kimpembe PSG,26, D(C),,,29(1),2580,1,-,6,-,0.2,95.5,1.6,-,6.76
6,"127Quentin MerlinNantes, 20, D(L),M(L)",Quentin Merlin Nantes,20, D(L),M(L),,21(7),1923,2,3,-,-,0.4,80.7,0.4,-,6.76
7,"128Wout FaesReims, 24, D(C)",Wout Faes Reims,24, D(C),,,37,3330,4,-,2,-,0.6,85.6,1,3,6.76
8,"129Yunis AbdelhamidReims, 34, D(C)",Yunis Abdelhamid Reims,34, D(C),,,34,2984,2,-,5,1,0.5,82,1.8,-,6.76
9,"130Dimitri LienardStrasbourg, 34, D(L),M(CL)",Dimitri Lienard Strasbourg,34, D(L),M(CL),,23(10),2047,2,3,8,-,0.7,75.7,0.6,1,6.76
0,"131RafinhaPSG, 29, M(CLR)",Rafinha PSG,29, M(CLR),,,3(2),221,-,-,-,-,1,90.3,-,-,6.75
1,"132Przemyslaw FrankowskiLens, 27, M(CLR)",Przemyslaw Frankowski Lens,27, M(CLR),,,28(9),2452,6,5,5,-,0.9,82.2,0.3,3,6.75
2,"133Matthieu UdolMetz, 26, D(CL),M(L)",Matthieu Udol Metz,26, D(CL),M(L),,11(1),1006,1,-,-,-,0.4,81.3,1.9,-,6.75
3,"134Alexander DjikuStrasbourg, 27, D(CR),DMC",Alexander Djiku Strasbourg,27, D(CR),DMC,,30(1),2697,1,-,8,1,0.5,83,2.3,1,6.74
4,"135Wahbi KhazriSaint-Etienne, 31, M(CLR),FW",Wahbi Khazri Saint-Etienne,31, M(CLR),FW,,26(4),2239,10,-,6,-,2.4,74.8,0.4,1,6.74
5,"136Enzo Le FéeLorient, 22, AM(CLR)",Enzo Le Fée Lorient,22, AM(CLR),,,25(11),2202,2,3,2,-,0.9,82.4,0.5,2,6.74
6,"137Anthony LopesLyon, 31, GK",Anthony Lopes Lyon,31, GK,,,34,2984,-,-,1,1,-,81,0.2,2,6.74
7,"138Jordan AmaviNice, 28, D(L),M(L)",Jordan Amavi Nice,28, D(L),M(L),,4(4),414,-,-,1,-,-,84.8,1.3,-,6.74
8,"139Caio HenriqueMonaco, 24, D(L),M(CL)",Caio Henrique Monaco,24, D(L),M(CL),,31(3),2670,2,8,5,-,0.6,78.8,0.4,4,6.74
9,"140Leandro ParedesPSG, 27, DMC",Leandro Paredes PSG,27, DMC,,,10(5),842,1,2,3,-,0.5,95.8,0.3,1,6.73
0,"141Guillermo MaripánMonaco, 28, D(C)",Guillermo Maripán Monaco,28, D(C),,,21(5),1828,-,-,5,-,0.3,88.8,1.8,-,6.73
1,"142Saïdou SowSaint-Etienne, 19, D(C)",Saïdou Sow Saint-Etienne,19, D(C),,,11(2),992,2,1,2,-,0.2,83.3,2.2,1,6.73
2,"143Armand LaurientéLorient, 23, AM(LR),FW",Armand Laurienté Lorient,23, AM(LR),FW,,28(7),2493,6,2,5,-,2.4,80.9,0.3,2,6.73
3,"144Arbër ZeneliReims, 27, AM(LR),FW",Arbër Zeneli Reims,27, AM(LR),FW,,4(5),411,2,3,-,-,1.2,76.5,-,1,6.73
4,"145Anthony CaciStrasbourg, 24, D(CLR),M(L)",Anthony Caci Strasbourg,24, D(CLR),M(L),,26(11),2395,1,3,4,-,0.4,80.6,1.1,1,6.73
5,"146Jonathan DavidLille, 22, AM(C),FW",Jonathan David Lille,22, AM(C),FW,,32(6),2811,15,-,3,-,1.8,78.4,0.7,1,6.73
6,"147Mehmet Zeki ÇelikLille, 25, D(R),M(R)",Mehmet Zeki Çelik Lille,25, D(R),M(R),,30(2),2698,2,3,10,-,0.7,79.8,1.3,3,6.73
7,"148Maxence CaqueretLyon, 22, DMC",Maxence Caqueret Lyon,22, DMC,,,26(5),2335,-,-,5,-,0.5,85.9,0.4,-,6.73
8,"149Tiago DjalóLille, 22, D(CLR)",Tiago Djaló Lille,22, D(CLR),,,26(2),2330,1,1,4,-,0.4,86.9,0.8,1,6.73
9,"150Alexis FlipsReims, 22, M(CR)",Alexis Flips Reims,22, M(CR),,,13(12),1062,2,4,2,-,0.8,66.9,0.3,2,6.73
0,"151Amine HaritMarseille, 24, AM(CLR),FW",Amine Harit Marseille,24, AM(CLR),FW,,12(11),1168,4,4,1,-,0.7,89.4,0.3,1,6.73
1,"152Christophe HérelleBrest, 29, D(CR)",Christophe Hérelle Brest,29, D(CR),,,23,1938,-,-,6,-,0.3,85.8,1.1,-,6.73
2,"153Youssouf FofanaMonaco, 23, DMC",Youssouf Fofana Monaco,23, DMC,,,23(10),2187,-,4,4,-,0.9,76.3,0.4,-,6.72
3,"154Jean-Charles CastellettoNantes, 27, D(C)",Jean-Charles Castelletto Nantes,27, D(C),,,28,2512,1,-,8,-,0.6,86.3,2,1,6.72
4,"155Wylan CyprienNantes, 27, M(C)",Wylan Cyprien Nantes,27, M(C),,,17(7),1494,2,3,3,-,0.8,84.1,0.2,-,6.72
5,"156Thomas ManganiAngers, 35, M(C)",Thomas Mangani Angers,35, M(C),,,25(8),2195,7,2,6,-,0.5,81.7,0.9,1,6.72
6,"157Fodé DoucouréReims, 21, Defender",Fodé Doucouré Reims,21, Defender,,,1(2),153,-,-,-,-,-,65.6,0.3,-,6.71
7,"158DanteNice, 38, D(C)",Dante Nice,38, D(C),,,33(1),2874,-,-,5,3,0.4,90.5,1.5,1,6.71
8,"159Stephy MavididiMontpellier, 24, AM(LR),FW",Stephy Mavididi Montpellier,24, AM(LR),FW,,27(3),2313,8,3,4,-,2,80.1,0.3,1,6.71
9,"160Nicolas PalloisNantes, 34, D(C)",Nicolas Pallois Nantes,34, D(C),,,29(1),2450,1,-,6,1,0.3,80.1,1.5,1,6.71
0,"161Thomas MonconduitLorient, 31, DMC",Thomas Monconduit Lorient,31, DMC,,,26(8),2254,3,2,5,-,1.1,79.8,1,4,6.71
1,"162Gerzino NyamsiStrasbourg, 25, D(C)",Gerzino Nyamsi Strasbourg,25, D(C),,,33(1),2983,-,2,4,-,0.8,83.5,2.6,-,6.7
2,"163Jean-Ricner BellegardeStrasbourg, 23, M(CLR)",Jean-Ricner Bellegarde Strasbourg,23, M(CLR),,,26(10),2337,2,3,5,-,0.9,85.6,0.5,1,6.7
3,"164José FonteLille, 38, D(C)",José Fonte Lille,38, D(C),,,38,3420,-,2,4,-,0.6,87.1,2.3,-,6.7
4,"165Axel DisasiMonaco, 24, D(C)",Axel Disasi Monaco,24, D(C),,,30(2),2725,1,-,5,-,0.6,87.2,2.2,-,6.7
5,"166Habib DialloStrasbourg, 26, AM(R),FW",Habib Diallo Strasbourg,26, AM(R),FW,,16(15),1537,11,1,2,-,1.6,70.2,1.8,3,6.7
6,"167Juan BernatPSG, 29, D(L),M(CL)",Juan Bernat PSG,29, D(L),M(CL),,12(3),965,-,-,2,-,0.1,93.5,0.5,-,6.69
7,"168Arnaud Kalimuendo-MuingaLens, 20, FW",Arnaud Kalimuendo-Muinga Lens,20, FW,,,27(5),2165,12,-,1,1,1.9,86.3,0.1,1,6.69
8,"169Gianluigi DonnarummaPSG, 23, GK",Gianluigi Donnarumma PSG,23, GK,,,17,1530,-,-,3,-,-,88.1,0.2,-,6.69
9,"170Josuha GuilavoguiBordeaux, 31, D(C),M(C)",Josuha Guilavogui Bordeaux,31, D(C),M(C),,15,1332,1,1,4,-,0.6,82.4,0.9,1,6.69
0,"171Jonathan BambaLille, 26, AM(CLR),FW",Jonathan Bamba Lille,26, AM(CLR),FW,,28(3),2442,1,3,3,-,1.6,79.4,0.5,1,6.69
