,Player,Player.1,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
5,"336Edo KayembeWatford, 24, DMC",Edo Kayembe Watford,24, DMC,,,9(4),801,-,-,-,-,0.5,85.9,1,-,6.48
6,"337Patrick BamfordLeeds, 28, AM(CLR),FW",Patrick Bamford Leeds,28, AM(CLR),FW,,7(2),560,2,2,2,-,2.2,81.7,0.6,-,6.48
7,"338Javier ManquilloNewcastle, 28, D(LR),M(R)",Javier Manquillo Newcastle,28, D(LR),M(R),,15(4),1267,1,2,5,-,0.2,73,0.8,-,6.48
8,"339Nicolas NkoulouWatford, 32, D(C)",Nicolas Nkoulou Watford,32, D(C),,,2(1),168,-,-,-,-,-,87.7,0.7,-,6.47
9,"340Teemu PukkiNorwich, 32, AM(C),FW",Teemu Pukki Norwich,32, AM(C),FW,,37,3261,11,3,4,-,1.9,75.2,0.4,1,6.47
0,"341ZankaBrentford, 32, D(C)",Zanka Brentford,32, D(C),,,6(2),517,1,-,2,-,0.3,80.7,1.3,-,6.47
1,"342Donny van de BeekEverton, 25, M(C)",Donny van de Beek Everton,25, M(C),,,5(2),484,1,-,1,-,0.7,84.7,1,-,6.47
2,"343Tim IroegbunamAston Villa, 18, Midfielder",Tim Iroegbunam Aston Villa,18, Midfielder,,,1(2),91,-,-,1,-,0.3,81.5,1,-,6.46
3,"344Sam ByramNorwich, 28, D(CLR),M(R)",Sam Byram Norwich,28, D(CLR),M(R),,11(4),1024,-,-,3,-,0.5,77.1,1.9,-,6.46
4,"345Mohamed ElnenyArsenal, 29, DMC",Mohamed Elneny Arsenal,29, DMC,,,8(6),802,-,2,1,-,0.6,93.5,0.4,-,6.46
5,"346Daniel AmarteyLeicester, 27, D(CR),DMC",Daniel Amartey Leicester,27, D(CR),DMC,,23(5),2120,-,-,4,-,0.1,90.7,1.2,-,6.46
6,"347Finley StevensBrentford, 19, Defender",Finley Stevens Brentford,19, Defender,,,0(1),14,-,-,-,-,-,83.3,1,-,6.46
7,"348Álvaro FernándezBrentford, 24, GK",Álvaro Fernández Brentford,24, GK,,,12,1080,-,-,-,-,-,60.5,0.2,1,6.46
8,"349Ryan FraserNewcastle, 28, M(CLR),FW",Ryan Fraser Newcastle,28, M(CLR),FW,,18(9),1471,2,3,3,-,0.9,77.5,0.2,-,6.46
9,"350Tanguy NdombeleTottenham, 25, M(C)",Tanguy Ndombele Tottenham,25, M(C),,,6(3),486,1,1,1,-,1,87.1,0.2,1,6.46
0,"351Saman GhoddosBrentford, 28, AM(CLR),FW",Saman Ghoddos Brentford,28, AM(CLR),FW,,4(13),528,1,1,2,-,0.5,71.6,0.6,-,6.46
1,"352Issa DiopWest Ham, 25, D(C)",Issa Diop West Ham,25, D(C),,,10(3),962,-,1,-,-,0.2,85.1,1.2,-,6.46
2,"353Jeremy NgakiaWatford, 21, D(R)",Jeremy Ngakia Watford,21, D(R),,,9(7),900,-,-,-,-,0.3,73.8,1,-,6.45
3,"354Patson DakaLeicester, 23, FW",Patson Daka Leicester,23, FW,,,13(10),1163,5,3,2,-,1.1,74.5,0.7,-,6.45
4,"355Jamie ShackletonLeeds, 22, D(R),DMC",Jamie Shackleton Leeds,22, D(R),DMC,,7(7),709,-,-,4,-,0.3,86.4,0.4,-,6.45
5,"356Marvelous NakambaAston Villa, 28, DMC",Marvelous Nakamba Aston Villa,28, DMC,,,10(6),905,-,-,5,-,-,85.2,0.6,-,6.45
6,"357Dan GoslingWatford, 32, M(C)",Dan Gosling Watford,32, M(C),,,2(2),165,1,-,-,-,0.5,85.7,1.3,-,6.45
7,"358Jack ButlandCrystal Palace, 29, GK",Jack Butland Crystal Palace,29, GK,,,8(1),765,-,-,-,-,-,70.4,0.1,1,6.45
8,"359Jakub ModerBrighton, 23, M(CL)",Jakub Moder Brighton,23, M(CL),,,19(9),1702,-,3,2,-,1,74.6,0.9,-,6.45
9,"360Kiko FemeníaWatford, 31, D(LR),M(R)",Kiko Femenía Watford,31, D(LR),M(R),,26(1),2150,-,5,2,-,0.1,73.7,0.4,-,6.45
0,"361Pedro NetoWolves, 22, AM(CLR),FW",Pedro Neto Wolves,22, AM(CLR),FW,,5(8),466,1,1,3,-,1.3,84.9,0.2,-,6.45
1,"362Jannik VestergaardLeicester, 29, D(C)",Jannik Vestergaard Leicester,29, D(C),,,6(4),564,-,-,2,-,0.1,88.9,1.3,-,6.44
2,"363Kenny McLeanNorwich, 30, M(C)",Kenny McLean Norwich,30, M(C),,,29(2),2707,1,-,3,-,1.1,74.5,2.2,-,6.44
3,"364Miguel AlmirónNewcastle, 28, AM(CLR),FW",Miguel Almirón Newcastle,28, AM(CLR),FW,,19(11),1721,1,-,2,-,1.1,81.6,0.2,-,6.44
4,"365Leander DendonckerWolves, 27, D(C),M(C)",Leander Dendoncker Wolves,27, D(C),M(C),,21(9),1948,2,2,4,-,0.8,86.9,1,-,6.44
5,"366Danny RoseWatford, 31, D(L),M(L)",Danny Rose Watford,31, D(L),M(L),,7(1),689,-,-,4,-,0.5,68.3,0.5,-,6.44
6,"367Jay RodriguezBurnley, 32, AM(CLR),FW",Jay Rodriguez Burnley,32, AM(CLR),FW,,13(16),1375,2,2,3,-,1.4,59.9,1.9,-,6.44
7,"368Daniel JamesLeeds, 24, AM(LR),FW",Daniel James Leeds,24, AM(LR),FW,,29(3),2368,4,4,7,1,1.6,71.7,0.4,-,6.44
8,"369Luka MilivojevicCrystal Palace, 31, DMC",Luka Milivojevic Crystal Palace,31, DMC,,,9(6),776,-,-,1,-,0.5,85.6,0.9,-,6.44
9,"370Jóhann GudmundssonBurnley, 31, AM(CLR)",Jóhann Gudmundsson Burnley,31, AM(CLR),,,13(5),1105,-,1,2,-,1.1,67.6,0.8,-,6.44
0,"371Nicolas PépéArsenal, 27, AM(LR),FW",Nicolas Pépé Arsenal,27, AM(LR),FW,,5(15),682,1,2,-,-,1.2,83.7,0.9,1,6.44
1,"372Isaac HaydenNewcastle, 27, D(C),DMC",Isaac Hayden Newcastle,27, D(C),DMC,,12(2),1003,1,-,5,-,0.4,78.6,1.4,-,6.44
2,"373Wayne HennesseyBurnley, 35, GK",Wayne Hennessey Burnley,35, GK,,,2,180,-,-,-,-,-,47.9,1,-,6.44
3,"374Max AaronsNorwich, 22, D(R)",Max Aarons Norwich,22, D(R),,,32(2),2882,-,2,8,-,0.4,77.2,0.4,-,6.43
4,"375Ezri KonsaAston Villa, 24, D(CR)",Ezri Konsa Aston Villa,24, D(CR),,,29,2482,2,-,4,2,0.5,86.4,2,-,6.43
5,"376Ashley YoungAston Villa, 36, D(LR),M(LR)",Ashley Young Aston Villa,36, D(LR),M(LR),,10(14),1241,-,2,2,-,0.4,80,0.3,1,6.43
6,"377Cole PalmerMan City, 20, Midfielder",Cole Palmer Man City,20, Midfielder,,,1(3),122,-,-,-,-,1,90.2,0.5,-,6.43
7,"378Harry WinksTottenham, 26, DMC",Harry Winks Tottenham,26, DMC,,,9(10),908,-,1,2,-,0.2,88.2,0.2,-,6.43
8,"379Phil JonesMan Utd, 30, D(CR),DMC",Phil Jones Man Utd,30, D(CR),DMC,,2(2),163,-,-,-,-,-,87.7,0.5,-,6.42
9,"380James TomkinsCrystal Palace, 33, D(CR)",James Tomkins Crystal Palace,33, D(CR),,,6(2),546,1,-,2,-,0.5,86.5,1.3,-,6.42
0,"381Boubakary SoumaréLeicester, 23, DMC",Boubakary Soumaré Leicester,23, DMC,,,12(7),1102,-,1,-,-,0.3,82.5,1.4,-,6.42
1,"382Ashley WestwoodBurnley, 32, DMC",Ashley Westwood Burnley,32, DMC,,,26(1),2290,-,3,7,-,0.5,75.2,0.3,-,6.42
2,"383Steven AlzateBrighton, 23, DMC,M(L)",Steven Alzate Brighton,23, DMC,M(L),,5(4),407,-,-,-,-,0.1,87.5,0.4,-,6.42
3,"384Nuno TavaresArsenal, 22, D(L)",Nuno Tavares Arsenal,22, D(L),,,13(9),1171,1,1,2,-,1,82.1,1.1,-,6.42
4,"385Tim KrulNorwich, 34, GK",Tim Krul Norwich,34, GK,,,29,2610,-,-,1,-,-,65.4,0.2,-,6.42
5,"386Mathias JensenBrentford, 26, M(C)",Mathias Jensen Brentford,26, M(C),,,19(12),1602,-,1,-,-,0.6,76.2,0.2,-,6.42
6,"387Milot RashicaNorwich, 25, AM(CLR),FW",Milot Rashica Norwich,25, AM(CLR),FW,,25(6),2240,1,2,-,-,1.4,70.8,0.4,-,6.42
7,"388Bernd LenoArsenal, 30, GK",Bernd Leno Arsenal,30, GK,,,4,360,-,-,-,-,-,62.4,0.8,-,6.41
8,"389Romain PerraudSouthampton, 24, D(L),M(L)",Romain Perraud Southampton,24, D(L),M(L),,18(2),1625,-,1,3,-,1,70.6,0.8,-,6.41
9,"390John RuddyWolves, 35, GK",John Ruddy Wolves,35, GK,,,1(1),135,-,-,-,-,-,62.1,0.5,-,6.4
0,"391Edinson CavaniMan Utd, 35, AM(LR),FW",Edinson Cavani Man Utd,35, AM(LR),FW,,7(8),765,2,1,-,-,1.2,76.1,0.5,-,6.4
1,"392Matt RitchieNewcastle, 32, D(L),M(CLR)",Matt Ritchie Newcastle,32, D(L),M(CLR),,14(4),1335,-,2,5,-,0.6,78,0.8,-,6.4
2,"393Leon BaileyAston Villa, 24, M(LR),FW",Leon Bailey Aston Villa,24, M(LR),FW,,7(11),757,1,2,3,-,1.2,76.6,0.6,-,6.4
3,"394Sean LongstaffNewcastle, 24, DMC",Sean Longstaff Newcastle,24, DMC,,,15(9),1461,1,1,1,-,0.6,81,0.5,1,6.39
4,"395Billy GilmourNorwich, 20, DMC",Billy Gilmour Norwich,20, DMC,,,21(3),1858,-,1,2,-,0.8,83.7,0.5,-,6.39
5,"396Jacob MurphyNewcastle, 27, D(R),M(LR)",Jacob Murphy Newcastle,27, D(R),M(LR),,13(20),1455,1,2,4,-,0.8,64.5,0.4,-,6.38
6,"397Adam ArmstrongSouthampton, 25, AM(CLR),FW",Adam Armstrong Southampton,25, AM(CLR),FW,,17(6),1415,2,2,1,-,2,74.9,0.6,1,6.38
7,"398Ibrahima DialloSouthampton, 23, DMC",Ibrahima Diallo Southampton,23, DMC,,,10(13),1019,-,2,1,-,0.3,80.6,0.5,-,6.38
8,"399CJ Egan-RileyMan City, 19, Defender",CJ Egan-Riley Man City,19, Defender,,,0(1),3,-,-,-,-,-,100,-,-,6.38
9,"400Tariqe Fosu-HenryBrentford, 26, M(CLR)",Tariqe Fosu-Henry Brentford,26, M(CLR),,,0(1),16,-,-,-,-,1,83.3,-,-,6.38
0,"401Jack CorkBurnley, 32, DMC",Jack Cork Burnley,32, DMC,,,20,1676,1,-,4,-,0.4,74.2,1.3,-,6.38
1,"402Takumi MinaminoLiverpool, 27, AM(CLR),FW",Takumi Minamino Liverpool,27, AM(CLR),FW,,1(10),179,3,-,1,-,0.6,85.3,0.1,1,6.38
2,"403Mateusz KlichLeeds, 31, M(C)",Mateusz Klich Leeds,31, M(C),,,26(7),2095,1,2,5,-,1.3,79.9,0.2,-,6.37
3,"404Christian KabaseleWatford, 31, D(C)",Christian Kabasele Watford,31, D(C),,,12(4),1191,-,-,-,-,0.4,78.5,2.9,-,6.37
4,"405Craig CathcartWatford, 33, D(CR)",Craig Cathcart Watford,33, D(CR),,,27(4),2396,-,1,3,-,0.1,81.3,1.5,-,6.37
5,"406LyancoSouthampton, 25, D(C)",Lyanco Southampton,25, D(C),,,9(6),906,-,-,2,-,0.4,72.2,1.3,-,6.37
6,"407Federico FernándezNewcastle, 33, D(C)",Federico Fernández Newcastle,33, D(C),,,5(2),522,-,-,-,-,0.9,87.4,1.4,-,6.37
7,"408Frank OnyekaBrentford, 24, DMC",Frank Onyeka Brentford,24, DMC,,,12(8),1051,-,-,4,-,0.8,80.2,0.8,-,6.37
8,"409Ozan KabakNorwich, 22, D(C)",Ozan Kabak Norwich,22, D(C),,,11,925,-,-,2,-,0.4,81.4,2,-,6.36
9,"410Pascal StruijkLeeds, 22, D(C),DMC",Pascal Struijk Leeds,22, D(C),DMC,,22(7),2053,1,-,6,1,0.4,85.2,1.4,-,6.36
0,"411Robin KochLeeds, 25, D(C),DMC",Robin Koch Leeds,25, D(C),DMC,,17(3),1575,-,-,3,-,0.7,77.4,2.3,-,6.35
1,"412Adam IdahNorwich, 21, FW",Adam Idah Norwich,21, FW,,,6(11),620,1,1,-,-,0.8,67.4,0.9,1,6.35
2,"413Ayoze PérezLeicester, 28, AM(CLR),FW",Ayoze Pérez Leicester,28, AM(CLR),FW,,6(8),444,2,3,-,1,0.8,80.7,0.4,-,6.35
3,"414Ben GibsonNorwich, 29, D(CL)",Ben Gibson Norwich,29, D(CL),,,28,2495,-,-,3,1,0.3,81.3,1.9,-,6.35
4,"415Marcus RashfordMan Utd, 24, AM(CLR),FW",Marcus Rashford Man Utd,24, AM(CLR),FW,,13(12),1233,4,2,2,-,0.9,76.1,0.4,-,6.35
5,"416Ainsley Maitland-NilesArsenal, 24, D(LR),M(CLR)",Ainsley Maitland-Niles Arsenal,24, D(LR),M(CLR),,2(6),265,-,-,-,-,0.3,77,0.4,-,6.35
6,"417Shane LongSouthampton, 35, AM(R),FW",Shane Long Southampton,35, AM(R),FW,,3(10),303,1,-,1,-,0.7,60.6,1.8,-,6.34
7,"418Morgan SansonAston Villa, 27, M(CLR)",Morgan Sanson Aston Villa,27, M(CLR),,,3(7),352,-,-,-,-,0.1,78.4,0.3,-,6.34
8,"419Jeff HendrickNewcastle, 30, M(CR)",Jeff Hendrick Newcastle,30, M(CR),,,0(3),70,1,-,-,-,0.3,93.1,0.3,-,6.34
9,"420Jacob SørensenNorwich, 24, D(L),DMC",Jacob Sørensen Norwich,24, D(L),DMC,,6(4),601,-,-,-,-,0.5,81.5,1.1,-,6.34
0,"421Sam GreenwoodLeeds, 20, Forward",Sam Greenwood Leeds,20, Forward,,,1(6),232,-,2,-,-,0.6,74,0.3,-,6.34
1,"422Luke CundleWolves, 20, Midfielder",Luke Cundle Wolves,20, Midfielder,,,2(2),180,-,-,-,-,-,93.2,-,-,6.34
2,"423Adam ForshawLeeds, 30, M(C)",Adam Forshaw Leeds,30, M(C),,,17(5),1530,-,1,5,-,0.6,83.5,0.5,-,6.33
3,"424Jamal LewisNewcastle, 24, D(L),M(L)",Jamal Lewis Newcastle,24, D(L),M(L),,4(1),263,-,-,1,-,-,78.5,0.2,-,6.33
4,"425Matej VydraBurnley, 30, AM(CL),FW",Matej Vydra Burnley,30, AM(CL),FW,,5(17),668,2,3,1,-,0.9,73.5,0.8,-,6.33
5,"426Anwar El GhaziAston Villa, 27, AM(LR),FW",Anwar El Ghazi Aston Villa,27, AM(LR),FW,,4(5),383,1,1,2,-,0.9,76.7,1.1,-,6.33
6,"427Tyler RobertsLeeds, 23, AM(C),FW",Tyler Roberts Leeds,23, AM(C),FW,,7(16),979,1,1,5,-,1.3,73.9,0.4,1,6.32
7,"428Shandon BaptisteBrentford, 24, M(C)",Shandon Baptiste Brentford,24, M(C),,,9(13),905,1,-,-,1,0.5,85.2,0.3,-,6.32
8,"429Joshua SargentNorwich, 22, AM(CR),FW",Joshua Sargent Norwich,22, AM(CR),FW,,18(8),1579,2,1,1,-,0.9,72.8,1.5,1,6.32
9,"430Nampalys MendyLeicester, 29, M(C)",Nampalys Mendy Leicester,29, M(C),,,12(2),1035,-,-,3,-,0.1,91.9,0.4,-,6.32
0,"431Juan MataMan Utd, 34, AM(CLR)",Juan Mata Man Utd,34, AM(CLR),,,2(5),232,-,-,-,-,0.7,88.9,-,-,6.31
1,"432Peter EteboWatford, 26, M(CL),FW",Peter Etebo Watford,26, M(CL),FW,,4(5),398,-,-,3,-,0.3,90.9,0.3,-,6.31
2,"433Anthony MartialMan Utd, 26, AM(LR),FW",Anthony Martial Man Utd,26, AM(LR),FW,,2(6),210,1,-,-,-,0.6,81.7,0.5,-,6.31
3,"434Tom CleverleyWatford, 32, M(CLR)",Tom Cleverley Watford,32, M(CLR),,,20(8),1626,-,2,2,-,0.4,76.5,0.5,-,6.31
4,"435Ki-Jana HoeverWolves, 20, M(R)",Ki-Jana Hoever Wolves,20, M(R),,,4(4),307,-,-,1,-,0.1,69.5,0.4,-,6.31
5,"436Donny van de BeekMan Utd, 25, M(C)",Donny van de Beek Man Utd,25, M(C),,,0(8),69,1,-,-,-,0.3,78.8,0.1,-,6.3
6,"437Giovani Lo CelsoTottenham, 26, M(CR),FW",Giovani Lo Celso Tottenham,26, M(CR),FW,,2(7),233,-,-,-,-,1,83.3,-,-,6.3
7,"438Ken SemaWatford, 28, M(CLR)",Ken Sema Watford,28, M(CLR),,,7(11),846,-,-,1,-,0.2,64.9,0.7,-,6.29
8,"439Bertrand TraoréAston Villa, 26, AM(R),FW",Bertrand Traoré Aston Villa,26, AM(R),FW,,1(8),213,-,-,-,-,0.9,76.9,0.4,-,6.28
9,"440Joe GelhardtLeeds, 20, FW",Joe Gelhardt Leeds,20, FW,,,5(15),738,2,2,4,-,1.2,65,0.6,-,6.28
0,"441Aaron LennonBurnley, 35, M(LR)",Aaron Lennon Burnley,35, M(LR),,,17(11),1548,2,-,2,-,0.4,73.5,0.3,-,6.28
1,"442Eric BaillyMan Utd, 28, D(CR)",Eric Bailly Man Utd,28, D(CR),,,3(1),218,-,-,1,-,-,80,1.5,-,6.28
2,"443Jonjoe KennyEverton, 25, D(LR),M(R)",Jonjoe Kenny Everton,25, D(LR),M(R),,11(4),1017,-,1,1,1,0.3,73.7,0.6,-,6.27
3,"444Ben FosterWatford, 39, GK",Ben Foster Watford,39, GK,,,26,2340,-,1,-,-,-,44,0.2,1,6.27
4,"445Mads Bech SørensenBrentford, 23, D(CL)",Mads Bech Sørensen Brentford,23, D(CL),,,9(2),834,-,-,3,-,0.2,81.4,0.8,-,6.27
5,"446Mads RoerslevBrentford, 22, D(R),M(R)",Mads Roerslev Brentford,22, D(R),M(R),,12(9),1235,1,1,1,-,0.2,67,0.6,-,6.27
6,"447William Troost-EkongWatford, 28, D(C)",William Troost-Ekong Watford,28, D(C),,,15(2),1388,-,-,3,-,0.1,77.2,1.4,-,6.27
7,"448Dele AlliEverton, 26, M(CL),FW",Dele Alli Everton,26, M(CL),FW,,1(10),332,-,-,3,-,0.3,73,0.8,-,6.26
8,"449Samuel KaluWatford, 24, M(LR)",Samuel Kalu Watford,24, M(LR),,,2(2),222,-,-,-,-,1,88.5,-,-,6.25
9,"450Nathan TellaSouthampton, 22, AM(LR),FW",Nathan Tella Southampton,22, AM(LR),FW,,10(4),811,-,1,2,-,0.9,62.1,0.4,-,6.25
0,"451Steven BergwijnTottenham, 24, AM(CLR),FW",Steven Bergwijn Tottenham,24, AM(CLR),FW,,4(21),551,3,1,1,-,0.8,84.2,0.2,-,6.25
1,"452Willy CaballeroSouthampton, 40, GK",Willy Caballero Southampton,40, GK,,,2,180,-,-,1,-,-,61.7,-,-,6.25
2,"453Ciaran ClarkNewcastle, 32, D(CL)",Ciaran Clark Newcastle,32, D(CL),,,12(1),1015,-,1,2,1,0.5,79.1,2,-,6.24
3,"454Jesse LingardMan Utd, 29, AM(CLR),FW",Jesse Lingard Man Utd,29, AM(CLR),FW,,2(14),356,2,-,1,-,0.5,88.3,-,-,6.24
4,"455Lukas RuppNorwich, 31, M(CR)",Lukas Rupp Norwich,31, M(CR),,,7(12),764,-,-,-,-,0.6,83.3,0.3,-,6.23
5,"456Todd CantwellNorwich, 24, AM(CLR)",Todd Cantwell Norwich,24, AM(CLR),,,5(3),441,-,-,2,-,0.6,84.1,0.4,-,6.23
6,"457Crysencio SummervilleLeeds, 20, AM(R)",Crysencio Summerville Leeds,20, AM(R),,,0(6),126,-,-,-,-,0.3,75.8,-,-,6.23
7,"458Mark NobleWest Ham, 35, M(C)",Mark Noble West Ham,35, M(C),,,3(8),327,1,-,-,-,0.2,87.9,0.1,-,6.23
8,"459Kevin LongBurnley, 31, D(C)",Kevin Long Burnley,31, D(C),,,4(2),408,-,-,1,-,0.7,77.5,2.2,-,6.22
9,"460Kieran DowellNorwich, 24, AM(CLR)",Kieran Dowell Norwich,24, AM(CLR),,,11(8),913,1,1,-,-,0.4,73,0.4,-,6.22
0,"461Nikola VlasicWest Ham, 24, AM(CLR),FW",Nikola Vlasic West Ham,24, AM(CLR),FW,,6(13),555,1,-,-,-,0.4,80.8,0.3,-,6.22
1,"462Karl DarlowNewcastle, 31, GK",Karl Darlow Newcastle,31, GK,,,8,720,-,-,1,-,-,57.5,0.3,-,6.22
2,"463Tom DaviesEverton, 23, M(C)",Tom Davies Everton,23, M(C),,,2(4),233,1,-,1,-,1,74.1,0.5,-,6.22
3,"464Ellis SimmsEverton, 21, FW",Ellis Simms Everton,21, FW,,,1,62,-,-,-,-,-,58.3,2,-,6.21
4,"465Carney ChukwuemekaAston Villa, 18, Midfielder",Carney Chukwuemeka Aston Villa,18, Midfielder,,,2(10),295,-,1,-,-,0.3,81.7,0.6,-,6.2
5,"466Dane ScarlettTottenham, 18, Forward",Dane Scarlett Tottenham,18, Forward,,,0(1),3,-,-,-,-,-,100,-,-,6.2
6,"467Przemyslaw PlachetaNorwich, 24, AM(LR)",Przemyslaw Placheta Norwich,24, AM(LR),,,6(6),506,-,-,1,-,0.7,74.2,0.1,-,6.2
7,"468William SmallboneSouthampton, 22, M(R)",William Smallbone Southampton,22, M(R),,,2(2),134,-,-,-,-,0.3,57.6,0.3,-,6.19
8,"469Ashley BarnesBurnley, 32, AM(CL),FW",Ashley Barnes Burnley,32, AM(CL),FW,,8(15),803,1,-,4,-,0.7,63.7,2.2,-,6.19
9,"470Troy DeeneyWatford, 33, FW",Troy Deeney Watford,33, FW,,,0(2),23,-,-,-,-,1,42.9,3,-,6.19
0,"471Charlie CresswellLeeds, 19, Defender",Charlie Cresswell Leeds,19, Defender,,,1(4),131,-,-,1,-,0.2,72.1,1.2,-,6.19
1,"472Salomón RondónEverton, 32, FW",Salomón Rondón Everton,32, FW,,,8(12),783,1,1,3,1,1.1,62.4,1.9,-,6.19
2,"473Moussa DjenepoSouthampton, 23, AM(LR)",Moussa Djenepo Southampton,23, AM(LR),,,5(7),455,-,-,3,-,0.9,75.7,0.2,-,6.18
3,"474Axel TuanzebeAston Villa, 24, D(CR)",Axel Tuanzebe Aston Villa,24, D(CR),,,6(3),506,-,-,1,-,0.2,86.3,1.4,-,6.18
4,"475André GomesEverton, 28, M(CLR)",André Gomes Everton,28, M(CLR),,,7(7),619,-,1,3,-,1,77.2,0.6,-,6.17
5,"476Harrison AshbyWest Ham, 20, Defender",Harrison Ashby West Ham,20, Defender,,,0(1),6,-,-,-,-,-,100,-,-,6.17
6,"477Jonathan RoweNorwich, 19, Forward",Jonathan Rowe Norwich,19, Forward,,,0(13),211,-,1,-,-,0.2,71.2,0.1,-,6.17
7,"478Dale StephensBurnley, 32, M(C)",Dale Stephens Burnley,32, M(C),,,1(2),123,-,-,1,-,0.3,80.7,-,-,6.17
8,"479Ryan FredericksWest Ham, 29, D(R),M(R)",Ryan Fredericks West Ham,29, D(R),M(R),,3(4),304,-,-,1,-,-,78.2,0.4,-,6.15
9,"480Jarrad BranthwaiteEverton, 19, D(C)",Jarrad Branthwaite Everton,19, D(C),,,4(2),388,1,-,-,1,0.5,75.7,1.8,-,6.15
0,"481Marcus ForssBrentford, 22, FW",Marcus Forss Brentford,22, FW,,,1(6),203,-,1,-,-,0.7,61.1,0.3,-,6.15
1,"482Andrii YarmolenkoWest Ham, 32, AM(CR),FW",Andrii Yarmolenko West Ham,32, AM(CR),FW,,1(18),304,1,-,1,-,0.6,77.2,0.3,-,6.15
2,"483Bryan GilTottenham, 21, AM(CLR)",Bryan Gil Tottenham,21, AM(CLR),,,0(9),86,-,-,-,-,0.1,83.9,-,-,6.15
3,"484Jesurun Rak-SakyiCrystal Palace, 19, Midfielder",Jesurun Rak-Sakyi Crystal Palace,19, Midfielder,,,1(1),81,-,-,-,-,-,87.5,-,-,6.15
4,"485Robin OlsenAston Villa, 32, GK",Robin Olsen Aston Villa,32, GK,,,1,90,-,-,-,-,-,46.2,-,-,6.14
5,"486Josh DasilvaBrentford, 23, M(C)",Josh Dasilva Brentford,23, M(C),,,2(7),252,-,-,-,1,0.1,82.8,0.3,-,6.14
6,"487Taylor RichardsBrighton, 21, AM(C)",Taylor Richards Brighton,21, AM(C),,,0(2),23,-,-,-,-,0.5,77.8,0.5,-,6.14
7,"488Chem CampbellWolves, 19, Forward",Chem Campbell Wolves,19, Forward,,,0(1),12,-,-,-,-,-,88.9,-,-,6.13
8,"489James McAteeMan City, 19, Midfielder",James McAtee Man City,19, Midfielder,,,0(2),19,-,-,-,-,0.5,69.2,0.5,-,6.13
9,"490Calum ChambersArsenal, 27, D(CR),DMC",Calum Chambers Arsenal,27, D(CR),DMC,,2,171,-,-,-,-,1,81.7,1,-,6.13
0,"491Tyler MortonLiverpool, 19, M(C)",Tyler Morton Liverpool,19, M(C),,,1(1),66,-,-,1,-,-,85.7,1,-,6.13
1,"492Jairo RiedewaldCrystal Palace, 25, D(CL),DMC",Jairo Riedewald Crystal Palace,25, D(CL),DMC,,1(2),117,-,-,-,-,-,84.9,-,-,6.12
2,"493Lewis BruntLeicester, 21, Midfielder",Lewis Brunt Leicester,21, Midfielder,,,0(1),23,-,-,-,-,-,100,-,-,6.12
3,"494Ryan BertrandLeicester, 32, D(CL),M(L)",Ryan Bertrand Leicester,32, D(CL),M(L),,4,338,-,-,1,-,-,81.4,0.3,-,6.1
4,"495Aaron ConnollyBrighton, 22, FW",Aaron Connolly Brighton,22, FW,,,1(3),155,-,-,-,-,0.5,73.7,0.5,-,6.1
5,"496Joe RodonTottenham, 24, D(C)",Joe Rodon Tottenham,24, D(C),,,0(3),87,-,-,-,-,-,82.9,0.7,-,6.09
6,"497Christoph ZimmermannNorwich, 29, D(C)",Christoph Zimmermann Norwich,29, D(C),,,2(1),158,-,-,-,-,0.7,73,0.7,-,6.09
7,"498KaykyMan City, 18, Forward",Kayky Man City,18, Forward,,,0(1),6,-,-,-,-,-,100,-,-,6.09
8,"499Theo WalcottSouthampton, 33, M(CLR),FW",Theo Walcott Southampton,33, M(CLR),FW,,5(4),381,-,-,-,-,0.7,71.6,0.4,-,6.09
9,"500Fábio SilvaWolves, 19, FW",Fábio Silva Wolves,19, FW,,,6(16),565,-,-,-,-,0.9,68.4,0.4,-,6.09
0,"501Kaide GordonLiverpool, 17, Forward",Kaide Gordon Liverpool,17, Forward,,,0(1),8,-,-,-,-,1,100,-,-,6.08
1,"502Sonny PerkinsWest Ham, 18, Midfielder",Sonny Perkins West Ham,18, Midfielder,,,0(1),3,-,-,-,-,-,-,1,-,6.08
2,"503Jean-Philippe GbaminEverton, 26, D(CR),DMC",Jean-Philippe Gbamin Everton,26, D(CR),DMC,,1(2),67,-,-,-,-,-,72.7,0.3,-,6.07
3,"504Christos TzolisNorwich, 20, AM(L)",Christos Tzolis Norwich,20, AM(L),,,3(11),330,-,-,-,-,0.4,75,0.2,-,6.06
4,"505Mads BidstrupBrentford, 21, Midfielder",Mads Bidstrup Brentford,21, Midfielder,,,0(4),38,-,-,-,-,-,76.9,-,-,6.06
5,"506Ozan TufanWatford, 27, D(R),M(CR)",Ozan Tufan Watford,27, D(R),M(CR),,4(3),338,-,-,-,-,0.4,73.9,0.4,-,6.06
6,"507Ashley FletcherWatford, 26, AM(CL),FW",Ashley Fletcher Watford,26, AM(CL),FW,,0(3),28,-,-,-,-,0.7,50,0.3,-,6.05
7,"508Bali MumbaNorwich, 20, M(R)",Bali Mumba Norwich,20, M(R),,,0(1),45,-,-,-,-,-,77.8,-,-,6.05
