,Player,Player.1,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2,"83Michail AntonioWest Ham, 32, D(R),M(CLR),FW",Michail Antonio West Ham,32, D(R),M(CLR),FW,34(2),2981,10,8,6,1,2.3,67.5,2.2,2,6.94
3,"84Adama TraoréWolves, 26, M(CLR),FW",Adama Traoré Wolves,26, M(CLR),FW,,10(10),1065,1,-,-,-,1.2,77.9,0.8,4,6.94
4,"85Lucas DigneAston Villa, 28, D(CL),M(L)",Lucas Digne Aston Villa,28, D(CL),M(L),,16,1272,-,4,2,-,0.6,81.2,1.5,1,6.94
5,"86Cristian RomeroTottenham, 24, D(C)",Cristian Romero Tottenham,24, D(C),,,21(1),1846,1,-,8,-,0.3,86.7,2,-,6.92
6,"87Hakim ZiyechChelsea, 29, M(CLR)",Hakim Ziyech Chelsea,29, M(CLR),,,14(9),1317,4,3,3,-,2.3,81.2,0.6,3,6.92
7,"88Jason SteeleBrighton, 31, GK",Jason Steele Brighton,31, GK,,,1,90,-,-,-,-,-,88.9,1,-,6.92
8,"89Nathan AkéMan City, 27, D(CL),DMC",Nathan Aké Man City,27, D(CL),DMC,,10(4),921,2,-,-,-,0.4,90.8,2.6,-,6.92
9,"90Dominic Calvert-LewinEverton, 25, AM(L),FW",Dominic Calvert-Lewin Everton,25, AM(L),FW,,15(2),1286,5,2,2,-,1.9,60.3,5.5,2,6.92
0,"91Ben MeeBurnley, 32, D(CL)",Ben Mee Burnley,32, D(CL),,,21,1840,3,-,3,-,0.9,70.4,3.2,1,6.91
1,"92Aymeric LaporteMan City, 28, D(CL)",Aymeric Laporte Man City,28, D(CL),,,33,2836,4,-,5,1,1.1,94.8,1.6,-,6.91
2,"93Aaron Wan-BissakaMan Utd, 24, D(R),M(R)",Aaron Wan-Bissaka Man Utd,24, D(R),M(R),,20,1794,-,-,2,-,0.3,81,1,1,6.91
3,"94Matthew CashAston Villa, 24, D(R),M(CLR)",Matthew Cash Aston Villa,24, D(R),M(CLR),,38,3380,4,3,8,-,1,72.4,1.1,3,6.91
