,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"161Kevin TrappEintracht Frankfurt, 31, GK",Kevin Trapp Eintracht Frankfurt,31, GK,,,32,2880,-,-,2,-,-,61.5,0.2,1,6.67
1,"162Marc Oliver KempfStuttgart, 27, D(C)",Marc Oliver Kempf Stuttgart,27, D(C),,,10(2),841,3,-,2,-,1.1,82.1,2.4,1,6.67
2,"163Konrad LaimerRBL, 25, D(R),M(CR)",Konrad Laimer RBL,25, D(R),M(CR),,15(11),1246,4,4,2,-,0.6,80.3,0.4,-,6.67
3,"164Charles AránguizLeverkusen, 33, M(C)",Charles Aránguiz Leverkusen,33, M(C),,,16(10),1576,1,3,2,-,0.4,84.7,0.3,-,6.67
4,"165Santiago AscacibarHertha Berlin, 25, DMC",Santiago Ascacibar Hertha Berlin,25, DMC,,,27(1),2381,-,1,5,-,0.5,82.5,1.2,-,6.66
5,"166Chris RichardsHoffenheim, 22, D(C)",Chris Richards Hoffenheim,22, D(C),,,13(6),1301,1,1,1,-,0.5,84.2,2.9,-,6.66
6,"167Lukas NmechaWolfsburg, 23, AM(CR),FW",Lukas Nmecha Wolfsburg,23, AM(CR),FW,,18(7),1633,8,-,5,-,2.1,68.2,1.3,2,6.66
7,"168Sebastian PolterBochum, 31, AM(R),FW",Sebastian Polter Bochum,31, AM(R),FW,,26(6),2259,10,1,2,-,1.7,53.9,3.4,-,6.66
8,"169Georginio RutterHoffenheim, 20, FW",Georginio Rutter Hoffenheim,20, FW,,,13(20),1604,8,2,2,-,1.6,65.1,1.2,1,6.66
9,"170Oliver BaumannHoffenheim, 32, GK",Oliver Baumann Hoffenheim,32, GK,,,33,2970,-,-,1,-,-,78.2,0.3,1,6.66
0,"171Gerrit HoltmannBochum, 27, D(L),M(LR)",Gerrit Holtmann Bochum,27, D(L),M(LR),,22(6),1765,5,4,-,-,1.5,75.5,0.2,2,6.65
1,"172Lee Jae-SungMainz, 29, AM(CL),FW",Lee Jae-Sung Mainz,29, AM(CL),FW,,19(8),1449,4,3,3,-,1,74.2,1.3,-,6.65
2,"173Mitchel BakkerLeverkusen, 21, D(L),M(L)",Mitchel Bakker Leverkusen,21, D(L),M(L),,19(6),1825,1,4,6,-,0.4,80.6,0.5,-,6.65
3,"174Lars StindlBorussia M.Gladbach, 33, M(CLR),FW",Lars Stindl Borussia M.Gladbach,33, M(CLR),FW,,20(6),1637,4,5,10,-,1.7,82.3,0.5,1,6.64
4,"175Hiroki ItoStuttgart, 23, D(C)",Hiroki Ito Stuttgart,23, D(C),,,26(3),2348,1,1,2,-,0.4,81.8,1.4,1,6.64
5,"176Kevin MbabuWolfsburg, 27, D(R),M(R)",Kevin Mbabu Wolfsburg,27, D(R),M(R),,14(10),1389,-,-,4,-,0.2,72.7,1.3,1,6.64
6,"177Stevan JoveticHertha Berlin, 32, AM(CL),FW",Stevan Jovetic Hertha Berlin,32, AM(CL),FW,,13(5),1020,6,1,4,-,2.4,66.1,1.2,1,6.64
7,"178Robin ZentnerMainz, 27, GK",Robin Zentner Mainz,27, GK,,,32,2880,-,-,1,-,-,63.9,0.3,2,6.64
8,"179Max ChristiansenGreuther Fuerth, 25, DMC",Max Christiansen Greuther Fuerth,25, DMC,,,22(5),2056,-,-,5,-,0.4,79.3,1.5,-,6.63
9,"180Vasilios LampropoulosBochum, 32, D(C)",Vasilios Lampropoulos Bochum,32, D(C),,,13,1169,-,-,1,-,0.3,81.5,2.3,-,6.63
0,"181Bastian OczipkaUnion Berlin, 33, D(CL),M(L)",Bastian Oczipka Union Berlin,33, D(CL),M(L),,9(9),929,-,1,1,-,0.3,73.7,0.6,1,6.63
1,"182Daichi KamadaEintracht Frankfurt, 25, AM(CLR),FW",Daichi Kamada Eintracht Frankfurt,25, AM(CLR),FW,,23(9),2146,4,3,-,-,1.1,79.4,0.5,-,6.63
2,"183Axel WitselBorussia Dortmund, 33, D(C),M(C)",Axel Witsel Borussia Dortmund,33, D(C),M(C),,22(7),1946,2,-,4,-,0.3,93.2,1.1,1,6.62
3,"184Erhan MasovicBochum, 23, D(C)",Erhan Masovic Bochum,23, D(C),,,16(3),1461,-,-,6,-,0.2,77.7,1.3,-,6.62
4,"185Marc Oliver KempfHertha Berlin, 27, D(C)",Marc Oliver Kempf Hertha Berlin,27, D(C),,,12,1052,-,1,1,1,0.7,73,3,1,6.61
5,"186Christoph BaumgartnerHoffenheim, 22, AM(CLR),FW",Christoph Baumgartner Hoffenheim,22, AM(CLR),FW,,23(6),1899,7,2,5,-,1.4,72.6,1.3,1,6.61
6,"187André HahnAugsburg, 31, AM(CLR),FW",André Hahn Augsburg,31, AM(CLR),FW,,25(7),2112,5,2,5,-,1.4,53.9,1.8,1,6.61
7,"188Tiago TomásStuttgart, 19, AM(CR),FW",Tiago Tomás Stuttgart,19, AM(CR),FW,,13(1),1080,4,-,2,-,2,71,0.4,-,6.61
8,"189Exequiel PalaciosLeverkusen, 23, M(C)",Exequiel Palacios Leverkusen,23, M(C),,,12(11),1094,2,2,2,-,0.4,86.4,0.3,1,6.61
9,"190Maximilian EggesteinFreiburg, 25, M(CR)",Maximilian Eggestein Freiburg,25, M(CR),,,26(5),2205,1,2,2,-,0.7,74.4,1.5,-,6.6
0,"191Dennis GeigerHoffenheim, 23, M(C)",Dennis Geiger Hoffenheim,23, M(C),,,17(3),1385,2,2,6,-,0.7,85.6,-,-,6.6
1,"192Amine AdliLeverkusen, 22, AM(CL),FW",Amine Adli Leverkusen,22, AM(CL),FW,,13(12),1256,3,2,3,-,1.5,76,0.5,-,6.6
2,"193Maxim LeitschBochum, 24, D(C)",Maxim Leitsch Bochum,24, D(C),,,17(2),1537,1,-,2,-,0.3,82.6,1.6,-,6.6
3,"194Frederik RønnowUnion Berlin, 29, GK",Frederik Rønnow Union Berlin,29, GK,,,7,630,-,-,1,-,-,61.4,0.6,-,6.6
4,"195Paulo OtávioWolfsburg, 27, D(L),M(L)",Paulo Otávio Wolfsburg,27, D(L),M(L),,5(2),365,-,1,-,-,0.6,78.9,0.7,-,6.6
5,"196Eduard LöwenBochum, 25, D(C),M(C)",Eduard Löwen Bochum,25, D(C),M(C),,14(11),1346,2,2,-,-,1.4,72.1,0.7,-,6.6
6,"197Simon ZollerBochum, 30, AM(LR),FW",Simon Zoller Bochum,30, AM(LR),FW,,6(4),595,3,2,3,-,1.1,78.1,0.6,-,6.6
7,"198Leandro BarreiroMainz, 22, DMC",Leandro Barreiro Mainz,22, DMC,,,20(11),1790,1,2,3,-,1,71.6,0.8,-,6.6
8,"199Genki HaraguchiUnion Berlin, 31, M(CLR)",Genki Haraguchi Union Berlin,31, M(CLR),,,23(7),1770,2,6,2,-,1,73.8,0.5,-,6.6
9,"200Martin HintereggerEintracht Frankfurt, 29, D(C)",Martin Hinteregger Eintracht Frankfurt,29, D(C),,,25(2),2222,1,-,6,-,0.6,76.9,2.2,-,6.6
0,"201Josip StanisicBayern, 22, D(R)",Josip Stanisic Bayern,22, D(R),,,6(7),646,1,-,1,-,0.3,87,0.5,1,6.59
1,"202Frederik WintherAugsburg, 21, Defender",Frederik Winther Augsburg,21, Defender,,,3(1),327,-,-,1,-,-,75.2,2.5,-,6.59
2,"203Konstantinos StafylidisBochum, 28, D(LR),DMC,M(L)",Konstantinos Stafylidis Bochum,28, D(LR),DMC,M(L),14(9),1299,-,1,3,1,0.7,73.4,1,-,6.59
3,"204Sebastiaan BornauwWolfsburg, 23, D(C)",Sebastiaan Bornauw Wolfsburg,23, D(C),,,23(4),2008,1,-,3,-,0.5,85.9,2.4,-,6.59
4,"205Dejan LjubicicFC Koln, 24, M(CR)",Dejan Ljubicic FC Koln,24, M(CR),,,22(8),1975,3,1,4,-,1,73.8,0.4,-,6.59
5,"206Michaël CuisanceBayern, 22, AM(C)",Michaël Cuisance Bayern,22, AM(C),,,0(1),12,-,-,-,-,-,90.9,-,-,6.59
6,"207Niklas StarkHertha Berlin, 27, D(C),DMC",Niklas Stark Hertha Berlin,27, D(C),DMC,,22(4),2028,1,-,3,-,0.4,82.4,1.9,-,6.59
7,"208Emil ForsbergRBL, 30, AM(CLR),FW",Emil Forsberg RBL,30, AM(CLR),FW,,20(11),1709,6,2,2,-,1.4,84.3,0.3,-,6.58
8,"209Jessic NgankamGreuther Fuerth, 21, FW",Jessic Ngankam Greuther Fuerth,21, FW,,,4(2),342,2,1,-,-,1.5,58.1,1.3,-,6.58
9,"210Yannick GerhardtWolfsburg, 28, D(L),M(CL)",Yannick Gerhardt Wolfsburg,28, D(L),M(CL),,17(10),1577,1,3,2,-,0.5,75.1,1,1,6.58
0,"211Kevin KamplRBL, 31, M(CLR)",Kevin Kampl RBL,31, M(CLR),,,25(2),1913,-,1,4,-,0.3,91.4,0.3,-,6.58
1,"212Pavel KaderábekHoffenheim, 30, D(R),M(LR)",Pavel Kaderábek Hoffenheim,30, D(R),M(LR),,14(5),1202,1,2,5,-,0.6,72.3,2.2,-,6.58
2,"213Kevin SchadeFreiburg, 20, M(R)",Kevin Schade Freiburg,20, M(R),,,7(14),826,4,1,2,-,0.9,56.4,1.9,1,6.58
3,"214Benno SchmitzFC Koln, 27, D(CLR)",Benno Schmitz FC Koln,27, D(CLR),,,29(2),2433,-,5,5,-,0.4,68.5,0.9,1,6.58
4,"215Dominik KohrMainz, 28, DMC",Dominik Kohr Mainz,28, DMC,,,19(3),1626,-,3,6,2,0.8,74.3,1.2,1,6.58
5,"216Péter GulácsiRBL, 32, GK",Péter Gulácsi RBL,32, GK,,,33,2967,-,-,1,-,-,77.9,0.2,1,6.58
6,"217Fabian BredlowStuttgart, 27, GK",Fabian Bredlow Stuttgart,27, GK,,,4,360,-,-,-,-,-,87.9,0.3,-,6.58
7,"218Makoto HasebeEintracht Frankfurt, 38, D(CR),M(CR)",Makoto Hasebe Eintracht Frankfurt,38, D(CR),M(CR),,12(6),1184,-,-,1,-,-,86.6,1.1,-,6.57
8,"219Arne MaierAugsburg, 23, DMC",Arne Maier Augsburg,23, DMC,,,21(8),1871,1,6,-,-,0.6,77.1,0.6,-,6.57
9,"220Branimir HrgotaGreuther Fuerth, 29, AM(LR),FW",Branimir Hrgota Greuther Fuerth,29, AM(LR),FW,,33(1),2789,9,5,4,-,1.9,75,0.5,3,6.57
0,"221Fabian KlosArminia Bielefeld, 34, FW",Fabian Klos Arminia Bielefeld,34, FW,,,14(11),1423,3,1,2,1,1.6,51.1,4.6,1,6.57
1,"222Erik DurmEintracht Frankfurt, 30, D(LR),M(LR)",Erik Durm Eintracht Frankfurt,30, D(LR),M(LR),,7,478,-,1,1,-,0.1,66.8,0.4,-,6.57
2,"223Stefan PoschHoffenheim, 25, D(CR)",Stefan Posch Hoffenheim,25, D(CR),,,26(2),2203,2,-,5,-,0.5,80.9,1.5,-,6.57
3,"224Armel Bella KotchapBochum, 20, D(C)",Armel Bella Kotchap Bochum,20, D(C),,,19(2),1679,-,-,4,-,0.4,76.5,1.7,1,6.56
4,"225Ishak BelfodilHertha Berlin, 30, AM(LR),FW",Ishak Belfodil Hertha Berlin,30, AM(LR),FW,,17(9),1643,5,2,1,-,1.2,71.1,1.5,-,6.56
5,"226Timo HornFC Koln, 29, GK",Timo Horn FC Koln,29, GK,,,13,1170,-,-,-,-,-,76.5,0.2,1,6.56
6,"227Nico ElvediBorussia M.Gladbach, 25, D(CLR)",Nico Elvedi Borussia M.Gladbach,25, D(CLR),,,28,2432,1,-,3,1,0.5,92.1,2.6,-,6.55
7,"228Vladimír DaridaHertha Berlin, 31, M(CLR),FW",Vladimír Darida Hertha Berlin,31, M(CLR),FW,,23(2),1799,2,5,6,-,1,75.8,0.6,1,6.55
8,"229Luca KilianFC Koln, 22, D(C)",Luca Kilian FC Koln,22, D(C),,,25(5),2282,1,-,3,-,0.2,84,1.5,-,6.55
9,"230Marco MeyerhöferGreuther Fuerth, 26, D(R),M(R)",Marco Meyerhöfer Greuther Fuerth,26, D(R),M(R),,25(1),2281,1,-,-,-,0.4,73.1,0.9,-,6.55
0,"231Odilon KossounouLeverkusen, 21, D(CR)",Odilon Kossounou Leverkusen,21, D(CR),,,20(7),1791,-,1,3,-,0.1,82.4,1.1,-,6.55
1,"232Yussuf PoulsenRBL, 27, AM(R),FW",Yussuf Poulsen RBL,27, AM(R),FW,,12(13),1078,6,-,2,-,1.1,66.3,1.1,-,6.55
2,"233Munas DabburHoffenheim, 30, AM(C),FW",Munas Dabbur Hoffenheim,30, AM(C),FW,,17(10),1317,3,3,5,-,1.2,73.5,0.7,-,6.54
3,"234Hamadi Al GhaddiouiStuttgart, 31, FW",Hamadi Al Ghaddioui Stuttgart,31, FW,,,7(3),500,2,2,2,-,1.2,68.5,1.7,1,6.54
4,"235Andreas LindeGreuther Fuerth, 28, GK",Andreas Linde Greuther Fuerth,28, GK,,,12,1080,-,-,-,-,-,60.1,0.4,-,6.54
5,"236Rafal GikiewiczAugsburg, 34, GK",Rafal Gikiewicz Augsburg,34, GK,,,34,3060,-,-,-,-,-,62.9,0.4,1,6.54
6,"237Jean-Paul BoëtiusMainz, 28, AM(CL),FW",Jean-Paul Boëtius Mainz,28, AM(CL),FW,,19(14),1802,2,2,3,-,0.7,77.6,0.2,-,6.54
7,"238Rafael CzichosFC Koln, 32, D(C)",Rafael Czichos FC Koln,32, D(C),,,16(1),1404,-,1,4,-,0.1,81.8,2.5,-,6.54
8,"239Marcus ThuramBorussia M.Gladbach, 24, AM(L),FW",Marcus Thuram Borussia M.Gladbach,24, AM(L),FW,,8(12),885,3,-,2,-,1.6,72.9,1.6,2,6.54
9,"240Alessandro SchöpfArminia Bielefeld, 28, M(CLR)",Alessandro Schöpf Arminia Bielefeld,28, M(CLR),,,27(4),2407,1,-,1,1,1.1,79.9,0.7,-,6.54
0,"241Omar RichardsBayern, 24, D(L),M(L)",Omar Richards Bayern,24, D(L),M(L),,5(7),437,-,-,1,-,0.3,86.5,0.2,-,6.54
1,"242Orel MangalaStuttgart, 24, M(C)",Orel Mangala Stuttgart,24, M(C),,,22(6),1863,1,3,4,-,0.6,83.6,0.4,-,6.53
2,"243Andrés AndradeArminia Bielefeld, 23, D(CL)",Andrés Andrade Arminia Bielefeld,23, D(CL),,,12(5),1046,-,-,4,-,0.4,69.4,1.6,-,6.53
3,"244Roland SallaiFreiburg, 25, AM(CLR),FW",Roland Sallai Freiburg,25, AM(CLR),FW,,18(13),1560,4,4,1,-,1.5,70.2,0.7,1,6.53
4,"245Timothy TillmanGreuther Fuerth, 23, AM(C)",Timothy Tillman Greuther Fuerth,23, AM(C),,,23(6),2018,1,2,3,-,0.8,76.7,0.4,-,6.53
5,"246Sardar AzmounLeverkusen, 27, FW",Sardar Azmoun Leverkusen,27, FW,,,4(5),358,1,1,-,-,1.2,76,0.8,1,6.53
6,"247Masaya OkugawaArminia Bielefeld, 26, AM(CL),FW",Masaya Okugawa Arminia Bielefeld,26, AM(CL),FW,,30(3),2545,8,1,-,-,1,62.6,0.7,-,6.52
7,"248Tanguy NianzouBayern, 19, D(C)",Tanguy Nianzou Bayern,19, D(C),,,6(11),577,1,1,4,-,0.4,91.2,1.2,-,6.52
8,"249Dedryck BoyataHertha Berlin, 31, D(C)",Dedryck Boyata Hertha Berlin,31, D(C),,,22(1),1900,-,-,1,1,0.4,84.1,2.3,-,6.52
9,"250Julian RyersonUnion Berlin, 24, D(R),M(CR)",Julian Ryerson Union Berlin,24, D(R),M(CR),,13(15),1421,2,-,3,-,0.6,74.6,0.6,1,6.52
0,"251Micky van de VenWolfsburg, 21, Defender",Micky van de Ven Wolfsburg,21, Defender,,,2(3),189,-,1,-,-,-,85.9,1.2,-,6.52
1,"252Kingsley EhizibueFC Koln, 27, D(R),M(R)",Kingsley Ehizibue FC Koln,27, D(R),M(R),,6(10),675,-,1,2,-,0.4,72.6,0.8,-,6.52
2,"253Marc RocaBayern, 25, DMC",Marc Roca Bayern,25, DMC,,,4(5),378,-,-,-,-,0.6,88,-,-,6.51
3,"254Milos PantovicBochum, 25, AM(CLR)",Milos Pantovic Bochum,25, AM(CLR),,,18(10),1539,4,3,2,-,0.8,68.2,0.4,2,6.51
4,"255Christopher LenzEintracht Frankfurt, 27, D(L),M(L)",Christopher Lenz Eintracht Frankfurt,27, D(L),M(L),,6(9),659,-,1,6,-,0.4,76.2,0.9,-,6.51
5,"256Dan-Axel ZagadouBorussia Dortmund, 23, D(CL)",Dan-Axel Zagadou Borussia Dortmund,23, D(CL),,,10(5),950,-,-,2,-,0.3,88.2,2.5,-,6.51
6,"257Aster VranckxWolfsburg, 19, M(C)",Aster Vranckx Wolfsburg,19, M(C),,,12(12),1139,2,-,2,-,1,79.6,0.5,-,6.51
7,"258Jeong Woo-YeongFreiburg, 22, AM(CR),FW",Jeong Woo-Yeong Freiburg,22, AM(CR),FW,,23(9),1795,5,2,1,-,1.6,74.5,0.5,1,6.51
8,"259Jérôme RoussillonWolfsburg, 29, D(L),M(L)",Jérôme Roussillon Wolfsburg,29, D(L),M(L),,18(8),1779,1,-,5,-,0.5,75.1,0.5,1,6.5
9,"260Marco RichterHertha Berlin, 24, AM(CLR),FW",Marco Richter Hertha Berlin,24, AM(CLR),FW,,19(11),1716,5,1,6,-,1.5,70.5,0.3,2,6.5
0,"261Nico SchulzBorussia Dortmund, 29, D(L),M(L)",Nico Schulz Borussia Dortmund,29, D(L),M(L),,9(7),834,-,2,2,-,0.2,84.8,0.5,-,6.5
1,"262Michael EsserBochum, 34, GK",Michael Esser Bochum,34, GK,,,3,270,-,-,-,-,-,57.3,0.3,-,6.49
2,"263Pavao PervanWolfsburg, 34, GK",Pavao Pervan Wolfsburg,34, GK,,,6,540,-,-,-,-,-,72.7,0.5,1,6.49
3,"264Marvin FriedrichBorussia M.Gladbach, 26, D(C)",Marvin Friedrich Borussia M.Gladbach,26, D(C),,,7(1),600,-,-,1,-,0.6,89,2.4,-,6.49
4,"265Ondrej DudaFC Koln, 27, AM(C),FW",Ondrej Duda FC Koln,27, AM(C),FW,,20(11),1618,2,-,5,-,1.4,75.2,0.5,1,6.49
5,"266Eric Choupo-MotingBayern, 33, M(CLR),FW",Eric Choupo-Moting Bayern,33, M(CLR),FW,,1(19),363,4,2,-,-,0.8,75,0.5,-,6.49
6,"267Pascal StenzelStuttgart, 26, D(CR),M(R)",Pascal Stenzel Stuttgart,26, D(CR),M(R),,9(7),894,-,-,1,-,0.4,82.6,0.8,-,6.49
7,"268Lucas TousartHertha Berlin, 25, DMC",Lucas Tousart Hertha Berlin,25, DMC,,,22(8),1961,2,-,3,-,0.8,72.8,1.3,-,6.49
8,"269Angelo StillerHoffenheim, 21, DMC",Angelo Stiller Hoffenheim,21, DMC,,,18(8),1692,2,1,1,-,0.6,83.8,1.1,-,6.48
9,"270Dodi LukébakioWolfsburg, 24, AM(CLR),FW",Dodi Lukébakio Wolfsburg,24, AM(CLR),FW,,7(12),873,1,2,2,-,0.9,79,0.6,-,6.48
0,"271Danny BlumBochum, 31, AM(LR),FW",Danny Blum Bochum,31, AM(LR),FW,,2(11),339,2,-,-,-,0.8,69.7,1.1,-,6.48
1,"272Alfred FinnbogasonAugsburg, 33, FW",Alfred Finnbogason Augsburg,33, FW,,,3(7),288,2,1,-,-,0.6,62.1,0.4,1,6.48
2,"273Joe ScallyBorussia M.Gladbach, 19, D(R),M(R)",Joe Scally Borussia M.Gladbach,19, D(R),M(R),,20(10),1905,1,2,4,-,0.6,78.5,0.6,-,6.48
3,"274Rubén VargasAugsburg, 23, AM(CLR),FW",Rubén Vargas Augsburg,23, AM(CLR),FW,,26(3),2005,1,3,4,-,1.4,71.8,0.4,-,6.48
4,"275Jonathan SchmidFreiburg, 31, D(R),M(CLR)",Jonathan Schmid Freiburg,31, D(R),M(CLR),,6(7),583,-,1,-,-,0.4,78.9,0.6,-,6.47
5,"276Kevin AkpogumaHoffenheim, 27, D(CR),M(R)",Kevin Akpoguma Hoffenheim,27, D(CR),M(R),,19(7),1535,2,2,5,-,0.5,75.3,0.7,-,6.47
6,"277Delano BurgzorgMainz, 23, AM(L)",Delano Burgzorg Mainz,23, AM(L),,,0(3),24,1,-,-,-,0.7,100,-,-,6.47
7,"278Bouna SarrBayern, 30, D(R),M(CLR)",Bouna Sarr Bayern,30, D(R),M(CLR),,0(5),59,-,-,-,-,0.2,75,-,-,6.46
8,"279Anderson LucoquiMainz, 24, D(L),M(L)",Anderson Lucoqui Mainz,24, D(L),M(L),,9(4),743,1,-,2,-,0.6,60.3,0.5,1,6.46
9,"280Andreas LutheUnion Berlin, 35, GK",Andreas Luthe Union Berlin,35, GK,,,27,2430,-,-,3,-,-,61.8,0.3,1,6.45
0,"281Marius WolfBorussia Dortmund, 27, D(R),M(CLR)",Marius Wolf Borussia Dortmund,27, D(R),M(CLR),,15(12),1324,3,1,4,-,0.7,78.1,0.3,-,6.45
1,"282Takuma AsanoBochum, 27, AM(CLR),FW",Takuma Asano Bochum,27, AM(CLR),FW,,20(7),1618,3,4,1,-,1.2,68.7,0.6,1,6.45
2,"283Jacob LaursenArminia Bielefeld, 27, D(L)",Jacob Laursen Arminia Bielefeld,27, D(L),,,20(4),1641,2,-,1,-,0.3,71.3,0.8,1,6.45
3,"284Manuel PrietlArminia Bielefeld, 30, M(C)",Manuel Prietl Arminia Bielefeld,30, M(C),,,23(3),2122,-,1,3,-,0.7,78.8,1,-,6.45
4,"285Jan ThielmannFC Koln, 20, AM(CLR),FW",Jan Thielmann FC Koln,20, AM(CLR),FW,,10(19),1182,3,3,6,-,0.5,62.5,0.7,-,6.45
5,"286Peter PekaríkHertha Berlin, 35, D(LR),M(R)",Peter Pekarík Hertha Berlin,35, D(LR),M(R),,26(1),2239,-,-,1,-,0.4,76.8,1,-,6.44
6,"287Gian-Luca ItterGreuther Fuerth, 23, D(CL)",Gian-Luca Itter Greuther Fuerth,23, D(CL),,,16(8),1453,-,1,3,-,0.2,76.1,0.7,-,6.44
7,"288Sebastian VasiliadisArminia Bielefeld, 24, M(C)",Sebastian Vasiliadis Arminia Bielefeld,24, M(C),,,16(3),1199,-,-,3,-,0.6,64.8,0.9,-,6.44
8,"289Steffen TiggesBorussia Dortmund, 23, Forward",Steffen Tigges Borussia Dortmund,23, Forward,,,0(9),105,3,-,-,-,0.4,53.8,0.3,-,6.43
9,"290Jamie LewelingGreuther Fuerth, 21, AM(R),FW",Jamie Leweling Greuther Fuerth,21, AM(R),FW,,22(11),1959,5,1,3,-,1.3,65.9,0.4,1,6.43
0,"291Luca NetzBorussia M.Gladbach, 19, D(L),M(L)",Luca Netz Borussia M.Gladbach,19, D(L),M(L),,16(7),1313,-,3,1,-,0.6,74.6,0.3,-,6.43
1,"292Kristijan JakicEintracht Frankfurt, 25, DMC",Kristijan Jakic Eintracht Frankfurt,25, DMC,,,21(5),1883,1,-,6,-,1.2,74.9,1.3,-,6.43
2,"293Elvis RexhbecajBochum, 24, M(C)",Elvis Rexhbecaj Bochum,24, M(C),,,29(2),2469,-,-,5,-,1,68.2,0.9,-,6.43
3,"294Jürgen LocadiaBochum, 28, AM(LR),FW",Jürgen Locadia Bochum,28, AM(LR),FW,,4(7),442,2,1,-,-,1.6,75.8,0.6,-,6.43
4,"295Florian NiederlechnerAugsburg, 31, AM(CR),FW",Florian Niederlechner Augsburg,31, AM(CR),FW,,13(13),1153,5,3,1,-,1.1,71.8,0.8,-,6.43
5,"296Alexander SchwolowHertha Berlin, 30, GK",Alexander Schwolow Hertha Berlin,30, GK,,,25,2176,-,-,1,-,-,67.6,0.2,1,6.43
6,"297Sebastian RodeEintracht Frankfurt, 31, D(R),M(C)",Sebastian Rode Eintracht Frankfurt,31, D(R),M(C),,10(7),763,1,-,1,-,0.4,81.6,0.5,-,6.42
7,"298Clinton MolaStuttgart, 21, D(L)",Clinton Mola Stuttgart,21, D(L),,,1(2),113,-,-,-,-,-,89,1.7,-,6.42
8,"299Hannes WolfBorussia M.Gladbach, 23, M(CLR)",Hannes Wolf Borussia M.Gladbach,23, M(CLR),,,2(5),306,-,-,2,-,0.9,72.8,0.3,-,6.42
9,"300Aymen BarkokEintracht Frankfurt, 24, AM(CR)",Aymen Barkok Eintracht Frankfurt,24, AM(CR),,,2(3),159,-,-,-,-,0.4,78,1.4,-,6.42
0,"301Nils PetersenFreiburg, 33, FW",Nils Petersen Freiburg,33, FW,,,3(19),568,5,1,-,-,0.6,61.7,1,-,6.42
1,"302Sebastian GriesbeckGreuther Fuerth, 31, D(C),DMC",Sebastian Griesbeck Greuther Fuerth,31, D(C),DMC,,28(1),2441,1,-,7,-,0.2,78.7,1.9,-,6.42
2,"303Tyler AdamsRBL, 23, D(R),M(CR)",Tyler Adams RBL,23, D(R),M(CR),,12(12),1345,-,1,5,-,0.1,87.1,0.8,-,6.41
3,"304Stefan LainerBorussia M.Gladbach, 29, D(R),M(R)",Stefan Lainer Borussia M.Gladbach,29, D(R),M(R),,18(2),1389,1,1,2,-,0.6,73.1,0.7,-,6.41
4,"305Jorge MeréFC Koln, 25, D(C)",Jorge Meré FC Koln,25, D(C),,,5(3),489,-,-,2,-,-,84.2,1.8,-,6.41
5,"306Manuel GuldeFreiburg, 31, D(C)",Manuel Gulde Freiburg,31, D(C),,,14(6),1230,-,-,2,-,-,83.2,1.3,-,6.41
6,"307Philipp FörsterStuttgart, 27, M(CLR),FW",Philipp Förster Stuttgart,27, M(CLR),FW,,11(9),970,2,1,4,-,1.5,85.9,0.5,-,6.41
7,"308Lucas AlarioLeverkusen, 29, FW",Lucas Alario Leverkusen,29, FW,,,5(22),642,6,-,2,-,0.9,67.3,0.7,-,6.4
8,"309Fabian KunzeArminia Bielefeld, 23, DMC",Fabian Kunze Arminia Bielefeld,23, DMC,,,13(9),1260,-,-,9,-,0.5,75.7,1.7,-,6.4
9,"310Maximilian PhilippWolfsburg, 28, AM(CLR),FW",Maximilian Philipp Wolfsburg,28, AM(CLR),FW,,12(10),969,1,4,2,-,0.7,81.4,0.4,-,6.4
0,"311Paul SeguinGreuther Fuerth, 27, D(R),DMC",Paul Seguin Greuther Fuerth,27, D(R),DMC,,23(4),2110,-,3,9,-,0.4,78.3,1.1,-,6.4
1,"312Florian MüllerStuttgart, 24, GK",Florian Müller Stuttgart,24, GK,,,30,2700,-,-,-,-,-,81.6,0.3,-,6.4
2,"313Philipp PentkeHoffenheim, 37, GK",Philipp Pentke Hoffenheim,37, GK,,,1,90,-,-,-,-,-,76.5,-,-,6.4
3,"314Mads PedersenAugsburg, 25, D(L),M(L)",Mads Pedersen Augsburg,25, D(L),M(L),,15(14),1392,2,1,5,-,0.7,66.4,0.2,-,6.4
4,"315Renato SteffenWolfsburg, 30, M(CLR)",Renato Steffen Wolfsburg,30, M(CLR),,,13(7),972,-,1,6,-,0.7,76.4,0.9,-,6.39
5,"316Nick ViergeverGreuther Fuerth, 32, D(CL),DMC",Nick Viergever Greuther Fuerth,32, D(CL),DMC,,24,2134,-,-,2,-,0.1,80.6,1.1,1,6.39
6,"317Robert GumnyAugsburg, 24, D(CLR)",Robert Gumny Augsburg,24, D(CLR),,,27(1),2278,-,-,3,-,0.3,76,1.3,-,6.39
7,"318Herbert BockhornBochum, 27, D(R),M(R)",Herbert Bockhorn Bochum,27, D(R),M(R),,6(11),751,-,-,1,-,0.4,69.4,0.6,-,6.39
8,"319Felix PasslackBorussia Dortmund, 24, D(LR),M(CR)",Felix Passlack Borussia Dortmund,24, D(LR),M(CR),,5(5),470,1,-,-,-,0.3,81.9,0.1,-,6.39
9,"320Marin PongracicBorussia Dortmund, 24, D(C)",Marin Pongracic Borussia Dortmund,24, D(C),,,9(8),823,-,-,3,-,-,85.9,0.6,-,6.39
