,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2,"423Luka JovicReal Madrid, 24, FW",Luka Jovic Real Madrid,24, FW,,,1(14),360,1,3,1,-,1.1,77.6,0.5,-,6.34
3,"424Fede San EmeterioCadiz, 25, DMC",Fede San Emeterio Cadiz,25, DMC,,,10(2),836,-,-,3,-,-,81,0.9,-,6.34
4,"425Jeison MurilloCelta Vigo, 30, D(C)",Jeison Murillo Celta Vigo,30, D(C),,,13(7),1118,-,-,5,1,0.3,89.2,1.6,-,6.34
5,"426Munir El-HaddadiSevilla, 26, AM(LR),FW",Munir El-Haddadi Sevilla,26, AM(LR),FW,,5(12),471,2,-,3,-,0.7,79,0.5,-,6.33
6,"427Dani GómezLevante, 23, FW",Dani Gómez Levante,23, FW,,,11(17),1060,4,2,1,-,1.1,80.9,0.1,-,6.33
7,"428Rodrigo BattagliaMallorca, 30, M(C)",Rodrigo Battaglia Mallorca,30, M(C),,,12(14),1176,-,-,3,1,0.2,83.7,1.3,-,6.33
8,"429Raúl ParraCadiz, 22, Defender",Raúl Parra Cadiz,22, Defender,,,1(1),88,-,-,-,-,-,56,-,-,6.33
9,"430Jon GuridiReal Sociedad, 27, M(C)",Jon Guridi Real Sociedad,27, M(C),,,1(7),200,1,-,-,-,0.3,73.1,0.1,-,6.32
0,"431Cristo RomeroReal Sociedad, 22, Defender",Cristo Romero Real Sociedad,22, Defender,,,0(1),16,-,-,-,-,1,85.7,-,-,6.32
1,"432Gonzalo VillarGetafe, 24, M(C)",Gonzalo Villar Getafe,24, M(C),,,2(8),292,-,1,-,-,0.2,84.7,0.4,-,6.32
2,"433Unai LópezRayo Vallecano, 26, M(CR)",Unai López Rayo Vallecano,26, M(CR),,,13(14),1155,-,-,5,-,0.7,86.4,0.3,1,6.32
3,"434Mikel VesgaAthletic Bilbao, 29, DMC",Mikel Vesga Athletic Bilbao,29, DMC,,,17(15),1357,2,-,3,2,0.4,77.7,1.3,-,6.32
4,"435Javi MartínezOsasuna, 22, M(CR)",Javi Martínez Osasuna,22, M(CR),,,9(17),870,1,1,1,-,0.3,77.8,0.4,-,6.31
5,"436Raúl GutiElche, 25, M(C)",Raúl Guti Elche,25, M(C),,,17(14),1629,-,-,2,1,0.6,84.3,0.4,-,6.31
6,"437Denis CheryshevValencia, 31, AM(L),FW",Denis Cheryshev Valencia,31, AM(L),FW,,5(12),561,-,1,1,-,0.6,70.2,0.3,-,6.31
7,"438Sandro RamírezGetafe, 26, AM(LR),FW",Sandro Ramírez Getafe,26, AM(LR),FW,,19(10),1477,3,-,7,-,1.7,79.2,0.5,-,6.31
8,"439Roberto TorresOsasuna, 33, AM(CLR)",Roberto Torres Osasuna,33, AM(CLR),,,6(22),799,2,2,3,-,0.5,69.1,0.1,-,6.3
9,"440Clément LengletBarcelona, 26, D(C)",Clément Lenglet Barcelona,26, D(C),,,7(14),818,-,1,4,-,0.1,91,0.8,-,6.3
0,"441Sergio AgüeroBarcelona, 34, AM(CL),FW",Sergio Agüero Barcelona,34, AM(CL),FW,,2(2),151,1,-,-,-,1.5,74.4,0.8,-,6.3
1,"442Carlos MartínAtletico, 20, Forward",Carlos Martín Atletico,20, Forward,,,0(1),5,-,-,1,-,-,50,1,-,6.3
2,"443Jesús OwonoDeportivo Alaves, 21, GK",Jesús Owono Deportivo Alaves,21, GK,,,1,90,-,-,-,-,-,42.9,-,-,6.3
3,"444Salvi SánchezCadiz, 31, AM(R)",Salvi Sánchez Cadiz,31, AM(R),,,17(6),1403,2,1,1,1,0.9,67.7,0.7,-,6.3
4,"445Ángel MontoroGranada, 33, M(C)",Ángel Montoro Granada,33, M(C),,,13(11),1331,1,1,5,-,0.9,77.6,0.3,-,6.29
5,"446Ximo NavarroDeportivo Alaves, 32, D(CLR)",Ximo Navarro Deportivo Alaves,32, D(CLR),,,16(2),1351,-,-,4,1,0.6,74.4,0.5,1,6.29
6,"447Riqui PuigBarcelona, 22, M(C)",Riqui Puig Barcelona,22, M(C),,,2(13),475,1,-,-,-,0.6,92.7,0.1,-,6.29
7,"448Luca ZidaneRayo Vallecano, 24, GK",Luca Zidane Rayo Vallecano,24, GK,,,8,646,-,-,-,1,-,69.3,0.1,-,6.29
8,"449Beñat TurrientesReal Sociedad, 20, Midfielder",Beñat Turrientes Real Sociedad,20, Midfielder,,,1(7),201,-,-,1,-,0.9,88.9,0.1,-,6.29
9,"450Edgar MéndezDeportivo Alaves, 32, M(LR),FW",Edgar Méndez Deportivo Alaves,32, M(LR),FW,,17(15),1614,1,1,6,-,0.8,62.5,1.1,-,6.29
0,"451Hugo DuroGetafe, 22, AM(L),FW",Hugo Duro Getafe,22, AM(L),FW,,0(1),11,-,-,-,-,2,40,2,-,6.29
1,"452Marc CucurellaGetafe, 23, D(CL),M(L)",Marc Cucurella Getafe,23, D(CL),M(L),,0(1),22,-,-,-,-,1,78.9,-,-,6.29
2,"453Rubén PeñaVillarreal, 30, D(R),M(LR)",Rubén Peña Villarreal,30, D(R),M(LR),,1(6),127,-,-,1,-,0.4,79.5,0.3,-,6.28
3,"454JasonValencia, 27, M(R)",Jason Valencia,27, M(R),,,1(4),74,-,-,2,-,0.4,90.5,0.2,-,6.28
4,"455Emerson RoyalBarcelona, 23, D(R),M(R)",Emerson Royal Barcelona,23, D(R),M(R),,1(2),90,-,-,-,-,-,86.5,-,-,6.28
5,"456José Ángel CarmonaSevilla, 20, Defender",José Ángel Carmona Sevilla,20, Defender,,,0(1),23,-,-,-,-,-,66.7,-,-,6.28
6,"457Sergio SantosReal Madrid, 21, Defender",Sergio Santos Real Madrid,21, Defender,,,0(1),10,-,-,-,-,-,100,-,-,6.28
7,"458Iván MarconeElche, 32, DMC",Iván Marcone Elche,32, DMC,,,10(10),807,-,-,5,-,0.1,82.3,0.3,-,6.28
8,"459Amath NdiayeMallorca, 25, AM(L)",Amath Ndiaye Mallorca,25, AM(L),,,9(10),884,-,1,5,-,0.6,81.2,0.3,-,6.28
9,"460PortuReal Sociedad, 30, AM(CLR),FW",Portu Real Sociedad,30, AM(CLR),FW,,17(20),1587,1,2,5,-,0.7,76.8,0.4,-,6.28
0,"461NolitoCelta Vigo, 35, AM(CL)",Nolito Celta Vigo,35, AM(CL),,,15(17),1384,2,-,1,-,0.6,78,0.4,-,6.28
1,"462Abdón PratsMallorca, 29, FW",Abdón Prats Mallorca,29, FW,,,8(17),636,3,-,4,-,0.7,67.5,1.2,-,6.27
2,"463Nicolás MelamedEspanyol, 21, AM(L)",Nicolás Melamed Espanyol,21, AM(L),,,7(24),1102,2,-,3,1,0.6,87.6,0.3,-,6.27
3,"464Alberto SoroGranada, 23, AM(LR)",Alberto Soro Granada,23, AM(LR),,,7(9),575,-,-,-,-,0.4,75.5,0.6,-,6.27
4,"465Näis DjouahraReal Sociedad, 22, Midfielder",Näis Djouahra Real Sociedad,22, Midfielder,,,1(6),209,-,-,-,-,0.7,78.5,0.3,-,6.27
5,"466Aarón EscandellGranada, 26, GK",Aarón Escandell Granada,26, GK,,,4(1),284,-,-,1,1,-,51.3,-,-,6.27
6,"467Juan IglesiasGetafe, 23, D(R),M(R)",Juan Iglesias Getafe,23, D(R),M(R),,7(13),713,-,1,1,-,0.3,52.6,0.5,-,6.27
7,"468Asier VillalibreAthletic Bilbao, 24, FW",Asier Villalibre Athletic Bilbao,24, FW,,,3(16),540,2,-,-,-,1,62.2,1,-,6.27
8,"469Allan-Roméo NyomGetafe, 34, D(LR),M(R)",Allan-Roméo Nyom Getafe,34, D(LR),M(R),,3(2),244,-,-,1,-,-,65.6,1,-,6.26
9,"470Santiago ArzamendiaCadiz, 24, M(L)",Santiago Arzamendia Cadiz,24, M(L),,,5(9),464,1,-,2,-,0.5,66.2,0.9,1,6.26
0,"471Alejandro PrimoLevante, 17, Goalkeeper",Alejandro Primo Levante,17, Goalkeeper,,,1,90,-,-,-,-,-,80,-,-,6.26
1,"472Aitor RuibalReal Betis, 26, D(R),M(LR)",Aitor Ruibal Real Betis,26, D(R),M(LR),,9(10),858,-,-,6,-,1.1,79.7,0.3,-,6.26
2,"473Nicolas JacksonVillarreal, 20, Forward",Nicolas Jackson Villarreal,20, Forward,,,0(9),158,-,-,1,-,0.6,76,1.4,-,6.26
3,"474Unai NúñezAthletic Bilbao, 25, D(C)",Unai Núñez Athletic Bilbao,25, D(C),,,7(2),621,-,-,2,-,0.7,86.1,1.3,-,6.25
4,"475Mario SuárezRayo Vallecano, 35, D(C),M(C)",Mario Suárez Rayo Vallecano,35, D(C),M(C),,8(6),710,-,-,2,-,0.6,77.9,2.1,1,6.25
5,"476Tomás PinaDeportivo Alaves, 34, M(C)",Tomás Pina Deportivo Alaves,34, M(C),,,16(13),1444,-,-,4,-,0.2,78.5,1.1,-,6.24
6,"477Julen LobeteReal Sociedad, 21, Forward",Julen Lobete Real Sociedad,21, Forward,,,2(11),276,2,-,-,-,0.8,80,0.3,-,6.24
7,"478Iván RomeroSevilla, 21, Forward",Iván Romero Sevilla,21, Forward,,,2(3),178,-,-,-,-,0.4,82.4,0.2,-,6.24
8,"479José MariCadiz, 34, DMC",José Mari Cadiz,34, DMC,,,4(7),384,-,-,1,1,0.4,84,0.4,-,6.24
9,"480Myrto UzuniGranada, 27, AM(L),FW",Myrto Uzuni Granada,27, AM(L),FW,,9(6),859,1,1,4,-,0.7,71.3,0.4,-,6.24
0,"481Antonio BarragánElche, 34, D(CR),M(R)",Antonio Barragán Elche,34, D(CR),M(R),,12(4),1023,-,-,5,-,0.1,82.5,0.5,-,6.24
1,"482Mario HernándezRayo Vallecano, 23, Defender",Mario Hernández Rayo Vallecano,23, Defender,,,5(4),394,1,-,3,-,0.3,68.5,0.2,-,6.24
2,"483Fran MéridaEspanyol, 32, AM(C)",Fran Mérida Espanyol,32, AM(C),,,4(7),265,-,-,2,1,0.4,69,-,-,6.24
3,"484Javier PastoreElche, 32, AM(CLR)",Javier Pastore Elche,32, AM(CLR),,,7(7),526,-,-,2,1,0.6,77.4,0.3,-,6.24
4,"485KoffiGetafe, 20, Defender",Koffi Getafe,20, Defender,,,1(2),78,-,1,-,-,0.3,70.4,0.7,-,6.23
5,"486Nicolás SerranoAthletic Bilbao, 19, Forward",Nicolás Serrano Athletic Bilbao,19, Forward,,,3(11),308,1,-,-,-,0.6,77.7,0.1,-,6.23
6,"487Darío PovedaGetafe, 25, Forward",Darío Poveda Getafe,25, Forward,,,3(12),372,1,-,-,-,0.3,58.8,0.8,-,6.23
7,"488Clément GrenierMallorca, 31, M(CL)",Clément Grenier Mallorca,31, M(CL),,,0(5),57,1,-,1,-,0.2,74.4,0.2,-,6.23
8,"489Javi LlabrésMallorca, 19, Midfielder",Javi Llabrés Mallorca,19, Midfielder,,,1(4),129,-,-,-,-,1,82.8,0.2,-,6.23
9,"490VitoloGetafe, 32, M(CLR),FW",Vitolo Getafe,32, M(CLR),FW,,1(6),217,-,-,-,-,0.1,80.2,0.6,-,6.23
0,"491Oier ZarragaAthletic Bilbao, 23, M(R)",Oier Zarraga Athletic Bilbao,23, M(R),,,8(23),1151,1,-,5,-,0.6,80,0.3,-,6.23
1,"492Ander MartínReal Sociedad, 21, Forward",Ander Martín Real Sociedad,21, Forward,,,1(4),85,-,-,-,-,0.6,79.1,0.4,-,6.23
2,"493Martín CalderónCadiz, 23, Midfielder",Martín Calderón Cadiz,23, Midfielder,,,1(5),111,-,-,1,-,0.3,75.6,1,-,6.22
3,"494Rober IbáñezOsasuna, 29, AM(R)",Rober Ibáñez Osasuna,29, AM(R),,,1(3),91,-,-,-,-,0.8,80.6,-,-,6.22
4,"495Jaume DoménechValencia, 31, GK",Jaume Doménech Valencia,31, GK,,,4(1),343,-,-,2,-,-,58,-,-,6.22
5,"496Gabriel VeigaCelta Vigo, 20, Midfielder",Gabriel Veiga Celta Vigo,20, Midfielder,,,0(7),102,-,-,-,-,0.3,79.7,0.1,-,6.22
6,"497Iñigo PérezOsasuna, 34, D(L),M(CL)",Iñigo Pérez Osasuna,34, D(L),M(CL),,4(6),337,1,-,-,-,0.4,74.8,0.2,-,6.22
7,"498MiguelónEspanyol, 26, D(R)",Miguelón Espanyol,26, D(R),,,1(1),70,-,-,-,-,-,73.7,-,-,6.22
8,"499Álvaro JiménezCadiz, 27, M(R)",Álvaro Jiménez Cadiz,27, M(R),,,1(8),228,-,-,-,-,0.3,76.1,0.2,-,6.21
9,"500Pablo PiattiElche, 33, M(CLR)",Pablo Piatti Elche,33, M(CLR),,,3(7),307,-,-,-,-,0.4,76.3,0.7,-,6.21
0,"501Nikola VukcevicLevante, 30, DMC",Nikola Vukcevic Levante,30, DMC,,,0(6),114,-,-,1,-,0.2,82.2,1,-,6.21
1,"502Jakub JanktoGetafe, 26, M(CLR)",Jakub Jankto Getafe,26, M(CLR),,,7(8),585,-,2,1,1,0.4,70.6,0.1,-,6.2
2,"503Carlos BaccaGranada, 35, FW",Carlos Bacca Granada,35, FW,,,5(13),509,-,1,3,-,0.5,65.6,0.4,-,6.2
3,"504Yusuf DemirBarcelona, 19, Forward",Yusuf Demir Barcelona,19, Forward,,,2(4),191,-,-,-,-,0.2,90.7,-,-,6.2
4,"505TachiDeportivo Alaves, 24, D(C)",Tachi Deportivo Alaves,24, D(C),,,2(3),238,-,-,1,-,-,62.8,0.8,-,6.2
5,"506Germán ValeraReal Sociedad, 20, Forward",Germán Valera Real Sociedad,20, Forward,,,0(3),49,-,-,-,-,0.3,82.4,0.3,-,6.2
6,"507Roberto SoldadoLevante, 37, FW",Roberto Soldado Levante,37, FW,,,7(11),664,3,2,5,2,0.9,66.2,0.3,-,6.2
7,"508Loren MorónEspanyol, 28, FW",Loren Morón Espanyol,28, FW,,,4(17),556,1,-,-,-,0.5,58.8,0.9,-,6.2
8,"509Matías ArezoGranada, 19, Forward",Matías Arezo Granada,19, Forward,,,1(7),156,-,-,1,-,0.6,51.5,0.9,-,6.2
9,"510Miguel De la FuenteDeportivo Alaves, 22, FW",Miguel De la Fuente Deportivo Alaves,22, FW,,,10(12),828,1,1,2,-,1,66.4,0.6,-,6.19
0,"511Jordi MboulaMallorca, 23, AM(R)",Jordi Mboula Mallorca,23, AM(R),,,5(6),433,-,-,2,-,0.5,64.5,0.9,-,6.19
1,"512PeterReal Madrid, 19, Midfielder",Peter Real Madrid,19, Midfielder,,,0(3),25,-,-,-,-,0.7,81.3,-,-,6.19
2,"513Sergio PostigoLevante, 33, D(C)",Sergio Postigo Levante,33, D(C),,,10(3),849,-,-,3,-,0.2,83.5,0.9,-,6.19
3,"514MonchuGranada, 22, M(C)",Monchu Granada,22, M(C),,,7(7),665,-,-,3,1,0.6,80.4,0.8,-,6.18
4,"515Facundo PellistriDeportivo Alaves, 20, AM(R)",Facundo Pellistri Deportivo Alaves,20, AM(R),,,6(15),665,-,-,-,-,0.3,77,0.4,-,6.18
5,"516José PozoRayo Vallecano, 26, AM(C)",José Pozo Rayo Vallecano,26, AM(C),,,0(5),68,-,-,-,-,0.6,91.8,0.2,-,6.18
6,"517Diego CondeGetafe, 23, Goalkeeper",Diego Conde Getafe,23, Goalkeeper,,,0(1),5,-,-,-,-,-,-,-,-,6.18
7,"518Isma RuizGranada, 21, Midfielder",Isma Ruiz Granada,21, Midfielder,,,3(5),282,-,-,1,-,0.5,83.7,0.4,-,6.18
8,"519Enric FranquesaLevante, 25, Defender",Enric Franquesa Levante,25, Defender,,,6(10),618,-,-,1,-,0.1,73.9,0.5,-,6.18
9,"520Daniel VillahermosaEspanyol, 21, Midfielder",Daniel Villahermosa Espanyol,21, Midfielder,,,0(1),22,-,-,-,-,-,57.1,-,-,6.17
0,"521Daniel WassAtletico, 33, D(LR),M(CLR)",Daniel Wass Atletico,33, D(LR),M(CLR),,0(1),45,-,-,1,-,-,76.5,-,-,6.17
1,"522Saul GarcíaDeportivo Alaves, 27, Defender",Saul García Deportivo Alaves,27, Defender,,,0(1),3,-,-,-,-,-,33.3,-,-,6.17
2,"523Koba KoindrediValencia, 20, Midfielder",Koba Koindredi Valencia,20, Midfielder,,,1(9),175,-,-,1,-,0.1,68.2,0.5,-,6.16
3,"524Diego LainezReal Betis, 21, AM(R)",Diego Lainez Real Betis,21, AM(R),,,1(6),136,-,-,-,-,0.1,79.6,-,-,6.16
4,"525José MacíasGetafe, 22, Forward",José Macías Getafe,22, Forward,,,2(5),202,-,-,1,-,0.6,73.2,0.6,-,6.16
5,"526Pere PonsDeportivo Alaves, 29, M(C)",Pere Pons Deportivo Alaves,29, M(C),,,17(10),1376,1,-,2,-,0.6,73.1,0.6,-,6.16
6,"527Manu VallejoDeportivo Alaves, 25, FW",Manu Vallejo Deportivo Alaves,25, FW,,,2(9),366,1,1,-,-,0.3,75.8,0.5,-,6.15
7,"528José FontánCelta Vigo, 22, D(CL)",José Fontán Celta Vigo,22, D(CL),,,3(6),274,-,-,3,-,0.1,85.5,0.4,-,6.15
8,"529Kévin RodriguesRayo Vallecano, 28, D(L),M(L)",Kévin Rodrigues Rayo Vallecano,28, D(L),M(L),,5(8),434,-,-,-,-,0.3,71.2,0.8,-,6.15
9,"530Iván ChapelaCadiz, 23, Forward",Iván Chapela Cadiz,23, Forward,,,4(5),400,-,-,-,-,0.3,69.3,0.4,-,6.15
0,"531Alex PetxarromanAthletic Bilbao, 25, Defender",Alex Petxarroman Athletic Bilbao,25, Defender,,,1(16),401,-,-,4,-,0.1,75.2,0.4,-,6.15
1,"532Oier SanjurjoOsasuna, 36, D(CR),M(C)",Oier Sanjurjo Osasuna,36, D(CR),M(C),,9(17),751,1,-,3,-,0.3,72.2,0.8,1,6.15
2,"533Orbelín PinedaCelta Vigo, 26, Midfielder",Orbelín Pineda Celta Vigo,26, Midfielder,,,0(7),94,-,-,-,-,0.7,87.7,0.1,-,6.14
3,"534BaldeBarcelona, 18, Defender",Balde Barcelona,18, Defender,,,2(3),188,-,-,-,-,0.2,95.7,-,-,6.14
4,"535Dídac ViláEspanyol, 32, D(L),M(L)",Dídac Vilá Espanyol,32, D(L),M(L),,1(8),197,-,-,3,-,-,80,0.3,-,6.14
5,"536Augusto SolariCelta Vigo, 30, AM(CR)",Augusto Solari Celta Vigo,30, AM(CR),,,4(22),700,-,-,5,-,0.3,69.3,0.2,-,6.14
6,"537Sergio RicoMallorca, 28, GK",Sergio Rico Mallorca,28, GK,,,14,1260,-,-,-,-,-,62.9,0.1,-,6.13
7,"538Wu LeiEspanyol, 30, AM(CLR),FW",Wu Lei Espanyol,30, AM(CLR),FW,,4(19),461,1,-,-,-,0.3,69.9,0.3,-,6.13
8,"539Álvaro BastidaCadiz, 18, Midfielder",Álvaro Bastida Cadiz,18, Midfielder,,,2(4),195,-,-,1,-,-,77.4,0.2,-,6.13
9,"540Jaime MataGetafe, 33, FW",Jaime Mata Getafe,33, FW,,,5(18),664,1,-,7,-,0.4,68.4,1.1,-,6.13
0,"541John GuidettiDeportivo Alaves, 30, FW",John Guidetti Deportivo Alaves,30, FW,,,2(8),274,-,-,2,-,1,77.1,0.1,-,6.12
1,"542Javier LópezDeportivo Alaves, 20, D(L)",Javier López Deportivo Alaves,20, D(L),,,4(5),458,-,-,2,-,-,77.4,-,-,6.12
2,"543Alejandro CanteroLevante, 21, FW",Alejandro Cantero Levante,21, FW,,,4(21),597,-,1,1,-,0.6,68.3,0.1,-,6.12
3,"544Hugo ÁlvarezCelta Vigo, 18, Midfielder",Hugo Álvarez Celta Vigo,18, Midfielder,,,0(1),10,-,-,-,-,1,33.3,-,-,6.12
4,"545Landry DimataEspanyol, 24, FW",Landry Dimata Espanyol,24, FW,,,4(13),537,-,-,-,-,0.5,72.8,1.1,-,6.12
5,"546Marcos MauroCadiz, 31, D(C)",Marcos Mauro Cadiz,31, D(C),,,1(2),136,-,-,1,-,-,52,1.3,-,6.12
6,"547Jaume GrauOsasuna, 25, DMC",Jaume Grau Osasuna,25, DMC,,,0(1),2,-,-,-,-,-,50,-,-,6.11
7,"548Loren MorónReal Betis, 28, FW",Loren Morón Real Betis,28, FW,,,0(1),3,-,-,-,-,-,-,-,-,6.11
8,"549Mamadou SyllaDeportivo Alaves, 28, FW",Mamadou Sylla Deportivo Alaves,28, FW,,,4(9),391,-,-,1,-,0.2,61.9,0.8,-,6.11
9,"550JosemaElche, 26, D(CL)",Josema Elche,26, D(CL),,,1(5),181,-,-,-,-,-,67.4,0.5,-,6.11
0,"551Luismi CruzSevilla, 21, Midfielder",Luismi Cruz Sevilla,21, Midfielder,,,0(2),12,-,-,-,-,-,33.3,-,-,6.1
1,"552Jonathan SilvaGetafe, 27, D(CL),M(L)",Jonathan Silva Getafe,27, D(CL),M(L),,1(8),222,-,-,4,-,0.1,69.4,0.1,-,6.1
2,"553Yan EtekiGranada, 24, DMC",Yan Eteki Granada,24, DMC,,,2(10),337,-,-,3,-,0.1,74.8,0.6,-,6.1
3,"554Dani RabaVillarreal, 26, AM(CR)",Dani Raba Villarreal,26, AM(CR),,,0(7),83,-,-,1,-,-,70.3,0.3,-,6.1
4,"555Marc PubillLevante, 18, Defender",Marc Pubill Levante,18, Defender,,,5(6),512,-,1,1,-,0.5,79.2,0.5,-,6.1
5,"556Martín CáceresLevante, 35, D(CLR),M(R)",Martín Cáceres Levante,35, D(CLR),M(R),,9(1),670,-,-,2,-,-,82,0.7,-,6.09
6,"557Juan CalaCadiz, 32, D(C)",Juan Cala Cadiz,32, D(C),,,11(4),948,-,-,7,1,0.3,73.9,1.1,-,6.09
7,"558Unai RoperoDeportivo Alaves, 20, Midfielder",Unai Ropero Deportivo Alaves,20, Midfielder,,,0(1),11,-,-,-,-,-,100,-,-,6.08
8,"559Víctor CamarasaReal Betis, 28, M(CR)",Víctor Camarasa Real Betis,28, M(CR),,,0(7),102,-,-,-,-,0.1,82,0.3,-,6.08
9,"560Rubén IranzoValencia, 19, Defender",Rubén Iranzo Valencia,19, Defender,,,1(3),134,-,-,2,-,0.3,80.9,-,-,6.08
0,"561Mamadou SyllaRayo Vallecano, 28, FW",Mamadou Sylla Rayo Vallecano,28, FW,,,1(11),247,-,-,2,-,0.9,72.6,1.2,-,6.07
1,"562Estanis PedrolaBarcelona, 18, Forward",Estanis Pedrola Barcelona,18, Forward,,,0(1),10,-,-,-,-,-,-,-,-,6.07
2,"563Manu VallejoValencia, 25, FW",Manu Vallejo Valencia,25, FW,,,0(9),90,-,-,3,-,0.3,65.5,0.2,-,6.07
3,"564Eray CömertValencia, 24, D(C)",Eray Cömert Valencia,24, D(C),,,5(3),408,-,-,2,-,0.4,84.5,0.3,-,6.07
4,"565Milutin OsmajicCadiz, 22, Forward",Milutin Osmajic Cadiz,22, Forward,,,2(8),251,-,-,-,-,0.4,54.3,1.2,-,6.06
5,"566Aleix FebasMallorca, 26, AM(C)",Aleix Febas Mallorca,26, AM(C),,,1(3),115,-,-,1,-,-,86.8,0.3,-,6.06
6,"567Florin AndoneCadiz, 29, FW",Florin Andone Cadiz,29, FW,,,1(4),174,-,-,1,-,0.6,65.8,1.4,-,6.06
7,"568Álvaro VadilloEspanyol, 27, AM(LR)",Álvaro Vadillo Espanyol,27, AM(LR),,,0(3),6,-,-,1,-,-,77.8,0.3,-,6.06
8,"569Iker BenitoOsasuna, 19, Forward",Iker Benito Osasuna,19, Forward,,,1(3),117,-,-,1,-,0.8,78.3,0.3,-,6.06
9,"570Carlo GarcíaVillarreal, 21, Midfielder",Carlo García Villarreal,21, Midfielder,,,0(1),6,-,-,-,-,-,100,-,-,6.05
0,"571Joan SastreMallorca, 25, D(R)",Joan Sastre Mallorca,25, D(R),,,2(5),255,-,-,1,-,0.3,74.7,0.7,-,6.05
1,"572Lago JuniorMallorca, 31, M(L)",Lago Junior Mallorca,31, M(L),,,1(5),175,-,-,-,-,1,65,0.7,-,6.05
2,"573Dani RabaGranada, 26, AM(CR)",Dani Raba Granada,26, AM(CR),,,0(2),24,-,-,-,-,-,66.7,-,-,6.05
3,"574Tomás MendesDeportivo Alaves, 17, Midfielder",Tomás Mendes Deportivo Alaves,17, Midfielder,,,0(1),8,-,-,-,-,-,80,-,-,6.04
4,"575Víctor GómezEspanyol, 22, D(R),M(R)",Víctor Gómez Espanyol,22, D(R),M(R),,0(1),3,-,-,-,-,-,100,-,-,6.04
5,"576Yacine QasmiRayo Vallecano, 31, Forward",Yacine Qasmi Rayo Vallecano,31, Forward,,,0(1),3,-,-,-,-,-,50,1,-,6.03
6,"577Aleksander SedlarMallorca, 30, D(C)",Aleksander Sedlar Mallorca,30, D(C),,,3(7),401,-,-,3,1,-,81.7,0.8,-,6.02
7,"578Erick CabacoGetafe, 27, D(C)",Erick Cabaco Getafe,27, D(C),,,6(5),405,-,1,2,1,0.1,66.3,0.7,-,6.02
8,"579Alejandro AsensioRayo Vallecano, 21, Forward",Alejandro Asensio Rayo Vallecano,21, Forward,,,0(2),12,-,-,-,-,0.5,85.7,0.5,-,6.02
9,"580Mario DominguezValencia, 18, Midfielder",Mario Dominguez Valencia,18, Midfielder,,,0(2),23,-,-,-,-,-,66.7,-,-,6.02
0,"581David TimorGetafe, 32, D(C),M(C)",David Timor Getafe,32, D(C),M(C),,3(4),339,-,-,2,-,1.1,81.5,1,-,6.01
1,"582Álvaro SanzBarcelona, 21, Midfielder",Álvaro Sanz Barcelona,21, Midfielder,,,0(2),27,-,-,-,-,-,83.3,-,-,6.01
2,"583Ander CapaAthletic Bilbao, 30, D(R),M(R)",Ander Capa Athletic Bilbao,30, D(R),M(R),,0(1),3,-,-,-,-,1,50,-,-,6.01
3,"584Omar FarajLevante, 20, Forward",Omar Faraj Levante,20, Forward,,,0(1),3,-,-,-,-,-,-,-,-,6.01
4,"585Adrián ButzkeGranada, 23, FW",Adrián Butzke Granada,23, FW,,,0(1),1,-,-,-,-,-,-,-,-,6
5,"586Benjamin LecomteAtletico, 31, GK",Benjamin Lecomte Atletico,31, GK,,,1,1,-,-,1,-,-,-,-,-,6
6,"587Giuliano SimeoneAtletico, 19, Forward",Giuliano Simeone Atletico,19, Forward,,,0(1),1,-,-,-,-,-,33.3,1,-,6
7,"588Luca KoleoshoEspanyol, 17, Midfielder",Luca Koleosho Espanyol,17, Midfielder,,,0(1),1,-,-,-,-,-,100,-,-,6
8,"589Miguel BaezaCelta Vigo, 22, Midfielder",Miguel Baeza Celta Vigo,22, Midfielder,,,0(1),1,-,-,-,-,-,100,-,-,6
9,"590Mika MármolBarcelona, 20, Defender",Mika Mármol Barcelona,20, Defender,,,0(1),1,-,-,-,-,-,80,-,-,6
0,"591Nikita IosifovVillarreal, 21, Midfielder",Nikita Iosifov Villarreal,21, Midfielder,,,0(1),1,-,-,-,-,-,100,-,-,6
1,"592Peru NolaskoainAthletic Bilbao, 23, Defender",Peru Nolaskoain Athletic Bilbao,23, Defender,,,0(1),1,-,-,-,-,-,100,-,-,6
2,"593Raúl GarcíaReal Betis, 21, Forward",Raúl García Real Betis,21, Forward,,,0(1),1,-,-,-,-,-,-,-,-,6
3,"594Valentino FattoreSevilla, 20, Defender",Valentino Fattore Sevilla,20, Defender,,,0(1),1,-,-,-,-,-,-,-,-,6
4,"595GoriEspanyol, 20, Midfielder",Gori Espanyol,20, Midfielder,,,0(1),8,-,-,1,-,-,83.3,-,-,5.99
5,"596Iván MartínDeportivo Alaves, 23, Midfielder",Iván Martín Deportivo Alaves,23, Midfielder,,,2(4),166,-,-,-,-,0.2,82,0.5,-,5.99
6,"597Álvaro AguirreRayo Vallecano, 22, Forward",Álvaro Aguirre Rayo Vallecano,22, Forward,,,0(1),8,-,-,-,-,-,100,-,-,5.98
7,"598Matthew HoppeMallorca, 21, FW",Matthew Hoppe Mallorca,21, FW,,,1(4),130,-,1,-,-,0.4,70.6,0.4,-,5.98
