,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
5,"156Ansu FatiBarcelona, 19, AM(L)",Ansu Fati Barcelona,19, AM(L),,,3(7),334,4,-,-,-,1.8,85.1,0.1,-,6.7
6,"157Jorge de FrutosLevante, 25, AM(R)",Jorge de Frutos Levante,25, AM(R),,,20(5),1766,4,7,4,-,1.8,70.5,0.3,2,6.7
7,"158Adrián EmbarbaEspanyol, 30, AM(CLR),FW",Adrián Embarba Espanyol,30, AM(CLR),FW,,24(8),1998,-,2,4,-,1.5,75.5,0.5,1,6.69
8,"159Thomas DelaneySevilla, 30, DMC",Thomas Delaney Sevilla,30, DMC,,,15(11),1545,2,1,2,1,0.7,78.3,2.1,2,6.69
9,"160Damián SuárezGetafe, 34, D(R),M(R)",Damián Suárez Getafe,34, D(R),M(R),,31(4),2721,-,3,13,-,0.4,71,0.7,1,6.69
0,"161FernandoSevilla, 34, DMC",Fernando Sevilla,34, DMC,,,21(3),1851,1,1,6,-,0.3,89.2,1.5,-,6.69
1,"162Johan MojicaElche, 29, D(L),M(L)",Johan Mojica Elche,29, D(L),M(L),,32(1),2857,2,5,4,1,0.5,77.4,0.8,3,6.69
2,"163Marcelo SaracchiLevante, 24, D(L)",Marcelo Saracchi Levante,24, D(L),,,2(2),186,-,1,2,-,-,81.9,0.3,-,6.69
3,"164Lucas OlazaElche, 27, D(L),M(L)",Lucas Olaza Elche,27, D(L),M(L),,3(2),293,1,-,1,-,0.8,80.6,0.2,1,6.69
4,"165Helibelton PalaciosElche, 28, D(R)",Helibelton Palacios Elche,28, D(R),,,22(4),1932,-,-,6,-,-,78.7,1,-,6.69
5,"166Nahuel TenagliaDeportivo Alaves, 26, D(CR)",Nahuel Tenaglia Deportivo Alaves,26, D(CR),,,12(2),1073,-,-,2,-,0.4,59.9,1.6,-,6.68
6,"167Adrià PedrosaEspanyol, 24, D(L),M(L)",Adrià Pedrosa Espanyol,24, D(L),M(L),,31,2723,1,1,8,-,0.8,77.8,0.5,1,6.68
7,"168Luis SuárezGranada, 24, AM(L),FW",Luis Suárez Granada,24, AM(L),FW,,34(3),2857,8,4,6,-,2.3,67.3,1.5,2,6.68
8,"169Jesús CoronaSevilla, 29, D(R),M(CLR),FW",Jesús Corona Sevilla,29, D(R),M(CLR),FW,12(6),1161,2,4,2,-,0.7,82.2,0.4,1,6.68
9,"170Rui SilvaReal Betis, 28, GK",Rui Silva Real Betis,28, GK,,,21(1),1963,-,-,2,-,-,66.9,0.2,-,6.68
0,"171Lucas PérezCadiz, 33, AM(CR),FW",Lucas Pérez Cadiz,33, AM(CR),FW,,11(4),1061,3,2,1,-,1,81.6,0.1,1,6.68
1,"172Oihan SancetAthletic Bilbao, 22, AM(C),FW",Oihan Sancet Athletic Bilbao,22, AM(C),FW,,16(11),1426,6,4,2,-,1.1,78.2,0.6,2,6.68
2,"173Iñigo Ruiz de GalarretaMallorca, 28, DMC",Iñigo Ruiz de Galarreta Mallorca,28, DMC,,,17(5),1390,-,-,4,-,0.4,82.6,0.8,-,6.68
3,"174Borja MayoralGetafe, 25, FW",Borja Mayoral Getafe,25, FW,,,11(7),1049,6,1,3,-,0.9,73.5,1.2,1,6.68
4,"175Gonzalo EscalanteDeportivo Alaves, 29, DMC",Gonzalo Escalante Deportivo Alaves,29, DMC,,,15(2),1307,5,-,6,1,0.9,66.8,2.1,-,6.67
5,"176Marcos LlorenteAtletico, 27, D(R),M(CR),FW",Marcos Llorente Atletico,27, D(R),M(CR),FW,29,2456,-,2,5,-,0.6,84.8,0.6,-,6.67
6,"177Ángel CorreaAtletico, 27, AM(CLR),FW",Ángel Correa Atletico,27, AM(CLR),FW,,21(15),1860,12,5,3,1,1.4,76.5,0.2,2,6.67
7,"178Raúl AlbiolVillarreal, 36, D(C)",Raúl Albiol Villarreal,36, D(C),,,28,2467,-,-,8,-,0.2,86,1.5,-,6.67
8,"179Nemanja MaksimovicGetafe, 27, M(C)",Nemanja Maksimovic Getafe,27, M(C),,,34(1),2943,1,1,4,-,0.9,77.7,1.3,1,6.67
9,"180Isi PalazónRayo Vallecano, 27, AM(R)",Isi Palazón Rayo Vallecano,27, AM(R),,,27(7),2301,2,4,7,-,1.7,74.3,1.4,3,6.67
0,"181FidelElche, 32, M(CLR)",Fidel Elche,32, M(CLR),,,29(4),2283,5,6,9,-,0.5,78.7,0.2,1,6.67
1,"182KokeAtletico, 30, M(CLR)",Koke Atletico,30, M(CLR),,,29(2),2512,1,2,6,-,0.4,86.5,0.4,1,6.66
2,"183Andoni GorosabelReal Sociedad, 25, D(R)",Andoni Gorosabel Real Sociedad,25, D(R),,,25(7),2298,-,4,4,-,0.3,84.9,0.7,-,6.66
3,"184RodrygoReal Madrid, 21, AM(CLR)",Rodrygo Real Madrid,21, AM(CLR),,,17(16),1528,4,4,3,-,1,86.1,0.4,2,6.66
4,"185Óscar ValentínRayo Vallecano, 27, DMC",Óscar Valentín Rayo Vallecano,27, DMC,,,29(6),2580,-,-,8,-,0.3,83.8,1.1,-,6.65
5,"186Thierry CorreiaValencia, 23, D(R),M(R)",Thierry Correia Valencia,23, D(R),M(R),,18(1),1424,-,1,5,-,0.2,70.7,1,-,6.65
6,"187Rubén DuarteDeportivo Alaves, 26, D(CL)",Rubén Duarte Deportivo Alaves,26, D(CL),,,31(3),2630,-,4,10,1,0.3,67.7,1.6,-,6.65
7,"188NachoReal Madrid, 32, D(CLR)",Nacho Real Madrid,32, D(CLR),,,17(11),1549,3,-,7,-,0.4,93,1,-,6.65
8,"189Fran GarcíaRayo Vallecano, 22, D(L)",Fran García Rayo Vallecano,22, D(L),,,34,3027,1,-,4,-,0.7,80.1,0.7,-,6.65
9,"190Francis CoquelinVillarreal, 31, M(CLR)",Francis Coquelin Villarreal,31, M(CLR),,,8(12),828,2,1,3,-,0.3,86,0.8,1,6.65
0,"191Jesús NavasSevilla, 36, D(R),M(R)",Jesús Navas Sevilla,36, D(R),M(R),,19(6),1788,-,3,4,-,0.4,81,0.6,1,6.64
1,"192Alberto MorenoVillarreal, 29, D(L),M(L)",Alberto Moreno Villarreal,29, D(L),M(L),,13(11),1223,3,2,3,-,0.9,85.6,0.3,1,6.64
2,"193David SoriaGetafe, 29, GK",David Soria Getafe,29, GK,,,38,3415,-,-,4,-,-,51,0.4,1,6.64
3,"194Shkodran MustafiLevante, 30, D(CR)",Shkodran Mustafi Levante,30, D(CR),,,8(3),658,1,-,1,-,0.4,78.4,2.2,1,6.64
4,"195Yangel HerreraEspanyol, 24, M(C)",Yangel Herrera Espanyol,24, M(C),,,19(4),1650,1,1,5,1,0.7,81.7,2.4,3,6.64
5,"196Matías DituroCelta Vigo, 35, GK",Matías Dituro Celta Vigo,35, GK,,,38,3420,-,-,1,-,-,60.2,0.2,2,6.64
6,"197Yeremi PinoVillarreal, 19, AM(R)",Yeremi Pino Villarreal,19, AM(R),,,21(10),1688,6,4,2,-,0.9,78.9,0.5,2,6.63
7,"198Youssouf SabalyReal Betis, 29, D(LR),M(R)",Youssouf Sabaly Real Betis,29, D(LR),M(R),,9(1),789,-,1,1,-,0.4,84.6,1,-,6.63
8,"199José GayàValencia, 27, D(L),M(L)",José Gayà Valencia,27, D(L),M(L),,22(2),1875,2,4,6,2,0.8,75.7,0.3,1,6.63
9,"200Pedro BigasElche, 32, D(CL)",Pedro Bigas Elche,32, D(CL),,,19,1556,1,-,6,-,0.6,86.9,1.9,-,6.63
0,"201Aïssa MandiVillarreal, 30, D(CLR)",Aïssa Mandi Villarreal,30, D(CLR),,,14(3),1374,1,-,3,-,0.6,93,1.5,-,6.63
1,"202Iddrisu BabaMallorca, 26, DMC",Iddrisu Baba Mallorca,26, DMC,,,23(3),1945,1,1,9,-,0.9,79.8,1.6,3,6.63
2,"203Eric GarcíaBarcelona, 21, D(C)",Eric García Barcelona,21, D(C),,,23(3),2044,-,-,5,1,0.2,93.2,1.2,-,6.62
3,"204Iván AlejoCadiz, 27, AM(R)",Iván Alejo Cadiz,27, AM(R),,,11(9),1071,2,2,7,-,0.6,72,0.6,1,6.62
4,"205Joan JordánSevilla, 27, M(C)",Joan Jordán Sevilla,27, M(C),,,31(5),2530,-,1,9,-,0.4,88.5,0.3,-,6.62
5,"206Boulaye DiaVillarreal, 25, AM(R),FW",Boulaye Dia Villarreal,25, AM(R),FW,,13(12),1267,5,5,3,-,1.5,75.3,1.2,-,6.62
6,"207José Manuel CalderónReal Betis, 22, Forward",José Manuel Calderón Real Betis,22, Forward,,,0(1),64,-,-,-,-,-,97.4,-,-,6.62
7,"208Óscar DuarteLevante, 33, D(C),DMC",Óscar Duarte Levante,33, D(C),DMC,,20(3),1775,2,-,5,-,0.8,83.6,3,-,6.62
8,"209Hugo MalloCelta Vigo, 30, D(CR),M(R)",Hugo Mallo Celta Vigo,30, D(CR),M(R),,21,1830,1,1,3,2,0.8,76.8,2,-,6.62
9,"210Leo RománMallorca, 21, Goalkeeper",Leo Román Mallorca,21, Goalkeeper,,,2,180,-,-,-,-,-,66.7,-,-,6.62
0,"211Óscar GilEspanyol, 24, D(R)",Óscar Gil Espanyol,24, D(R),,,20(2),1698,-,2,7,-,0.3,85.3,0.3,1,6.61
1,"212Jens JønssonCadiz, 29, D(C),DMC",Jens Jønsson Cadiz,29, D(C),DMC,,17(5),1315,-,1,3,-,0.3,76.1,1.3,-,6.61
2,"213Jon MoncayolaOsasuna, 24, DMC",Jon Moncayola Osasuna,24, DMC,,,33(3),2923,2,3,3,-,1.1,82.1,0.5,-,6.61
3,"214Fran BeltránCelta Vigo, 23, DMC",Fran Beltrán Celta Vigo,23, DMC,,,31(6),2611,1,-,4,-,0.5,91.2,0.4,1,6.61
4,"215PepeluLevante, 23, DMC",Pepelu Levante,23, DMC,,,23(6),2016,-,-,9,-,0.5,81.1,1.1,-,6.61
