Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Lars Stindl Borussia M.Gladbach,33, M(CLR),FW,,20(6),4,5,1.7,1.2,0.3,0.6,0.2,0.7,1.3,6.64,1637
Hiroki Ito Stuttgart,23, D(C),,,26(3),1,1,0.4,0.5,0.2,0.3,-,0.1,0.6,6.64,2348
Kevin Mbabu Wolfsburg,27, D(R),M(R),,14(10),-,-,0.2,0.9,1.4,0.9,0.1,0.5,1.3,6.64,1389
Stevan Jovetic Hertha Berlin,32, AM(CL),FW,,13(5),6,1,2.4,0.8,0.7,0.9,0.4,1.2,1.3,6.64,1020
Robin Zentner Mainz,27, GK,,,32,-,-,-,-,-,0.1,-,-,0.1,6.64,2880
Max Christiansen Greuther Fuerth,25, DMC,,,22(5),-,-,0.4,0.4,0.2,0.7,-,0.3,0.6,6.63,2056
Vasilios Lampropoulos Bochum,32, D(C),,,13,-,-,0.3,0.1,-,0.3,-,0.3,0.5,6.63,1169
Bastian Oczipka Union Berlin,33, D(CL),M(L),,9(9),-,1,0.3,0.9,0.8,0.7,0.1,0.3,0.6,6.63,929
Daichi Kamada Eintracht Frankfurt,25, AM(CLR),FW,,23(9),4,3,1.1,1,0.9,0.8,0.2,0.7,1.9,6.63,2146
Axel Witsel Borussia Dortmund,33, D(C),M(C),,22(7),2,-,0.3,0.2,0.2,1,-,0.5,0.6,6.62,1946
Erhan Masovic Bochum,23, D(C),,,16(3),-,-,0.2,-,0.1,0.4,-,-,0.3,6.62,1461
Marc Oliver Kempf Hertha Berlin,27, D(C),,,12,-,1,0.7,0.3,0.5,1,-,0.3,0.4,6.61,1052
Christoph Baumgartner Hoffenheim,22, AM(CLR),FW,,23(6),7,2,1.4,0.7,0.7,1.1,-,0.9,2.1,6.61,1899
André Hahn Augsburg,31, AM(CLR),FW,,25(7),5,2,1.4,0.6,0.4,0.6,0.5,0.7,2,6.61,2112
Tiago Tomás Stuttgart,19, AM(CR),FW,,13(1),4,-,2,0.5,1.1,1.8,0.5,0.8,4.1,6.61,1080
Exequiel Palacios Leverkusen,23, M(C),,,12(11),2,2,0.4,0.3,0.3,0.7,-,0.6,0.6,6.61,1094
Maximilian Eggestein Freiburg,25, M(CR),,,26(5),1,2,0.7,0.7,0.2,0.8,-,0.7,1.4,6.6,2205
Dennis Geiger Hoffenheim,23, M(C),,,17(3),2,2,0.7,1.2,0.3,1,-,0.5,0.8,6.6,1385
Amine Adli Leverkusen,22, AM(CL),FW,,13(12),3,2,1.5,0.6,0.8,1.1,0.3,0.7,1.9,6.6,1256
Maxim Leitsch Bochum,24, D(C),,,17(2),1,-,0.3,0.2,0.2,-,0.1,0.1,0.8,6.6,1537
Frederik Rønnow Union Berlin,29, GK,,,7,-,-,-,-,-,0.1,-,-,-,6.6,630
Paulo Otávio Wolfsburg,27, D(L),M(L),,5(2),-,1,0.6,0.4,0.7,0.6,0.1,0.3,1,6.6,365
Eduard Löwen Bochum,25, D(C),M(C),,14(11),2,2,1.4,1.5,0.7,0.4,-,0.8,1.3,6.6,1346
Simon Zoller Bochum,30, AM(LR),FW,,6(4),3,2,1.1,0.7,0.2,0.5,0.3,0.1,1.5,6.6,595
Leandro Barreiro Mainz,22, DMC,,,20(11),1,2,1,0.5,0.2,0.9,-,0.4,1.3,6.6,1790
Genki Haraguchi Union Berlin,31, M(CLR),,,23(7),2,6,1,0.8,0.4,1,-,0.5,0.8,6.6,1770
Martin Hinteregger Eintracht Frankfurt,29, D(C),,,25(2),1,-,0.6,0.3,0.1,1.1,-,0.1,0.8,6.6,2222
Josip Stanisic Bayern,22, D(R),,,6(7),1,-,0.3,0.2,0.4,0.1,-,0.5,0.8,6.59,646
Frederik Winther Augsburg,21, Defender,,,3(1),-,-,-,-,-,-,-,-,0.5,6.59,327
Konstantinos Stafylidis Bochum,28, D(LR),DMC,M(L),14(9),-,1,0.7,0.4,0.2,0.7,-,0.4,0.4,6.59,1299
