Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Viktor Kovalenko Spezia,26, M(C),,,16(10),1,4,0.3,0.7,0.2,0.8,-,0.7,1.1,6.28,1323
Matheus Henrique Sassuolo,24, M(C),,,10(15),-,1,0.3,0.6,0.8,0.5,-,0.7,0.4,6.28,1066
Filippo Melegoni Genoa,23, AM(CR),,,10(15),1,-,0.5,0.6,0.3,0.8,0.1,0.5,1.6,6.28,976
Gianluca Gaetano Napoli,22, Midfielder,,,0(2),-,-,-,-,-,0.5,-,-,0.5,6.28,19
Francesco Di Tacchio Salernitana,32, M(C),,,14(4),-,-,0.8,0.2,0.3,1.3,-,0.4,0.9,6.27,1257
Patrick Cutrone Empoli,24, FW,,,15(13),3,-,1.8,0.3,0.3,0.6,0.7,0.6,1.3,6.27,1402
Riccardo Calafiori Roma,20, Defender,,,2(4),-,1,-,0.2,0.3,-,-,-,0.3,6.27,170
Kevin Malcuit Napoli,30, D(R),M(R),,2(6),-,1,0.1,0.3,0.4,0.6,-,0.3,0.6,6.27,286
Gregoire Defrel Sassuolo,30, AM(CR),FW,,11(27),2,2,0.7,0.6,0.5,0.5,0.1,0.8,1,6.27,1346
Andrei Motoc Salernitana,20, Midfielder,,,1,-,-,1,-,1,2,-,-,1,6.27,90
Toma Basic Lazio,25, M(C),,,9(20),-,2,0.6,0.2,0.2,0.2,-,0.2,0.6,6.27,969
Aleksa Terzic Fiorentina,22, Defender,,,1(13),-,1,-,0.4,0.1,0.1,-,0.2,0.6,6.27,261
Yildirim Mert Çetin Verona,25, D(C),,,0(2),-,-,-,-,0.5,0.5,-,0.5,0.5,6.27,46
Demba Seck Torino,21, Forward,,,1(5),-,-,0.7,-,0.7,0.3,0.3,0.3,0.7,6.26,143
Stefan Radu Lazio,35, D(CL),,,6(4),-,-,0.2,-,0.1,0.5,-,0.3,0.5,6.26,554
Riccardo Fiamozzi Empoli,29, D(R),,,7(3),-,1,-,0.6,0.3,0.7,-,0.4,0.4,6.26,622
Jean-Daniel Akpa Akpro Lazio,29, D(R),M(CLR),,4(6),-,-,0.3,0.2,0.6,0.8,-,0.4,1.3,6.26,313
Riccardo Marchizza Empoli,24, D(L),,,16(3),-,1,0.4,0.6,0.6,0.2,0.1,0.4,0.8,6.26,1352
Radu Dragusin Sampdoria,20, D(C),,,4(9),-,-,0.2,0.2,0.1,0.4,0.1,0.3,0.2,6.26,613
Marvin Zeegelaar Udinese,31, D(CL),M(L),,6(8),-,-,0.2,0.1,0.4,0.3,0.1,0.1,0.4,6.25,637
