Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Ridle Baku,24, D(R),M(CR),,28(6),3,5,1.1,1.1,1.1,1.1,0.3,0.7,1.8,6.81,2450
Niklas Süle,26, D(CR),,,19(9),1,2,0.6,0.4,0.3,-,-,0.1,0.3,6.81,1835
Daniel Caligiuri,34, D(R),M(CLR),FW,24(4),4,2,1.3,0.8,1.4,1.5,-,1.3,2.5,6.81,2014
Manuel Riemann,33, GK,,,30,-,1,-,0.2,-,0.2,-,-,-,6.81,2700
Lukas Kübler,29, D(R),M(R),,27(2),2,-,0.4,0.5,0.3,0.7,0.1,0.2,0.8,6.8,2338
Sheraldo Becker,27, AM(CLR),FW,,22(6),4,6,1.3,1.5,0.9,0.9,0.4,0.7,1.6,6.8,1770
Lukás Hrádecky,32, GK,,,32,-,-,-,-,-,0.1,-,-,-,6.8,2880
Denis Zakaria,25, D(C),DMC,,15(1),2,1,1.1,0.6,1.8,0.7,0.1,0.7,1.1,6.8,1395
Silvan Widmer,29, D(R),M(R),,33,4,5,0.7,0.6,0.6,0.6,-,0.4,0.8,6.79,2925
Amos Pieper,24, D(C),,,27,-,-,0.5,0.2,0.2,0.6,-,-,0.3,6.79,2382
Rafael Borré Eintracht,26, FW,,,28(3),8,4,1.7,0.9,0.9,0.8,0.5,1,3.1,6.79,2391
Salih Özcan,24, M(C),,,26(5),2,-,0.9,0.6,0.8,1.7,-,0.9,0.8,6.79,2310
Michael Gregoritsch,28, AM(CR),FW,,15(10),9,-,1.7,0.3,0.2,0.5,0.2,0.6,1.6,6.78,1394
Marvin Schwäbe,27, GK,,,21,-,-,-,-,-,0.1,-,-,-,6.78,1890
Robert Andrich,27, M(C),,,21(5),4,2,1.2,0.5,0.5,0.6,0.1,0.3,0.5,6.78,1821
Karim Bellarabi,32, M(CLR),FW,,9(7),3,2,1.8,0.6,1.1,0.4,0.1,0.8,1.2,6.78,687
Christian Günter,29, D(L),M(L),,34,2,9,0.7,2,0.6,0.4,0.1,0.2,1.1,6.78,3060
Florian Neuhaus,25, M(C),,,23(5),4,4,1.6,0.7,1.3,1,-,0.9,1.4,6.78,2038
Guilherme Ramos,24, D(C),,,9(4),-,-,0.5,0.1,0.3,0.4,0.1,0.5,1,6.77,903
Cédric Brunner,28, D(CR),,,26(1),-,1,0.4,0.6,0.6,0.9,-,0.4,0.7,6.77,2188
Matthias Ginter,28, D(CR),DMC,,26(1),1,-,1.1,0.6,0.2,1,0.1,0.1,0.4,6.77,2268
Wout Weghorst,29, FW,,,17(1),6,1,2.1,0.9,0.4,1.7,0.8,1,2.7,6.76,1552
Jesper Lindstrøm Eintracht,22, AM(C),FW,,26(3),5,4,1.9,1.6,1.1,0.6,0.1,1.1,2.9,6.76,1996
Ansgar Knauff Eintracht,20, M(R),,,8(4),1,1,1,0.8,1.5,0.7,0.1,0.7,1.3,6.76,760
Iago,25, D(L),M(L),,26(2),2,5,0.4,1.1,0.4,0.6,0.1,0.7,1.3,6.75,2179
Robin Knoche,30, D(C),,,33,-,-,0.3,0.1,0.4,0.4,-,0.2,0.5,6.75,2970
Marvin Plattenhardt,30, D(L),M(L),,19(2),-,3,0.3,1.9,0.4,1,-,0.3,0.7,6.75,1638
Nordi Mukiele,24, D(CR),M(R),,21(7),1,3,0.8,0.5,0.7,0.9,0.3,0.8,1.3,6.75,1846
Tuta Eintracht,22, D(C),,,26,4,-,0.6,0.2,0.6,0.5,-,0.3,0.9,6.75,2189
Grischa Prömel,27, M(C),,,28(1),8,1,1.3,0.5,0.6,2,0.1,1,1.8,6.75,2428
Yann Sommer,33, GK,,,32,-,1,-,-,-,0.2,-,-,-,6.75,2880
André Silva,26, FW,,,24(9),11,3,1.8,0.5,0.7,0.8,0.5,1.4,2.7,6.74,2081
Niklas Dorsch,24, DMC,,,27(3),1,-,0.4,0.5,1.1,1.6,-,0.8,0.7,6.74,2328
Manuel Neuer,36, GK,,,28,-,-,-,-,-,-,-,-,-,6.74,2511
Stefan Bell,30, D(CR),,,33,2,-,0.7,0.3,0.2,0.2,0.2,0.1,0.4,6.74,2869
Thorgan Hazard,29, M(CLR),FW,,14(9),4,1,1,1,1,0.8,0.5,0.7,1,6.73,1337
Atakan Karazor,25, D(C),DMC,,23(1),-,1,0.4,0.7,0.5,1.6,-,0.6,1,6.73,1906
Josuha Guilavogui,31, D(C),M(C),,10(5),-,-,0.5,0.2,0.5,0.4,0.1,0.6,0.8,6.73,943
Joakim Nilsson,28, D(C),,,31,2,-,0.2,0.1,0.1,0.5,0.1,-,0.4,6.73,2739
John Brooks,29, D(C),,,29(2),1,-,0.4,0.2,0.3,0.5,-,0.2,0.7,6.73,2619
Stefan Ortega Moreno,29, GK,,,33,-,-,-,0.2,-,0.1,-,-,-,6.73,2970
Jordan Torunarigha,24, D(CL),,,6(1),-,1,0.3,0.3,0.3,0.6,0.1,0.1,0.6,6.72,484
Giovanni Reyna,19, AM(CLR),,,6(4),2,1,1.1,1.5,0.6,1.1,0.1,1.3,1.2,6.72,442
Cristian Gamboa,32, D(R),,,20(3),1,-,0.2,0.6,0.6,0.5,0.1,0.3,0.7,6.72,1725
Moussa Niakhaté,26, D(CL),,,29(1),4,-,0.4,0.4,0.4,0.8,0.1,0.4,0.7,6.72,2567
Corentin Tolisso,27, D(R),M(CR),,8(7),2,1,1.1,1.1,0.1,0.4,0.2,0.2,0.8,6.72,705
Dani Olmo,24, AM(CLR),FW,,7(12),3,3,1.2,0.6,1.3,1.2,0.1,0.8,1.2,6.71,740
Mark Flekken,28, GK,,,32,-,-,-,-,0.1,-,-,-,-,6.71,2880
Manuel Akanji,26, D(CR),,,25(1),1,-,0.5,0.1,0.3,0.9,-,-,0.3,6.71,2263
Xaver Schlager,24, M(C),,,13(1),-,1,0.7,0.4,0.8,0.7,0.1,0.7,1.3,6.71,1047
Paulinho,21, AM(CLR),,,14(10),4,2,1.1,0.9,1.1,0.7,0.1,0.8,1.6,6.71,1219
Louis Jordan Beyer,22, D(CR),,,14(2),-,-,0.4,0.3,0.6,1.3,-,0.3,0.4,6.71,1294
Timo Baumgartl,26, D(C),,,25,1,2,0.5,0.3,0.2,0.5,-,0.3,0.6,6.71,2169
Philipp Klement,29, M(C),,,3(3),1,-,1,1.3,0.7,0.2,0.2,0.2,0.8,6.7,338
Koen Casteels,29, GK,,,28,-,-,-,-,0.1,0.1,-,-,-,6.7,2520
Marvin Friedrich,26, D(C),,,13,-,-,1.1,0.4,0.4,0.2,-,0.4,0.8,6.7,1170
Suat Serdar,25, M(CLR),,,27(3),3,-,1.1,0.8,2,1.6,0.1,1.6,2.2,6.7,2230
Jeffrey Gouweleeuw,30, D(C),,,29,2,-,0.4,0.3,0.5,0.3,-,0.2,0.8,6.7,2578
