Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Daniel Cárdenas,25, GK,,,24,-,-,-,-,-,0.1,-,-,-,6.43,2160
Toni Lato,24, D(L),,,7(4),-,1,-,0.3,0.7,0.5,0.1,0.6,0.4,6.43,591
Brian Oliván,28, D(CL),,,24(4),1,-,0.7,0.7,0.3,0.3,0.1,0.3,0.6,6.43,2189
Suso,28, AM(CLR),FW,,6(2),-,1,0.8,0.5,0.9,0.9,0.3,0.3,1,6.43,390
Kike Barja,25, AM(LR),,,9(12),2,-,0.8,0.2,1.6,1.1,-,1.3,1.8,6.43,863
Dani García,32, DMC,,,27(5),-,-,0.4,0.3,0.1,0.7,-,0.3,0.2,6.43,2194
Cote,32, D(L),,,12(11),1,1,0.5,0.3,0.9,0.2,-,0.9,0.6,6.43,1083
Álex Sola,22, Defender,,,0(2),-,-,0.5,0.5,1,1,-,-,1,6.43,39
Manu Morlanes,23, DMC,,,11(16),2,-,0.3,0.2,0.5,0.4,-,0.2,0.4,6.42,1143
Victor Chust,22, D(C),,,20(5),-,-,0.4,-,0.2,0.3,-,-,0.1,6.42,1830
Mouctar Diakhaby,25, D(C),,,21(8),-,1,0.3,0.1,0.4,0.6,-,0.1,0.5,6.42,1945
Alex Tirlea,22, Defender,,,0(1),-,-,-,-,2,-,-,-,-,6.42,14
Gonzalo Verdú,33, D(C),,,17(3),-,-,0.2,-,-,0.7,-,-,0.2,6.42,1388
Antonio Sánchez,25, AM(CR),,,19(10),1,-,0.6,0.3,0.6,0.9,0.1,0.7,1.6,6.42,1622
Martín Aguirregabiria,26, D(LR),M(R),,17(7),-,1,0.2,0.6,0.6,0.9,-,0.3,0.9,6.42,1619
Cristian Tello,30, M(LR),,,5(18),2,2,1.3,0.7,0.4,0.2,0.2,0.6,0.6,6.42,807
Igor Zubeldia,25, D(C),DMC,,19(7),-,1,0.3,0.1,0.1,0.2,-,-,0.3,6.41,1649
Fernando Calero,26, D(C),,,13(3),-,-,0.1,0.1,0.3,0.4,-,0.1,0.5,6.41,1092
Marcos André,25, FW,,,8(21),1,3,1,0.4,0.5,0.8,0.1,0.8,0.9,6.41,963
Keidi Bare,24, DMC,,,18(7),1,1,0.2,0.3,0.4,1.2,-,0.4,0.4,6.41,1488
Moi Gómez,27, M(CLR),,,13(16),2,2,0.4,0.7,0.4,0.4,-,0.6,0.4,6.41,1280
Lee Kang-In,21, AM(CR),FW,,15(15),1,2,1.2,0.7,1.3,1.2,-,1.1,1.6,6.41,1411
Óscar Rodríguez,23, AM(CLR),,,4(7),-,-,1.3,0.5,1.1,0.5,0.1,0.4,1.3,6.41,416
Thiago Galhardo,32, AM(CL),FW,,9(22),2,2,1,0.4,0.3,0.4,0.5,0.4,0.9,6.4,1135
Víctor Díaz,33, D(CLR),,,19(4),1,-,0.6,0.1,0.2,0.2,-,-,0.2,6.4,1506
Joseba Zaldua,29, D(R),,,14(10),-,-,0.3,0.2,0.1,0.8,-,0.3,0.5,6.4,1173
Randy Nteka,24, AM(C),FW,,16(18),3,-,0.9,0.4,0.5,0.7,0.1,1,1.9,6.4,1462
Mario Gaspar,31, D(CR),M(R),,7(5),-,-,0.3,0.4,0.3,0.2,-,0.2,0.4,6.4,622
Ludwig Augustinsson,28, D(L),M(L),,9(10),-,1,0.2,0.5,0.1,0.5,-,0.2,0.6,6.4,790
Nemanja Radoja,29, DMC,,,17(2),-,-,0.3,0.4,0.6,0.7,-,1.1,1.2,6.4,1224
Yunus Musah,19, M(CR),,,13(16),1,-,0.2,0.3,1.2,0.6,-,0.5,1.2,6.4,1262
Andrés Guardado,35, D(L),M(CL),,17(11),-,1,0.5,0.4,0.2,0.6,-,0.1,0.5,6.4,1394
Uros Racic,24, DMC,,,13(15),-,-,0.6,0.2,0.5,0.9,-,0.3,0.7,6.4,1201
Rober Pier,27, D(C),DMC,,21(6),1,-,0.3,0.1,0.2,0.4,-,0.1,0.6,6.4,2009
Lucas Pérez,33, AM(CR),FW,,16(2),2,1,0.8,0.7,0.3,0.8,0.6,0.7,1.7,6.4,1279
Florentino,22, M(C),,,9(13),-,1,0.1,0.4,0.3,0.1,-,0.5,0.7,6.4,986
David López,32, D(C),DMC,,8(10),-,-,0.3,0.2,0.1,0.3,-,0.1,0.4,6.4,744
Rober,21, Forward,,,1(3),-,-,0.5,0.3,0.5,0.8,-,0.3,0.8,6.39,132
Guido Carrillo,31, FW,,,11(18),2,-,0.8,0.2,0.3,0.9,0.2,0.5,1.2,6.39,1157
Darko Brasanac,30, M(CR),,,27(8),1,2,0.5,0.8,0.4,0.7,0.3,0.7,1.2,6.39,2412
Aleix Vidal,32, D(R),M(LR),,21(10),2,-,0.2,0.8,0.4,1,-,0.5,0.8,6.39,1908
Joaquín,40, M(CLR),FW,,2(19),-,1,0.5,0.7,0.8,0.4,-,0.3,0.3,6.39,455
Son,28, D(LR),,,22(4),1,-,0.5,0.6,0.7,0.5,0.1,0.2,1.3,6.39,1979
Fernando Niño,21, FW,,,9(14),2,-,1,0.4,0.4,0.8,0.1,0.6,1,6.39,879
Dani Ceballos,25, M(CL),,,2(9),-,-,0.9,0.3,0.5,0.6,-,0.1,0.9,6.39,269
Ángel Rodríguez,35, FW,,,19(10),4,2,1,0.4,0.4,0.8,0.6,0.7,1.6,6.37,1551
Óscar Melendo,24, AM(CR),FW,,14(7),-,-,0.4,0.9,0.7,1.8,-,0.6,0.6,6.37,999
Ander Guevara,24, DMC,,,11(6),-,-,0.1,0.4,0.2,0.3,-,0.2,0.6,6.37,872
Unai Dufur,23, Defender,,,1,-,-,1,-,-,-,-,-,-,6.37,90
Mickaël Malsa,26, DMC,,,11(15),1,2,0.5,0.4,0.3,0.6,-,0.4,0.7,6.37,1137
Bebé,31, AM(LR),FW,,6(23),1,2,1.7,0.5,1,0.6,0.2,0.7,1.4,6.37,852
Pablo Martínez,24, M(C),,,7(6),-,1,0.8,0.5,0.5,0.7,0.1,0.8,1.2,6.37,655
Ilaix Moriba,19, M(C),,,9(5),-,-,1,0.1,0.5,1.8,-,0.6,1.9,6.37,819
Nico Williams,19, M(R),,,11(23),-,-,1,0.5,1.3,0.7,0.3,0.8,1.1,6.36,1330
Toni Moya,24, DMC,,,17(11),-,1,0.4,0.8,0.7,0.4,-,0.4,0.9,6.36,1386
Jason,27, M(R),,,10(4),-,1,0.6,1.2,0.4,0.9,-,0.5,0.9,6.36,683
Diego González,27, D(CL),,,19(9),-,-,0.1,0.1,-,0.1,-,-,0.2,6.36,1790
Njegos Petrovic,22, DMC,,,10(5),-,1,0.5,0.2,0.7,0.9,0.1,0.4,0.7,6.36,918
Ezequiel Ponce,25, AM(L),FW,,5(8),1,-,1.2,0.5,1.1,0.8,0.5,1.5,1.7,6.36,664
Santiago Arias,30, D(R),,,4(8),1,-,0.3,0.4,0.3,0.4,0.2,0.3,0.7,6.36,434
Jan Oblak,29, GK,,,38,-,-,-,-,0.1,0.2,-,-,0.1,6.35,3420
Franco Russo,27, D(C),,,17(2),1,-,0.3,0.1,0.3,0.6,0.1,0.2,0.4,6.35,1465
Giovanni González,27, D(R),,,3(6),1,-,0.3,0.7,0.3,0.3,-,0.3,0.2,6.35,364
Bryan Gil,21, AM(CLR),,,9(4),-,1,0.8,0.8,1.3,1.5,0.5,0.8,3.7,6.35,758
Hélder Costa,28, AM(CLR),,,13(9),-,1,0.4,0.8,1,0.6,-,1,1.6,6.34,1119
Anthony Martial,26, AM(LR),FW,,7(2),-,1,0.8,0.2,0.8,1.2,-,1.4,2.1,6.34,495
Okay Yokuslu,28, D(C),DMC,,1(7),-,-,0.3,-,0.3,0.3,-,0.1,-,6.34,133
Luka Jovic,24, FW,,,1(14),1,3,1.1,0.3,0.2,0.2,0.1,0.4,0.6,6.34,360
Fede San Emeterio,25, DMC,,,10(2),-,-,-,0.3,-,0.8,-,0.1,0.6,6.34,836
Jeison Murillo,30, D(C),,,13(7),-,-,0.3,0.1,0.2,0.7,-,0.2,0.1,6.34,1118
Munir El-Haddadi,26, AM(LR),FW,,5(12),2,-,0.7,0.4,0.1,0.8,0.2,0.5,1,6.33,471
