Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Rico Henry Brentford,24, D(L),M(L),,33(1),3,-,0.4,0.5,0.8,0.8,-,1,1.2,6.54,2784
Tariq Lamptey Brighton,21, D(R),M(R),,16(14),-,2,0.6,0.7,1,1.7,0.1,0.7,1.5,6.54,1558
Dele Alli Tottenham,26, M(CL),FW,,8(2),1,-,0.4,0.2,1.2,1.1,0.2,1.9,1.3,6.53,658
Timo Werner Chelsea,26, AM(CLR),FW,,15(6),4,1,2.1,0.4,0.5,0.6,0.5,0.9,1.6,6.53,1286
Mason Holgate Everton,25, D(CR),DMC,M(R),23(2),2,1,0.3,0.1,0.1,0.6,-,0.3,0.1,6.53,2134
Eberechi Eze Crystal Palace,23, AM(CLR),,,6(7),1,1,0.8,0.8,1.1,0.9,-,0.8,1.5,6.53,603
Samir Watford,27, D(CL),,,19,-,-,0.4,0.1,0.1,0.8,-,0.2,0.3,6.53,1676
Hwang Hee-Chan Wolves,26, AM(CLR),FW,,20(10),5,1,0.9,0.5,1.1,1.4,0.1,0.8,1.6,6.53,1822
Daniel James Man Utd,24, AM(LR),FW,,2,-,-,2,1,-,-,1,1.5,2,6.53,128
Will Hughes Crystal Palace,27, M(CLR),,,13(3),-,1,0.4,0.6,0.5,1.1,-,0.6,0.9,6.53,1058
Andrew Omobamidele Norwich,19, D(C),,,4(1),1,-,0.4,-,-,1,-,-,1.2,6.53,381
Cédric Soares Arsenal,30, D(LR),M(R),,16(5),1,1,0.6,0.9,0.4,0.3,0.1,0.5,0.7,6.53,1487
Yoane Wissa Brentford,25, AM(L),FW,,12(18),7,1,1.1,0.3,0.6,0.7,0.2,0.2,1.1,6.52,1275
Kelechi Iheanacho Leicester,25, AM(C),FW,,13(13),4,5,1.2,0.7,0.6,0.4,0.3,0.8,2,6.52,1263
Japhet Tanganga Tottenham,23, D(CR),,,10(1),-,-,0.6,0.2,0.5,0.7,0.1,0.5,0.6,6.52,740
Paul Dummett Newcastle,30, D(CL),,,2(1),-,-,-,-,-,1,-,-,0.3,6.52,194
Cucho Hernández Watford,23, AM(LR),FW,,11(14),5,2,1.4,0.8,0.7,0.5,-,0.6,0.9,6.51,1143
Stuart Armstrong Southampton,30, AM(CLR),,,15(10),2,-,1.5,1,1.1,0.8,-,1.1,1.6,6.51,1470
Ben Godfrey Everton,24, D(CLR),,,23,-,-,0.8,0.5,0.4,0.5,-,0.2,1,6.51,2031
Albert Sambi Lokonga Arsenal,22, DMC,,,12(7),-,-,1.1,0.9,0.2,0.8,-,0.4,0.7,6.51,1133
Adam Lallana Brighton,34, M(CLR),,,18(6),-,1,0.8,0.3,0.6,0.7,-,0.6,1,6.5,1561
Jamaal Lascelles Newcastle,28, D(C),,,22(4),1,-,0.7,0.2,-,0.2,-,0.1,0.3,6.5,2055
Allan Everton,31, DMC,,,25(3),-,2,0.3,0.5,0.8,0.8,-,0.9,1.4,6.5,2188
Jack Stephens Southampton,28, D(CR),,,9(2),-,-,-,0.4,0.2,0.2,-,0.1,0.2,6.5,811
Victor Lindelöf Man Utd,27, D(CR),,,26(2),-,2,0.1,0.1,0.1,0.2,0.1,-,0.3,6.5,2355
Daniel Bachmann Watford,27, GK,,,12,-,-,-,-,0.1,0.1,-,-,-,6.49,1080
Junior Firpo Leeds,25, D(L),M(L),,19(5),-,2,0.5,0.9,0.7,0.6,-,0.3,0.7,6.49,1716
Liam Delap Man City,19, Forward,,,0(1),-,-,-,-,-,1,-,-,-,6.49,9
Saúl Ñíguez Chelsea,27, D(CL),M(CLR),,5(5),-,-,0.5,0.3,0.2,-,-,1.1,0.9,6.49,480
Sergi Canós Brentford,25, M(LR),,,25(6),3,2,1.1,0.5,0.7,0.5,0.2,0.8,1.5,6.49,2094
Neal Maupay Brighton,25, AM(C),FW,,25(7),8,2,1.9,0.7,0.7,1,0.2,1.6,1.7,6.49,2276
Luke Ayling Leeds,30, D(CR),M(R),,26,2,2,0.7,0.5,0.9,0.7,0.1,0.4,1.6,6.48,2275
Rob Holding Arsenal,26, D(CR),,,9(6),1,-,0.3,-,-,0.2,-,0.2,0.3,6.48,840
Pierre Lees-Melou Norwich,29, M(CLR),,,27(6),1,-,1,0.8,0.6,0.7,0.1,0.5,0.8,6.48,2273
Edo Kayembe Watford,24, DMC,,,9(4),-,-,0.5,0.5,0.9,0.4,0.1,0.8,0.8,6.48,801
Patrick Bamford Leeds,28, AM(CLR),FW,,7(2),2,2,2.2,0.6,0.4,0.6,0.6,0.3,2,6.48,560
Javier Manquillo Newcastle,28, D(LR),M(R),,15(4),1,2,0.2,0.2,0.5,0.9,0.1,0.2,0.7,6.48,1267
Nicolas Nkoulou Watford,32, D(C),,,2(1),-,-,-,0.3,0.3,-,-,0.3,-,6.47,168
Teemu Pukki Norwich,32, AM(C),FW,,37,11,3,1.9,0.7,0.7,0.7,0.3,1.1,1.9,6.47,3261
Zanka Brentford,32, D(C),,,6(2),1,-,0.3,0.4,-,0.1,-,0.4,0.1,6.47,517
Donny van de Beek Everton,25, M(C),,,5(2),1,-,0.7,0.3,0.4,0.1,-,0.9,0.7,6.47,484
Tim Iroegbunam Aston Villa,18, Midfielder,,,1(2),-,-,0.3,-,-,-,-,-,-,6.46,91
Sam Byram Norwich,28, D(CLR),M(R),,11(4),-,-,0.5,0.3,0.2,0.3,-,0.3,0.5,6.46,1024
Mohamed Elneny Arsenal,29, DMC,,,8(6),-,2,0.6,0.6,-,0.4,-,0.2,0.3,6.46,802
Daniel Amartey Leicester,27, D(CR),DMC,,23(5),-,-,0.1,0.1,0.2,0.3,-,-,0.3,6.46,2120
Finley Stevens Brentford,19, Defender,,,0(1),-,-,-,1,-,-,-,-,-,6.46,14
Álvaro Fernández Brentford,24, GK,,,12,-,-,-,-,-,0.3,-,-,0.1,6.46,1080
Ryan Fraser Newcastle,28, M(CLR),FW,,18(9),2,3,0.9,0.9,-,0.9,0.1,0.4,0.8,6.46,1471
Tanguy Ndombele Tottenham,25, M(C),,,6(3),1,1,1,0.4,1.2,1,-,2.2,2.2,6.46,486
Saman Ghoddos Brentford,28, AM(CLR),FW,,4(13),1,1,0.5,0.4,0.3,0.6,-,0.2,0.8,6.46,528
Issa Diop West Ham,25, D(C),,,10(3),-,1,0.2,0.1,-,0.4,0.1,0.1,0.2,6.46,962
Jeremy Ngakia Watford,21, D(R),,,9(7),-,-,0.3,0.3,0.6,0.4,-,0.3,0.6,6.45,900
Patson Daka Leicester,23, FW,,,13(10),5,3,1.1,0.6,0.1,0.6,0.3,0.8,1.8,6.45,1163
Jamie Shackleton Leeds,22, D(R),DMC,,7(7),-,-,0.3,0.1,0.8,0.4,-,0.1,0.4,6.45,709
Marvelous Nakamba Aston Villa,28, DMC,,,10(6),-,-,-,0.1,0.9,0.6,-,0.6,0.9,6.45,905
Dan Gosling Watford,32, M(C),,,2(2),1,-,0.5,0.3,0.5,1.3,-,0.3,0.5,6.45,165
Jack Butland Crystal Palace,29, GK,,,8(1),-,-,-,-,-,0.2,-,-,-,6.45,765
Jakub Moder Brighton,23, M(CL),,,19(9),-,3,1,0.6,0.4,0.4,-,0.7,1.8,6.45,1702
Kiko Femenía Watford,31, D(LR),M(R),,26(1),-,5,0.1,0.9,0.3,0.5,0.1,0.3,1.5,6.45,2150
Pedro Neto Wolves,22, AM(CLR),FW,,5(8),1,1,1.3,1,0.9,0.5,0.1,0.9,1.6,6.45,466
Jannik Vestergaard Leicester,29, D(C),,,6(4),-,-,0.1,0.1,0.4,0.1,-,-,0.4,6.44,564
Kenny McLean Norwich,30, M(C),,,29(2),1,-,1.1,0.3,0.6,1.2,0.1,0.5,1.3,6.44,2707
Miguel Almirón Newcastle,28, AM(CLR),FW,,19(11),1,-,1.1,0.6,0.9,0.8,0.3,0.8,1.5,6.44,1721
Leander Dendoncker Wolves,27, D(C),M(C),,21(9),2,2,0.8,0.4,0.2,0.2,-,0.3,0.8,6.44,1948
Danny Rose Watford,31, D(L),M(L),,7(1),-,-,0.5,0.6,1.1,1.8,0.1,0.1,1.3,6.44,689
