Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Luan Peres,27, D(CL),,,29(5),-,2,0.1,0.5,0.4,0.5,-,0.4,0.8,6.8,2677
Ronaël Pierre-Gabriel,23, D(LR),,,29(1),-,1,0.2,0.5,1.1,1,0.1,0.7,1,6.8,2555
Justin Kluivert,23, AM(LR),,,25(3),4,5,1.1,1.3,1.5,1,0.2,1.3,1.8,6.79,1883
Mario Lemina,28, DMC,,,24(8),2,-,0.5,0.2,0.8,0.7,-,0.4,0.7,6.79,1972
Vanderson,20, D(R),M(R),,12(5),2,1,0.8,0.6,1,0.6,0.2,1.1,2.6,6.79,1122
Ryad Boudebouz,32, M(CLR),FW,,27(3),3,4,0.9,1.8,1.8,1,-,1.4,1.7,6.79,2267
Steven Fortès,30, D(C),,,1,-,-,-,-,1,-,-,1,1,6.79,90
Kevin Volland,29, AM(CLR),FW,,29(5),9,9,1.5,1,0.5,0.8,0.5,1,1.9,6.79,2450
Ibrahima Sissoko,24, D(C),DMC,,26(9),2,5,0.7,0.8,0.7,0.8,-,0.9,1.3,6.79,2306
Walter Benítez,29, GK,,,37,-,-,-,-,-,0.2,-,-,-,6.79,3330
Romain Thomas,33, D(C),,,29(1),2,-,0.5,0.1,0.1,0.6,-,0.2,0.1,6.78,2566
Keylor Navas,35, GK,,,21,-,-,-,-,-,-,-,-,-,6.78,1858
Sergio Ramos,36, D(CR),,,8(4),2,-,1,0.1,0.3,0.3,0.1,0.1,0.2,6.78,799
Laurent Abergel,29, DMC,,,34,-,3,0.9,1,1.1,2,-,1.2,1.5,6.78,2963
Sanjin Prcic,28, M(C),,,27(5),1,-,1.4,0.7,0.3,0.3,-,0.3,0.6,6.77,2197
Mahdi Camara,23, D(CR),DMC,,34(1),3,-,0.8,0.9,1,1.3,-,0.9,1.5,6.77,3074
Alban Lafont,23, GK,,,38,-,-,-,-,-,0.1,-,-,-,6.77,3420
Kevin Danso,23, D(C),,,32(1),2,2,0.4,0.3,0.2,1.1,-,0.1,0.5,6.77,2793
Castello Lukeba,19, D(C),,,24,2,-,0.3,0.2,0.5,0.5,-,0.3,0.7,6.77,2097
Fali Candé,24, D(L),M(L),,11,-,2,0.5,1.1,0.6,1,-,0.8,1.6,6.77,975
Benoît Badiashile,21, D(C),,,21(3),1,-,0.6,0.1,0.1,0.4,0.1,0.2,0.3,6.77,1837
Maxime Le Marchand,32, D(CL),,,9(3),1,1,0.3,0.2,0.3,0.2,-,-,0.3,6.77,857
Giulian Biancone,22, D(CLR),M(LR),,26(7),1,2,0.8,0.4,0.4,1,0.1,0.3,0.9,6.77,2292
Gelson Martins,27, M(LR),,,24(8),4,3,0.9,0.7,1.9,1,0.5,0.7,2.4,6.77,1921
Nabil Bentaleb,27, M(C),,,18,1,-,0.8,0.2,1.1,0.7,-,0.5,1.8,6.76,1523
Presnel Kimpembe,26, D(C),,,29(1),1,-,0.2,0.1,0.3,0.9,-,0.2,0.5,6.76,2580
Quentin Merlin,20, D(L),M(L),,21(7),2,3,0.4,1.1,0.6,0.1,-,0.4,0.9,6.76,1923
