Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Adrian Grbic,25, FW,,,4(12),1,-,0.8,0.3,0.1,0.6,0.1,0.3,0.8,6.2,510
Felix Lemarechal,18, Midfielder,,,0(1),-,-,-,-,2,-,-,-,-,6.2,8
Jimmy Briand,36, M(LR),FW,,1(16),2,1,0.6,0.6,0.1,-,0.1,0.1,0.5,6.2,212
Suk Hyun-Jun,30, FW,,,0(9),-,-,0.9,0.2,0.4,0.6,-,0.4,0.6,6.19,145
Yannis M'Bemba,20, Defender,,,0(2),-,-,1,-,-,0.5,-,-,0.5,6.19,4
Jordan Tell,24, Forward,,,1(14),1,1,0.5,0.3,0.1,0.2,-,0.4,0.9,6.19,279
Habib Diarra,18, Midfielder,,,1(3),-,-,-,-,0.3,0.3,-,0.5,-,6.18,107
Leny Yoro,16, Defender,,,0(1),-,-,-,-,-,-,-,-,1,6.17,12
Mamadou Fofana,24, D(C),DMC,,0(1),-,-,-,-,-,-,-,-,-,6.17,32
Romain Salin,37, GK,,,1,-,-,-,-,-,1,-,-,-,6.17,90
Arial Mendy,27, D(L),,,9(9),-,-,0.6,0.5,0.3,0.6,-,0.2,0.9,6.17,791
Grejohn Kyei,26, FW,,,4(10),-,1,0.8,0.8,0.5,0.6,0.1,0.6,1.8,6.17,391
Karol Fila,23, D(R),,,7(9),-,-,-,0.1,0.2,0.6,-,0.2,0.4,6.17,562
Ismaël Boura,21, M(L),,,1(4),-,-,0.2,-,-,-,-,-,-,6.17,95
Jérémy Pied,33, D(LR),M(CLR),,0(2),-,-,-,0.5,-,-,-,-,-,6.17,12
Valon Berisha,29, M(CL),,,5(8),-,1,0.3,0.6,0.2,0.2,0.2,0.5,0.8,6.16,456
Yannick Cahuzac,37, DMC,,,7(11),-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.16,613
Benoît Costil,34, GK,,,25,-,-,-,-,-,0.1,-,-,-,6.16,2250
Nicholas Gioacchini,21, Forward,,,3(25),-,2,0.4,0.2,0.2,0.6,0.1,0.4,0.8,6.16,476
Nemanja Radonjic,26, M(LR),,,0(1),-,-,-,1,1,-,1,-,1,6.16,17
Renaud Emond,30, FW,,,2(4),-,-,0.2,-,-,0.5,-,-,0.7,6.16,189
Willem Geubbels,20, Forward,,,4(18),2,1,0.5,0.1,0.1,0.2,0.2,0.3,0.6,6.15,532
Gerson Rodrigues,26, AM(CL),FW,,9(3),1,1,1.9,0.8,0.7,1.3,0.5,3,3.8,6.15,849
Darío Benedetto,32, FW,,,0(2),-,-,1.5,0.5,-,-,-,-,0.5,6.15,52
Luis Henrique,20, M(L),,,7(13),-,1,0.3,0.4,0.4,0.2,0.3,0.5,1.1,6.15,695
Corentin Jean,26, AM(LR),FW,,1(16),1,-,0.4,0.1,0.1,0.3,0.1,0.2,0.5,6.14,242
Lesley Ugochukwu,18, Midfielder,,,3(15),1,-,0.2,0.2,0.1,0.1,-,0.2,0.4,6.14,398
Fransérgio,31, M(C),FW,,14(12),-,1,0.5,0.3,0.2,0.5,-,0.4,0.8,6.14,1255
Enzo Tchato Mbiayi,19, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6.14,7
Louis Mafouta,27, FW,,,5(10),2,-,0.6,0.1,0.1,0.3,0.3,0.4,1.5,6.14,524
Bakary Sako,34, M(L),FW,,1(6),-,-,0.9,0.3,0.4,0.3,0.1,0.4,1.4,6.14,151
Abdoulaye Bamba,32, D(LR),M(R),,4(6),-,-,0.1,0.2,-,0.6,-,0.1,1,6.13,455
Chrislain Matsima,20, Defender,,,1(6),-,-,0.1,-,-,0.3,-,0.1,0.3,6.13,131
Dion Moisés Sahi,20, Forward,,,0(8),-,-,0.6,0.1,0.4,0.5,-,0.3,0.6,6.13,121
Cheikh Niasse,22, Midfielder,,,0(4),-,-,-,-,-,0.3,-,0.8,0.3,6.13,40
Nassim Chadli,20, Midfielder,,,1(7),-,-,0.3,0.1,0.5,0.4,-,0.3,1.4,6.13,92
Mahamé Siby,25, Midfielder,,,0(2),-,-,-,-,-,-,-,-,-,6.13,15
Rafiki Said,22, Midfielder,,,0(14),-,-,0.4,0.1,0.4,0.2,0.1,0.4,0.5,6.12,110
Djeidi Gassama,18, Forward,,,0(1),-,-,-,-,-,-,-,-,-,6.12,1
Thomas Fontaine,31, D(C),,,2,-,-,-,-,-,0.5,-,-,0.5,6.12,168
Enzo Crivelli,27, AM(L),FW,,0(4),-,-,0.8,-,0.5,-,0.3,0.3,0.8,6.12,98
Thuler,23, D(C),,,10(6),-,-,0.1,-,-,0.1,-,0.2,0.2,6.12,855
Jonathan Iglesias,33, DMC,,,5(10),-,-,0.1,0.3,0.1,0.7,-,0.4,0.4,6.12,571
Sekou Yansané,19, Forward,,,0(1),-,-,-,-,-,-,-,-,-,6.11,16
Mamadou Camara,21, Forward,,,0(3),-,-,0.3,-,-,-,-,0.3,0.3,6.11,38
Marin Jakolis,25, Forward,,,2(8),-,-,0.9,0.4,0.2,0.1,0.2,-,0.2,6.11,224
Dilane Bakwa,19, Forward,,,0(6),-,-,0.3,-,0.2,0.2,-,0.2,0.2,6.1,44
Charles Boli,23, Midfielder,,,0(4),-,-,-,-,-,0.5,-,-,-,6.1,29
Mehdi Zerkane,22, AM(R),,,0(6),-,-,0.2,0.2,0.7,0.3,-,0.3,0.3,6.1,78
Andy Diouf,19, Midfielder,,,0(5),-,-,-,0.2,-,0.2,-,0.2,0.2,6.1,11
Paul Baysse,34, D(CR),,,0(2),-,-,-,-,-,-,-,-,-,6.1,9
Anastasios Donis,25, AM(CR),FW,,3(10),-,-,0.8,0.4,0.5,0.2,0.6,0.5,0.8,6.1,364
Mathys Tel,17, Forward,,,0(7),-,-,0.4,0.1,-,-,-,0.3,0.3,6.09,50
El Hadji Dieye,20, Midfielder,,,0(5),-,-,0.4,-,0.2,0.4,0.2,0.2,0.6,6.08,33
Jerome Phojo,29, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6.08,5
Sacha Delaye,20, Forward,,,3(7),-,1,0.3,0.3,0.3,0.1,-,0.3,0.7,6.08,249
Arnaud Kalimuendo-Muinga,20, FW,,,0(2),-,-,-,-,-,0.5,-,-,-,6.07,6
Warren Tchimbembé,24, Midfielder,,,1(8),-,-,-,0.4,-,0.3,-,0.4,0.6,6.07,202
Loris Benito,30, D(CL),M(L),,1,-,-,-,-,-,-,-,1,1,6.07,62
Loum Tchaouna,18, Forward,,,0(10),-,-,0.2,0.2,0.1,0.1,0.2,0.2,0.3,6.07,79
Lohann Doucet,19, Midfielder,,,0(2),-,-,-,-,-,-,-,-,-,6.07,5
Youssouph Badji,20, FW,,,1(8),-,-,0.2,0.2,-,-,0.1,0.1,0.4,6.06,130
Pierre-Yves Hamel,28, FW,,,0(3),-,-,-,0.3,-,0.3,-,0.3,-,6.06,27
Xavi Simons,19, Midfielder,,,1(5),-,-,0.3,0.2,-,0.7,-,0.8,0.8,6.06,127
Assane Dioussé,24, DMC,,,0(4),-,-,-,-,-,0.3,-,-,0.3,6.06,21
Josue Albert,30, Defender,,,0(2),-,-,0.5,-,-,-,-,-,-,6.06,20
Ignacio Ramírez,25, Forward,,,1(4),-,-,0.4,-,0.2,-,-,0.2,0.2,6.05,123
Sead Kolasinac,28, D(CL),DMC,M(L),6(8),-,1,-,0.3,-,0.2,-,0.1,1.1,6.05,440
Pierre-Yves Hamel,28, FW,,,6(11),-,-,0.8,0.2,0.1,0.5,0.1,0.5,1,6.05,518
Derek Mazou-Sacko,17, Midfielder,,,0(2),-,-,-,-,-,-,-,-,-,6.05,2
Moussa Doumbia,27, AM(CL),FW,,0(4),-,-,1,-,0.3,0.5,0.3,-,1.3,6.04,82
Redwan Bourlès,19, Midfielder,,,0(4),-,-,-,-,-,-,-,0.3,0.3,6.04,13
Alexandre Letellier,31, GK,,,0(1),-,-,-,-,-,-,-,-,-,6.04,7
Alpha Sissoko,25, D(R),,,1,-,-,-,-,-,-,-,1,-,6.04,46
Antonin Bobichon,26, AM(CL),,,0(4),-,-,-,-,-,-,-,0.3,-,6.04,34
Oriol Busquets,23, D(C),DMC,,2(7),-,-,0.1,-,0.2,-,-,0.3,0.3,6.03,196
Mathys Saban,20, Midfielder,,,0(3),-,-,-,-,0.3,-,-,1,2.3,6.03,71
Noah Fatar,20, Midfielder,,,0(3),-,-,-,-,-,0.3,-,-,-,6.03,4
Baptiste Mouazan,20, Midfielder,,,1(2),-,-,0.3,-,-,-,-,-,0.7,6.03,95
Matthis Abline,19, Forward,,,1(6),-,-,0.3,-,0.4,0.1,-,0.4,0.1,6.02,99
Nathan Bitumazala,19, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6.02,10
Casimir Ninga,29, AM(LR),FW,,3(13),-,-,0.6,0.1,0.4,0.8,0.2,0.7,1.7,6.02,401
Ibrahima Baldé,19, Forward,,,0(4),-,-,-,0.3,-,-,0.3,-,0.8,6.02,53
Maghnes Akliouche,20, Midfielder,,,0(7),-,-,0.3,0.1,-,0.1,0.1,0.1,0.7,6.02,48
Levi Lumeka,23, Forward,,,0(5),-,-,-,-,0.4,0.2,0.4,0.2,0.8,6.01,63
Yanis Guermouche,21, Forward,,,0(3),-,-,-,-,-,-,-,-,0.3,6.01,10
Aboubacar Sidibe,26, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6.01,5
Ismaël Gharbi,18, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6.01,1
Yanis Lhéry,19, Forward,,,0(5),-,-,0.4,-,0.2,0.2,-,0.2,0.2,6.01,67
Wilson Isidor,21, AM(L),,,0(4),-,-,0.3,0.3,-,0.3,0.5,-,0.5,6,47
Edouard Michut,19, Midfielder,,,0(5),-,1,-,0.2,-,0.8,-,0.2,0.2,6,67
Gautier Larsonneur,25, GK,,,1,-,-,-,-,-,-,-,-,-,6,1
Georges Mikautadze,21, FW,,,0(1),-,-,2,-,-,-,-,-,-,6,1
Ismaël Doukouré,18, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6,16
Jonathan Varane,20, Forward,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Lamine Ghezali,22, Midfielder,,,0(1),-,-,-,1,-,-,-,-,-,6,1
Lebo Mothiba,26, FW,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Mehdi Chahiri,25, AM(L),,,0(1),-,-,-,-,-,-,-,2,-,6,16
Mohamed Achi,20, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6,9
Mykola Kukharevych,20, Forward,,,0(2),-,-,0.5,-,-,-,-,-,0.5,6,13
Rubén Pardo,29, M(C),,,0(1),-,-,-,-,-,-,-,-,-,6,5
Sada Thioub,27, M(LR),,,0(1),-,-,-,-,-,-,-,1,-,6,2
Salim Ben Seghir,19, Forward,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Samuel Koeberle,17, Midfielder,,,0(1),-,-,-,-,-,1,-,-,-,6,1
Tanguy Zoukrou,19, Defender,,,0(4),-,-,0.3,-,-,-,-,-,0.5,6,75
Théo Le Bris,19, Defender,,,0(4),-,-,-,-,-,-,-,0.3,0.5,6,57
Farid El Melali,25, AM(R),,,0(2),-,-,0.5,-,-,-,-,0.5,-,5.99,12
Jean-Kévin Augustin,24, AM(R),FW,,0(7),-,-,0.3,-,-,0.1,-,0.4,1,5.99,78
Lenny Joseph,21, Forward,,,0(8),-,-,-,0.1,0.1,0.1,-,0.8,0.5,5.99,147
Guédé Nadje,18, Forward,,,0(1),-,-,-,-,-,-,-,-,-,5.98,2
Maxence Rivera,20, Forward,,,0(1),-,-,-,-,-,-,-,-,-,5.98,4
Béni Makouana,19, Forward,,,1(22),-,-,0.3,0.2,0.1,-,0.1,0.3,0.7,5.98,305
Habib Keita,20, Forward,,,0(3),-,-,0.7,-,-,-,-,-,-,5.97,6
Arthur Desmas,28, GK,,,15,-,-,-,-,-,0.3,-,-,-,5.96,1308
Patrick Roberts,25, AM(CR),FW,,0(1),-,-,1,-,-,-,-,1,2,5.96,14
Romain Philippoteaux,34, AM(LR),,,0(1),-,-,-,-,-,-,1,-,2,5.95,23
Jeanuël Belocian,17, Defender,,,0(1),-,-,-,-,-,1,-,-,-,5.94,11
Johaneko Louis Jean,17, Defender,,,0(1),-,-,-,-,-,-,-,1,1,5.94,11
Oussama Targhalline,20, Midfielder,,,0(2),-,-,-,-,-,-,-,-,-,5.94,4
Abdoulaye Sylla,22, Defender,,,2,-,-,-,-,-,-,-,-,-,5.93,158
Tiago Ribeiro,20, Defender,,,0(1),-,-,-,-,-,-,-,-,-,5.91,1
Lucas Calodat,20, Defender,,,0(1),-,-,-,-,-,-,-,-,-,5.9,4
Josh Maja,23, FW,,,0(2),-,-,-,0.5,-,-,-,-,1.5,5.9,8
Jason Mbock,22, Forward,,,0(1),-,-,-,-,-,2,1,1,-,5.88,16
Ibrahim Diakité,18, Defender,,,0(1),-,-,-,-,-,-,-,-,-,5.86,3
Jérôme Hergault,36, D(LR),M(R),,5(3),-,-,0.1,0.1,0.1,0.4,-,0.3,1,5.86,354
Yadaly Diaby,21, Midfielder,,,0(5),-,-,0.4,-,0.2,0.2,-,0.2,0.4,5.85,64
Charles Abi,22, FW,,,1,-,-,-,-,-,-,-,-,3,5.84,46
Amadou Traoré,20, Forward,,,0(1),-,-,-,-,-,-,-,1,-,5.71,18
Maxwel Cornet,25, D(L),M(LR),FW,1,-,-,-,1,1,1,-,1,-,5.06,65
