Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Ansu Fati Barcelona,19, AM(L),,,3(7),4,-,1.8,0.2,0.4,1.2,0.3,0.2,1.8,6.7,334
Jorge de Frutos Levante,25, AM(R),,,20(5),4,7,1.8,0.9,1.4,0.8,0.5,0.6,2,6.7,1766
Adrián Embarba Espanyol,30, AM(CLR),FW,,24(8),-,2,1.5,1.2,1.3,1.3,0.2,1.2,1.8,6.69,1998
Thomas Delaney Sevilla,30, DMC,,,15(11),2,1,0.7,0.4,0.2,0.8,-,0.2,0.4,6.69,1545
Damián Suárez Getafe,34, D(R),M(R),,31(4),-,3,0.4,1.3,0.4,0.9,-,0.4,1.1,6.69,2721
Fernando Sevilla,34, DMC,,,21(3),1,1,0.3,0.3,0.3,0.5,-,0.3,1,6.69,1851
Johan Mojica Elche,29, D(L),M(L),,32(1),2,5,0.5,0.9,0.9,1.5,0.1,0.6,1.5,6.69,2857
Marcelo Saracchi Levante,24, D(L),,,2(2),-,1,-,1.5,0.5,-,-,0.3,0.5,6.69,186
Lucas Olaza Elche,27, D(L),M(L),,3(2),1,-,0.8,1.2,0.4,0.8,-,0.6,0.8,6.69,293
Helibelton Palacios Elche,28, D(R),,,22(4),-,-,-,0.3,1,1.2,-,0.4,0.6,6.69,1932
Nahuel Tenaglia Deportivo Alaves,26, D(CR),,,12(2),-,-,0.4,0.2,0.5,0.6,-,0.4,1,6.68,1073
Adrià Pedrosa Espanyol,24, D(L),M(L),,31,1,1,0.8,0.7,1.5,1.5,-,0.8,2,6.68,2723
Luis Suárez Granada,24, AM(L),FW,,34(3),8,4,2.3,0.8,1.2,1,0.1,1.1,2.8,6.68,2857
Jesús Corona Sevilla,29, D(R),M(CLR),FW,12(6),2,4,0.7,1.4,1.1,1.5,0.4,1.6,2,6.68,1161
Rui Silva Real Betis,28, GK,,,21(1),-,-,-,-,-,0.1,-,-,0.1,6.68,1963
Lucas Pérez Cadiz,33, AM(CR),FW,,11(4),3,2,1,2,0.3,0.6,0.7,1,0.7,6.68,1061
Oihan Sancet Athletic Bilbao,22, AM(C),FW,,16(11),6,4,1.1,1,0.9,1,0.2,1.7,2.3,6.68,1426
Iñigo Ruiz de Galarreta Mallorca,28, DMC,,,17(5),-,-,0.4,0.5,1.2,1.5,-,0.7,0.9,6.68,1390
Borja Mayoral Getafe,25, FW,,,11(7),6,1,0.9,0.7,0.8,1.1,0.2,0.9,1.4,6.68,1049
Gonzalo Escalante Deportivo Alaves,29, DMC,,,15(2),5,-,0.9,0.4,0.4,1.4,0.2,0.8,0.8,6.67,1307
Marcos Llorente Atletico,27, D(R),M(CR),FW,29,-,2,0.6,0.9,0.7,0.6,0.2,0.8,1.4,6.67,2456
Ángel Correa Atletico,27, AM(CLR),FW,,21(15),12,5,1.4,0.7,0.9,0.8,0.3,1.3,2,6.67,1860
Raúl Albiol Villarreal,36, D(C),,,28,-,-,0.2,0.1,0.1,0.4,0.1,0.2,0.3,6.67,2467
Nemanja Maksimovic Getafe,27, M(C),,,34(1),1,1,0.9,0.5,0.3,0.4,-,0.3,0.7,6.67,2943
Isi Palazón Rayo Vallecano,27, AM(R),,,27(7),2,4,1.7,1,1.1,2,0.1,1.6,2.5,6.67,2301
Fidel Elche,32, M(CLR),,,29(4),5,6,0.5,1.2,1.3,0.9,0.2,1.2,1.9,6.67,2283
Koke Atletico,30, M(CLR),,,29(2),1,2,0.4,0.8,0.4,0.9,-,1,0.8,6.66,2512
Andoni Gorosabel Real Sociedad,25, D(R),,,25(7),-,4,0.3,0.7,0.6,0.6,-,0.4,0.8,6.66,2298
Rodrygo Real Madrid,21, AM(CLR),,,17(16),4,4,1,0.8,0.8,0.9,0.4,0.5,1.5,6.66,1528
Óscar Valentín Rayo Vallecano,27, DMC,,,29(6),-,-,0.3,0.4,0.5,1.6,-,0.3,1,6.65,2580
Thierry Correia Valencia,23, D(R),M(R),,18(1),-,1,0.2,0.4,0.6,1.5,-,0.4,1.5,6.65,1424
Rubén Duarte Deportivo Alaves,26, D(CL),,,31(3),-,4,0.3,0.6,0.1,1.2,0.1,0.2,0.6,6.65,2630
Nacho Real Madrid,32, D(CLR),,,17(11),3,-,0.4,0.3,0.1,0.5,-,-,0.3,6.65,1549
Fran García Rayo Vallecano,22, D(L),,,34,1,-,0.7,0.9,0.6,0.4,0.1,0.4,1.6,6.65,3027
Francis Coquelin Villarreal,31, M(CLR),,,8(12),2,1,0.3,0.5,0.9,0.7,-,0.9,0.7,6.65,828
Jesús Navas Sevilla,36, D(R),M(R),,19(6),-,3,0.4,1.4,0.2,0.4,0.1,0.3,0.6,6.64,1788
Alberto Moreno Villarreal,29, D(L),M(L),,13(11),3,2,0.9,0.7,0.4,0.9,0.3,0.5,1.3,6.64,1223
David Soria Getafe,29, GK,,,38,-,-,-,-,-,0.1,-,-,0.1,6.64,3415
Shkodran Mustafi Levante,30, D(CR),,,8(3),1,-,0.4,-,0.2,0.4,0.3,0.1,0.1,6.64,658
Yangel Herrera Espanyol,24, M(C),,,19(4),1,1,0.7,0.5,0.8,1.5,-,1,1.2,6.64,1650
Matías Dituro Celta Vigo,35, GK,,,38,-,-,-,-,-,0.1,-,-,0.1,6.64,3420
Yeremi Pino Villarreal,19, AM(R),,,21(10),6,4,0.9,0.8,0.8,1.1,0.3,0.7,2.1,6.63,1688
Youssouf Sabaly Real Betis,29, D(LR),M(R),,9(1),-,1,0.4,0.7,0.6,0.9,0.1,0.7,2.2,6.63,789
José Gayà Valencia,27, D(L),M(L),,22(2),2,4,0.8,1,0.7,0.9,0.2,0.2,0.5,6.63,1875
Pedro Bigas Elche,32, D(CL),,,19,1,-,0.6,0.3,0.1,0.6,-,-,0.6,6.63,1556
Aïssa Mandi Villarreal,30, D(CLR),,,14(3),1,-,0.6,0.1,-,0.3,0.1,0.1,0.4,6.63,1374
Iddrisu Baba Mallorca,26, DMC,,,23(3),1,1,0.9,0.4,0.8,1.5,-,0.8,1.1,6.63,1945
Eric García Barcelona,21, D(C),,,23(3),-,-,0.2,0.2,0.1,0.2,0.1,-,0.5,6.62,2044
Iván Alejo Cadiz,27, AM(R),,,11(9),2,2,0.6,1,0.8,1.7,0.3,0.9,2,6.62,1071
Joan Jordán Sevilla,27, M(C),,,31(5),-,1,0.4,0.7,0.6,0.7,-,0.6,1,6.62,2530
Boulaye Dia Villarreal,25, AM(R),FW,,13(12),5,5,1.5,0.7,0.4,0.5,0.3,0.8,1.3,6.62,1267
José Manuel Calderón Real Betis,22, Forward,,,0(1),-,-,-,1,-,1,-,-,1,6.62,64
Óscar Duarte Levante,33, D(C),DMC,,20(3),2,-,0.8,0.1,-,0.2,0.1,-,0.2,6.62,1775
Hugo Mallo Celta Vigo,30, D(CR),M(R),,21,1,1,0.8,1,0.4,0.2,0.3,0.5,0.9,6.62,1830
Leo Román Mallorca,21, Goalkeeper,,,2,-,-,-,-,0.5,-,-,-,-,6.62,180
Óscar Gil Espanyol,24, D(R),,,20(2),-,2,0.3,0.7,0.6,1.1,0.1,0.5,1.7,6.61,1698
Jens Jønsson Cadiz,29, D(C),DMC,,17(5),-,1,0.3,0.4,0.4,0.4,-,0.2,0.8,6.61,1315
Jon Moncayola Osasuna,24, DMC,,,33(3),2,3,1.1,0.9,0.4,0.4,-,0.4,1,6.61,2923
Fran Beltrán Celta Vigo,23, DMC,,,31(6),1,-,0.5,0.3,0.5,0.7,-,0.5,0.8,6.61,2611
Pepelu Levante,23, DMC,,,23(6),-,-,0.5,0.9,0.4,0.7,-,0.3,0.9,6.61,2016
Maxime Gonalons Granada,33, D(C),M(C),,20(5),-,2,0.4,0.5,0.6,1.2,-,0.7,0.6,6.61,1556
Jon Bautista Real Sociedad,26, FW,,,0(1),-,-,1,-,1,2,1,1,-,6.61,45
Djené Dakonam Getafe,30, D(C),,,35,-,1,0.1,0.3,0.5,1,-,0.3,0.9,6.61,3117
Kiko Casilla Elche,35, GK,,,14,-,-,-,0.1,-,0.1,-,-,0.1,6.61,1260
Rubén Rochina Granada,31, M(CLR),,,8(7),1,3,1,0.9,0.9,1.1,0.1,1.1,1.7,6.61,739
