Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Gaël Kakuta Lens,30, M(CLR),FW,,20(9),3,2,1.4,0.7,0.9,1.1,0.2,1.2,2.2,6.51,1685
Ismail Jakobs Monaco,22, D(L),M(L),,10(18),-,1,0.2,0.6,0.2,0.3,-,0.2,0.6,6.51,1193
Vincent Le Goff Lorient,32, D(L),M(L),,34,1,1,0.8,0.8,0.4,0.6,0.1,0.5,1,6.51,3060
Leo Petrot Lorient,25, D(C),,,21(1),1,-,0.2,0.1,-,0.5,-,0.1,0.4,6.5,1820
Stian Gregersen Bordeaux,27, D(C),,,22(2),1,1,0.3,0.1,0.2,1,-,0.3,0.3,6.5,1955
Cédric Hountondji Clermont Foot,28, D(C),,,23,1,-,0.3,-,-,0.3,-,-,0.1,6.5,2035
Issa Kaboré Troyes,21, D(R),M(R),,26(5),-,1,0.2,0.6,1.5,1.4,0.1,0.8,1.9,6.5,2261
Dimitry Bertaud Montpellier,24, GK,,,9(2),-,-,-,-,-,0.1,-,-,-,6.5,832
Timothy Weah Lille,22, AM(LR),FW,,17(12),3,4,1.2,0.9,0.7,0.7,0.2,0.7,1.2,6.5,1620
Pape Gueye Marseille,23, DMC,,,17(11),-,1,1.1,0.3,0.1,1.4,0.1,0.6,0.7,6.5,1528
Samuel Kalu Bordeaux,24, M(LR),,,3(8),1,1,1.2,0.2,0.9,0.6,-,0.7,1.1,6.49,326
Stefan Bajic Saint-Etienne,20, GK,,,4(3),-,-,-,-,-,-,-,-,-,6.49,508
Sinaly Diomandé Lyon,21, D(C),,,5(6),-,-,0.3,0.1,0.1,0.3,-,-,0.5,6.49,577
Jordan Lotomba Nice,23, D(LR),M(R),,19(11),-,-,0.3,0.5,0.7,0.8,0.1,0.6,1,6.49,1782
Timothée Kolodziejczak Saint-Etienne,30, D(CL),M(L),,30,2,3,0.5,0.7,0.2,0.1,0.1,0.1,0.7,6.49,2568
Adil Rami Troyes,36, D(C),,,14(3),3,-,0.3,0.1,0.2,0.3,-,0.2,0.5,6.49,1173
Julian Draxler PSG,28, AM(CLR),FW,,5(13),2,1,0.5,0.5,0.6,0.1,0.1,0.4,0.3,6.49,542
Arnaud Nordin Saint-Etienne,23, AM(CLR),FW,,20(16),4,4,1.3,0.6,0.8,1.3,0.1,0.8,1.8,6.48,1876
Edon Zhegrova Lille,23, AM(R),,,5(8),2,1,1.2,0.6,1.2,0.3,-,0.8,1.1,6.48,479
Lorenz Assignon Rennes,21, D(R),,,5(15),-,2,0.3,0.4,0.3,0.6,0.1,0.3,0.5,6.48,603
Dénys Bain Brest,28, D(C),,,2,-,-,-,-,-,1,-,-,-,6.48,180
Myziane Maolida Nice,23, AM(LR),FW,,0(1),-,-,1,-,2,-,1,-,1,6.48,33
Pol Lirola Marseille,24, D(R),M(LR),,19(15),1,2,0.4,0.8,0.7,0.4,0.3,0.5,1.1,6.48,1769
Stéphane Diarra Lorient,23, Midfielder,,,5(10),-,-,0.9,0.8,1,0.5,0.1,0.7,0.8,6.48,522
Sepe Elye Wahi Montpellier,19, AM(L),FW,,21(12),10,2,1.3,0.4,0.3,0.8,0.6,0.5,1.6,6.48,1770
Falaye Sacko Saint-Etienne,27, D(CR),M(R),,8(1),-,-,0.1,0.2,-,0.2,-,0.1,0.9,6.48,667
Jere Uronen Brest,27, D(L),M(L),,10(5),-,-,0.3,0.1,0.2,0.6,-,0.1,0.5,6.48,878
Miguel Trauco Saint-Etienne,29, D(L),M(L),,12(5),1,-,0.6,0.5,0.4,0.5,-,0.3,0.5,6.47,1113
Fabien Lemoine Lorient,35, M(C),,,13(8),-,1,0.2,0.5,0.4,0.9,-,0.4,0.4,6.47,1120
Dylan Bronn Metz,26, D(C),,,28(2),1,2,0.5,0.1,0.2,0.4,0.1,0.2,0.3,6.47,2545
Amine Bassi Metz,24, AM(C),,,2(3),-,-,0.8,1.4,0.6,0.8,-,0.6,1,6.47,183
Krépin Diatta Monaco,23, M(LR),FW,,3(5),1,-,0.4,0.4,0.8,1,-,0.4,1.1,6.47,283
Alexandre Oukidja Metz,33, GK,,,21,-,-,-,-,-,0.6,-,-,-,6.47,1877
Marcelo Bordeaux,35, D(C),,,11,-,-,0.3,0.3,0.2,0.2,-,0.1,0.7,6.46,902
Serhou Guirassy Rennes,26, AM(L),FW,,7(30),9,-,1.2,0.1,0.2,0.9,0.1,0.4,1,6.46,1005
Dennis Appiah Nantes,29, D(CLR),,,22(10),-,-,0.1,0.1,0.4,0.1,0.1,0.2,0.7,6.46,2094
Osman Bukari Nantes,23, M(R),FW,,10(14),2,4,0.8,0.8,0.9,0.3,0.2,0.9,1.3,6.46,1008
Hassane Kamara Nice,28, D(L),M(L),,7(4),-,-,1.2,0.3,0.4,0.4,0.3,0.5,0.5,6.46,546
Andreaw Gravillon Reims,24, D(C),,,24(2),-,-,0.6,0.4,0.2,0.8,-,0.3,1,6.45,2141
