,Name,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
77,Dwight McNeil,22, M(LR),,,35(3),3114,1,24.7,77.7,1.1,1.6,0.1,6.96,1.2
78,Sergio Reguilón,25, D(L),M(L),,22(3),1923,3,30.8,78.7,1,0.9,-,6.95,1.2
79,Wilfred Ndidi,25, D(C),DMC,,18(1),1619,-,48.9,80.2,-,1.5,-,6.95,0.1
80,Jamie Vardy,35, AM(L),FW,,20(5),1806,2,10,72.5,0.1,0.3,0.1,6.95,0.7
81,Marc Cucurella,23, D(CL),M(L),,35,3092,1,54.3,82,0.8,1.5,-,6.94,1.2
82,Michail Antonio,32, D(R),M(CLR),FW,34(2),2981,8,17.1,67.5,0.4,0.7,0.1,6.94,1.3
83,Adama Traoré,26, M(CLR),FW,,10(10),1065,-,14.9,77.9,0.5,0.5,0.1,6.94,0.9
84,Lucas Digne,28, D(CL),M(L),,16,1272,4,37.6,81.2,1.6,0.6,-,6.94,1.9
85,Cristian Romero,24, D(C),,,21(1),1846,-,59.8,86.7,-,2.6,-,6.92,0.3
86,Hakim Ziyech,29, M(CLR),,,14(9),1317,3,27.5,81.2,0.8,1,-,6.92,1.3
87,Jason Steele,31, GK,,,1,90,-,36,88.9,-,3,-,6.92,-
88,Nathan Aké,27, D(CL),DMC,,10(4),921,-,60.7,90.8,-,1,-,6.92,0.1
89,Dominic Calvert-Lewin,25, AM(L),FW,,15(2),1286,2,16.3,60.3,-,0.1,-,6.92,0.6
90,Ben Mee,32, D(CL),,,21,1840,-,35.8,70.4,-,4.2,-,6.91,0.2
91,Aymeric Laporte,28, D(CL),,,33,2836,-,88.5,94.8,0.1,4.3,0.1,6.91,0.3
92,Aaron Wan-Bissaka,24, D(R),M(R),,20,1794,-,46.9,81,0.4,0.9,-,6.91,0.7
93,Matthew Cash,24, D(R),M(CLR),,38,3380,3,32.1,72.4,0.5,1.4,-,6.91,0.7
94,Ricardo Pereira,28, D(LR),M(R),,13(1),994,3,38.4,79,0.1,0.8,-,6.91,0.7
95,Martin Ødegaard,23, AM(CR),,,32(4),2793,4,43.3,86,0.5,1.2,0.2,6.91,2.1
96,Youri Tielemans,25, M(C),,,29(3),2634,4,53.4,83.5,0.4,2.3,0.1,6.9,1.2
97,Neco Williams,21, D(R),M(L),,0(1),7,1,8,100,-,-,-,6.9,1
98,Ollie Watkins,26, AM(LR),FW,,33(2),2955,2,19.3,70.9,-,0.2,0.1,6.9,1
99,Leandro Trossard,27, M(CLR),FW,,32(2),2812,3,32.9,77.9,0.4,2.1,0.1,6.9,1.4
100,Scott McTominay,25, D(C),DMC,,28(2),2393,1,41.1,85.6,0.1,1.9,-,6.89,0.8
101,Alex Telles,29, D(L),M(L),,18(3),1660,4,44.5,80.3,1.4,1.1,-,6.89,1.2
102,Andreas Christensen,26, D(C),DMC,,17(2),1496,-,69.5,90,0.1,3.2,0.1,6.89,0.3
103,Nathan Collins,21, D(CR),,,18(1),1670,-,33.2,69.2,0.1,2.4,0.1,6.89,0.3
104,Ibrahima Konaté,23, D(C),,,11,990,-,68.2,88.1,-,2.1,-,6.89,-
105,Emmanuel Dennis,24, M(LR),FW,,30(3),2591,6,17.4,68.3,0.2,0.3,0.1,6.89,1
106,Shane Duffy,30, D(C),,,15(3),1434,-,57.2,87.4,0.1,3.6,-,6.88,0.2
107,Maximilian Kilman,25, D(C),,,30,2689,-,50.8,85.8,-,2.8,-,6.87,0.1
108,Ruben Loftus-Cheek,26, M(CLR),,,13(11),1388,2,40,89.7,0.1,0.6,-,6.87,0.8
