Player.1,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
Danny Ings Aston Villa,29, AM(C),FW,,22(8),1906,6,12,69.3,-,0.3,-,6.65,0.5
Jean-Philippe Mateta Crystal Palace,24, FW,,,13(9),1152,1,10.5,67.8,0.1,-,-,6.64,0.3
David de Gea Man Utd,31, GK,,,38,3420,-,20.7,68.9,-,3.1,-,6.64,-
Ademola Lookman Leicester,24, AM(CLR),FW,,16(10),1459,-,19.5,78.3,0.1,0.1,0.1,6.64,0.9
Conor Coady Wolves,29, D(CR),DMC,,38,3364,-,44.4,89.7,-,3.8,-,6.64,0.1
Luke Shaw Man Utd,26, D(CL),M(L),,19(1),1603,3,46.2,84.1,1.5,1.6,0.2,6.64,2
Robert Sánchez Brighton,24, GK,,,37,3330,-,36,67.4,-,5.5,-,6.63,0.1
Nemanja Matic Man Utd,33, DMC,,,16(7),1384,4,45.2,87.1,0.1,2.2,0.2,6.63,0.6
Emiliano Martínez Aston Villa,29, GK,,,36,3240,-,26,70.4,-,4.8,-,6.63,-
Juraj Kucka Watford,35, M(CLR),,,22(4),1924,1,26.1,68.7,0.2,1,-,6.63,0.4
Alex McCarthy Southampton,32, GK,,,17,1530,-,25.3,56.5,-,4.8,-,6.63,0.1
Wout Weghorst Burnley,29, FW,,,17(3),1457,3,21.3,64.3,0.1,0.2,-,6.62,0.7
Adam Masina Watford,28, D(L),M(L),,13(2),1077,1,28.1,69.7,0.5,2.1,-,6.62,0.5
Mohamed Elyounoussi Southampton,27, AM(CLR),FW,,23(7),2046,2,20.1,70.7,0.1,0.4,-,6.62,0.9
Yerry Mina Everton,27, D(C),,,11(2),847,-,27.4,80.1,0.1,1.7,-,6.61,0.1
Fabian Delph Everton,32, D(L),M(CL),,8(3),666,-,27.8,84.3,-,2.5,-,6.61,0.4
Séamus Coleman Everton,33, D(CR),M(R),,30,2658,-,31.7,74.2,0.4,1.8,-,6.61,0.4
Dimitris Giannoulis Norwich,26, D(L),M(L),,14(4),1169,1,30.7,76.5,0.3,0.6,-,6.61,0.5
Illan Meslier Leeds,22, GK,,,38,3385,-,29.3,69,-,4,-,6.61,-
Connor Roberts Burnley,26, D(LR),M(R),,19(2),1693,1,30.8,72.9,0.3,1.1,-,6.61,0.6
Jordan Pickford Everton,28, GK,,,35,3150,-,29.2,48.1,-,8.2,-,6.6,0.1
Eddie Nketiah Arsenal,23, FW,,,8(13),825,1,10.7,77.7,-,-,-,6.6,0.6
James Milner Liverpool,36, D(LR),M(CLR),,9(15),851,1,29.3,86,0.5,1.1,0.1,6.6,0.9
Divock Origi Liverpool,27, AM(LR),FW,,0(7),127,-,5.3,75.7,-,0.1,-,6.6,-
Benjamin Mendy Man City,27, D(L),DMC,M(L),1,79,-,77,92.2,1,1,-,6.6,2
Nathan Redmond Southampton,28, AM(CLR),FW,,20(7),1834,5,24.8,73.1,0.7,0.9,0.1,6.6,1.3
Hamza Choudhury Leicester,24, DMC,,,4(2),287,-,24.8,82.6,-,1.2,-,6.6,-
Armando Broja Southampton,20, FW,,,21(11),1981,-,12.4,61.4,-,-,-,6.59,0.3
Joseph Willock Newcastle,22, M(C),,,24(5),2047,-,18.8,81.6,0.1,0.6,-,6.59,0.6
Solly March Brighton,27, M(CLR),,,17(14),1739,2,20.6,77.4,0.8,1.3,-,6.59,1.1
Emil Krafth Newcastle,27, D(CR),,,18(2),1638,1,29.6,73.3,0.2,0.6,-,6.59,0.3
Matthew Lowton Burnley,32, D(LR),M(R),,20(5),1772,2,25.9,67.4,0.4,2.5,-,6.59,0.7
Diego Llorente Leeds,28, D(C),DMC,,28,2344,-,48.5,81.4,-,3.1,-,6.58,0.1
Callum Wilson Newcastle,30, FW,,,16(2),1395,-,8.4,68.2,0.1,0.1,0.1,6.58,0.6
Ismaïla Sarr Watford,24, AM(LR),FW,,21(1),1865,2,18.8,77.5,0.4,0.5,-,6.58,1
Alexander Iwobi Everton,26, M(CLR),,,22(6),2037,2,24.9,79.6,0.4,1,0.1,6.58,1.3
Trincão Wolves,22, AM(CR),,,16(12),1340,1,15.3,80.8,0.3,0.6,-,6.58,0.5
Kortney Hause Aston Villa,26, D(CL),,,4(3),397,-,31.7,78.8,-,2.4,-,6.58,-
Willy Boly Wolves,31, D(C),,,10,900,-,55.6,84,-,1.5,-,6.58,0.1
Francisco Sierralta Watford,25, D(C),,,5,428,-,36.4,78,-,0.8,-,6.57,-
Rodrigo Leeds,31, M(CLR),FW,,27(4),2275,1,28.1,75.5,0.4,1.3,0.2,6.57,1.2
Oliver Skipp Tottenham,21, DMC,,,14(4),1349,-,46.9,90.1,0.1,1.1,0.1,6.57,0.4
Jonjo Shelvey Newcastle,30, M(C),,,22(2),1986,1,37.5,81.3,0.4,4.9,0.1,6.57,0.7
Vladimír Coufal West Ham,29, D(R),M(R),,25(3),2211,4,37.4,71.4,0.7,1.3,-,6.57,0.8
Harvey Elliott Liverpool,19, AM(CR),,,4(2),346,-,40.2,84.2,0.5,1,-,6.57,1.5
Kalvin Phillips Leeds,26, D(C),DMC,,18(2),1596,1,47.4,82,0.2,3.5,-,6.56,0.5
Angus Gunn Norwich,26, GK,,,9,810,-,28.7,62.8,-,7,-,6.56,-
Alex Oxlade Chamberlain Liverpool,28, M(CLR),,,9(8),787,1,22.2,82.3,0.2,1.4,-,6.56,0.6
Joe Gomez Liverpool,25, D(CLR),,,4(4),331,1,29.9,83.3,0.5,1.1,-,6.56,0.4
Alphonse Areola West Ham,29, GK,,,1,90,-,37,48.6,-,10,-,6.56,-
Anthony Elanga Man Utd,20, AM(LR),,,14(7),1217,2,19.7,78.2,0.2,0.2,-,6.56,0.4
Mathias Normann Norwich,26, M(C),,,20(3),1653,2,32.5,71.8,0.3,2.8,0.2,6.56,0.6
Nathaniel Clyne Crystal Palace,31, D(LR),M(R),,15(1),1351,1,34.9,79.2,0.2,0.9,0.1,6.55,0.4
Chiquinho Wolves,22, AM(R),,,1(7),204,3,9.4,73.3,0.9,0.3,-,6.55,0.6
Charlie Goode Brentford,26, D(C),,,4(2),448,-,38.3,70,0.3,2.7,-,6.55,1.2
Marc Albrighton Leicester,32, D(R),M(LR),,11(6),1128,2,25.1,67.2,0.9,0.8,-,6.54,0.6
Yan Valery Southampton,23, D(CR),M(R),,3(2),369,-,27.8,72.7,0.2,0.2,-,6.54,0.2
Imrân Louza Watford,23, M(CLR),,,17(3),1423,-,32.5,77.5,0.5,2.3,0.1,6.54,0.8
Brandon Williams Norwich,21, D(L),M(L),,23(3),2123,1,35.9,81.8,0.1,1.6,0.2,6.54,0.8
Rico Henry Brentford,24, D(L),M(L),,33(1),2784,-,30.1,74.4,0.6,1,-,6.54,0.5
Tariq Lamptey Brighton,21, D(R),M(R),,16(14),1558,2,20.5,85.8,0.6,0.2,-,6.54,0.7
Dele Alli Tottenham,26, M(CL),FW,,8(2),658,-,21.8,78.9,0.1,0.4,-,6.53,0.2
Timo Werner Chelsea,26, AM(CLR),FW,,15(6),1286,1,17.7,78.2,-,0.2,-,6.53,0.4
Mason Holgate Everton,25, D(CR),DMC,M(R),23(2),2134,1,33.7,68.4,-,3,-,6.53,0.1
Eberechi Eze Crystal Palace,23, AM(CLR),,,6(7),603,1,21,82.4,0.6,0.8,-,6.53,0.8
Samir Watford,27, D(CL),,,19,1676,-,35.1,80.7,-,2.1,-,6.53,0.1
Hwang Hee-Chan Wolves,26, AM(CLR),FW,,20(10),1822,1,20.9,81,0.1,0.7,-,6.53,0.5
Daniel James Man Utd,24, AM(LR),FW,,2,128,-,14.5,69,-,-,-,6.53,1
Will Hughes Crystal Palace,27, M(CLR),,,13(3),1058,1,31.3,85.6,0.4,1.3,-,6.53,0.6
Andrew Omobamidele Norwich,19, D(C),,,4(1),381,-,45.4,84.1,-,2.8,-,6.53,-
Cédric Soares Arsenal,30, D(LR),M(R),,16(5),1487,1,41.6,83.5,1,1.5,-,6.53,0.9
Yoane Wissa Brentford,25, AM(L),FW,,12(18),1275,1,9.1,68.1,-,0.2,-,6.52,0.3
Kelechi Iheanacho Leicester,25, AM(C),FW,,13(13),1263,5,13.4,77.4,0.1,0.2,0.2,6.52,0.7
Japhet Tanganga Tottenham,23, D(CR),,,10(1),740,-,31.5,84.1,0.2,0.8,-,6.52,0.2
Paul Dummett Newcastle,30, D(CL),,,2(1),194,-,17.3,73.1,-,0.3,-,6.52,-
Cucho Hernández Watford,23, AM(LR),FW,,11(14),1143,2,13.5,65.6,0.5,0.7,-,6.51,0.8
Stuart Armstrong Southampton,30, AM(CLR),,,15(10),1470,-,28,82,0.4,0.5,-,6.51,1
Ben Godfrey Everton,24, D(CLR),,,23,2031,-,30.7,76.6,0.2,1,-,6.51,0.5
Albert Sambi Lokonga Arsenal,22, DMC,,,12(7),1133,-,43.1,88.4,0.1,1.8,0.1,6.51,0.9
Adam Lallana Brighton,34, M(CLR),,,18(6),1561,1,39.9,87.1,-,0.8,-,6.5,0.3
Jamaal Lascelles Newcastle,28, D(C),,,22(4),2055,-,26.5,74.6,-,1.3,-,6.5,0.2
Allan Everton,31, DMC,,,25(3),2188,2,34.2,80,0.1,1.4,-,6.5,0.5
Jack Stephens Southampton,28, D(CR),,,9(2),811,-,42.1,77.3,-,2.5,-,6.5,0.4
Victor Lindelöf Man Utd,27, D(CR),,,26(2),2355,2,49.2,87.8,-,2.3,0.1,6.5,0.1
Daniel Bachmann Watford,27, GK,,,12,1080,-,26.3,54.3,-,6.6,-,6.49,-
Junior Firpo Leeds,25, D(L),M(L),,19(5),1716,2,32.4,81.4,0.3,0.9,-,6.49,0.9
Liam Delap Man City,19, Forward,,,0(1),9,-,1,100,-,-,-,6.49,-
Saúl Ñíguez Chelsea,27, D(CL),M(CLR),,5(5),480,-,32.5,88.9,0.2,1.3,-,6.49,0.3
Sergi Canós Brentford,25, M(LR),,,25(6),2094,2,21.5,62.9,0.5,0.9,0.1,6.49,0.5
Neal Maupay Brighton,25, AM(C),FW,,25(7),2276,2,18.8,77.8,0.1,0.3,0.1,6.49,0.7
Luke Ayling Leeds,30, D(CR),M(R),,26,2275,2,54.5,77.4,0.2,4.1,0.1,6.48,0.5
Rob Holding Arsenal,26, D(CR),,,9(6),840,-,31.7,86.8,-,1.1,-,6.48,-
Pierre Lees-Melou Norwich,29, M(CLR),,,27(6),2273,-,30,79.6,0.3,2.6,0.1,6.48,0.8
Edo Kayembe Watford,24, DMC,,,9(4),801,-,33.3,85.9,0.1,2.2,0.1,6.48,0.5
Patrick Bamford Leeds,28, AM(CLR),FW,,7(2),560,2,11.6,81.7,0.2,0.2,-,6.48,0.6
Javier Manquillo Newcastle,28, D(LR),M(R),,15(4),1267,2,16.6,73,0.1,0.4,-,6.48,0.2
Nicolas Nkoulou Watford,32, D(C),,,2(1),168,-,19,87.7,-,1.3,-,6.47,0.3
Teemu Pukki Norwich,32, AM(C),FW,,37,3261,3,14.2,75.2,0.1,0.4,-,6.47,0.7
Zanka Brentford,32, D(C),,,6(2),517,-,33.6,80.7,0.3,1.9,-,6.47,0.4
Donny van de Beek Everton,25, M(C),,,5(2),484,-,34.6,84.7,-,0.3,-,6.47,0.3
Tim Iroegbunam Aston Villa,18, Midfielder,,,1(2),91,-,9,81.5,-,-,-,6.46,-
Sam Byram Norwich,28, D(CLR),M(R),,11(4),1024,-,29.4,77.1,-,0.7,-,6.46,0.3
Mohamed Elneny Arsenal,29, DMC,,,8(6),802,2,40.4,93.5,-,1.3,-,6.46,0.6
Daniel Amartey Leicester,27, D(CR),DMC,,23(5),2120,-,54.8,90.7,-,1.8,-,6.46,0.1
Finley Stevens Brentford,19, Defender,,,0(1),14,-,6,83.3,-,-,-,6.46,1
Álvaro Fernández Brentford,24, GK,,,12,1080,-,38,60.5,-,6.7,-,6.46,-
Ryan Fraser Newcastle,28, M(CLR),FW,,18(9),1471,3,14.3,77.5,1.2,0.5,-,6.46,0.9
Tanguy Ndombele Tottenham,25, M(C),,,6(3),486,1,29.3,87.1,-,0.7,0.2,6.46,0.4
Saman Ghoddos Brentford,28, AM(CLR),FW,,4(13),528,1,11.2,71.6,0.2,0.5,0.1,6.46,0.4
Issa Diop West Ham,25, D(C),,,10(3),962,1,36.7,85.1,-,1.2,0.2,6.46,0.1
Jeremy Ngakia Watford,21, D(R),,,9(7),900,-,21,73.8,0.3,1.2,-,6.45,0.3
Patson Daka Leicester,23, FW,,,13(10),1163,3,9.6,74.5,-,0.1,-,6.45,0.6
Jamie Shackleton Leeds,22, D(R),DMC,,7(7),709,-,24.7,86.4,-,0.2,-,6.45,0.1
Marvelous Nakamba Aston Villa,28, DMC,,,10(6),905,-,24,85.2,-,0.8,-,6.45,0.1
Dan Gosling Watford,32, M(C),,,2(2),165,-,15.8,85.7,0.3,0.5,-,6.45,0.3
Jack Butland Crystal Palace,29, GK,,,8(1),765,-,27.4,70.4,-,3.4,-,6.45,-
Jakub Moder Brighton,23, M(CL),,,19(9),1702,3,27.1,74.6,0.3,0.4,0.1,6.45,0.6
Kiko Femenía Watford,31, D(LR),M(R),,26(1),2150,5,32.5,73.7,0.9,1.2,-,6.45,0.9
Pedro Neto Wolves,22, AM(CLR),FW,,5(8),466,1,15.3,84.9,0.8,0.2,-,6.45,1
Jannik Vestergaard Leicester,29, D(C),,,6(4),564,-,37.7,88.9,-,2.5,-,6.44,0.1
Kenny McLean Norwich,30, M(C),,,29(2),2707,-,33.4,74.5,0.1,1.5,-,6.44,0.3
Miguel Almirón Newcastle,28, AM(CLR),FW,,19(11),1721,-,16.2,81.6,0.1,0.4,-,6.44,0.6
Leander Dendoncker Wolves,27, D(C),M(C),,21(9),1948,2,27.1,86.9,-,0.6,-,6.44,0.4
Danny Rose Watford,31, D(L),M(L),,7(1),689,-,28.4,68.3,0.3,2.8,0.1,6.44,0.6
Jay Rodriguez Burnley,32, AM(CLR),FW,,13(16),1375,2,10.4,59.9,0.1,0.1,-,6.44,0.4
Daniel James Leeds,24, AM(LR),FW,,29(3),2368,4,13.8,71.7,0.2,0.3,-,6.44,0.8
Luka Milivojevic Crystal Palace,31, DMC,,,9(6),776,-,30,85.6,1,1.5,0.1,6.44,0.7
Jóhann Gudmundsson Burnley,31, AM(CLR),,,13(5),1105,1,16.3,67.6,0.6,0.3,-,6.44,0.4
Nicolas Pépé Arsenal,27, AM(LR),FW,,5(15),682,2,16,83.7,0.6,0.2,-,6.44,0.6
Isaac Hayden Newcastle,27, D(C),DMC,,12(2),1003,-,23.7,78.6,-,0.6,-,6.44,0.1
Wayne Hennessey Burnley,35, GK,,,2,180,-,35.5,47.9,-,14.5,-,6.44,1.5
Max Aarons Norwich,22, D(R),,,32(2),2882,2,32.3,77.2,0.3,1.1,0.1,6.43,0.6
Ezri Konsa Aston Villa,24, D(CR),,,29,2482,-,34.7,86.4,-,1.1,-,6.43,0.1
Ashley Young Aston Villa,36, D(LR),M(LR),,10(14),1241,2,21.6,80,0.3,0.9,-,6.43,0.5
Cole Palmer Man City,20, Midfielder,,,1(3),122,-,12.8,90.2,-,0.3,0.3,6.43,0.5
Harry Winks Tottenham,26, DMC,,,9(10),908,1,34.4,88.2,0.4,1.6,0.2,6.43,0.6
Phil Jones Man Utd,30, D(CR),DMC,,2(2),163,-,20.3,87.7,-,0.3,-,6.42,-
James Tomkins Crystal Palace,33, D(CR),,,6(2),546,-,39.9,86.5,-,3.3,-,6.42,0.3
Boubakary Soumaré Leicester,23, DMC,,,12(7),1102,1,28.2,82.5,0.1,0.7,-,6.42,0.3
Ashley Westwood Burnley,32, DMC,,,26(1),2290,3,41.2,75.2,1.1,2.9,0.1,6.42,1.2
Steven Alzate Brighton,23, DMC,M(L),,5(4),407,-,25.8,87.5,-,1.3,-,6.42,0.2
Nuno Tavares Arsenal,22, D(L),,,13(9),1171,1,26.6,82.1,0.4,0.6,-,6.42,0.5
Tim Krul Norwich,34, GK,,,29,2610,-,31.1,65.4,-,6.7,-,6.42,-
Mathias Jensen Brentford,26, M(C),,,19(12),1602,1,22.8,76.2,1,2.2,0.1,6.42,1.1
Milot Rashica Norwich,25, AM(CLR),FW,,25(6),2240,2,14.8,70.8,0.9,0.7,-,6.42,1.2
Bernd Leno Arsenal,30, GK,,,4,360,-,25.3,62.4,-,5.5,-,6.41,-
Romain Perraud Southampton,24, D(L),M(L),,18(2),1625,1,26.7,70.6,0.3,0.6,-,6.41,0.4
John Ruddy Wolves,35, GK,,,1(1),135,-,14.5,62.1,-,1,-,6.4,-
Edinson Cavani Man Utd,35, AM(LR),FW,,7(8),765,1,15.3,76.1,-,0.5,-,6.4,0.5
Matt Ritchie Newcastle,32, D(L),M(CLR),,14(4),1335,2,28,78,1.6,2.3,-,6.4,1.6
Leon Bailey Aston Villa,24, M(LR),FW,,7(11),757,2,10.4,76.6,0.2,0.5,0.1,6.4,0.4
Sean Longstaff Newcastle,24, DMC,,,15(9),1461,1,24.6,81,0.1,1.8,-,6.39,0.3
Billy Gilmour Norwich,20, DMC,,,21(3),1858,1,47.3,83.7,1.4,3.4,-,6.39,1
Jacob Murphy Newcastle,27, D(R),M(LR),,13(20),1455,2,13.7,64.5,0.3,0.4,-,6.38,0.6
Adam Armstrong Southampton,25, AM(CLR),FW,,17(6),1415,2,13.2,74.9,-,0.4,0.1,6.38,0.6
Ibrahima Diallo Southampton,23, DMC,,,10(13),1019,2,19.3,80.6,0.1,0.7,-,6.38,0.7
CJ Egan-Riley Man City,19, Defender,,,0(1),3,-,1,100,-,-,-,6.38,-
Tariqe Fosu-Henry Brentford,26, M(CLR),,,0(1),16,-,6,83.3,1,-,-,6.38,-
Jack Cork Burnley,32, DMC,,,20,1676,-,28.3,74.2,0.2,1.3,-,6.38,0.3
Takumi Minamino Liverpool,27, AM(CLR),FW,,1(10),179,-,6.2,85.3,-,0.2,0.1,6.38,0.2
Mateusz Klich Leeds,31, M(C),,,26(7),2095,2,29.6,79.9,0.2,0.8,0.1,6.37,0.9
Christian Kabasele Watford,31, D(C),,,12(4),1191,-,29.3,78.5,0.1,1.9,-,6.37,0.1
Craig Cathcart Watford,33, D(CR),,,27(4),2396,1,29.1,81.3,-,2.7,-,6.37,0.1
Lyanco Southampton,25, D(C),,,9(6),906,-,25.9,72.2,-,1.4,-,6.37,0.2
Federico Fernández Newcastle,33, D(C),,,5(2),522,-,29.6,87.4,-,2.4,0.1,6.37,0.1
Frank Onyeka Brentford,24, DMC,,,12(8),1051,-,15.7,80.2,0.1,0.6,-,6.37,0.2
Ozan Kabak Norwich,22, D(C),,,11,925,-,39,81.4,-,1.4,-,6.36,0.2
Pascal Struijk Leeds,22, D(C),DMC,,22(7),2053,-,43.2,85.2,-,2.1,-,6.36,0.4
Robin Koch Leeds,25, D(C),DMC,,17(3),1575,-,34.9,77.4,-,1.6,-,6.35,0.3
Adam Idah Norwich,21, FW,,,6(11),620,1,7.8,67.4,0.2,0.2,-,6.35,0.3
Ayoze Pérez Leicester,28, AM(CLR),FW,,6(8),444,3,10.7,80.7,0.1,0.1,-,6.35,0.8
Ben Gibson Norwich,29, D(CL),,,28,2495,-,48.8,81.3,-,3.4,-,6.35,0.1
Marcus Rashford Man Utd,24, AM(CLR),FW,,13(12),1233,2,15.7,76.1,-,0.2,-,6.35,0.4
Ainsley Maitland-Niles Arsenal,24, D(LR),M(CLR),,2(6),265,-,16.9,77,0.1,0.5,0.1,6.35,0.4
Shane Long Southampton,35, AM(R),FW,,3(10),303,-,5.5,60.6,-,-,-,6.34,0.2
Morgan Sanson Aston Villa,27, M(CLR),,,3(7),352,-,15.3,78.4,0.2,0.3,-,6.34,0.1
Jeff Hendrick Newcastle,30, M(CR),,,0(3),70,-,9.7,93.1,-,0.3,-,6.34,0.3
Jacob Sørensen Norwich,24, D(L),DMC,,6(4),601,-,30.2,81.5,0.1,1.8,-,6.34,-
Sam Greenwood Leeds,20, Forward,,,1(6),232,2,10.4,74,-,0.1,-,6.34,0.6
Luke Cundle Wolves,20, Midfielder,,,2(2),180,-,25.8,93.2,-,1.5,0.3,6.34,0.5
Adam Forshaw Leeds,30, M(C),,,17(5),1530,1,37.5,83.5,-,2.4,-,6.33,0.6
Jamal Lewis Newcastle,24, D(L),M(L),,4(1),263,-,15.8,78.5,-,0.8,-,6.33,0.2
Matej Vydra Burnley,30, AM(CL),FW,,5(17),668,3,4.6,73.5,-,-,-,6.33,0.3
Anwar El Ghazi Aston Villa,27, AM(LR),FW,,4(5),383,1,11.4,76.7,0.3,0.2,-,6.33,0.6
Tyler Roberts Leeds,23, AM(C),FW,,7(16),979,1,12.2,73.9,0.1,0.4,-,6.32,0.7
Shandon Baptiste Brentford,24, M(C),,,9(13),905,-,13.5,85.2,-,0.4,-,6.32,0.4
Joshua Sargent Norwich,22, AM(CR),FW,,18(8),1579,1,15.1,72.8,-,0.2,-,6.32,0.4
Nampalys Mendy Leicester,29, M(C),,,12(2),1035,-,46.1,91.9,-,1.3,-,6.32,0.1
Juan Mata Man Utd,34, AM(CLR),,,2(5),232,-,29.7,88.9,0.3,1,-,6.31,0.3
Peter Etebo Watford,26, M(CL),FW,,4(5),398,-,18.3,90.9,0.1,1.7,-,6.31,0.2
Anthony Martial Man Utd,26, AM(LR),FW,,2(6),210,-,10.3,81.7,-,-,0.1,6.31,-
Tom Cleverley Watford,32, M(CLR),,,20(8),1626,2,21.3,76.5,0.6,0.9,-,6.31,0.7
Ki-Jana Hoever Wolves,20, M(R),,,4(4),307,-,14.8,69.5,0.1,0.1,-,6.31,0.1
Donny van de Beek Man Utd,25, M(C),,,0(8),69,-,4.1,78.8,-,0.1,0.1,6.3,0.4
Giovani Lo Celso Tottenham,26, M(CR),FW,,2(7),233,-,16.7,83.3,0.2,0.7,-,6.3,0.6
Ken Sema Watford,28, M(CLR),,,7(11),846,-,10.4,64.9,0.7,0.4,-,6.29,0.7
Bertrand Traoré Aston Villa,26, AM(R),FW,,1(8),213,-,8.7,76.9,-,0.2,-,6.28,-
Joe Gelhardt Leeds,20, FW,,,5(15),738,2,8,65,0.1,0.1,0.1,6.28,0.5
Aaron Lennon Burnley,35, M(LR),,,17(11),1548,-,12,73.5,0.1,0.3,-,6.28,0.3
Eric Bailly Man Utd,28, D(CR),,,3(1),218,-,21.3,80,-,0.8,-,6.28,-
Jonjoe Kenny Everton,25, D(LR),M(R),,11(4),1017,1,24.1,73.7,0.7,1.2,-,6.27,0.7
Ben Foster Watford,39, GK,,,26,2340,1,30.9,44,-,8.2,-,6.27,-
Mads Bech Sørensen Brentford,23, D(CL),,,9(2),834,-,39.2,81.4,0.3,1.7,-,6.27,0.6
Mads Roerslev Brentford,22, D(R),M(R),,12(9),1235,1,14.1,67,0.4,0.5,-,6.27,0.3
William Troost-Ekong Watford,28, D(C),,,15(2),1388,-,35.4,77.2,-,3.9,-,6.27,0.1
Dele Alli Everton,26, M(CL),FW,,1(10),332,-,13.5,73,0.1,0.5,0.2,6.26,0.6
Samuel Kalu Watford,24, M(LR),,,2(2),222,-,15.3,88.5,0.5,-,-,6.25,0.3
Nathan Tella Southampton,22, AM(LR),FW,,10(4),811,1,11.5,62.1,0.2,0.2,-,6.25,0.5
Steven Bergwijn Tottenham,24, AM(CLR),FW,,4(21),551,1,6.6,84.2,-,-,-,6.25,0.3
Willy Caballero Southampton,40, GK,,,2,180,-,30,61.7,-,9.5,-,6.25,-
Ciaran Clark Newcastle,32, D(CL),,,12(1),1015,1,28,79.1,0.1,1.2,-,6.24,0.3
Jesse Lingard Man Utd,29, AM(CLR),FW,,2(14),356,-,9.1,88.3,-,-,-,6.24,0.5
Lukas Rupp Norwich,31, M(CR),,,7(12),764,-,20.2,83.3,0.1,0.6,0.1,6.23,0.5
Todd Cantwell Norwich,24, AM(CLR),,,5(3),441,-,18.9,84.1,-,0.6,0.3,6.23,0.3
Crysencio Summerville Leeds,20, AM(R),,,0(6),126,-,11,75.8,-,0.2,-,6.23,0.3
Mark Noble West Ham,35, M(C),,,3(8),327,-,27,87.9,-,1,-,6.23,0.1
Kevin Long Burnley,31, D(C),,,4(2),408,-,17,77.5,-,1.3,-,6.22,-
Kieran Dowell Norwich,24, AM(CLR),,,11(8),913,1,15.4,73,0.5,0.5,-,6.22,0.8
Nikola Vlasic West Ham,24, AM(CLR),FW,,6(13),555,-,10.7,80.8,0.1,0.2,-,6.22,0.5
Karl Darlow Newcastle,31, GK,,,8,720,-,27.6,57.5,-,9.8,-,6.22,-
Tom Davies Everton,23, M(C),,,2(4),233,-,13.5,74.1,-,0.2,-,6.22,-
Ellis Simms Everton,21, FW,,,1,62,-,12,58.3,-,-,-,6.21,-
Carney Chukwuemeka Aston Villa,18, Midfielder,,,2(10),295,1,10,81.7,-,0.2,-,6.2,0.2
Dane Scarlett Tottenham,18, Forward,,,0(1),3,-,1,100,-,-,-,6.2,-
Przemyslaw Placheta Norwich,24, AM(LR),,,6(6),506,-,11,74.2,0.4,0.5,0.1,6.2,0.3
William Smallbone Southampton,22, M(R),,,2(2),134,-,8.3,57.6,0.3,-,-,6.19,0.3
Ashley Barnes Burnley,32, AM(CL),FW,,8(15),803,-,8.3,63.7,-,0.1,-,6.19,0.3
Troy Deeney Watford,33, FW,,,0(2),23,-,3.5,42.9,-,-,-,6.19,0.5
Charlie Cresswell Leeds,19, Defender,,,1(4),131,-,20.8,72.1,-,0.8,-,6.19,-
Salomón Rondón Everton,32, FW,,,8(12),783,1,9.3,62.4,0.1,0.2,-,6.19,0.4
Moussa Djenepo Southampton,23, AM(LR),,,5(7),455,-,11.7,75.7,0.2,0.1,0.1,6.18,0.5
Axel Tuanzebe Aston Villa,24, D(CR),,,6(3),506,-,26.7,86.3,-,1.1,-,6.18,-
André Gomes Everton,28, M(CLR),,,7(7),619,1,19.7,77.2,0.4,0.9,-,6.17,0.3
Harrison Ashby West Ham,20, Defender,,,0(1),6,-,6,100,-,1,-,6.17,-
Jonathan Rowe Norwich,19, Forward,,,0(13),211,1,5.1,71.2,0.1,-,0.1,6.17,0.4
Dale Stephens Burnley,32, M(C),,,1(2),123,-,19,80.7,-,1.3,-,6.17,0.3
Ryan Fredericks West Ham,29, D(R),M(R),,3(4),304,-,17,78.2,0.1,0.1,-,6.15,0.3
Jarrad Branthwaite Everton,19, D(C),,,4(2),388,-,19.2,75.7,-,0.8,-,6.15,-
Marcus Forss Brentford,22, FW,,,1(6),203,1,5.1,61.1,-,0.4,-,6.15,0.1
Andrii Yarmolenko West Ham,32, AM(CR),FW,,1(18),304,-,5.3,77.2,0.1,0.1,-,6.15,0.2
Bryan Gil Tottenham,21, AM(CLR),,,0(9),86,-,6.2,83.9,0.2,-,-,6.15,0.2
Jesurun Rak-Sakyi Crystal Palace,19, Midfielder,,,1(1),81,-,12,87.5,0.5,-,-,6.15,-
Robin Olsen Aston Villa,32, GK,,,1,90,-,39,46.2,-,10,-,6.14,-
Josh Dasilva Brentford,23, M(C),,,2(7),252,-,9.7,82.8,0.1,0.1,-,6.14,0.3
Taylor Richards Brighton,21, AM(C),,,0(2),23,-,13.5,77.8,-,1,-,6.14,0.5
Chem Campbell Wolves,19, Forward,,,0(1),12,-,9,88.9,-,-,-,6.13,-
James McAtee Man City,19, Midfielder,,,0(2),19,-,6.5,69.2,-,-,-,6.13,-
Calum Chambers Arsenal,27, D(CR),DMC,,2,171,-,41,81.7,0.5,1.5,-,6.13,0.5
Tyler Morton Liverpool,19, M(C),,,1(1),66,-,17.5,85.7,-,0.5,-,6.13,-
Jairo Riedewald Crystal Palace,25, D(CL),DMC,,1(2),117,-,17.7,84.9,0.3,0.3,-,6.12,0.7
Lewis Brunt Leicester,21, Midfielder,,,0(1),23,-,21,100,-,1,-,6.12,-
Ryan Bertrand Leicester,32, D(CL),M(L),,4,338,-,36.3,81.4,0.5,0.8,-,6.1,-
