Player.1,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
Kurt Zouma West Ham,27, D(CR),,,24,2080,-,41.5,87.7,-,1.8,-,6.74,0.1
Luke Thomas Leicester,20, D(L),M(L),,21(1),1912,1,46.4,80.3,0.2,1.1,0.1,6.74,0.5
Emile Smith Rowe Arsenal,21, AM(CL),,,21(12),1922,2,23.2,87.4,0.2,0.4,0.1,6.74,0.9
Pierre-Emerick Aubameyang Arsenal,32, M(CLR),FW,,12(2),1040,1,13.9,70.1,-,0.2,0.1,6.74,0.6
Jonny Wolves,28, D(CLR),M(LR),,10(3),1023,-,39,83,0.5,1.5,0.1,6.74,0.8
Asmir Begovic Everton,34, GK,,,3,270,-,26.7,43.8,-,6.7,-,6.74,-
Bryan Mbeumo Brentford,22, AM(LR),FW,,34(1),2916,7,20.9,69,0.5,0.7,-,6.74,1
Çaglar Söyüncü Leicester,26, D(C),,,28,2498,-,68.6,84.6,0.1,3.1,-,6.74,0.1
Kasper Schmeichel Leicester,35, GK,,,37,3330,-,30.4,69.7,-,7.1,-,6.74,-
Tyrone Mings Aston Villa,29, D(CL),,,35(1),3188,3,46.1,79.6,-,2.8,0.1,6.74,0.3
Alexandre Lacazette Arsenal,31, M(CLR),FW,,20(10),1789,7,14.8,76.4,0.1,0.3,0.1,6.74,1
Valentino Livramento Southampton,19, D(R),,,25(3),2203,1,32.4,78.6,0.4,1,-,6.73,0.7
Lewis Dunk Brighton,30, D(C),,,29,2574,-,67.1,88.4,-,4.7,-,6.73,0.1
Kyle Walker Man City,32, D(CR),M(R),,20,1756,2,75,90.3,0.3,3.8,0.1,6.73,0.6
Kristoffer Ajer Brentford,24, D(CR),DMC,,23(1),1987,3,30.1,69.7,0.1,1.3,0.1,6.73,0.3
Vitaly Janelt Brentford,24, DMC,,,27(4),2309,-,30.6,77.9,0.2,1.7,0.1,6.73,0.7
Cheikhou Kouyaté Crystal Palace,32, D(CR),DMC,,23(4),1978,1,29.6,82,-,1.1,-,6.73,0.2
Grant Hanley Norwich,30, D(C),,,33,2899,-,39.7,83.1,-,2.1,-,6.73,0.2
