,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
342,"343Kevin BehrensUnion Berlin, 31, FW",Kevin Behrens,31, FW,,,2(22),480,2,2,1,-,0.7,65.1,1.9,-,6.35
343,"344Patrick OsterhageBochum, 22, M(C)",Patrick Osterhage,22, M(C),,,6(6),574,-,1,2,-,0.3,77.5,1.2,-,6.34
344,"345András SchäferUnion Berlin, 23, M(C)",András Schäfer,23, M(C),,,1(7),233,1,1,2,-,0.9,76.5,0.1,-,6.34
345,"346Dominique HeintzFreiburg, 28, D(CL)",Dominique Heintz,28, D(CL),,,0(1),28,-,-,-,-,-,95.2,1,-,6.34
346,"347Marcus IngvartsenUnion Berlin, 26, AM(CR),FW",Marcus Ingvartsen,26, AM(CR),FW,,2,124,-,-,-,-,0.5,69,1.5,-,6.34
347,"348Márton DárdaiHertha Berlin, 20, D(C)",Márton Dárdai,20, D(C),,,9(3),759,-,1,2,-,0.3,72.3,1,1,6.34
348,"349Davie SelkeHertha Berlin, 27, FW",Davie Selke,27, FW,,,10(15),997,4,-,1,-,1,60.5,2.3,-,6.34
349,"350Bryan LasmeArminia Bielefeld, 23, FW",Bryan Lasme,23, FW,,,7(16),869,2,-,2,-,0.6,59.6,1.5,-,6.33
350,"351Havard NielsenGreuther Fuerth, 28, AM(CL),FW",Havard Nielsen,28, AM(CL),FW,,14(12),1371,2,-,2,-,1.1,66.4,2.3,-,6.33
351,"352Marwin HitzBorussia Dortmund, 34, GK",Marwin Hitz,34, GK,,,4(1),405,-,-,-,-,-,84.9,-,-,6.33
352,"353Jannes HornFC Koln, 25, D(CL),M(L)",Jannes Horn,25, D(CL),M(L),,3(8),474,-,-,2,-,0.3,75.4,0.7,-,6.33
353,"354Keven SchlotterbeckFreiburg, 25, D(C)",Keven Schlotterbeck,25, D(C),,,3(9),311,-,-,1,-,0.1,84,0.8,1,6.33
354,"355Janni SerraArminia Bielefeld, 24, FW",Janni Serra,24, FW,,,15(11),1125,3,2,1,-,0.9,62.1,2,-,6.33
355,"356Jens Petter HaugeEintracht Frankfurt, 22, AM(CLR)",Jens Petter Hauge Eintracht,22, AM(CLR),,,9(17),1031,2,2,4,-,0.7,71.8,0.4,1,6.33
356,"357Kevin VogtHoffenheim, 30, D(CR),M(C)",Kevin Vogt,30, D(CR),M(C),,29(1),2570,-,2,7,-,0.1,88.2,0.8,-,6.33
357,"358Marco JohnHoffenheim, 20, M(L)",Marco John,20, M(L),,,0(2),40,-,-,-,-,-,92.3,-,-,6.33
358,"359Gonçalo PaciênciaEintracht Frankfurt, 27, FW",Gonçalo Paciência Eintracht,27, FW,,,4(14),505,3,-,3,-,1.6,68.5,1,-,6.31
359,"360Danny da CostaEintracht Frankfurt, 28, D(R),M(R)",Danny da Costa Eintracht,28, D(R),M(R),,7(4),724,-,-,2,-,0.2,67.7,1.3,-,6.31
360,"361Christoph KramerBorussia M.Gladbach, 31, DMC",Christoph Kramer,31, DMC,,,7(11),742,-,-,1,-,0.2,78.9,0.7,-,6.31
361,"362Tobias RaschlGreuther Fuerth, 22, M(C)",Tobias Raschl,22, M(C),,,7(3),598,-,1,-,-,0.5,81.4,0.1,-,6.3
362,"363Kevin StögerMainz, 28, M(CL)",Kevin Stöger,28, M(CL),,,1(22),403,1,1,3,-,0.7,77.7,0.1,-,6.3
363,"364Cedric IttenGreuther Fuerth, 25, FW",Cedric Itten,25, FW,,,7(5),634,2,-,1,-,1.3,59.6,2.6,-,6.3
364,"365Janik HabererFreiburg, 28, M(CLR),FW",Janik Haberer,28, M(CLR),FW,,7(19),806,3,-,1,-,0.5,76.7,0.6,-,6.3
365,"366Ermedin DemirovicFreiburg, 24, FW",Ermedin Demirovic,24, FW,,,9(22),862,2,3,4,-,0.8,62.1,0.5,1,6.3
366,"367Wahidullah FaghirStuttgart, 18, Forward",Wahidullah Faghir,18, Forward,,,0(6),120,1,-,-,-,0.8,65.6,0.7,-,6.3
367,"368Linus GechterHertha Berlin, 18, D(C)",Linus Gechter,18, D(C),,,6(7),713,1,-,-,-,0.4,79.7,0.6,-,6.3
368,"369Malik TillmanBayern, 20, Forward",Malik Tillman,20, Forward,,,1(3),103,-,-,-,-,0.3,77.5,0.8,-,6.3
369,"370Mijat GacinovicHoffenheim, 27, M(CLR)",Mijat Gacinovic,27, M(CLR),,,1(3),108,-,-,1,-,0.3,69.6,0.8,-,6.3
370,"371Raphael FrambergerAugsburg, 26, D(R),M(R)",Raphael Framberger,26, D(R),M(R),,9(14),840,-,-,3,-,-,66.5,0.4,-,6.29
371,"372Daley SinkgravenLeverkusen, 26, D(L),M(CL)",Daley Sinkgraven,26, D(L),M(CL),,3(9),346,-,-,-,-,0.1,84,0.3,-,6.29
372,"373Louis SchaubFC Koln, 27, AM(CR)",Louis Schaub,27, AM(CR),,,6(22),640,1,2,-,-,0.5,69.6,0.1,-,6.29
373,"374Fredrik JensenAugsburg, 24, AM(C),FW",Fredrik Jensen,24, AM(C),FW,,2(10),410,-,1,-,-,0.5,55.1,0.7,-,6.29
374,"375Daniel DidaviStuttgart, 32, AM(CR),FW",Daniel Didavi,32, AM(CR),FW,,2(8),272,-,1,1,-,0.7,70.1,0.4,-,6.29
375,"376Håvard NordtveitHoffenheim, 31, D(CR),DMC",Håvard Nordtveit,31, D(CR),DMC,,1(10),295,-,-,1,-,0.1,80,0.5,-,6.29
376,"377Andi ZeqiriAugsburg, 22, FW",Andi Zeqiri,22, FW,,,11(11),1032,2,1,2,-,1.4,67.9,0.5,-,6.29
377,"378Krzysztof PiatekHertha Berlin, 26, FW",Krzysztof Piatek,26, FW,,,4(5),346,1,-,-,-,1.3,64.9,1.4,-,6.29
378,"379Almamy TouréEintracht Frankfurt, 26, D(CR),M(R)",Almamy Touré Eintracht,26, D(CR),M(R),,5(5),509,-,-,2,-,0.6,72.5,1.3,-,6.28
379,"380Mateo KlimowiczStuttgart, 21, AM(C),FW",Mateo Klimowicz,21, AM(C),FW,,7(8),602,-,1,2,-,0.7,74.2,0.1,-,6.28
380,"381Maximilian BauerGreuther Fuerth, 22, D(C)",Maximilian Bauer,22, D(C),,,18(8),1687,-,-,5,-,0.2,80.9,1.9,-,6.28
381,"382Jacob Bruun LarsenHoffenheim, 23, AM(CL)",Jacob Bruun Larsen,23, AM(CL),,,9(16),804,4,1,1,-,0.7,74.4,0.4,-,6.28
382,"383Tanguy CoulibalyStuttgart, 21, M(CLR),FW",Tanguy Coulibaly,21, M(CLR),FW,,11(10),1082,-,1,8,-,0.6,75.5,0.4,-,6.27
383,"384Felix UduokhaiAugsburg, 24, D(C)",Felix Uduokhai,24, D(C),,,8(5),784,-,-,1,-,0.2,77.9,1.8,-,6.27
384,"385Deyovaisio ZeefuikHertha Berlin, 24, D(R),M(R)",Deyovaisio Zeefuik,24, D(R),M(R),,6(5),563,-,-,1,-,-,74.6,0.8,-,6.27
385,"386Timothy Fosu-MensahLeverkusen, 24, D(CR)",Timothy Fosu-Mensah,24, D(CR),,,0(6),140,-,-,-,-,-,80.9,0.3,-,6.27
386,"387Gonzalo CastroArminia Bielefeld, 34, D(L),M(CR)",Gonzalo Castro,34, D(L),M(CR),,4(8),433,1,1,-,-,0.7,74,0.3,-,6.27
387,"388Niklas TauerMainz, 21, Midfielder",Niklas Tauer,21, Midfielder,,,6(5),487,-,-,1,1,0.2,73.9,0.7,-,6.27
388,"389Soma NovothnyBochum, 27, Forward",Soma Novothny,27, Forward,,,0(6),75,1,-,-,-,0.5,66.7,0.3,-,6.27
389,"390Kevin-Prince BoatengHertha Berlin, 35, M(CLR),FW",Kevin-Prince Boateng,35, M(CLR),FW,,9(10),696,-,-,8,-,0.5,77.6,1.4,-,6.26
390,"391Christopher Antwi-AdjeiBochum, 28, AM(CLR)",Christopher Antwi-Adjei,28, AM(CLR),,,11(13),1038,1,1,2,-,1.1,67,0.5,-,6.26
391,"392Jurgen EkkelenkampHertha Berlin, 22, AM(C)",Jurgen Ekkelenkamp,22, AM(C),,,6(15),713,3,-,1,-,0.7,69.7,0.4,-,6.26
392,"393David NemethMainz, 21, Defender",David Nemeth,21, Defender,,,2(4),309,-,-,-,-,-,84.4,1.7,-,6.26
393,"394Vincent VermeijFreiburg, 27, FW",Vincent Vermeij,27, FW,,,0(1),2,-,-,-,-,-,66.7,1,-,6.25
394,"395Robert SkovHoffenheim, 26, D(L),M(LR)",Robert Skov,26, D(L),M(LR),,3(9),362,-,1,1,-,1,77.8,0.3,-,6.25
395,"396Kingsley SchindlerFC Koln, 28, D(R),M(R),FW",Kingsley Schindler,28, D(R),M(R),FW,1(17),335,1,2,1,-,0.2,59.8,0.4,-,6.25
396,"397Nadiem AmiriLeverkusen, 25, M(CLR)",Nadiem Amiri,25, M(CLR),,,3(10),362,1,-,-,-,0.6,85.2,0.1,-,6.25
397,"398Sargis AdamyanHoffenheim, 29, AM(CLR),FW",Sargis Adamyan,29, AM(CLR),FW,,2(11),324,1,-,-,-,0.2,73.3,0.3,-,6.25
398,"399Hwang Hee-ChanRBL, 26, AM(CLR),FW",Hwang Hee-Chan,26, AM(CLR),FW,,0(2),47,-,-,-,-,0.5,87.5,0.5,-,6.25
399,"400Tim LemperleFC Koln, 20, Midfielder",Tim Lemperle,20, Midfielder,,,0(13),137,2,-,-,-,0.5,66.7,0.4,-,6.24
400,"401Erik ThommyStuttgart, 27, M(CLR)",Erik Thommy,27, M(CLR),,,1(10),267,-,-,-,-,0.9,87.1,0.2,-,6.24
401,"402Nikolas NarteyStuttgart, 22, M(CL)",Nikolas Nartey,22, M(CL),,,4(4),401,-,-,1,-,0.1,74,1.3,-,6.24
402,"403Andrey LunevLeverkusen, 30, GK",Andrey Lunev,30, GK,,,1,90,-,-,-,-,-,86.4,-,-,6.24
403,"404Lucas CopadoBayern, 18, Forward",Lucas Copado,18, Forward,,,0(1),16,-,-,-,-,1,75,-,-,6.24
404,"405László BénesBorussia M.Gladbach, 24, AM(C)",László Bénes,24, AM(C),,,2(11),239,-,-,-,-,0.5,79.3,0.4,-,6.24
405,"406Sam LammersEintracht Frankfurt, 25, FW",Sam Lammers Eintracht,25, FW,,,5(10),515,1,-,1,-,0.8,62.1,1.4,-,6.24
406,"407Tomás OstrákFC Koln, 22, Midfielder",Tomás Ostrák,22, Midfielder,,,0(5),26,-,1,-,-,0.4,66.7,-,-,6.24
407,"408Ádám SzalaiMainz, 34, FW",Ádám Szalai,34, FW,,,2(10),255,1,-,1,-,0.8,52.7,0.7,-,6.24
408,"409Lukas KlünterHertha Berlin, 26, D(CR),M(R)",Lukas Klünter,26, D(CR),M(R),,2(3),193,-,-,1,-,-,74.3,0.6,-,6.23
409,"410Noah KatterbachFC Koln, 21, D(L)",Noah Katterbach,21, D(L),,,0(1),16,-,-,-,-,-,42.9,-,-,6.23
410,"411Ricardo PepiAugsburg, 19, FW",Ricardo Pepi,19, FW,,,4(7),476,-,-,-,-,0.7,66.7,0.7,-,6.22
411,"412Myziane MaolidaHertha Berlin, 23, AM(LR),FW",Myziane Maolida,23, AM(LR),FW,,9(5),780,1,1,-,-,1,68.9,0.6,-,6.22
412,"413Cimo RöckerHertha Berlin, 28, Defender",Cimo Röcker,28, Defender,,,0(1),21,-,-,-,-,-,68.8,-,-,6.22
413,"414Sven UlreichBayern, 33, GK",Sven Ulreich,33, GK,,,6,540,-,-,-,-,-,82.8,0.2,-,6.22
414,"415Carlos GruezoAugsburg, 27, DMC",Carlos Gruezo,27, DMC,,,9(8),971,-,-,7,-,0.6,77.2,0.6,-,6.22
415,"416Hugo NovoaRBL, 19, Forward",Hugo Novoa,19, Forward,,,1(7),130,1,-,-,-,0.3,62.8,0.3,-,6.21
416,"417Noah Sarenren BazeeAugsburg, 25, AM(R)",Noah Sarenren Bazee,25, AM(R),,,1(13),230,1,-,1,-,0.5,65.8,0.6,-,6.21
417,"418Robin HackArminia Bielefeld, 23, AM(CLR),FW",Robin Hack,23, AM(CLR),FW,,13(17),1356,-,2,2,-,1,74.4,0.3,-,6.21
418,"419Enzo MillotStuttgart, 19, Midfielder",Enzo Millot,19, Midfielder,,,0(6),48,-,1,-,-,-,82.1,0.7,-,6.21
419,"420Gabriel VidovicBayern, 18, Forward",Gabriel Vidovic,18, Forward,,,0(3),33,-,-,-,-,-,75,-,-,6.2
420,"421George BelloArminia Bielefeld, 20, D(L),M(L)",George Bello,20, D(L),M(L),,3(7),427,-,-,-,-,0.3,81.6,-,-,6.2
421,"422Iker BravoLeverkusen, 17, Forward",Iker Bravo,17, Forward,,,0(1),11,-,-,-,-,-,-,-,-,6.2
422,"423Ragnar AcheEintracht Frankfurt, 23, FW",Ragnar Ache Eintracht,23, FW,,,1(12),249,-,1,-,-,0.8,60,1.4,-,6.2
423,"424Levin ÖztunaliUnion Berlin, 26, M(CLR)",Levin Öztunali,26, M(CLR),,,5(13),564,-,-,-,-,0.4,69.8,0.6,-,6.2
424,"425Julian BaumgartlingerLeverkusen, 34, DMC",Julian Baumgartlinger,34, DMC,,,1(5),84,-,-,1,-,-,89.9,0.2,-,6.19
425,"426Kiliann SildilliaFreiburg, 20, Defender",Kiliann Sildillia,20, Defender,,,1(6),167,-,-,1,-,-,64.9,0.1,-,6.19
426,"427Marcel SabitzerRBL, 28, M(CLR),FW",Marcel Sabitzer,28, M(CLR),FW,,0(2),47,-,-,1,-,1,82.2,-,-,6.19
427,"428Gian-Luca WaldschmidtWolfsburg, 26, AM(CLR),FW",Gian-Luca Waldschmidt,26, AM(CLR),FW,,9(5),719,1,-,2,-,1.2,79.4,0.1,-,6.19
428,"429Florian KrügerArminia Bielefeld, 23, AM(CLR),FW",Florian Krüger,23, AM(CLR),FW,,12(15),1112,1,2,-,-,0.7,70.1,0.4,-,6.18
429,"430Ansgar KnauffBorussia Dortmund, 20, M(R)",Ansgar Knauff,20, M(R),,,0(5),110,-,-,-,-,0.2,50,0.6,-,6.18
430,"431Stefan IlsankerEintracht Frankfurt, 33, D(CR),DMC",Stefan Ilsanker Eintracht,33, D(CR),DMC,,3(9),261,-,-,1,-,0.3,80.9,0.5,-,6.18
431,"432Julian EitschbergerHertha Berlin, 18, Defender",Julian Eitschberger,18, Defender,,,1,46,-,-,-,-,-,63.3,-,-,6.18
432,"433Lennard MaloneyBorussia Dortmund, 22, Defender",Lennard Maloney,22, Defender,,,0(2),7,-,-,-,-,-,78.6,0.5,-,6.18
433,"434Jan MorávekAugsburg, 32, M(C)",Jan Morávek,32, M(C),,,5(12),466,-,-,1,-,0.1,70.4,0.5,-,6.18
434,"435Daniel BrosinskiMainz, 33, D(LR),M(LR)",Daniel Brosinski,33, D(LR),M(LR),,4(7),386,-,-,-,-,0.1,71.6,0.5,-,6.17
435,"436Felix NmechaWolfsburg, 21, Midfielder",Felix Nmecha,21, Midfielder,,,1(15),308,-,-,2,-,0.6,73.1,0.7,-,6.17
436,"437Dennis JastrzembskiHertha Berlin, 22, Forward",Dennis Jastrzembski,22, Forward,,,1(7),222,-,-,1,-,0.1,63.2,0.5,-,6.17
437,"438Brian BrobbeyRBL, 20, FW",Brian Brobbey,20, FW,,,1(8),124,-,2,-,-,0.4,90.3,0.4,-,6.17
438,"439Keanan BennettsBorussia M.Gladbach, 23, AM(R)",Keanan Bennetts,23, AM(R),,,0(4),47,-,-,1,-,0.3,66.7,0.5,-,6.17
439,"440Luca WollschlägerHertha Berlin, 19, Forward",Luca Wollschläger,19, Forward,,,0(2),14,-,-,-,-,0.5,83.3,-,-,6.16
440,"441Saulo DecarliBochum, 30, D(C)",Saulo Decarli,30, D(C),,,0(1),8,-,-,-,-,1,100,-,-,6.16
441,"442Sergio CórdovaAugsburg, 24, FW",Sergio Córdova,24, FW,,,2(11),318,-,-,2,-,0.5,68.9,1.2,-,6.16
442,"443Fredrik BjørkanHertha Berlin, 23, Defender",Fredrik Bjørkan,23, Defender,,,2(7),349,-,-,1,-,-,79.1,0.1,-,6.16
443,"444Anton KadeHertha Berlin, 18, Forward",Anton Kade,18, Forward,,,0(4),74,-,-,-,-,0.3,63.2,0.5,-,6.15
444,"445Finn DahmenMainz, 24, GK",Finn Dahmen,24, GK,,,2,180,-,-,-,-,-,81.4,-,-,6.15
445,"446Yannik KeitelFreiburg, 22, DMC",Yannik Keitel,22, DMC,,,5(7),501,-,-,1,-,0.8,69.6,0.9,-,6.14
446,"447Baptiste SantamaríaFreiburg, 27, DMC",Baptiste Santamaría,27, DMC,,,0(1),20,-,-,-,-,-,33.3,-,-,6.14
447,"448Dickson AbiamaGreuther Fuerth, 23, FW",Dickson Abiama,23, FW,,,5(19),715,-,1,3,-,0.8,63.6,0.8,-,6.14
448,"449Zidan SertdemirLeverkusen, 17, Midfielder",Zidan Sertdemir,17, Midfielder,,,0(3),15,-,-,-,-,-,100,-,-,6.13
449,"450Julian GreenGreuther Fuerth, 27, M(CL),FW",Julian Green,27, M(CL),FW,,12(12),1052,-,-,2,-,0.8,83.4,0.2,-,6.13
450,"451Burak InceArminia Bielefeld, 18, Midfielder",Burak Ince,18, Midfielder,,,1(4),138,-,-,-,-,0.8,93.5,-,-,6.13
451,"452Omer Faruk BeyazStuttgart, 18, Midfielder",Omer Faruk Beyaz,18, Midfielder,,,0(4),68,-,-,-,-,0.8,79.4,-,-,6.13
452,"453Justin CheHoffenheim, 18, D(R)",Justin Che,18, D(R),,,0(2),39,-,-,-,-,0.5,78.9,-,-,6.12
453,"454Youssoufa MoukokoBorussia Dortmund, 17, Forward",Youssoufa Moukoko,17, Forward,,,1(15),210,2,-,1,-,0.5,88.2,-,-,6.12
454,"455Paul NebelMainz, 19, Midfielder",Paul Nebel,19, Midfielder,,,2(8),226,-,1,3,-,0.3,65.5,-,-,6.12
455,"456Solomon BonnahRBL, 18, Defender",Solomon Bonnah,18, Defender,,,0(1),6,-,-,-,-,-,100,-,-,6.11
456,"457Alexis TibidiStuttgart, 18, Forward",Alexis Tibidi,18, Forward,,,2(11),380,-,-,1,-,0.3,74.6,0.5,-,6.11
457,"458Simon AstaGreuther Fuerth, 21, D(R),M(R)",Simon Asta,21, D(R),M(R),,9(4),784,-,-,1,-,0.2,71.8,0.3,-,6.1
458,"459Paul WannerBayern, 16, Midfielder",Paul Wanner,16, Midfielder,,,0(4),36,-,-,-,-,-,90.9,-,-,6.1
459,"460Keita EndoUnion Berlin, 24, Midfielder",Keita Endo,24, Midfielder,,,0(4),53,-,-,-,-,0.5,62.5,-,-,6.09
460,"461Kevin MöhwaldUnion Berlin, 28, M(CR)",Kevin Möhwald,28, M(CR),,,3(13),349,-,-,2,-,0.6,79.9,0.2,-,6.09
461,"462Nathan de MedinaArminia Bielefeld, 24, D(R)",Nathan de Medina,24, D(R),,,7(12),768,-,-,2,-,0.3,73,0.4,-,6.09
462,"463Lasse GüntherAugsburg, 19, Forward",Lasse Günther,19, Forward,,,1(4),159,-,-,1,-,0.4,69.1,-,-,6.08
463,"464Cedric TeuchertUnion Berlin, 25, AM(CLR),FW",Cedric Teuchert,25, AM(CLR),FW,,0(6),99,-,-,-,-,0.5,73.1,0.3,-,6.08
464,"465Anthony UjahUnion Berlin, 31, FW",Anthony Ujah,31, FW,,,0(3),32,-,-,-,-,1,55.6,0.3,-,6.08
465,"466Kasim AdamsHoffenheim, 26, D(C)",Kasim Adams,26, D(C),,,0(3),3,-,-,-,-,0.3,75,0.3,-,6.08
466,"467Silvère GanvoulaBochum, 25, FW",Silvère Ganvoula,25, FW,,,0(9),145,-,-,-,-,0.3,57.6,2.4,-,6.07
467,"468Mohamed SankohStuttgart, 18, Forward",Mohamed Sankoh,18, Forward,,,0(1),4,-,-,-,-,1,-,-,-,6.07
468,"469Afimico PululuGreuther Fuerth, 23, Forward",Afimico Pululu,23, Forward,,,0(8),62,-,-,-,-,0.1,70,0.3,-,6.07
469,"470Joel PohjanpaloLeverkusen, 27, FW",Joel Pohjanpalo,27, FW,,,0(2),10,-,-,-,-,-,33.3,0.5,-,6.07
470,"471Ilaix MoribaRBL, 19, M(C)",Ilaix Moriba,19, M(C),,,0(2),30,-,-,-,-,0.5,81,-,-,6.07
471,"472Adrian FeinGreuther Fuerth, 23, DMC",Adrian Fein,23, DMC,,,0(3),29,-,-,-,-,0.3,62.5,-,-,6.06
472,"473ReinierBorussia Dortmund, 20, AM(C)",Reinier,20, AM(C),,,1(12),153,-,-,-,-,0.1,75.3,0.1,-,6.06
473,"474Javairô DilrosunHertha Berlin, 23, AM(CLR)",Javairô Dilrosun,23, AM(CLR),,,1(1),137,-,-,-,-,0.5,81.3,-,-,6.06
474,"475Luis HartwigBochum, 19, Forward",Luis Hartwig,19, Forward,,,0(1),1,-,-,-,-,-,50,1,-,6.06
475,"476Kevin ParedesWolfsburg, 19, M(L)",Kevin Paredes,19, M(L),,,0(2),13,-,-,-,-,-,85.7,-,-,6.06
476,"477Mathias OlesenFC Koln, 21, Midfielder",Mathias Olesen,21, Midfielder,,,0(3),14,-,-,-,-,-,76.9,-,-,6.05
477,"478Tarsis BongaBochum, 25, Forward",Tarsis Bonga,25, Forward,,,0(3),14,-,-,-,-,1,57.1,0.3,-,6.05
478,"479Philipp TschaunerRBL, 36, GK",Philipp Tschauner,36, GK,,,0(1),3,-,-,-,-,-,80,-,-,6.05
479,"480Tobias SippelBorussia M.Gladbach, 34, GK",Tobias Sippel,34, GK,,,1,90,-,-,-,-,-,81.4,-,-,6.05
480,"481SilasStuttgart, 23, M(LR),FW",Silas,23, M(LR),FW,,3(6),271,-,-,-,-,0.1,71.7,0.2,-,6.05
481,"482Admir MehmediWolfsburg, 31, M(CLR),FW",Admir Mehmedi,31, M(CLR),FW,,0(1),3,-,-,-,-,-,60,-,-,6.04
482,"483Bartosz BialekWolfsburg, 20, Forward",Bartosz Bialek,20, Forward,,,1(11),171,-,-,1,-,0.5,54.8,0.4,-,6.04
483,"484Matej MaglicaStuttgart, 23, Defender",Matej Maglica,23, Defender,,,0(1),5,-,-,-,-,-,-,1,-,6.04
484,"485Sebastian GriesbeckUnion Berlin, 31, D(C),DMC",Sebastian Griesbeck,31, D(C),DMC,,0(1),8,-,-,-,-,-,100,-,-,6.04
485,"486Torben MüselBorussia M.Gladbach, 22, Midfielder",Torben Müsel,22, Midfielder,,,0(1),4,-,-,-,-,-,100,-,-,6.04
486,"487Omar MarmoushWolfsburg, 23, AM(L),FW",Omar Marmoush,23, AM(L),FW,,0(2),22,-,-,-,-,0.5,75,0.5,-,6.03
487,"488Umut TohumcuHoffenheim, 17, Midfielder",Umut Tohumcu,17, Midfielder,,,0(1),4,-,-,-,-,-,-,-,-,6.03
488,"489Noah WeißhauptFreiburg, 20, Forward",Noah Weißhaupt,20, Forward,,,0(10),91,-,-,-,-,-,81,0.1,-,6.03
489,"490Merveille PapelaMainz, 21, Midfielder",Merveille Papela,21, Midfielder,,,0(5),80,-,-,-,-,0.2,70.8,-,-,6.03
490,"491Abdourahmane BarryGreuther Fuerth, 22, D(C)",Abdourahmane Barry,22, D(C),,,1(7),204,-,-,2,-,0.1,81.4,0.5,-,6.03
491,"492Chris RichardsBayern, 22, D(C)",Chris Richards,22, D(C),,,0(1),2,-,-,-,-,-,100,-,-,6.02
492,"493Christian FrüchtlBayern, 22, Goalkeeper",Christian Früchtl,22, Goalkeeper,,,0(1),9,-,-,-,-,-,100,-,-,6.02
493,"494Daniel GinczekWolfsburg, 31, AM(R),FW",Daniel Ginczek,31, AM(R),FW,,0(2),12,-,-,-,-,0.5,25,-,-,6.02
494,"495Lilian EgloffStuttgart, 19, Midfielder",Lilian Egloff,19, Midfielder,,,0(4),29,-,-,-,-,-,66.7,0.3,-,6.01
495,"496Marten WinklerHertha Berlin, 19, Forward",Marten Winkler,19, Forward,,,0(1),25,-,-,-,-,-,57.1,-,-,6.01
496,"497Conor NoßBorussia M.Gladbach, 21, Forward",Conor Noß,21, Forward,,,0(3),50,-,-,-,-,0.3,78.6,-,-,6.01
497,"498Ermin BicakcicHoffenheim, 32, D(C)",Ermin Bicakcic,32, D(C),,,0(1),4,-,-,-,-,-,100,-,-,6.0
498,"499Immanuel PheraiBorussia Dortmund, 21, AM(L)",Immanuel Pherai,21, AM(L),,,0(1),1,-,-,-,-,-,-,-,-,6.0
499,"500Lion SemicBorussia Dortmund, 18, Defender",Lion Semic,18, Defender,,,0(1),2,-,-,-,-,-,-,-,-,6.0
500,"501Luca KilianMainz, 22, D(C)",Luca Kilian,22, D(C),,,0(1),1,-,-,-,-,-,-,-,-,6.0
501,"502Naouirou AhamadaStuttgart, 20, Midfielder",Naouirou Ahamada,20, Midfielder,,,0(3),57,-,-,-,-,-,87.5,0.3,-,6.0
502,"503Nils SeufertGreuther Fuerth, 25, AM(C)",Nils Seufert,25, AM(C),,,1(3),98,-,-,-,-,-,67.7,-,-,6.0
503,"504Romario RöschMainz, 22, Midfielder",Romario Rösch,22, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6.0
504,"505Stephan FürstnerMainz, 34, DMC",Stephan Fürstner,34, DMC,,,0(1),4,-,-,-,-,-,25,-,-,6.0
505,"506Panagiotis RetsosLeverkusen, 23, D(CLR)",Panagiotis Retsos,23, D(CLR),,,0(4),28,-,-,-,-,0.3,83.3,0.3,-,6.0
506,"507Fisnik AsllaniHoffenheim, 19, Forward",Fisnik Asllani,19, Forward,,,0(2),7,-,-,-,-,-,75,-,-,5.99
507,"508Lee Dong-JunHertha Berlin, 25, Midfielder",Lee Dong-Jun,25, Midfielder,,,1(3),117,-,-,-,-,0.8,80,-,-,5.99
508,"509Sidney RaebigerRBL, 17, Midfielder",Sidney Raebiger,17, Midfielder,,,0(1),3,-,-,-,-,-,100,-,-,5.98
509,"510Tom BischofHoffenheim, 16, Midfielder",Tom Bischof,16, Midfielder,,,0(1),13,-,-,-,-,-,50,-,-,5.98
510,"511Gideon JungGreuther Fuerth, 27, D(C),DMC",Gideon Jung,27, D(C),DMC,,1(4),140,-,-,-,-,-,77.8,-,-,5.96
511,"512Marius FunkGreuther Fuerth, 26, GK",Marius Funk,26, GK,,,8,720,-,-,-,-,-,59.9,0.5,-,5.96
512,"513Joscha WoszRBL, 19, Midfielder",Joscha Wosz,19, Midfielder,,,0(1),8,-,-,-,-,-,75,-,-,5.95
513,"514Lennart CzyborraArminia Bielefeld, 23, D(L),M(L)",Lennart Czyborra,23, D(L),M(L),,1(3),130,-,-,1,-,-,45.2,-,-,5.89
514,"515Antonios PapadopoulosBorussia Dortmund, 22, Midfielder",Antonios Papadopoulos,22, Midfielder,,,0(2),15,-,-,1,-,-,81.8,-,-,5.88
515,"516Thomas DelaneyBorussia Dortmund, 30, DMC",Thomas Delaney,30, DMC,,,0(1),17,-,-,-,-,-,72.7,-,-,5.88
516,"517Josep MartínezRBL, 24, Goalkeeper",Josep Martínez,24, Goalkeeper,,,1,90,-,-,-,-,-,85,1,-,5.86
517,"518Roman BürkiBorussia Dortmund, 31, GK",Roman Bürki,31, GK,,,1,90,-,-,-,-,-,65,-,-,5.85
518,"519Robert TescheBochum, 35, M(C)",Robert Tesche,35, M(C),,,5(6),349,-,-,2,1,0.2,85.7,0.3,-,5.82
519,"520Jens GrahlEintracht Frankfurt, 33, GK",Jens Grahl Eintracht,33, GK,,,1,90,-,-,-,-,-,79.2,-,-,5.81
520,"521Hugo SiquetFreiburg, 19, D(R),M(R)",Hugo Siquet,19, D(R),M(R),,0(1),21,-,-,-,-,-,75,-,-,5.74
521,"522Nick ProschwitzHoffenheim, 35, FW",Nick Proschwitz,35, FW,,,0(1),26,-,-,-,-,1,75,-,-,5.73
522,"523Benjamin UphoffFreiburg, 28, GK",Benjamin Uphoff,28, GK,,,2,180,-,-,-,-,-,59.2,0.5,-,5.1
