,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
58,"59Wataru EndoStuttgart, 29, DMC",Wataru Endo,29, DMC,,,33,2902,4,2,4,-,1.4,80.7,2.3,-,6.93
59,"60Patrick WimmerArminia Bielefeld, 21, AM(R)",Patrick Wimmer,21, AM(R),,,27(4),2067,3,6,7,-,1.8,58.6,1.4,4,6.92
60,"61Alassane PleaBorussia M.Gladbach, 29, AM(CLR),FW",Alassane Plea,29, AM(CLR),FW,,23(9),1983,9,6,4,-,1.9,75.4,0.5,5,6.91
61,"62Breel EmboloBorussia M.Gladbach, 25, AM(CR),FW",Breel Embolo,25, AM(CR),FW,,23(5),2076,8,3,3,-,1.6,74.2,1.3,1,6.91
62,"63Donyell MalenBorussia Dortmund, 23, AM(L),FW",Donyell Malen,23, AM(L),FW,,20(7),1696,5,3,2,-,1.7,75.5,0.3,2,6.9
63,"64Andrej KramaricHoffenheim, 30, AM(CLR),FW",Andrej Kramaric,30, AM(CLR),FW,,30(2),2710,6,9,2,-,2.9,81.2,0.4,3,6.89
64,"65Thomas MeunierBorussia Dortmund, 30, D(R),M(R)",Thomas Meunier,30, D(R),M(R),,17,1406,2,4,4,-,1.1,78,1.4,-,6.88
65,"66Mohamed SimakanRBL, 22, D(CR)",Mohamed Simakan,22, D(CR),,,23(5),2013,1,-,5,-,0.4,86.6,2.3,2,6.88
66,"67Jeremie FrimpongLeverkusen, 21, D(R),M(R)",Jeremie Frimpong,21, D(R),M(R),,25,2062,1,6,6,-,0.4,81.5,0.8,1,6.88
67,"68Maximilian MittelstädtHertha Berlin, 25, D(L),M(CL)",Maximilian Mittelstädt,25, D(L),M(CL),,16(8),1494,-,5,3,-,0.4,70.6,1,3,6.88
68,"69Mats HummelsBorussia Dortmund, 33, D(C)",Mats Hummels,33, D(C),,,20(3),1768,1,2,4,-,0.5,87.3,2.8,-,6.88
69,"70Florian KainzFC Koln, 29, AM(CLR)",Florian Kainz,29, AM(CLR),,,31(1),2347,4,4,2,1,1.2,70.1,0.3,4,6.88
70,"71Florian GrillitschHoffenheim, 26, D(C),M(CL)",Florian Grillitsch,26, D(C),M(CL),,16(2),1495,-,-,7,-,0.4,89.4,1.3,2,6.87
71,"72Benjamin PavardBayern, 26, D(CLR),M(R)",Benjamin Pavard,26, D(CLR),M(R),,24(1),2080,-,1,2,1,0.7,88.1,1.8,1,6.87
72,"73Philipp LienhartFreiburg, 25, D(C)",Philipp Lienhart,25, D(C),,,32,2871,5,-,2,-,0.6,85.3,2.2,1,6.87
73,"74Emre CanBorussia Dortmund, 28, D(CLR),DMC",Emre Can,28, D(CLR),DMC,,19(5),1691,5,1,5,-,0.5,85.5,1.3,1,6.86
74,"75Reece OxfordAugsburg, 23, D(C),DMC",Reece Oxford,23, D(C),DMC,,30,2694,2,1,9,-,0.5,79.7,2.9,3,6.86
75,"76Ramy BensebaïniBorussia M.Gladbach, 27, D(CL),DMC,M(L)",Ramy Bensebaïni,27, D(CL),DMC,M(L),21(1),1930,4,1,6,-,1.4,81.6,2.5,-,6.86
76,"77Mahmoud DahoudBorussia Dortmund, 26, M(C)",Mahmoud Dahoud,26, M(C),,,20(2),1665,2,3,5,1,1,79.8,0.5,1,6.85
77,"78Karim OnisiwoMainz, 30, AM(LR),FW",Karim Onisiwo,30, AM(LR),FW,,28(3),2376,5,8,-,-,2.1,62.4,1.9,2,6.84
78,"79Edmond TapsobaLeverkusen, 23, D(C)",Edmond Tapsoba,23, D(C),,,19(3),1813,1,-,1,-,0.3,88.4,1.9,-,6.84
79,"80Taiwo AwoniyiUnion Berlin, 24, FW",Taiwo Awoniyi,24, FW,,,29(2),2200,15,1,1,-,2.2,67.2,1.7,5,6.84
80,"81Aarón MartínMainz, 25, D(L),M(L)",Aarón Martín,25, D(L),M(L),,25(3),2296,1,1,7,-,0.6,75.1,0.4,1,6.84
81,"82Maxence LacroixWolfsburg, 22, D(C)",Maxence Lacroix,22, D(C),,,29,2497,-,-,3,3,0.6,81.4,2.6,1,6.83
82,"83Paul JaeckelUnion Berlin, 23, D(C),DMC",Paul Jaeckel,23, D(C),DMC,,22(2),2045,-,-,5,-,0.1,79.5,2,-,6.83
83,"84Chris FührichStuttgart, 24, M(CLR),FW",Chris Führich,24, M(CLR),FW,,21(4),1725,3,2,3,-,1.2,83.9,0.1,-,6.83
