,Player,Name,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
26,"27Dejan KulusevskiTottenham, 22, AM(CR),FW",Dejan Kulusevski,22, AM(CR),FW,,14(4),1267,5,8,3,-,1.4,86.4,0.2,1,7.19
27,"28Mason MountChelsea, 23, M(CLR)",Mason Mount,23, M(CLR),,,27(5),2365,11,10,4,-,2.4,85.4,0.2,7,7.19
28,"29Virgil van DijkLiverpool, 30, D(C)",Virgil van Dijk,30, D(C),,,34,3060,3,1,3,-,1,89.5,3.4,-,7.18
29,"30Jack GrealishMan City, 26, AM(CL),FW",Jack Grealish,26, AM(CL),FW,,22(4),1917,3,3,3,-,1.7,88.4,0.5,-,7.17
30,"31John McGinnAston Villa, 27, M(C)",John McGinn,27, M(C),,,35,3092,3,4,8,-,1.2,79.5,0.7,4,7.17
31,"32Zack SteffenMan City, 27, GK",Zack Steffen,27, GK,,,1,90,-,-,-,-,-,84.8,-,-,7.16
32,"33Pierre-Emile HøjbjergTottenham, 26, M(C)",Pierre-Emile Højbjerg,26, M(C),,,36,3199,2,2,3,-,0.9,89.7,0.6,1,7.16
33,"34Jarrod BowenWest Ham, 25, AM(CLR),FW",Jarrod Bowen,25, AM(CLR),FW,,34(2),2993,12,10,6,-,2.2,76.2,1.1,4,7.15
34,"35Cristiano RonaldoMan Utd, 37, M(L),FW",Cristiano Ronaldo,37, M(L),FW,,27(3),2459,18,3,8,-,3.7,81.9,1.4,5,7.11
35,"36John StonesMan City, 28, D(CR)",John Stones,28, D(CR),,,12(2),1118,1,-,-,-,0.6,91.5,3.4,-,7.1
36,"37Allan Saint-MaximinNewcastle, 25, AM(CLR),FW",Allan Saint-Maximin,25, AM(CLR),FW,,31(4),2812,5,5,6,-,1.8,76.3,0.5,6,7.1
37,"38Declan RiceWest Ham, 23, D(C),DMC",Declan Rice,23, D(C),DMC,,35(1),3178,1,4,8,-,0.7,91.6,1.2,1,7.1
38,"39ThiagoLiverpool, 31, M(C)",Thiago,31, M(C),,,17(8),1538,1,4,2,-,1,89.1,1.3,-,7.1
39,"40Marcos AlonsoChelsea, 31, D(CL),M(L)",Marcos Alonso,31, D(CL),M(L),,25(3),2173,4,4,8,-,1.5,81.1,1.4,1,7.09
