,Player,Name,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
358,"359Jakub ModerBrighton, 23, M(CL)",Jakub Moder,23, M(CL),,,19(9),1702,-,3,2,-,1,74.6,0.9,-,6.45
359,"360Kiko FemeníaWatford, 31, D(LR),M(R)",Kiko Femenía,31, D(LR),M(R),,26(1),2150,-,5,2,-,0.1,73.7,0.4,-,6.45
360,"361Pedro NetoWolves, 22, AM(CLR),FW",Pedro Neto,22, AM(CLR),FW,,5(8),466,1,1,3,-,1.3,84.9,0.2,-,6.45
361,"362Jannik VestergaardLeicester, 29, D(C)",Jannik Vestergaard,29, D(C),,,6(4),564,-,-,2,-,0.1,88.9,1.3,-,6.44
362,"363Kenny McLeanNorwich, 30, M(C)",Kenny McLean,30, M(C),,,29(2),2707,1,-,3,-,1.1,74.5,2.2,-,6.44
363,"364Miguel AlmirónNewcastle, 28, AM(CLR),FW",Miguel Almirón,28, AM(CLR),FW,,19(11),1721,1,-,2,-,1.1,81.6,0.2,-,6.44
364,"365Leander DendonckerWolves, 27, D(C),M(C)",Leander Dendoncker,27, D(C),M(C),,21(9),1948,2,2,4,-,0.8,86.9,1,-,6.44
365,"366Danny RoseWatford, 31, D(L),M(L)",Danny Rose,31, D(L),M(L),,7(1),689,-,-,4,-,0.5,68.3,0.5,-,6.44
366,"367Jay RodriguezBurnley, 32, AM(CLR),FW",Jay Rodriguez,32, AM(CLR),FW,,13(16),1375,2,2,3,-,1.4,59.9,1.9,-,6.44
367,"368Daniel JamesLeeds, 24, AM(LR),FW",Daniel James,24, AM(LR),FW,,29(3),2368,4,4,7,1,1.6,71.7,0.4,-,6.44
368,"369Luka MilivojevicCrystal Palace, 31, DMC",Luka Milivojevic,31, DMC,,,9(6),776,-,-,1,-,0.5,85.6,0.9,-,6.44
369,"370Jóhann GudmundssonBurnley, 31, AM(CLR)",Jóhann Gudmundsson,31, AM(CLR),,,13(5),1105,-,1,2,-,1.1,67.6,0.8,-,6.44
370,"371Nicolas PépéArsenal, 27, AM(LR),FW",Nicolas Pépé,27, AM(LR),FW,,5(15),682,1,2,-,-,1.2,83.7,0.9,1,6.44
371,"372Isaac HaydenNewcastle, 27, D(C),DMC",Isaac Hayden,27, D(C),DMC,,12(2),1003,1,-,5,-,0.4,78.6,1.4,-,6.44
372,"373Wayne HennesseyBurnley, 35, GK",Wayne Hennessey,35, GK,,,2,180,-,-,-,-,-,47.9,1,-,6.44
373,"374Max AaronsNorwich, 22, D(R)",Max Aarons,22, D(R),,,32(2),2882,-,2,8,-,0.4,77.2,0.4,-,6.43
374,"375Ezri KonsaAston Villa, 24, D(CR)",Ezri Konsa,24, D(CR),,,29,2482,2,-,4,2,0.5,86.4,2,-,6.43
375,"376Ashley YoungAston Villa, 36, D(LR),M(LR)",Ashley Young,36, D(LR),M(LR),,10(14),1241,-,2,2,-,0.4,80,0.3,1,6.43
376,"377Cole PalmerMan City, 20, Midfielder",Cole Palmer,20, Midfielder,,,1(3),122,-,-,-,-,1,90.2,0.5,-,6.43
377,"378Harry WinksTottenham, 26, DMC",Harry Winks,26, DMC,,,9(10),908,-,1,2,-,0.2,88.2,0.2,-,6.43
378,"379Phil JonesMan Utd, 30, D(CR),DMC",Phil Jones,30, D(CR),DMC,,2(2),163,-,-,-,-,-,87.7,0.5,-,6.42
379,"380James TomkinsCrystal Palace, 33, D(CR)",James Tomkins,33, D(CR),,,6(2),546,1,-,2,-,0.5,86.5,1.3,-,6.42
380,"381Boubakary SoumaréLeicester, 23, DMC",Boubakary Soumaré,23, DMC,,,12(7),1102,-,1,-,-,0.3,82.5,1.4,-,6.42
381,"382Ashley WestwoodBurnley, 32, DMC",Ashley Westwood,32, DMC,,,26(1),2290,-,3,7,-,0.5,75.2,0.3,-,6.42
382,"383Steven AlzateBrighton, 23, DMC,M(L)",Steven Alzate,23, DMC,M(L),,5(4),407,-,-,-,-,0.1,87.5,0.4,-,6.42
383,"384Nuno TavaresArsenal, 22, D(L)",Nuno Tavares,22, D(L),,,13(9),1171,1,1,2,-,1,82.1,1.1,-,6.42
384,"385Tim KrulNorwich, 34, GK",Tim Krul,34, GK,,,29,2610,-,-,1,-,-,65.4,0.2,-,6.42
385,"386Mathias JensenBrentford, 26, M(C)",Mathias Jensen,26, M(C),,,19(12),1602,-,1,-,-,0.6,76.2,0.2,-,6.42
386,"387Milot RashicaNorwich, 25, AM(CLR),FW",Milot Rashica,25, AM(CLR),FW,,25(6),2240,1,2,-,-,1.4,70.8,0.4,-,6.42
387,"388Bernd LenoArsenal, 30, GK",Bernd Leno,30, GK,,,4,360,-,-,-,-,-,62.4,0.8,-,6.41
388,"389Romain PerraudSouthampton, 24, D(L),M(L)",Romain Perraud,24, D(L),M(L),,18(2),1625,-,1,3,-,1,70.6,0.8,-,6.41
389,"390John RuddyWolves, 35, GK",John Ruddy,35, GK,,,1(1),135,-,-,-,-,-,62.1,0.5,-,6.4
390,"391Edinson CavaniMan Utd, 35, AM(LR),FW",Edinson Cavani,35, AM(LR),FW,,7(8),765,2,1,-,-,1.2,76.1,0.5,-,6.4
391,"392Matt RitchieNewcastle, 32, D(L),M(CLR)",Matt Ritchie,32, D(L),M(CLR),,14(4),1335,-,2,5,-,0.6,78,0.8,-,6.4
392,"393Leon BaileyAston Villa, 24, M(LR),FW",Leon Bailey,24, M(LR),FW,,7(11),757,1,2,3,-,1.2,76.6,0.6,-,6.4
393,"394Sean LongstaffNewcastle, 24, DMC",Sean Longstaff,24, DMC,,,15(9),1461,1,1,1,-,0.6,81,0.5,1,6.39
394,"395Billy GilmourNorwich, 20, DMC",Billy Gilmour,20, DMC,,,21(3),1858,-,1,2,-,0.8,83.7,0.5,-,6.39
395,"396Jacob MurphyNewcastle, 27, D(R),M(LR)",Jacob Murphy,27, D(R),M(LR),,13(20),1455,1,2,4,-,0.8,64.5,0.4,-,6.38
396,"397Adam ArmstrongSouthampton, 25, AM(CLR),FW",Adam Armstrong,25, AM(CLR),FW,,17(6),1415,2,2,1,-,2,74.9,0.6,1,6.38
397,"398Ibrahima DialloSouthampton, 23, DMC",Ibrahima Diallo,23, DMC,,,10(13),1019,-,2,1,-,0.3,80.6,0.5,-,6.38
398,"399CJ Egan-RileyMan City, 19, Defender",CJ Egan-Riley,19, Defender,,,0(1),3,-,-,-,-,-,100,-,-,6.38
399,"400Tariqe Fosu-HenryBrentford, 26, M(CLR)",Tariqe Fosu-Henry,26, M(CLR),,,0(1),16,-,-,-,-,1,83.3,-,-,6.38
400,"401Jack CorkBurnley, 32, DMC",Jack Cork,32, DMC,,,20,1676,1,-,4,-,0.4,74.2,1.3,-,6.38
401,"402Takumi MinaminoLiverpool, 27, AM(CLR),FW",Takumi Minamino,27, AM(CLR),FW,,1(10),179,3,-,1,-,0.6,85.3,0.1,1,6.38
402,"403Mateusz KlichLeeds, 31, M(C)",Mateusz Klich,31, M(C),,,26(7),2095,1,2,5,-,1.3,79.9,0.2,-,6.37
403,"404Christian KabaseleWatford, 31, D(C)",Christian Kabasele,31, D(C),,,12(4),1191,-,-,-,-,0.4,78.5,2.9,-,6.37
404,"405Craig CathcartWatford, 33, D(CR)",Craig Cathcart,33, D(CR),,,27(4),2396,-,1,3,-,0.1,81.3,1.5,-,6.37
405,"406LyancoSouthampton, 25, D(C)",Lyanco,25, D(C),,,9(6),906,-,-,2,-,0.4,72.2,1.3,-,6.37
406,"407Federico FernándezNewcastle, 33, D(C)",Federico Fernández,33, D(C),,,5(2),522,-,-,-,-,0.9,87.4,1.4,-,6.37
407,"408Frank OnyekaBrentford, 24, DMC",Frank Onyeka,24, DMC,,,12(8),1051,-,-,4,-,0.8,80.2,0.8,-,6.37
408,"409Ozan KabakNorwich, 22, D(C)",Ozan Kabak,22, D(C),,,11,925,-,-,2,-,0.4,81.4,2,-,6.36
409,"410Pascal StruijkLeeds, 22, D(C),DMC",Pascal Struijk,22, D(C),DMC,,22(7),2053,1,-,6,1,0.4,85.2,1.4,-,6.36
410,"411Robin KochLeeds, 25, D(C),DMC",Robin Koch,25, D(C),DMC,,17(3),1575,-,-,3,-,0.7,77.4,2.3,-,6.35
411,"412Adam IdahNorwich, 21, FW",Adam Idah,21, FW,,,6(11),620,1,1,-,-,0.8,67.4,0.9,1,6.35
412,"413Ayoze PérezLeicester, 28, AM(CLR),FW",Ayoze Pérez,28, AM(CLR),FW,,6(8),444,2,3,-,1,0.8,80.7,0.4,-,6.35
413,"414Ben GibsonNorwich, 29, D(CL)",Ben Gibson,29, D(CL),,,28,2495,-,-,3,1,0.3,81.3,1.9,-,6.35
414,"415Marcus RashfordMan Utd, 24, AM(CLR),FW",Marcus Rashford,24, AM(CLR),FW,,13(12),1233,4,2,2,-,0.9,76.1,0.4,-,6.35
415,"416Ainsley Maitland-NilesArsenal, 24, D(LR),M(CLR)",Ainsley Maitland-Niles,24, D(LR),M(CLR),,2(6),265,-,-,-,-,0.3,77,0.4,-,6.35
416,"417Shane LongSouthampton, 35, AM(R),FW",Shane Long,35, AM(R),FW,,3(10),303,1,-,1,-,0.7,60.6,1.8,-,6.34
417,"418Morgan SansonAston Villa, 27, M(CLR)",Morgan Sanson,27, M(CLR),,,3(7),352,-,-,-,-,0.1,78.4,0.3,-,6.34
418,"419Jeff HendrickNewcastle, 30, M(CR)",Jeff Hendrick,30, M(CR),,,0(3),70,1,-,-,-,0.3,93.1,0.3,-,6.34
419,"420Jacob SørensenNorwich, 24, D(L),DMC",Jacob Sørensen,24, D(L),DMC,,6(4),601,-,-,-,-,0.5,81.5,1.1,-,6.34
420,"421Sam GreenwoodLeeds, 20, Forward",Sam Greenwood,20, Forward,,,1(6),232,-,2,-,-,0.6,74,0.3,-,6.34
421,"422Luke CundleWolves, 20, Midfielder",Luke Cundle,20, Midfielder,,,2(2),180,-,-,-,-,-,93.2,-,-,6.34
422,"423Adam ForshawLeeds, 30, M(C)",Adam Forshaw,30, M(C),,,17(5),1530,-,1,5,-,0.6,83.5,0.5,-,6.33
423,"424Jamal LewisNewcastle, 24, D(L),M(L)",Jamal Lewis,24, D(L),M(L),,4(1),263,-,-,1,-,-,78.5,0.2,-,6.33
424,"425Matej VydraBurnley, 30, AM(CL),FW",Matej Vydra,30, AM(CL),FW,,5(17),668,2,3,1,-,0.9,73.5,0.8,-,6.33
425,"426Anwar El GhaziAston Villa, 27, AM(LR),FW",Anwar El Ghazi,27, AM(LR),FW,,4(5),383,1,1,2,-,0.9,76.7,1.1,-,6.33
426,"427Tyler RobertsLeeds, 23, AM(C),FW",Tyler Roberts,23, AM(C),FW,,7(16),979,1,1,5,-,1.3,73.9,0.4,1,6.32
427,"428Shandon BaptisteBrentford, 24, M(C)",Shandon Baptiste,24, M(C),,,9(13),905,1,-,-,1,0.5,85.2,0.3,-,6.32
428,"429Joshua SargentNorwich, 22, AM(CR),FW",Joshua Sargent,22, AM(CR),FW,,18(8),1579,2,1,1,-,0.9,72.8,1.5,1,6.32
429,"430Nampalys MendyLeicester, 29, M(C)",Nampalys Mendy,29, M(C),,,12(2),1035,-,-,3,-,0.1,91.9,0.4,-,6.32
430,"431Juan MataMan Utd, 34, AM(CLR)",Juan Mata,34, AM(CLR),,,2(5),232,-,-,-,-,0.7,88.9,-,-,6.31
431,"432Peter EteboWatford, 26, M(CL),FW",Peter Etebo,26, M(CL),FW,,4(5),398,-,-,3,-,0.3,90.9,0.3,-,6.31
432,"433Anthony MartialMan Utd, 26, AM(LR),FW",Anthony Martial,26, AM(LR),FW,,2(6),210,1,-,-,-,0.6,81.7,0.5,-,6.31
433,"434Tom CleverleyWatford, 32, M(CLR)",Tom Cleverley,32, M(CLR),,,20(8),1626,-,2,2,-,0.4,76.5,0.5,-,6.31
434,"435Ki-Jana HoeverWolves, 20, M(R)",Ki-Jana Hoever,20, M(R),,,4(4),307,-,-,1,-,0.1,69.5,0.4,-,6.31
435,"436Donny van de BeekMan Utd, 25, M(C)",Donny van de Beek,25, M(C),,,0(8),69,1,-,-,-,0.3,78.8,0.1,-,6.3
436,"437Giovani Lo CelsoTottenham, 26, M(CR),FW",Giovani Lo Celso,26, M(CR),FW,,2(7),233,-,-,-,-,1,83.3,-,-,6.3
437,"438Ken SemaWatford, 28, M(CLR)",Ken Sema,28, M(CLR),,,7(11),846,-,-,1,-,0.2,64.9,0.7,-,6.29
438,"439Bertrand TraoréAston Villa, 26, AM(R),FW",Bertrand Traoré,26, AM(R),FW,,1(8),213,-,-,-,-,0.9,76.9,0.4,-,6.28
439,"440Joe GelhardtLeeds, 20, FW",Joe Gelhardt,20, FW,,,5(15),738,2,2,4,-,1.2,65,0.6,-,6.28
440,"441Aaron LennonBurnley, 35, M(LR)",Aaron Lennon,35, M(LR),,,17(11),1548,2,-,2,-,0.4,73.5,0.3,-,6.28
441,"442Eric BaillyMan Utd, 28, D(CR)",Eric Bailly,28, D(CR),,,3(1),218,-,-,1,-,-,80,1.5,-,6.28
442,"443Jonjoe KennyEverton, 25, D(LR),M(R)",Jonjoe Kenny,25, D(LR),M(R),,11(4),1017,-,1,1,1,0.3,73.7,0.6,-,6.27
443,"444Ben FosterWatford, 39, GK",Ben Foster,39, GK,,,26,2340,-,1,-,-,-,44,0.2,1,6.27
444,"445Mads Bech SørensenBrentford, 23, D(CL)",Mads Bech Sørensen,23, D(CL),,,9(2),834,-,-,3,-,0.2,81.4,0.8,-,6.27
445,"446Mads RoerslevBrentford, 22, D(R),M(R)",Mads Roerslev,22, D(R),M(R),,12(9),1235,1,1,1,-,0.2,67,0.6,-,6.27
446,"447William Troost-EkongWatford, 28, D(C)",William Troost-Ekong,28, D(C),,,15(2),1388,-,-,3,-,0.1,77.2,1.4,-,6.27
447,"448Dele AlliEverton, 26, M(CL),FW",Dele Alli,26, M(CL),FW,,1(10),332,-,-,3,-,0.3,73,0.8,-,6.26
448,"449Samuel KaluWatford, 24, M(LR)",Samuel Kalu,24, M(LR),,,2(2),222,-,-,-,-,1,88.5,-,-,6.25
449,"450Nathan TellaSouthampton, 22, AM(LR),FW",Nathan Tella,22, AM(LR),FW,,10(4),811,-,1,2,-,0.9,62.1,0.4,-,6.25
450,"451Steven BergwijnTottenham, 24, AM(CLR),FW",Steven Bergwijn,24, AM(CLR),FW,,4(21),551,3,1,1,-,0.8,84.2,0.2,-,6.25
451,"452Willy CaballeroSouthampton, 40, GK",Willy Caballero,40, GK,,,2,180,-,-,1,-,-,61.7,-,-,6.25
452,"453Ciaran ClarkNewcastle, 32, D(CL)",Ciaran Clark,32, D(CL),,,12(1),1015,-,1,2,1,0.5,79.1,2,-,6.24
453,"454Jesse LingardMan Utd, 29, AM(CLR),FW",Jesse Lingard,29, AM(CLR),FW,,2(14),356,2,-,1,-,0.5,88.3,-,-,6.24
454,"455Lukas RuppNorwich, 31, M(CR)",Lukas Rupp,31, M(CR),,,7(12),764,-,-,-,-,0.6,83.3,0.3,-,6.23
455,"456Todd CantwellNorwich, 24, AM(CLR)",Todd Cantwell,24, AM(CLR),,,5(3),441,-,-,2,-,0.6,84.1,0.4,-,6.23
456,"457Crysencio SummervilleLeeds, 20, AM(R)",Crysencio Summerville,20, AM(R),,,0(6),126,-,-,-,-,0.3,75.8,-,-,6.23
457,"458Mark NobleWest Ham, 35, M(C)",Mark Noble,35, M(C),,,3(8),327,1,-,-,-,0.2,87.9,0.1,-,6.23
458,"459Kevin LongBurnley, 31, D(C)",Kevin Long,31, D(C),,,4(2),408,-,-,1,-,0.7,77.5,2.2,-,6.22
459,"460Kieran DowellNorwich, 24, AM(CLR)",Kieran Dowell,24, AM(CLR),,,11(8),913,1,1,-,-,0.4,73,0.4,-,6.22
460,"461Nikola VlasicWest Ham, 24, AM(CLR),FW",Nikola Vlasic,24, AM(CLR),FW,,6(13),555,1,-,-,-,0.4,80.8,0.3,-,6.22
461,"462Karl DarlowNewcastle, 31, GK",Karl Darlow,31, GK,,,8,720,-,-,1,-,-,57.5,0.3,-,6.22
462,"463Tom DaviesEverton, 23, M(C)",Tom Davies,23, M(C),,,2(4),233,1,-,1,-,1,74.1,0.5,-,6.22
463,"464Ellis SimmsEverton, 21, FW",Ellis Simms,21, FW,,,1,62,-,-,-,-,-,58.3,2,-,6.21
464,"465Carney ChukwuemekaAston Villa, 18, Midfielder",Carney Chukwuemeka,18, Midfielder,,,2(10),295,-,1,-,-,0.3,81.7,0.6,-,6.2
465,"466Dane ScarlettTottenham, 18, Forward",Dane Scarlett,18, Forward,,,0(1),3,-,-,-,-,-,100,-,-,6.2
466,"467Przemyslaw PlachetaNorwich, 24, AM(LR)",Przemyslaw Placheta,24, AM(LR),,,6(6),506,-,-,1,-,0.7,74.2,0.1,-,6.2
467,"468William SmallboneSouthampton, 22, M(R)",William Smallbone,22, M(R),,,2(2),134,-,-,-,-,0.3,57.6,0.3,-,6.19
468,"469Ashley BarnesBurnley, 32, AM(CL),FW",Ashley Barnes,32, AM(CL),FW,,8(15),803,1,-,4,-,0.7,63.7,2.2,-,6.19
469,"470Troy DeeneyWatford, 33, FW",Troy Deeney,33, FW,,,0(2),23,-,-,-,-,1,42.9,3,-,6.19
470,"471Charlie CresswellLeeds, 19, Defender",Charlie Cresswell,19, Defender,,,1(4),131,-,-,1,-,0.2,72.1,1.2,-,6.19
471,"472Salomón RondónEverton, 32, FW",Salomón Rondón,32, FW,,,8(12),783,1,1,3,1,1.1,62.4,1.9,-,6.19
472,"473Moussa DjenepoSouthampton, 23, AM(LR)",Moussa Djenepo,23, AM(LR),,,5(7),455,-,-,3,-,0.9,75.7,0.2,-,6.18
473,"474Axel TuanzebeAston Villa, 24, D(CR)",Axel Tuanzebe,24, D(CR),,,6(3),506,-,-,1,-,0.2,86.3,1.4,-,6.18
474,"475André GomesEverton, 28, M(CLR)",André Gomes,28, M(CLR),,,7(7),619,-,1,3,-,1,77.2,0.6,-,6.17
475,"476Harrison AshbyWest Ham, 20, Defender",Harrison Ashby,20, Defender,,,0(1),6,-,-,-,-,-,100,-,-,6.17
476,"477Jonathan RoweNorwich, 19, Forward",Jonathan Rowe,19, Forward,,,0(13),211,-,1,-,-,0.2,71.2,0.1,-,6.17
477,"478Dale StephensBurnley, 32, M(C)",Dale Stephens,32, M(C),,,1(2),123,-,-,1,-,0.3,80.7,-,-,6.17
478,"479Ryan FredericksWest Ham, 29, D(R),M(R)",Ryan Fredericks,29, D(R),M(R),,3(4),304,-,-,1,-,-,78.2,0.4,-,6.15
479,"480Jarrad BranthwaiteEverton, 19, D(C)",Jarrad Branthwaite,19, D(C),,,4(2),388,1,-,-,1,0.5,75.7,1.8,-,6.15
480,"481Marcus ForssBrentford, 22, FW",Marcus Forss,22, FW,,,1(6),203,-,1,-,-,0.7,61.1,0.3,-,6.15
481,"482Andrii YarmolenkoWest Ham, 32, AM(CR),FW",Andrii Yarmolenko,32, AM(CR),FW,,1(18),304,1,-,1,-,0.6,77.2,0.3,-,6.15
482,"483Bryan GilTottenham, 21, AM(CLR)",Bryan Gil,21, AM(CLR),,,0(9),86,-,-,-,-,0.1,83.9,-,-,6.15
483,"484Jesurun Rak-SakyiCrystal Palace, 19, Midfielder",Jesurun Rak-Sakyi,19, Midfielder,,,1(1),81,-,-,-,-,-,87.5,-,-,6.15
484,"485Robin OlsenAston Villa, 32, GK",Robin Olsen,32, GK,,,1,90,-,-,-,-,-,46.2,-,-,6.14
485,"486Josh DasilvaBrentford, 23, M(C)",Josh Dasilva,23, M(C),,,2(7),252,-,-,-,1,0.1,82.8,0.3,-,6.14
486,"487Taylor RichardsBrighton, 21, AM(C)",Taylor Richards,21, AM(C),,,0(2),23,-,-,-,-,0.5,77.8,0.5,-,6.14
487,"488Chem CampbellWolves, 19, Forward",Chem Campbell,19, Forward,,,0(1),12,-,-,-,-,-,88.9,-,-,6.13
488,"489James McAteeMan City, 19, Midfielder",James McAtee,19, Midfielder,,,0(2),19,-,-,-,-,0.5,69.2,0.5,-,6.13
489,"490Calum ChambersArsenal, 27, D(CR),DMC",Calum Chambers,27, D(CR),DMC,,2,171,-,-,-,-,1,81.7,1,-,6.13
490,"491Tyler MortonLiverpool, 19, M(C)",Tyler Morton,19, M(C),,,1(1),66,-,-,1,-,-,85.7,1,-,6.13
491,"492Jairo RiedewaldCrystal Palace, 25, D(CL),DMC",Jairo Riedewald,25, D(CL),DMC,,1(2),117,-,-,-,-,-,84.9,-,-,6.12
492,"493Lewis BruntLeicester, 21, Midfielder",Lewis Brunt,21, Midfielder,,,0(1),23,-,-,-,-,-,100,-,-,6.12
493,"494Ryan BertrandLeicester, 32, D(CL),M(L)",Ryan Bertrand,32, D(CL),M(L),,4,338,-,-,1,-,-,81.4,0.3,-,6.1
494,"495Aaron ConnollyBrighton, 22, FW",Aaron Connolly,22, FW,,,1(3),155,-,-,-,-,0.5,73.7,0.5,-,6.1
495,"496Joe RodonTottenham, 24, D(C)",Joe Rodon,24, D(C),,,0(3),87,-,-,-,-,-,82.9,0.7,-,6.09
496,"497Christoph ZimmermannNorwich, 29, D(C)",Christoph Zimmermann,29, D(C),,,2(1),158,-,-,-,-,0.7,73,0.7,-,6.09
497,"498KaykyMan City, 18, Forward",Kayky,18, Forward,,,0(1),6,-,-,-,-,-,100,-,-,6.09
498,"499Theo WalcottSouthampton, 33, M(CLR),FW",Theo Walcott,33, M(CLR),FW,,5(4),381,-,-,-,-,0.7,71.6,0.4,-,6.09
499,"500Fábio SilvaWolves, 19, FW",Fábio Silva,19, FW,,,6(16),565,-,-,-,-,0.9,68.4,0.4,-,6.09
500,"501Kaide GordonLiverpool, 17, Forward",Kaide Gordon,17, Forward,,,0(1),8,-,-,-,-,1,100,-,-,6.08
501,"502Sonny PerkinsWest Ham, 18, Midfielder",Sonny Perkins,18, Midfielder,,,0(1),3,-,-,-,-,-,-,1,-,6.08
502,"503Jean-Philippe GbaminEverton, 26, D(CR),DMC",Jean-Philippe Gbamin,26, D(CR),DMC,,1(2),67,-,-,-,-,-,72.7,0.3,-,6.07
503,"504Christos TzolisNorwich, 20, AM(L)",Christos Tzolis,20, AM(L),,,3(11),330,-,-,-,-,0.4,75,0.2,-,6.06
504,"505Mads BidstrupBrentford, 21, Midfielder",Mads Bidstrup,21, Midfielder,,,0(4),38,-,-,-,-,-,76.9,-,-,6.06
505,"506Ozan TufanWatford, 27, D(R),M(CR)",Ozan Tufan,27, D(R),M(CR),,4(3),338,-,-,-,-,0.4,73.9,0.4,-,6.06
506,"507Ashley FletcherWatford, 26, AM(CL),FW",Ashley Fletcher,26, AM(CL),FW,,0(3),28,-,-,-,-,0.7,50,0.3,-,6.05
507,"508Bali MumbaNorwich, 20, M(R)",Bali Mumba,20, M(R),,,0(1),45,-,-,-,-,-,77.8,-,-,6.05
508,"509Shola ShoretireMan Utd, 18, Forward",Shola Shoretire,18, Forward,,,0(1),16,-,-,-,-,-,100,-,-,6.05
509,"510Anwar El GhaziEverton, 27, AM(LR),FW",Anwar El Ghazi,27, AM(LR),FW,,0(2),11,-,-,-,-,-,77.8,-,-,6.05
510,"511Jürgen LocadiaBrighton, 28, AM(LR),FW",Jürgen Locadia,28, AM(LR),FW,,0(1),22,-,-,-,-,1,100,-,-,6.04
511,"512Reiss NelsonArsenal, 22, M(LR)",Reiss Nelson,22, M(LR),,,0(1),19,-,-,-,-,1,66.7,-,-,6.04
512,"513Cody DramehLeeds, 20, D(R)",Cody Drameh,20, D(R),,,1(2),126,-,-,1,-,-,74.5,0.3,-,6.03
513,"514EmersonChelsea, 27, D(L),M(L)",Emerson,27, D(L),M(L),,0(1),4,-,-,-,-,-,50,-,-,6.03
514,"515TrézéguetAston Villa, 27, AM(LR)",Trézéguet,27, AM(LR),,,0(1),10,-,-,-,-,1,100,-,-,6.03
515,"516Dwight GayleNewcastle, 32, AM(LR),FW",Dwight Gayle,32, AM(LR),FW,,0(8),34,-,-,1,-,0.3,81.3,0.1,-,6.02
516,"517Tyler OnyangoEverton, 19, Midfielder",Tyler Onyango,19, Midfielder,,,0(3),27,-,-,-,-,0.3,50,0.3,-,6.02
517,"518Cameron ArcherAston Villa, 20, FW",Cameron Archer,20, FW,,,0(3),24,-,-,-,-,0.3,100,0.3,-,6.02
518,"519Kasey McAteerLeicester, 20, Midfielder",Kasey McAteer,20, Midfielder,,,0(1),2,-,-,-,-,-,100,-,-,6.01
519,"520Dominic ThompsonBrentford, 21, D(L),M(L)",Dominic Thompson,21, D(L),M(L),,2,148,-,-,-,-,0.5,54.1,0.5,-,6.01
520,"521Jeremy SarmientoBrighton, 19, Forward",Jeremy Sarmiento,19, Forward,,,1(4),45,-,-,-,-,-,72.2,0.2,-,6.0
521,"522Alex KrálWest Ham, 24, DMC",Alex Král,24, DMC,,,0(1),1,-,-,-,-,-,-,1,-,6.0
522,"523Daniel ChestersWest Ham, 20, Midfielder",Daniel Chesters,20, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6.0
523,"524Hélder CostaLeeds, 28, AM(CLR)",Hélder Costa,28, AM(CLR),,,0(1),20,-,-,-,-,1,100,-,-,6.0
524,"525Moise KeanEverton, 22, AM(L),FW",Moise Kean,22, AM(L),FW,,0(1),1,-,-,-,-,-,100,-,-,6.0
525,"526Nohan KennehLeeds, 19, Midfielder",Nohan Kenneh,19, Midfielder,,,1,1,-,-,1,-,-,-,-,-,6.0
526,"527Wesley MoraesAston Villa, 25, FW",Wesley Moraes,25, FW,,,0(1),1,-,-,-,-,-,100,1,-,6.0
527,"528Stuart McKinstryLeeds, 19, Midfielder",Stuart McKinstry,19, Midfielder,,,0(1),3,-,-,-,-,-,66.7,-,-,5.99
528,"529Lewis DobbinEverton, 19, Forward",Lewis Dobbin,19, Forward,,,0(3),30,-,-,1,-,-,62.5,-,-,5.99
529,"530Alejandro GarnachoMan Utd, 17, Midfielder",Alejandro Garnacho,17, Midfielder,,,0(2),12,-,-,-,-,-,100,-,-,5.98
530,"531Nathan FergusonCrystal Palace, 21, D(LR)",Nathan Ferguson,21, D(LR),,,0(1),8,-,-,-,-,-,33.3,-,-,5.98
531,"532Nathan Young-CoombesBrentford, 19, Forward",Nathan Young-Coombes,19, Forward,,,0(1),3,-,-,-,-,-,-,-,-,5.98
532,"533Tony SpringettNorwich, 19, Midfielder",Tony Springett,19, Midfielder,,,1(2),141,-,-,1,-,0.3,66.7,0.3,-,5.97
533,"534Hannibal MejbriMan Utd, 19, Midfielder",Hannibal Mejbri,19, Midfielder,,,1(1),68,-,-,2,-,0.5,81,-,-,5.97
534,"535Cenk TosunEverton, 30, FW",Cenk Tosun,30, FW,,,0(1),6,-,-,-,-,-,100,-,-,5.96
535,"536Jaden Philogene-BidaceAston Villa, 20, AM(L)",Jaden Philogene-Bidace,20, AM(L),,,0(1),4,-,-,-,-,-,-,-,-,5.95
536,"537Folarin BalogunArsenal, 20, FW",Folarin Balogun,20, FW,,,1(1),70,-,-,-,-,1.5,44.4,0.5,-,5.95
537,"538Morgan Gibbs-WhiteWolves, 22, AM(CR),FW",Morgan Gibbs-White,22, AM(CR),FW,,0(2),7,-,-,1,-,1,77.8,-,-,5.94
538,"539Evan FergusonBrighton, 17, Forward",Evan Ferguson,17, Forward,,,0(1),22,-,-,-,-,-,80,-,-,5.93
539,"540Keinan DavisAston Villa, 24, FW",Keinan Davis,24, FW,,,0(1),11,-,-,-,-,-,100,-,-,5.92
540,"541Liam McCarronLeeds, 21, Midfielder",Liam McCarron,21, Midfielder,,,0(1),9,-,-,-,-,-,100,-,-,5.91
541,"542Lewis BateLeeds, 19, Midfielder",Lewis Bate,19, Midfielder,,,1(2),147,-,-,-,-,0.3,73.8,-,-,5.82
542,"543Freddie WoodmanNewcastle, 25, GK",Freddie Woodman,25, GK,,,4,360,-,-,-,-,-,58.9,-,-,5.81
