,Unnamed: 0,Player,Name,Age,position1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
53,53,"54Ruslan MalinovskyiAtalanta, 29, M(CR),FW",Ruslan Malinovskyi,29, M(CR),FW,,19(11),1603,6,4,10,-,1.9,77,0.6,3,6.91
54,54,"55Luca LezzeriniVenezia, 27, GK",Luca Lezzerini,27, GK,,,6,496,-,-,2,-,-,72.5,-,1,6.9
55,55,"56Simone VerdiSalernitana, 29, AM(CLR),FW",Simone Verdi,29, AM(CLR),FW,,11(4),838,5,-,3,-,2.4,77.5,0.3,1,6.9
56,56,"57Alessandro BastoniInter, 23, D(C)",Alessandro Bastoni,23, D(C),,,29(2),2323,1,3,4,1,0.3,89.6,1.4,1,6.9
57,57,"58PedroLazio, 34, M(CLR),FW",Pedro,34, M(CLR),FW,,25(7),2043,9,5,5,-,1.1,86.7,0.1,2,6.89
58,58,"59Hamed TraorèSassuolo, 22, AM(CLR)",Hamed Traorè,22, AM(CLR),,,21(10),1780,7,2,3,-,1.6,82.1,0.1,2,6.89
59,59,"60Giovanni SimeoneVerona, 26, AM(R),FW",Giovanni Simeone,26, AM(R),FW,,32(3),2669,17,5,8,-,2,70.4,1.7,5,6.89
60,60,"61Davide CalabriaAC Milan, 25, D(LR),M(R)",Davide Calabria,25, D(LR),M(R),,24(2),2124,2,3,2,-,1.4,76.3,0.4,-,6.89
61,61,"62Matthijs de LigtJuventus, 22, D(C)",Matthijs de Ligt,22, D(C),,,29(2),2675,3,1,2,1,0.6,88.9,2.9,2,6.87
62,62,"63Alex MeretNapoli, 25, GK",Alex Meret,25, GK,,,7,620,-,-,-,-,-,86.8,0.6,1,6.87
63,63,"64Guglielmo VicarioEmpoli, 25, GK",Guglielmo Vicario,25, GK,,,38,3420,-,-,1,-,-,74.9,0.4,5,6.87
64,64,"65Lukasz SkorupskiBologna, 31, GK",Lukasz Skorupski,31, GK,,,36,3240,-,-,4,-,-,72,0.5,5,6.86
65,65,"66Pierre KaluluAC Milan, 22, D(CR)",Pierre Kalulu,22, D(CR),,,21(7),1939,1,2,4,-,0.2,89.8,0.8,3,6.86
66,66,"67Etrit BerishaTorino, 33, GK",Etrit Berisha,33, GK,,,10,900,-,-,1,-,-,49.5,-,-,6.86
67,67,"68Junior MessiasAC Milan, 31, AM(CR),FW",Junior Messias,31, AM(CR),FW,,14(12),1430,5,2,2,-,1.7,72.8,1.1,2,6.86
68,68,"69Mario PasalicAtalanta, 27, M(CL)",Mario Pasalic,27, M(CL),,,24(13),2010,13,6,3,-,1.3,81.1,1.4,3,6.86
69,69,"70Dries MertensNapoli, 35, AM(CLR),FW",Dries Mertens,35, AM(CLR),FW,,16(14),1389,11,1,2,-,1.5,76.2,0.1,2,6.86
70,70,"71Marko ArnautovicBologna, 33, AM(CLR),FW",Marko Arnautovic,33, AM(CLR),FW,,32(1),2706,14,1,6,-,2.8,73.7,0.8,4,6.85
71,71,"72Hirving LozanoNapoli, 26, AM(LR),FW",Hirving Lozano,26, AM(LR),FW,,20(10),1622,5,5,3,-,1.7,82.1,0.3,2,6.85
72,72,"73Sasa LukicTorino, 25, M(C)",Sasa Lukic,25, M(C),,,34(1),2987,5,4,10,-,0.9,87.8,1.2,2,6.85
73,73,"74Dusan VlahovicJuventus, 22, FW",Dusan Vlahovic,22, FW,,,12(3),1078,7,1,2,-,2.9,68.3,1.3,2,6.85
74,74,"75BetoUdinese, 24, FW",Beto,24, FW,,,24(4),2175,11,-,1,-,2.3,68.7,2.6,1,6.84
75,75,"76Adrien TamezeVerona, 28, M(C)",Adrien Tameze,28, M(C),,,26(12),2580,4,2,4,-,0.6,81.1,1.6,1,6.84
76,76,"77Jerdy SchoutenBologna, 25, DMC",Jerdy Schouten,25, DMC,,,16(1),1394,1,1,2,1,0.4,84.7,1.6,1,6.84
77,77,"78Josip IlicicAtalanta, 34, AM(CLR),FW",Josip Ilicic,34, AM(CLR),FW,,8(12),837,3,4,1,-,1.6,76.3,0.1,-,6.84
78,78,"79Álvaro MorataJuventus, 29, AM(L),FW",Álvaro Morata,29, AM(L),FW,,26(9),2312,9,7,5,-,1.7,75.7,1.1,3,6.83
79,79,"80Nicolás DomínguezBologna, 23, DMC",Nicolás Domínguez,23, DMC,,,23(5),2027,-,3,8,-,0.8,83.4,1.3,2,6.83
80,80,"81Amir RrahmaniNapoli, 28, D(CL)",Amir Rrahmani,28, D(CL),,,33,2928,4,-,5,-,0.7,91.1,2.4,2,6.83
