,Player,Name,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
118,"119Castello LukebaLyon, 19, D(C)",Castello Lukeba,19, D(C),,,24,2097,2,-,1,-,0.3,90,1.7,1,6.77
119,"120Fali CandéMetz, 24, D(L),M(L)",Fali Candé,24, D(L),M(L),,11,975,-,2,2,-,0.5,74.8,1.6,1,6.77
120,"121Benoît BadiashileMonaco, 21, D(C)",Benoît Badiashile,21, D(C),,,21(3),1837,1,-,4,-,0.6,87.9,2.4,1,6.77
121,"122Maxime Le MarchandStrasbourg, 32, D(CL)",Maxime Le Marchand,32, D(CL),,,9(3),857,1,1,4,-,0.3,88.5,1.3,1,6.77
122,"123Giulian BianconeTroyes, 22, D(CLR),M(LR)",Giulian Biancone,22, D(CLR),M(LR),,26(7),2292,1,2,10,-,0.8,76.5,1.5,1,6.77
123,"124Gelson MartinsMonaco, 27, M(LR)",Gelson Martins,27, M(LR),,,24(8),1921,4,3,4,-,0.9,80.4,0.7,2,6.77
124,"125Nabil BentalebAngers, 27, M(C)",Nabil Bentaleb,27, M(C),,,18,1523,1,-,4,-,0.8,83,1,1,6.76
125,"126Presnel KimpembePSG, 26, D(C)",Presnel Kimpembe,26, D(C),,,29(1),2580,1,-,6,-,0.2,95.5,1.6,-,6.76
126,"127Quentin MerlinNantes, 20, D(L),M(L)",Quentin Merlin,20, D(L),M(L),,21(7),1923,2,3,-,-,0.4,80.7,0.4,-,6.76
127,"128Wout FaesReims, 24, D(C)",Wout Faes,24, D(C),,,37,3330,4,-,2,-,0.6,85.6,1,3,6.76
128,"129Yunis AbdelhamidReims, 34, D(C)",Yunis Abdelhamid,34, D(C),,,34,2984,2,-,5,1,0.5,82,1.8,-,6.76
129,"130Dimitri LienardStrasbourg, 34, D(L),M(CL)",Dimitri Lienard,34, D(L),M(CL),,23(10),2047,2,3,8,-,0.7,75.7,0.6,1,6.76
130,"131RafinhaPSG, 29, M(CLR)",Rafinha,29, M(CLR),,,3(2),221,-,-,-,-,1,90.3,-,-,6.75
131,"132Przemyslaw FrankowskiLens, 27, M(CLR)",Przemyslaw Frankowski,27, M(CLR),,,28(9),2452,6,5,5,-,0.9,82.2,0.3,3,6.75
132,"133Matthieu UdolMetz, 26, D(CL),M(L)",Matthieu Udol,26, D(CL),M(L),,11(1),1006,1,-,-,-,0.4,81.3,1.9,-,6.75
133,"134Alexander DjikuStrasbourg, 27, D(CR),DMC",Alexander Djiku,27, D(CR),DMC,,30(1),2697,1,-,8,1,0.5,83,2.3,1,6.74
134,"135Wahbi KhazriSaint-Etienne, 31, M(CLR),FW",Wahbi Khazri,31, M(CLR),FW,,26(4),2239,10,-,6,-,2.4,74.8,0.4,1,6.74
135,"136Enzo Le FéeLorient, 22, AM(CLR)",Enzo Le Fée,22, AM(CLR),,,25(11),2202,2,3,2,-,0.9,82.4,0.5,2,6.74
136,"137Anthony LopesLyon, 31, GK",Anthony Lopes,31, GK,,,34,2984,-,-,1,1,-,81,0.2,2,6.74
137,"138Jordan AmaviNice, 28, D(L),M(L)",Jordan Amavi,28, D(L),M(L),,4(4),414,-,-,1,-,-,84.8,1.3,-,6.74
138,"139Caio HenriqueMonaco, 24, D(L),M(CL)",Caio Henrique,24, D(L),M(CL),,31(3),2670,2,8,5,-,0.6,78.8,0.4,4,6.74
139,"140Leandro ParedesPSG, 27, DMC",Leandro Paredes,27, DMC,,,10(5),842,1,2,3,-,0.5,95.8,0.3,1,6.73
140,"141Guillermo MaripánMonaco, 28, D(C)",Guillermo Maripán,28, D(C),,,21(5),1828,-,-,5,-,0.3,88.8,1.8,-,6.73
141,"142Saïdou SowSaint-Etienne, 19, D(C)",Saïdou Sow,19, D(C),,,11(2),992,2,1,2,-,0.2,83.3,2.2,1,6.73
142,"143Armand LaurientéLorient, 23, AM(LR),FW",Armand Laurienté,23, AM(LR),FW,,28(7),2493,6,2,5,-,2.4,80.9,0.3,2,6.73
143,"144Arbër ZeneliReims, 27, AM(LR),FW",Arbër Zeneli,27, AM(LR),FW,,4(5),411,2,3,-,-,1.2,76.5,-,1,6.73
144,"145Anthony CaciStrasbourg, 24, D(CLR),M(L)",Anthony Caci,24, D(CLR),M(L),,26(11),2395,1,3,4,-,0.4,80.6,1.1,1,6.73
145,"146Jonathan DavidLille, 22, AM(C),FW",Jonathan David,22, AM(C),FW,,32(6),2811,15,-,3,-,1.8,78.4,0.7,1,6.73
