,Player,Name,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
146,"147Mehmet Zeki ÇelikLille, 25, D(R),M(R)",Mehmet Zeki Çelik,25, D(R),M(R),,30(2),2698,2,3,10,-,0.7,79.8,1.3,3,6.73
147,"148Maxence CaqueretLyon, 22, DMC",Maxence Caqueret,22, DMC,,,26(5),2335,-,-,5,-,0.5,85.9,0.4,-,6.73
148,"149Tiago DjalóLille, 22, D(CLR)",Tiago Djaló,22, D(CLR),,,26(2),2330,1,1,4,-,0.4,86.9,0.8,1,6.73
149,"150Alexis FlipsReims, 22, M(CR)",Alexis Flips,22, M(CR),,,13(12),1062,2,4,2,-,0.8,66.9,0.3,2,6.73
150,"151Amine HaritMarseille, 24, AM(CLR),FW",Amine Harit,24, AM(CLR),FW,,12(11),1168,4,4,1,-,0.7,89.4,0.3,1,6.73
151,"152Christophe HérelleBrest, 29, D(CR)",Christophe Hérelle,29, D(CR),,,23,1938,-,-,6,-,0.3,85.8,1.1,-,6.73
152,"153Youssouf FofanaMonaco, 23, DMC",Youssouf Fofana,23, DMC,,,23(10),2187,-,4,4,-,0.9,76.3,0.4,-,6.72
153,"154Jean-Charles CastellettoNantes, 27, D(C)",Jean-Charles Castelletto,27, D(C),,,28,2512,1,-,8,-,0.6,86.3,2,1,6.72
154,"155Wylan CyprienNantes, 27, M(C)",Wylan Cyprien,27, M(C),,,17(7),1494,2,3,3,-,0.8,84.1,0.2,-,6.72
155,"156Thomas ManganiAngers, 35, M(C)",Thomas Mangani,35, M(C),,,25(8),2195,7,2,6,-,0.5,81.7,0.9,1,6.72
156,"157Fodé DoucouréReims, 21, Defender",Fodé Doucouré,21, Defender,,,1(2),153,-,-,-,-,-,65.6,0.3,-,6.71
157,"158DanteNice, 38, D(C)",Dante,38, D(C),,,33(1),2874,-,-,5,3,0.4,90.5,1.5,1,6.71
158,"159Stephy MavididiMontpellier, 24, AM(LR),FW",Stephy Mavididi,24, AM(LR),FW,,27(3),2313,8,3,4,-,2,80.1,0.3,1,6.71
159,"160Nicolas PalloisNantes, 34, D(C)",Nicolas Pallois,34, D(C),,,29(1),2450,1,-,6,1,0.3,80.1,1.5,1,6.71
160,"161Thomas MonconduitLorient, 31, DMC",Thomas Monconduit,31, DMC,,,26(8),2254,3,2,5,-,1.1,79.8,1,4,6.71
161,"162Gerzino NyamsiStrasbourg, 25, D(C)",Gerzino Nyamsi,25, D(C),,,33(1),2983,-,2,4,-,0.8,83.5,2.6,-,6.7
162,"163Jean-Ricner BellegardeStrasbourg, 23, M(CLR)",Jean-Ricner Bellegarde,23, M(CLR),,,26(10),2337,2,3,5,-,0.9,85.6,0.5,1,6.7
163,"164José FonteLille, 38, D(C)",José Fonte,38, D(C),,,38,3420,-,2,4,-,0.6,87.1,2.3,-,6.7
164,"165Axel DisasiMonaco, 24, D(C)",Axel Disasi,24, D(C),,,30(2),2725,1,-,5,-,0.6,87.2,2.2,-,6.7
