,Name,Market value
867,Gianluca Scamacca,€30.00m
870,Luca Moro,€3.50m
873,Grégoire Defrel,€3.50m
876,Lukasz Skorupski,€4.00m
879,Francesco Bardi,€700Th.
882,Marco Molla,€100Th.
885,Arthur Theate,€10.00m
888,Kevin Bonifazi,€4.50m
891,Adama Soumaoro,€4.00m
894,Luis Binks,€1.50m
897,Gary Medel,€1.00m
900,Aaron Hickey,€15.00m
903,Mitchell Dijks,€2.50m
906,Denso Kasius,€2.00m
909,Lorenzo De Silvestri,€1.50m
912,Ibrahima Mbaye,€1.00m
915,Jerdy Schouten,€8.00m
918,Mattias Svanberg,€15.00m
921,Nicolás Domínguez,€13.00m
924,Michel Aebischer,€3.50m
927,Nicolas Viola,€1.00m
930,Kingsley Michael,€500Th.
933,Roberto Soriano,€8.00m
936,Luis Rojas,€1.20m
939,Musa Barrow,€20.00m
942,Nicola Sansone,€3.00m
945,Musa Juwara,€1.00m
948,Riccardo Orsolini,€10.00m
951,Emanuel Vignato,€6.00m
954,Marko Arnautovic,€6.00m
957,Federico Santander,€1.00m
960,Diego Falcinelli,€1.00m
963,Bartlomiej Dragowski,€9.00m
966,Pietro Terracciano,€1.50m
969,Antonio Rosati,€100Th.
972,Nikola Milenković,€23.00m
975,Lucas Martínez Quarta,€15.00m
978,Igor,€8.00m
981,Matija Nastasić,€2.00m
984,Cristiano Biraghi,€10.00m
987,Aleksa Terzić,€2.00m
990,Álvaro Odriozola,€13.00m
993,Lorenzo Venuti,€3.00m
996,Lucas Torreira,€20.00m
999,Sofyan Amrabat,€9.00m
1002,Gaetano Castrovilli,€15.00m
1005,Alfred Duncan,€10.00m
1008,Youssef Maleh,€5.00m
1011,Giacomo Bonaventura,€4.00m
1014,Riccardo Saponara,€3.00m
1017,Nicolás González,€24.00m
1020,Riccardo Sottil,€9.00m
1023,Jonathan Ikoné,€22.00m
1026,José Callejón,€1.50m
1029,Arthur Cabral,€15.00m
1032,Krzysztof Piatek,€12.00m
1035,Aleksandr Kokorin,€900Th.
1038,Emil Audero,€7.00m
1041,Wladimiro Falcone,€3.00m
1044,Nicola Ravaglia,€300Th.
1047,Omar Colley,€5.00m
1050,Giangiacomo Magnani,€4.50m
1053,Maya Yoshida,€3.00m
1056,Alex Ferrari,€1.50m
1059,Tommaso Augello,€4.00m
1062,Nicola Murru,€3.00m
1065,Bartosz Bereszynski,€5.00m
1068,Andrea Conti,€2.50m
1071,Albin Ekdal,€2.00m
1074,Tomás Rincón,€1.00m
1077,Stefano Sensi,€8.00m
1080,Morten Thorsby,€7.00m
1083,Ronaldo Vieira,€3.50m
1086,Kristoffer Askildsen,€2.00m
1089,Simone Trimboli,€500Th.
1092,Antonio Candreva,€2.50m
1095,Abdelhamid Sabiri,€2.00m
1098,Mikkel Damsgaard,€15.00m
1101,Sebastian Giovinco,€600Th.
1104,Manolo Gabbiadini,€5.00m
1107,Vladyslav Supryaga,€4.00m
1110,Francesco Caputo,€3.00m
1113,Fabio Quagliarella,€1.00m
1116,Guglielmo Vicario,€5.00m
1119,Jacopo Furlan,€300Th.
1122,Samir Ujkani,€200Th.
1125,Mattia Viti,€4.00m
1128,Sebastiano Luperto,€2.50m
1131,Ardian Ismajli,€2.00m
1134,Lorenzo Tonelli,€1.50m
1137,Simone Romagnoli,€1.20m
1140,Fabiano Parisi,€3.50m
1143,Liberato Cacace,€2.50m
1146,Riccardo Marchizza,€2.00m
1149,Petar Stojanovic,€2.50m
1152,Riccardo Fiamozzi,€500Th.
1155,Kristjan Asllani,€3.50m
1158,Leo Stulac,€3.00m
1161,Szymon Zurkowski,€6.00m
1164,Marco Benassi,€3.50m
1167,Nicolas Haas,€3.50m
1170,Liam Henderson,€3.00m
1173,Filippo Bandinelli,€2.00m
1176,Nedim Bajrami,€10.00m
1179,Valerio Verre,€2.80m
1182,Tommaso Baldanzi,€800Th.
1185,Federico Di Francesco,€3.00m
1188,Andrea Pinamonti,€16.00m
1191,Patrick Cutrone,€4.50m
1194,Andrea La Mantia,€1.50m
1197,Emmanuel Ekong,€300Th.
1200,Ivan Provedel,€3.00m
1203,Jeroen Zoet,€1.20m
1206,Petar Zovko,€75Th.
1209,Martin Erlic,€4.00m
1212,Dimitrios Nikolaou,€2.30m
1215,Petko Hristov,€1.00m
1218,Nicolò Bertola,€150Th.
1221,Arkadiusz Reca,€3.00m
1224,Kelvin Amian,€3.50m
1227,Salva Ferrer,€1.30m
1230,Léo Sena,€2.00m
1233,Jakub Kiwior,€1.80m
1236,Aurélien Nguiamba,€500Th.
1239,Giulio Maggiore,€8.00m
1242,Simone Bastoni,€5.00m
1245,Aimar Sher,€1.20m
1248,Mehdi Bourabia,€1.00m
1251,Jacopo Sala,€700Th.
1254,Niccolò Pietra,€100Th.
1257,Viktor Kovalenko,€3.50m
1260,Ebrima Colley,€3.70m
1263,Emmanuel Gyasi,€2.50m
1266,Daniele Verde,€3.50m
1269,Kevin Agudelo,€3.30m
1272,Suf Podgoreanu,€600Th.
1275,Eddie Salcedo,€4.50m
1278,Janis Antiste,€4.30m
1281,M'Bala Nzola,€3.00m
1284,David Strelec,€1.50m
1287,Rey Manaj,€1.00m
1290,Diego Zuppel,€75Th.
1293,Alessio Cragno,€14.00m
1296,Boris Radunović,€400Th.
1299,Simone Aresti,€100Th.
1302,Sebastian Walukiewicz,€7.00m
1305,Matteo Lovato,€7.00m
1308,Andrea Carboni,€5.00m
1311,Edoardo Goldaniga,€1.50m
1314,Giorgio Altare,€1.20m
1317,Luca Ceppitelli,€1.00m
1320,Adam Obert,€900Th.
1323,Charalampos Lykogiannis,€2.50m
1326,Dalbert,€2.50m
1329,Raoul Bellanova,€5.00m
1332,Gabriele Zappa,€5.00m
1335,Razvan Marin,€14.00m
1338,Marko Rog,€7.00m
1341,Kevin Strootman,€3.00m
1344,Alberto Grassi,€2.50m
1347,Alessandro Deiola,€2.00m
1350,Daniele Baselli,€1.90m
1353,Nahitan Nández,€15.00m
1356,Gastón Pereiro,€3.50m
1359,João Pedro,€18.00m
1362,Keita Baldé,€5.00m
1365,Leonardo Pavoletti,€2.50m
1368,Damir Ceter,€800Th.
1371,Luca Gagliano,€250Th.
1374,Adrian Semper,€2.00m
1377,Salvatore Sirigu,€1.50m
