,Name,Market value
801,Daniel Didavi,€700Th.
804,Tanguy Coulibaly,€4.50m
807,Omar Marmoush,€4.50m
810,Chris Führich,€4.00m
813,Sasa Kalajdzic,€22.00m
816,Tiago Tomás,€5.00m
819,Wahid Faghir,€3.00m
822,Alexis Tibidi,€1.20m
825,Mohamed Sankoh,€1.00m
828,Frederik Rönnow,€2.00m
831,Andreas Luthe,€900Th.
834,Jakob Busk,€250Th.
837,Robin Knoche,€6.00m
840,Timo Baumgartl,€5.00m
843,Paul Jaeckel,€3.50m
846,Dominique Heintz,€3.00m
849,Mathis Bruns,€200Th.
852,Niko Gießelmann,€2.30m
855,Bastian Oczipka,€600Th.
858,Julian Ryerson,€4.00m
861,Christopher Trimmel,€1.00m
864,Rani Khedira,€5.50m
867,Grischa Prömel,€5.50m
870,Kevin Möhwald,€2.00m
873,Levin Öztunali,€1.80m
876,András Schäfer,€1.60m
879,Maximilian Somnitz,€200Th.
882,Genki Haraguchi,€3.00m
885,Keita Endo,€1.00m
888,Sheraldo Becker,€4.00m
891,Laurenz Dehl,€250Th.
894,Taiwo Awoniyi,€15.00m
897,Andreas Voglsammer,€1.20m
900,Sven Michel,€1.20m
903,Kevin Behrens,€1.00m
906,Anthony Ujah,€600Th.
909,Suleiman Abdullahi,€400Th.
912,Kevin Trapp,€6.50m
915,Diant Ramaj,€500Th.
918,Jens Grahl,€200Th.
921,Jannik Horz,€200Th.
924,Evan Ndicka,€28.00m
927,Tuta,€10.00m
930,Martin Hinteregger,€9.00m
933,Christopher Lenz,€5.00m
936,Jan Schröder,€200Th.
939,Danny da Costa,€3.50m
942,Almamy Touré,€2.50m
945,Erik Durm,€2.00m
948,Timothy Chandler,€1.50m
951,Kristijan Jakic,€7.50m
954,Stefan Ilsanker,€1.50m
957,Makoto Hasebe,€800Th.
960,Djibril Sow,€17.50m
963,Ajdin Hrustic,€3.00m
966,Sebastian Rode,€2.50m
969,Filip Kostic,€20.00m
972,Daichi Kamada,€22.00m
975,Jesper Lindström,€14.00m
978,Aymen Barkok,€2.00m
981,Antonio Foti,€400Th.
984,Gianluca Schäfer,€150Th.
987,Jens Petter Hauge,€8.00m
990,Ansgar Knauff,€5.00m
993,Rafael Borré,€17.00m
996,Gonçalo Paciência,€3.50m
999,Sam Lammers,€3.00m
1002,Ragnar Ache,€1.80m
1005,Enrique Herrero García,€300Th.
1008,Oliver Baumann,€5.00m
1011,Philipp Pentke,€300Th.
1014,Luca Philipp,€300Th.
1017,Nahue Noll,€200Th.
1020,Stefan Posch,€11.00m
1023,Chris Richards,€7.50m
1026,Kevin Akpoguma,€6.00m
1029,Kevin Vogt,€4.00m
1032,Justin Che,€3.00m
1035,Havard Nordtveit,€1.50m
1038,Ermin Bicakcic,€1.30m
1041,Kasim Adams,€1.20m
1044,Benjamin Hübner,€1.00m
1047,David Raum,€17.00m
1050,Pavel Kaderabek,€7.00m
1053,Florian Grillitsch,€16.00m
1056,Diadié Samassékou,€16.00m
1059,Angelo Stiller,€6.00m
1062,Sebastian Rudy,€2.50m
1065,Dennis Geiger,€10.00m
1068,Marco John,€4.00m
1071,Christoph Baumgartner,€22.00m
1074,Tom Bischof,€750Th.
1077,Jacob Bruun Larsen,€6.50m
1080,Robert Skov,€8.00m
1083,Andrej Kramaric,€18.00m
1086,Ihlas Bebou,€16.00m
1089,Georginio Rutter,€13.00m
1092,Munas Dabbur,€6.00m
1095,Fisnik Asllani,€400Th.
1098,Manuel Riemann,€1.00m
1101,Michael Esser,€500Th.
1104,Tjark Ernst,€200Th.
1107,Paul Grave,€100Th.
1110,Armel Bella-Kotchap,€7.50m
1113,Maxim Leitsch,€5.00m
1116,Erhan Mašović,€2.50m
1119,Vasilios Lampropoulos,€700Th.
1122,Saulo Decarli,€300Th.
1125,Danilo Soares,€2.00m
1128,Konstantinos Stafylidis,€1.80m
1131,Moritz Römling,€200Th.
1134,Herbert Bockhorn,€750Th.
1137,Cristian Gamboa,€700Th.
1140,Anthony Losilla,€500Th.
1143,Elvis Rexhbecaj,€4.00m
1146,Eduard Löwen,€3.00m
1149,Patrick Osterhage,€900Th.
1152,Robert Tesche,€350Th.
1155,Milos Pantovic,€1.70m
1158,Gerrit Holtmann,€4.50m
1161,Christopher Antwi-Adjei,€1.00m
1164,Danny Blum,€900Th.
1167,Takuma Asano,€2.50m
1170,Tarsis Bonga,€300Th.
1173,Tom Weilandt,€250Th.
1176,Jürgen Locadia,€3.00m
1179,Simon Zoller,€1.80m
1182,Sebastian Polter,€1.50m
1185,Luis Hartwig,€200Th.
1188,Rafal Gikiewicz,€1.50m
1191,Tomas Koubek,€1.20m
1194,Daniel Klein,€200Th.
1197,Felix Uduokhai,€12.00m
1200,Reece Oxford,€10.00m
1203,Jeffrey Gouweleeuw,€4.50m
1206,Frederik Winther,€1.00m
1209,Iago,€4.50m
1212,Mads Pedersen,€1.50m
1215,Robert Gumny,€2.50m
1218,Raphael Framberger,€1.80m
1221,Niklas Dorsch,€10.00m
1224,Carlos Gruezo,€3.20m
1227,Tobias Strobl,€1.00m
1230,Arne Maier,€5.00m
1233,Jan Moravek,€500Th.
1236,Tim Civeja,€200Th.
1239,Fredrik Jensen,€2.00m
1242,Rubén Vargas,€9.00m
1245,Lasse Günther,€1.00m
1248,André Hahn,€2.20m
1251,Daniel Caligiuri,€1.50m
1254,Noah Joel Sarenren Bazee,€1.00m
1257,Ricardo Pepi,€10.00m
1260,Michael Gregoritsch,€3.50m
1263,Florian Niederlechner,€3.00m
1266,Andi Zeqiri,€3.00m
1269,Alfred Finnbogason,€1.00m
1272,Stefan Ortega,€6.00m
1275,Stefanos Kapino,€700Th.
1278,Arne Schulz,€100Th.
1281,Amos Pieper,€7.00m
1284,Joakim Nilsson,€3.50m
1287,Guilherme Ramos,€2.00m
1290,Andrés Andrade,€2.00m
1293,George Bello,€4.00m
1296,Jacob Barrett Laursen,€1.70m
1299,Cédric Brunner,€3.20m
1302,Nathan de Medina,€750Th.
1305,Manuel Prietl,€1.80m
1308,Fabian Kunze,€1.00m
1311,Alessandro Schöpf,€2.50m
1314,Burak Ince,€2.50m
1317,Sebastian Vasiliadis,€2.00m
1320,Gonzalo Castro,€900Th.
1323,Masaya Okugawa,€5.00m
1326,Vladislav Cherny,€100Th.
1329,Robin Hack,€2.30m
1332,Patrick Wimmer,€8.00m
1335,Bryan Lasme,€1.80m
1338,Florian Krüger,€2.50m
1341,Janni Serra,€1.80m
1344,Fabian Klos,€400Th.
1347,Alexander Schwolow,€3.50m
1350,Oliver Christensen,€1.50m
1353,Rune Jarstein,€400Th.
1356,Marcel Lotka,€400Th.
1359,Nils-Jonathan Körber,€300Th.
1362,Niklas Stark,€7.50m
1365,Marc Oliver Kempf,€5.50m
1368,Márton Dárdai,€5.00m
1371,Dedryck Boyata,€3.50m
1374,Linus Gechter,€3.50m
1377,Maximilian Mittelstädt,€4.50m
1380,Fredrik André Björkan,€2.50m
1383,Marvin Plattenhardt,€2.00m
1386,Lukas Klünter,€1.80m
1389,Peter Pekarik,€800Th.
1392,Lucas Tousart,€8.00m
1395,Santiago Ascacíbar,€7.50m
1398,Suat Serdar,€9.00m
1401,Jurgen Ekkelenkamp,€3.50m
1404,Vladimir Darida,€3.20m
1407,Jonas Michelbrink,€500Th.
1410,Kevin-Prince Boateng,€900Th.
1413,Myziane Maolida,€4.50m
1416,Anton Kade,€500Th.
1419,Marco Richter,€7.00m
1422,Kelian Nsona,€1.20m
1425,Dong-jun Lee,€1.20m
1428,Stevan Jovetic,€3.00m
1431,Davie Selke,€1.80m
1434,Ishak Belfodil,€1.70m
1440,Andreas Linde,€800Th.
1443,Sascha Burchert,€450Th.
1446,Marius Funk,€300Th.
1449,Leon Schaffran,€125Th.
1452,Lasse Schulz,€125Th.
1455,Maximilian Bauer,€2.00m
1458,Nick Viergever,€1.00m
1461,Gideon Jung,€700Th.
1464,Abdourahmane Barry,€300Th.
1467,Oliver Fobassam,€200Th.
1470,Jetro Willems,€1.50m
1473,Luca Itter,€1.30m
1476,Marco Meyerhöfer,€2.20m
1479,Simon Asta,€600Th.
1482,Max Christiansen,€1.50m
1485,Sebastian Griesbeck,€800Th.
1488,Paul Seguin,€2.20m
1491,Julian Green,€1.20m
1494,Tobias Raschl,€600Th.
1497,Timothy Tillman,€1.80m
1500,Jeremy Dudziak,€1.80m
1503,Jamie Leweling,€4.50m
1506,Branimir Hrgota,€2.00m
1509,Afimico Pululu,€1.50m
1512,Havard Nielsen,€1.20m
1515,Jessic Ngankam,€1.20m
1518,Dickson Abiama,€900Th.
1521,Robin Kehr,€150Th.
