,Name,Market value
999,Juan Cala,€900Th.
1002,Luis Hernández,€800Th.
1005,Alfonso Espino,€6.00m
1008,Santiago Arzamendia,€1.80m
1011,Iza Carcelén,€1.50m
1014,Carlos Akapo,€1.20m
1017,Jens Jönsson,€4.00m
1020,Tomás Alarcón,€3.00m
1023,José Mari,€400Th.
1026,Rubén Alcaraz,€2.50m
1029,Fede San Emeterio,€1.50m
1032,Álex Fernández,€6.00m
1035,Oussama Idrissi,€4.00m
1038,Alberto Perea,€1.00m
1041,Salvi Sánchez,€2.00m
1044,Iván Alejo,€1.20m
1047,Choco Lozano,€4.00m
1050,Lucas Pérez,€2.50m
1053,Rubén Sobrino,€2.00m
1056,Álvaro Negredo,€1.50m
1059,Florin Andone,€1.00m
1062,Diego López,€500Th.
1065,Joan García,€400Th.
1068,Oier Olazábal,€300Th.
1071,Leandro Cabrera,€4.00m
1074,Sergi Gómez,€3.00m
1077,Fernando Calero,€1.80m
1080,Adrià Pedrosa,€9.00m
1083,Dídac Vilà,€600Th.
1086,Óscar Gil,€3.00m
1089,Aleix Vidal,€2.00m
1092,Miguelón,€800Th.
1095,David López,€1.80m
1098,Sergi Darder,€14.00m
1101,Yangel Herrera,€14.00m
1104,Manu Morlanes,€5.00m
1107,Tonny Vilhena,€5.00m
1110,Keidi Bare,€4.00m
1113,Fran Mérida,€900Th.
1116,Javi Puado,€8.00m
1119,Nico Melamed,€7.50m
1122,Lei Wu,€2.50m
1125,Adrián Embarba,€4.00m
1128,Óscar Melendo,€3.00m
1131,Raúl de Tomás,€25.00m
1134,Loren Morón,€4.00m
1137,Landry Dimata,€2.20m
1140,Luís Maximiano,€12.00m
1143,Aarón Escandell,€1.00m
1146,João Costa,€200Th.
1149,Domingos Duarte,€8.00m
1152,Raúl Torrente,€3.00m
1155,Germán Sánchez,€800Th.
1158,Neyder Lozano,€200Th.
1161,Carlos Neva,€4.00m
1164,Sergio Escudero,€1.80m
1167,Santiago Arias,€4.00m
1170,Víctor Díaz,€700Th.
1173,Quini,€400Th.
1176,Njegos Petrovic,€2.50m
1179,Maxime Gonalons,€1.80m
1182,Luis Milla,€5.00m
1185,Yan Eteki,€1.50m
1188,Ángel Montoro,€1.00m
1191,Isma Ruiz,€600Th.
1194,Álex Collado,€4.00m
1197,Darwin Machís,€6.00m
1200,Myrto Uzuni,€3.00m
1203,Antonio Puertas,€4.50m
1206,Alberto Soro,€2.50m
1209,Rubén Rochina,€2.50m
1212,Dani Raba,€900Th.
1215,Luis Suárez,€9.00m
1218,Matías Arezo,€6.00m
1221,Jorge Molina,€1.50m
1224,Carlos Bacca,€1.00m
1227,Édgar Badía,€3.00m
1230,Kiko Casilla,€700Th.
1233,Enzo Roco,€2.00m
1236,Diego González,€2.00m
1239,Pedro Bigas,€1.00m
1242,Gonzalo Verdú,€700Th.
1245,Johan Mojica,€5.00m
1248,Lucas Olaza,€2.50m
1251,Helibelton Palacios,€1.20m
1254,Antonio Barragán,€600Th.
1257,Omar Mascarell,€4.00m
1260,Gerard Gumbau,€3.00m
1263,Iván Marcone,€2.00m
1266,Raúl Guti,€4.00m
1269,Kike Pérez,€1.50m
1272,Javier Pastore,€900Th.
1275,Pere Milla,€3.00m
1278,Tete Morente,€3.00m
1281,Fidel,€2.00m
1284,Pablo Piatti,€1.00m
1287,Josan,€1.00m
1290,Lucas Boyé,€15.00m
1293,Ezequiel Ponce,€5.00m
1296,Guido Carrillo,€1.50m
1299,Sergio Rico,€4.00m
1302,Dominik Greif,€2.00m
1305,Leo Román,€300Th.
1308,Manolo Reina,€200Th.
1311,Martin Valjent,€4.00m
1314,Antonio Raíllo,€2.00m
1317,Franco Russo,€1.20m
1320,Aleksandar Sedlar,€500Th.
1323,Brian Oliván,€2.50m
1326,Jaume Costa,€1.20m
1329,Pablo Maffeo,€5.00m
1332,Giovanni González,€1.50m
1335,Rodrigo Battaglia,€1.80m
1338,Iddrisu Baba,€3.50m
1341,Iñigo Ruiz de Galarreta,€1.80m
1344,Antonio Sánchez,€1.50m
1347,Clément Grenier,€1.00m
1350,Salva Sevilla,€300Th.
1353,Kang-in Lee,€6.00m
1356,Dani Rodríguez,€1.20m
1359,Amath Ndiaye,€2.00m
1362,Takefusa Kubo,€7.50m
1365,Vedat Muriqi,€7.00m
1368,Fer Niño,€3.00m
1371,Ángel Rodríguez,€2.00m
1374,Abdón Prats,€1.50m
1377,Matthew Hoppe,€1.00m
1380,Fernando Pacheco,€5.00m
1383,Antonio Sivera,€1.00m
1386,Matt Miazga,€2.00m
1389,Víctor Laguardia,€2.00m
1392,Florian Lejeune,€2.00m
1395,Rubén Duarte,€3.00m
1398,Javi López,€700Th.
1401,Saúl García,€600Th.
1404,Nahuel Tenaglia,€3.00m
1407,Martín Aguirregabiria,€2.50m
1410,Ximo Navarro,€1.20m
1413,Mamadou Loum,€4.00m
1416,Pere Pons,€2.50m
1419,Antonio Perera,€400Th.
1422,Gonzalo Escalante,€2.50m
1425,Toni Moya,€1.50m
1428,Tomás Pina,€800Th.
1431,Manu García,€3.00m
1434,Luis Rioja,€3.00m
1437,Facundo Pellistri,€2.50m
1440,Jason,€2.50m
1443,Edgar Méndez,€1.20m
1446,Manu Vallejo,€3.00m
1449,Joselu,€5.00m
1452,Miguel de la Fuente,€1.50m
1455,John Guidetti,€1.00m
1458,Aitor Fernández,€2.50m
1461,Dani Cárdenas,€1.50m
1464,Rúben Vezo,€4.00m
1467,Shkodran Mustafi,€2.00m
1470,Rober Pier,€1.50m
1473,Martín Cáceres,€900Th.
1476,Óscar Duarte,€800Th.
1479,Sergio Postigo,€700Th.
1482,Marcelo Saracchi,€2.50m
1485,Carlos Clerc,€2.00m
1488,Enric Franquesa,€800Th.
1491,Jorge Miramón,€1.80m
1494,Son,€1.00m
1497,Marc Pubill,€800Th.
1500,Coke,€600Th.
1503,Pepelu,€3.00m
1506,Mickaël Malsa,€3.00m
1509,Nemanja Radoja,€2.00m
1512,Nikola Vukcevic,€1.00m
1515,José Campaña,€6.00m
1518,Gonzalo Melero,€4.00m
1521,Enis Bardhi,€8.00m
1524,Alejandro Cantero,€1.00m
1527,Jorge de Frutos,€10.00m
1530,Roger Martí,€5.00m
1533,José Luis Morales,€4.00m
1536,Dani Gómez,€2.50m
1539,Roberto Soldado,€1.00m
