,Name,Market value
852,Ki-Jana Hoever,€7.00m
855,Rúben Neves,€40.00m
858,Leander Dendoncker,€30.00m
861,João Moutinho,€2.50m
864,Connor Ronan,€500Th.
867,Luke Cundle,€200Th.
870,Morgan Gibbs-White,€11.00m
873,Pedro Neto,€35.00m
876,Chiquinho,€2.50m
879,Daniel Podence,€22.00m
882,Francisco Trincão,€22.00m
885,Raúl Jiménez,€22.00m
888,Fábio Silva,€18.00m
891,Hwang Hee-Chan,€16.00m
894,Emiliano Martínez,€32.00m
897,Robin Olsen,€2.00m
900,Jed Steer,€600Th.
903,Tyrone Mings,€32.00m
906,Ezri Konsa,€25.00m
909,Calum Chambers,€12.00m
912,Kortney Hause,€5.00m
915,Lucas Digne,€30.00m
918,Matt Targett,€17.00m
921,Ashley Young,€1.00m
924,Matty Cash,€22.00m
927,Douglas Luiz,€35.00m
930,Marvelous Nakamba,€7.00m
933,John McGinn,€30.00m
936,Jacob Ramsey,€22.00m
939,Morgan Sanson,€14.00m
942,Carney Chukwuemeka,€2.50m
945,Conor Hourihane,€1.80m
951,Leon Bailey,€30.00m
954,Philippe Coutinho,€20.00m
957,Jaden Philogene-Bidace,€3.00m
960,Emiliano Buendía,€35.00m
963,Bertrand Traoré,€20.00m
966,Ollie Watkins,€35.00m
969,Danny Ings,€22.00m
972,Cameron Archer,€6.00m
975,Keinan Davis,€2.50m
978,Nick Pope,€15.00m
981,Bailey Peacock-Farrell,€1.00m
984,Wayne Hennessey,€800Th.
987,Will Norris,€400Th.
990,Lukas Jensen,€25Th.
993,James Tarkowski,€22.00m
996,Nathan Collins,€8.00m
999,Ben Mee,€4.00m
1002,Kevin Long,€1.00m
1005,Charlie Taylor,€4.00m
1008,Erik Pieters,€1.00m
1011,Connor Roberts,€3.00m
1014,Matthew Lowton,€2.00m
1017,Phil Bardsley,€300Th.
1020,Ashley Westwood,€4.00m
1023,Jack Cork,€3.00m
1026,Josh Brownhill,€7.00m
1029,Dale Stephens,€1.50m
1032,Dwight McNeil,€22.00m
1035,Maxwel Cornet,€14.00m
1038,Jóhann Berg Gudmundsson,€3.00m
1041,Aaron Lennon,€1.00m
1044,Wout Weghorst,€17.00m
1047,Jay Rodríguez,€3.00m
1050,Matej Vydra,€3.00m
1053,Ashley Barnes,€2.00m
1056,David Raya,€18.00m
1059,Álvaro Fernández,€4.00m
1062,Jonas Lössl,€1.00m
1065,Ellery Balcombe,€300Th.
1068,Kristoffer Ajer,€17.00m
1071,Ethan Pinnock,€10.00m
1074,Pontus Jansson,€6.00m
1077,Mads Bech Sörensen,€4.00m
1080,Zanka,€1.50m
1083,Julian Jeanvier,€1.00m
1086,Charlie Goode,€900Th.
1089,Rico Henry,€18.00m
1092,Dominic Thompson,€800Th.
1095,Mads Roerslev Rasmussen,€1.50m
1098,Fin Stevens,€400Th.
1101,Vitaly Janelt,€12.00m
1104,Christian Nörgaard,€10.00m
1107,Josh Dasilva,€10.00m
1110,Frank Onyeka,€10.00m
1113,Mathias Jensen,€8.00m
1116,Shandon Baptiste,€3.00m
1119,Christian Eriksen,€15.00m
1122,Saman Ghoddos,€3.00m
1125,Yoane Wissa,€10.00m
1128,Tariqe Fosu,€2.50m
1131,Bryan Mbeumo,€16.00m
1134,Sergi Canós,€14.00m
1137,Ivan Toney,€35.00m
1140,Marcus Forss,€4.00m
1143,Alex McCarthy,€3.50m
1146,Fraser Forster,€2.50m
1149,Willy Caballero,€250Th.
1152,Harry Lewis,€200Th.
1155,Jan Bednarek,€22.00m
1158,Mohammed Salisu,€15.00m
1161,Jack Stephens,€8.00m
1164,Lyanco,€5.00m
1167,Romain Perraud,€8.00m
1170,Tino Livramento,€25.00m
1173,Kyle Walker-Peters,€18.00m
1176,Yan Valery,€2.50m
1179,Ibrahima Diallo,€12.00m
1182,Oriol Romeu,€5.00m
1185,James Ward-Prowse,€32.00m
1188,Stuart Armstrong,€6.00m
1191,Will Smallbone,€2.00m
1194,Nathan Redmond,€18.00m
1197,Moussa Djenepo,€11.00m
1200,Mohamed Elyounoussi,€10.00m
1203,Theo Walcott,€3.00m
1206,Nathan Tella,€2.00m
1209,Ché Adams,€20.00m
1212,Adam Armstrong,€16.00m
1215,Dan N'Lundulu,€1.50m
1218,Shane Long,€800Th.
1221,Freddie Woodman,€9.00m
1224,Martin Dubravka,€5.00m
1227,Karl Darlow,€3.00m
1230,Mark Gillespie,€400Th.
1233,Jamaal Lascelles,€11.00m
1236,Fabian Schär,€7.00m
1239,Dan Burn,€7.00m
1242,Ciaran Clark,€2.50m
1245,Federico Fernández,€2.00m
1248,Jamal Lewis,€10.00m
1251,Paul Dummett,€2.00m
1254,Matt Ritchie,€2.00m
1257,Kieran Trippier,€18.00m
1260,Emil Krafth,€3.00m
1263,Javier Manquillo,€3.00m
1266,Bruno Guimarães,€30.00m
1269,Isaac Hayden,€10.00m
1272,Joe Willock,€22.00m
1275,Sean Longstaff,€13.00m
1278,Jonjo Shelvey,€11.00m
1281,Jeff Hendrick,€5.00m
1284,Matty Longstaff,€2.50m
1287,Joelinton,€18.00m
1290,Miguel Almirón,€16.00m
1293,Allan Saint-Maximin,€32.00m
1296,Ryan Fraser,€10.00m
1299,Jacob Murphy,€4.00m
1302,Callum Wilson,€20.00m
1305,Chris Wood,€10.00m
1308,Dwight Gayle,€2.00m
1311,Jordan Pickford,€25.00m
1314,Asmir Begovic,€1.00m
1317,Andy Lonergan,€250Th.
1320,Michael Keane,€22.00m
1323,Ben Godfrey,€22.00m
1326,Yerry Mina,€20.00m
1329,Mason Holgate,€18.00m
1332,Jarrad Branthwaite,€3.00m
1335,Vitaliy Mykolenko,€18.00m
1338,Nathan Patterson,€8.00m
1341,Jonjoe Kenny,€4.50m
1344,Seamus Coleman,€3.50m
1347,Allan,€18.00m
1350,Abdoulaye Doucouré,€25.00m
1353,André Gomes,€20.00m
1356,Tom Davies,€18.00m
1359,Fabian Delph,€3.00m
1362,Dele Alli,€22.00m
1368,Demarai Gray,€22.00m
1371,Alex Iwobi,€18.00m
1374,Anthony Gordon,€16.00m
1377,Anwar El Ghazi,€10.00m
1380,Andros Townsend,€7.00m
1383,Richarlison,€50.00m
1386,Dominic Calvert-Lewin,€42.00m
1389,Salomón Rondón,€4.00m
1392,Cenk Tosun,€2.50m
1395,Illan Meslier,€20.00m
1398,Kristoffer Klaesson,€2.00m
1401,Diego Llorente,€18.00m
1404,Robin Koch,€17.00m
1407,Pascal Struijk,€15.00m
1410,Liam Cooper,€7.00m
1413,Charlie Cresswell,€1.00m
1416,Junior Firpo,€12.00m
1419,Leif Davis,€800Th.
1422,Liam McCarron,€500Th.
1425,Leo Fuhr Hjelde,€300Th.
